date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,0.2437662158,00:00:00,0.2569613862,0.2569613862,0.2447937886,17678831.08,251912541.09
2023-08-30,15:07:00,0.2539092862,00:04:00,0.2591550539,0.2587752521,0.2569546846,17235837.72,264426774.1
2023-08-29,10:38:00,0.2406854631,16:31:00,0.2623104811,0.2486890964,0.2588123996,22094815.75,266319520.4
2023-08-28,08:37:00,0.240217197,17:17:00,0.252902613,0.2476340277,0.2487066925,16212013.71,256291281.0
2023-08-27,02:59:00,0.2413182827,23:59:00,0.2476212381,0.2429920254,0.2476212381,12569800.94,255172575.6
2023-08-26,18:45:00,0.2423877166,03:15:00,0.2490306647,0.246625006,0.2430447485,13316640.17,250456377.0
2023-08-25,05:05:00,0.2427312683,00:05:00,0.251281667,0.251206217,0.2466219461,14697983.67,254142214.04
2023-08-24,20:58:00,0.2471681949,05:15:00,0.253968568,0.2520268319,0.2512087072,14189529.25,258868839.76
2023-08-23,13:17:00,0.2439018007,19:57:00,0.2541785567,0.2444277191,0.252022691,16894845.2,259653639.47
2023-08-22,21:31:00,0.2365293694,09:05:00,0.2463555603,0.2438337694,0.2444479658,16359836.71,251849560.63
2023-08-21,15:31:00,0.240545034,00:09:00,0.2505110445,0.2503189487,0.2438378185,17082728.69,251168401.74
2023-08-20,15:13:00,0.2467429868,13:09:00,0.2511197673,0.2485334671,0.2503191152,12792401.05,257844386.43
2023-08-19,07:16:00,0.2411392672,16:59:00,0.2501564705,0.2419580108,0.2485265847,14736473.63,255811423.21
2023-08-18,03:17:00,0.2333418926,16:51:00,0.2444076518,0.2364970593,0.2419373775,23734395.82,249029072.51
2023-08-17,21:46:00,0.2239163924,05:58:00,0.2698404758,0.2650416171,0.2365406147,36857762.4,243474119.13
2023-08-16,21:16:00,0.2608001988,02:24:00,0.2868440424,0.2866237453,0.2650160113,26504626.98,272764897.12
2023-08-15,19:10:00,0.2819349237,01:17:00,0.3105380189,0.3102771271,0.2866205967,31796243.29,295001092.86
2023-08-14,02:22:00,0.3040250764,16:53:00,0.3130539619,0.3077198223,0.3102740116,18045651.55,319346109.72
2023-08-13,00:36:00,0.3050027256,20:08:00,0.3117094661,0.3059880172,0.3076657276,14643636.18,316661322.2
2023-08-12,21:07:00,0.3042718781,01:02:00,0.3089016026,0.3080471196,0.3059677417,12069884.08,314684028.89
2023-08-11,19:21:00,0.3059211635,12:08:00,0.3100095947,0.3070100375,0.3080439633,12935562.74,316819397.06
2023-08-10,19:35:00,0.3050332989,14:04:00,0.3090073009,0.3064080018,0.3070093209,12400589.39,315755280.24
2023-08-09,03:51:00,0.3032035811,13:01:00,0.3084810359,0.3071266872,0.3064012509,15872081.09,315072446.36
2023-08-08,10:07:00,0.3013702484,18:27:00,0.3086977098,0.3046522311,0.3071111657,15471886.0,315802451.88
2023-08-07,16:19:00,0.2963984956,02:26:00,0.3088723089,0.3050078132,0.3046949882,29627073.49,313083368.51
2023-08-06,13:43:00,0.3029511151,16:41:00,0.3097770303,0.3051014544,0.3050100747,28416964.4,313407129.56
2023-08-05,08:32:00,0.3014892391,23:30:00,0.305383485,0.3052703678,0.3050987857,14149817.59,313498282.44
2023-08-04,20:52:00,0.301339975,01:24:00,0.314157751,0.3114760655,0.3052898257,24341891.05,313694390.95
2023-08-03,13:38:00,0.3090863626,00:58:00,0.3195191456,0.315318532,0.3114604188,22661608.45,320029492.3
2023-08-02,15:22:00,0.3110880616,00:07:00,0.3208588494,0.3201976212,0.3153141764,24237364.21,323983266.08
2023-08-01,02:19:00,0.3054043276,23:59:00,0.3202159843,0.3144267029,0.3202159843,28837518.97,329019193.51
2023-07-31,20:19:00,0.3088692872,11:05:00,0.3177467517,0.3120360341,0.3144345623,22205120.89,322943872.24
2023-07-30,20:04:00,0.3060318469,04:13:00,0.322423599,0.3159460669,0.312042468,30772558.34,317775284.43
2023-07-29,00:08:00,0.3089079259,23:58:00,0.3159298084,0.3099251585,0.3159221823,18535990.67,321691174.07
2023-07-28,05:58:00,0.3031480139,15:32:00,0.3108128688,0.304974407,0.3099414717,17538396.92,315601250.89
2023-07-27,19:06:00,0.3026796983,09:01:00,0.3121707094,0.304292315,0.30496563,20541246.08,310518073.96
2023-07-26,09:58:00,0.2989532323,21:22:00,0.3079870035,0.3032340583,0.3045170067,22360642.72,310061098.95
2023-07-25,20:27:00,0.302029898,00:35:00,0.3065681524,0.3046480496,0.3032202822,23410794.02,308740765.99
2023-07-24,15:13:00,0.3006356045,00:20:00,0.3278239863,0.3275590747,0.3046777257,55502802.36,310224557.21
2023-07-23,00:53:00,0.3258597775,05:37:00,0.331345042,0.3281093865,0.3275782162,33972195.94,333521165.37
2023-07-22,23:35:00,0.3269988752,04:35:00,0.3376923812,0.3362900508,0.328113395,32974711.38,334066053.4
2023-07-21,00:39:00,0.3249370454,15:55:00,0.3439875846,0.3288237698,0.3363191351,65835792.13,332279928.95
2023-07-20,15:52:00,0.3226176597,07:41:00,0.3577782993,0.3371601034,0.3287996046,101280509.7,324850628.64
2023-07-19,21:24:00,0.3355791384,02:16:00,0.3655504356,0.3596312155,0.3371423194,100891521.47,332970116.64
2023-07-18,20:36:00,0.3547565272,00:00:00,0.4043063887,0.4043063887,0.3596564405,123548474.94,355205493.14
2023-07-17,20:53:00,0.3950286036,07:41:00,0.5810912946,0.4336584607,0.4042908335,776148354.25,384002232.2
