date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,18:47:00,3.0773936e-07,07:30:00,3.1428421e-07,3.124035e-07,3.1099408e-07,27610483.56,307917001.38
2023-08-30,23:53:00,3.1200934e-07,04:11:00,3.2320775e-07,3.2092504e-07,3.1239355e-07,22664410.82,309302626.6
2023-08-29,14:03:00,3.1686341e-07,01:51:00,3.2410831e-07,3.2203684e-07,3.2183199e-07,19394479.5,318647677.36
2023-08-28,18:54:00,3.2112993e-07,00:06:00,3.2704648e-07,3.2697854e-07,3.213442e-07,16827745.52,318164722.46
2023-08-27,21:56:00,3.2464387e-07,09:52:00,3.277702e-07,3.2623026e-07,3.2699131e-07,20782482.97,323755956.12
2023-08-26,00:08:00,3.2200879e-07,22:39:00,3.2672481e-07,3.2241463e-07,3.2624842e-07,18973029.53,323020415.12
2023-08-25,10:53:00,3.1841197e-07,23:42:00,3.2289048e-07,3.2144502e-07,3.2237323e-07,20801039.33,319183570.46
2023-08-24,23:39:00,3.2050464e-07,11:29:00,3.2607505e-07,3.2389008e-07,3.2145367e-07,20206758.29,318273109.57
2023-08-23,05:47:00,3.1568692e-07,17:18:00,3.2485637e-07,3.1678866e-07,3.2388847e-07,21081952.41,320683814.91
2023-08-22,18:30:00,3.1208219e-07,05:16:00,3.1706634e-07,3.154714e-07,3.1629662e-07,20048659.98,313167079.93
2023-08-21,16:34:00,3.1279264e-07,08:34:00,3.1805693e-07,3.1612153e-07,3.154632e-07,22485166.9,312341908.37
2023-08-20,00:09:00,3.1007504e-07,21:03:00,3.1791958e-07,3.10085e-07,3.1615685e-07,31105176.45,313028697.23
2023-08-19,00:28:00,3.0649914e-07,18:40:00,3.1165506e-07,3.0660878e-07,3.1007648e-07,26168851.81,307008481.36
2023-08-18,04:36:00,3.0449964e-07,00:58:00,3.0876898e-07,3.0630279e-07,3.0675278e-07,21441573.43,303717669.66
2023-08-17,21:46:00,3.0177181e-07,05:32:00,3.1526524e-07,3.1310732e-07,3.0629456e-07,18192274.73,303263986.74
2023-08-16,21:16:00,3.1046649e-07,05:33:00,3.1888486e-07,3.1675093e-07,3.1358949e-07,14086604.19,310486733.2
2023-08-15,19:13:00,3.1594766e-07,00:00:00,3.2960733e-07,3.2960733e-07,3.1675962e-07,15716745.27,313625503.78
2023-08-14,23:17:00,3.2945522e-07,04:49:00,3.3430773e-07,3.3254615e-07,3.2959578e-07,18459477.18,326334659.23
2023-08-13,00:00:00,3.3060447e-07,19:21:00,3.360595e-07,3.3060447e-07,3.3253179e-07,19494278.15,329241614.91
2023-08-12,00:29:00,3.2725985e-07,22:54:00,3.3182975e-07,3.2813282e-07,3.30812e-07,18164479.86,327538840.81
2023-08-11,08:21:00,3.2538669e-07,23:58:00,3.2815672e-07,3.2710431e-07,3.2806824e-07,19476329.89,324822225.47
2023-08-10,07:55:00,3.2151035e-07,23:47:00,3.2718358e-07,3.2177614e-07,3.2687988e-07,21203439.59,323645629.48
2023-08-09,18:16:00,3.1899336e-07,01:00:00,3.2293318e-07,3.2228954e-07,3.2179345e-07,20353795.19,318609526.4
2023-08-08,00:23:00,3.1828449e-07,21:28:00,3.2328349e-07,3.1964308e-07,3.2229396e-07,18419101.51,319105085.69
2023-08-07,17:23:00,3.1538003e-07,01:04:00,3.2201924e-07,3.1954307e-07,3.1961057e-07,19310211.94,316448241.35
2023-08-06,14:38:00,3.1844998e-07,06:32:00,3.2242732e-07,3.2119602e-07,3.1954869e-07,17902548.07,316386977.55
2023-08-05,07:41:00,3.1500602e-07,16:13:00,3.2150362e-07,3.1759014e-07,3.2118235e-07,24934343.25,318004473.47
2023-08-04,21:04:00,3.1548552e-07,13:05:00,3.2101234e-07,3.1936496e-07,3.1756669e-07,24172651.36,314424582.33
2023-08-03,08:21:00,3.1615246e-07,17:51:00,3.2053582e-07,3.1745683e-07,3.194015e-07,56995465.6,88499947.38
