date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,23:49:00,0.9861817826,15:13:00,1.091417146,1.0378639716,0.9884398125,2542076.88,215176239.58
2023-08-30,17:39:00,1.0039072169,00:20:00,1.1185837338,1.1152778429,1.0379546053,2934464.67,225915895.67
2023-08-29,05:09:00,1.0140014276,17:14:00,1.1642829461,1.109710478,1.1140215204,3409039.0,242419131.59
2023-08-28,22:05:00,1.0933602174,09:22:00,1.2405982676,1.1952724748,1.1099997672,2357641.3,241491048.99
2023-08-27,07:06:00,1.140475785,00:00:00,1.221862864,1.221862864,1.1953237695,2451272.46,259997030.92
2023-08-26,23:59:00,1.2215115086,07:40:00,1.3322087574,1.3121676807,1.2215115086,2675354.37,265634947.76
2023-08-25,06:23:00,1.2964117647,00:00:00,1.4135284437,1.4135284437,1.3117933296,3635942.35,285205564.35
2023-08-24,13:02:00,1.3895479004,00:00:00,1.5293563226,1.5293563226,1.4124966156,4519604.64,307033128.08
2023-08-23,09:34:00,1.3707048765,23:19:00,1.5474745493,1.4865297604,1.5308077588,5017506.16,332677985.78
2023-08-22,12:38:00,1.4370317891,02:21:00,1.6470091079,1.5137576457,1.4867266277,5266704.86,323027646.48
2023-08-21,02:40:00,1.3513839673,19:09:00,1.5712769343,1.3790945756,1.5138672726,4424336.84,328852838.86
2023-08-20,06:04:00,1.2709474557,04:02:00,1.7208168255,1.6015371898,1.3796717044,7124204.59,299636530.12
2023-08-19,14:01:00,1.3620794372,23:05:00,1.6208640658,1.4335744355,1.6015703136,4439524.87,347752499.97
2023-08-18,00:05:00,1.1705617008,23:23:00,1.5274916283,1.1710909866,1.4439688307,5897341.6,313463791.5
2023-08-17,22:39:00,1.1519162109,10:55:00,1.3128468145,1.2309305765,1.1719305579,3449993.27,254352954.67
2023-08-16,00:07:00,1.153771898,20:27:00,1.2583196602,1.1553849054,1.2323988667,3008222.62,267418509.56
2023-08-15,20:14:00,1.1329470704,04:25:00,1.2116429262,1.1821267529,1.1553840512,2438746.84,250652540.09
2023-08-14,23:19:00,1.1691132446,12:35:00,1.3379870752,1.1923120859,1.1820678451,3995532.75,256385611.56
2023-08-13,15:36:00,1.1218441166,02:40:00,1.4383451556,1.3137849987,1.1921919017,4548342.86,135744524.68
2023-08-12,01:20:00,1.0925859419,18:40:00,1.3981710562,1.1520159998,1.3130135937,7995316.42,149501440.1
2023-08-11,00:10:00,0.9606798103,23:32:00,1.2134686436,0.9640821976,1.1517725813,6266901.0,131142328.16
2023-08-10,00:01:00,0.7662362804,19:34:00,0.9879632492,0.7664716981,0.9649472681,7575713.13,109870154.36
2023-08-09,20:21:00,0.7413050029,10:19:00,0.8230395104,0.7447619929,0.7665719421,2942914.99,87282881.03
2023-08-08,00:16:00,0.6014508391,21:37:00,0.759022662,0.6015707251,0.7451916134,3807638.6,84848488.92
2023-08-07,00:41:00,0.5811281406,11:30:00,0.6134067002,0.5814983404,0.6012286311,1693604.61,68456676.01
2023-08-06,16:58:00,0.5763515174,19:24:00,0.5845822647,0.5785693143,0.5814072892,1232464.96,66199792.18
2023-08-05,23:57:00,0.5786821738,03:52:00,0.5867054475,0.5850625081,0.5787342086,1283658.93,65895431.73
2023-08-04,00:59:00,0.578810421,18:11:00,0.5904252962,0.5793913622,0.584743652,1269093.05,66579674.79
2023-08-03,22:24:00,0.5772110033,00:03:00,0.594644945,0.59403184,0.5794125304,1270609.66,65972666.33
2023-08-02,07:32:00,0.573993865,22:54:00,0.5993631391,0.580074857,0.5937638425,1398262.79,67606725.45
2023-08-01,17:40:00,0.5671459867,02:01:00,0.6060456175,0.6054258882,0.579791092,1774922.28,66015769.85
2023-07-31,09:48:00,0.6036454986,14:29:00,0.6186417956,0.6074203059,0.6053325621,1528611.86,68923954.95
2023-07-30,20:27:00,0.6020181801,00:00:00,0.6220318633,0.6220318633,0.6074903644,1269378.47,69169645.13
2023-07-29,07:19:00,0.6120148319,15:12:00,0.6263845812,0.6160436676,0.6221837127,1468473.51,70842648.93
2023-07-28,00:50:00,0.608707169,15:18:00,0.6253322103,0.6122864838,0.6160909503,1664562.73,70148919.06
2023-07-27,07:12:00,0.5856841926,19:34:00,0.6200586631,0.5907554447,0.6122973814,1539632.8,69716978.36
2023-07-26,21:31:00,0.5873753216,06:55:00,0.6008570391,0.5945398458,0.5908123709,1318833.08,67270667.04
2023-07-25,00:00:00,0.5806707862,22:04:00,0.5948796335,0.5806707862,0.5944402357,1236308.38,67683740.47
2023-07-24,18:05:00,0.5766639677,08:38:00,0.6135691112,0.6066242337,0.5809383262,1467975.81,66146395.44
2023-07-23,16:54:00,0.5962051477,06:51:00,0.6246976745,0.6192079448,0.6066857801,1715122.08,69078034.11
2023-07-22,23:41:00,0.6185607759,00:22:00,0.6539404649,0.6440128255,0.6193043142,1782165.55,70514796.87
2023-07-21,00:47:00,0.5624255516,21:16:00,0.6546588852,0.5629399173,0.6445093483,2043245.38,73384674.92
2023-07-20,00:02:00,0.5427994979,23:56:00,0.5630129678,0.5430670786,0.5629536626,1387231.71,64098638.18
2023-07-19,16:56:00,0.5360184934,03:50:00,0.559184311,0.5585931767,0.5430626406,1487084.79,61833820.48
2023-07-18,00:03:00,0.5421499928,23:04:00,0.5586584494,0.5427843671,0.5562116136,1225195.53,63330979.69
2023-07-17,10:42:00,0.5202093527,23:33:00,0.5434141502,0.5227157789,0.5427955633,906854.01,61803410.72
2023-07-16,19:47:00,0.5198747547,01:25:00,0.5488624221,0.5480909622,0.5225178767,896465.13,59494566.87
2023-07-15,19:47:00,0.5466682002,11:14:00,0.5628899815,0.5539491015,0.5481516138,951950.21,62413257.61
2023-07-14,20:43:00,0.5497669155,07:15:00,0.5702137475,0.5545063326,0.5539975645,1559199.07,63078885.17
2023-07-13,06:49:00,0.5328399031,16:59:00,0.5571410882,0.535444464,0.5553104799,1561863.95,63228375.43
2023-07-12,23:59:00,0.5352648251,01:19:00,0.5569224697,0.5560610438,0.5352648251,1338110.73,60945951.04
2023-07-11,21:58:00,0.5505213998,08:37:00,0.5866451461,0.584119408,0.5560578456,1518162.75,63313471.47
2023-07-10,23:45:00,0.5845887022,21:34:00,0.5986554952,0.5975803864,0.584990373,1348780.26,66607766.77
2023-07-09,00:24:00,0.5747619216,23:59:00,0.5978477984,0.5754950982,0.5978477984,1243715.11,68071729.99
2023-07-08,21:45:00,0.5740483055,03:22:00,0.5921022372,0.588730829,0.5756283891,1195644.61,65541799.07
2023-07-07,22:25:00,0.5874771398,00:25:00,0.6086521789,0.607701972,0.5889513797,1379205.04,67058772.16
2023-07-06,05:00:00,0.5692796221,20:57:00,0.6121746696,0.5720486026,0.6076900287,1653149.89,69192379.17
2023-07-05,20:21:00,0.5673892504,07:59:00,0.5960031176,0.592431283,0.571766584,1293863.02,65102088.91
2023-07-04,02:52:00,0.5771585644,03:12:00,0.6029098716,0.5926085295,0.5923116242,1750147.07,67441373.98
2023-07-03,01:02:00,0.5749403372,14:40:00,0.6105250194,0.5754719598,0.5928882853,1195429.95,67507033.37
2023-07-02,05:14:00,0.5560541727,22:29:00,0.5759427428,0.5615807965,0.5753566897,1329672.33,65510863.03
2023-07-01,12:08:00,0.5395116529,23:48:00,0.5633663166,0.5599513501,0.5615293185,1641979.08,63936460.51
2023-06-30,01:44:00,0.5002138534,21:36:00,0.5741628777,0.5072830542,0.5599658727,2043102.74,63758444.53
2023-06-29,00:00:00,0.4794627548,16:25:00,0.5231356091,0.4794627548,0.5073410124,1755834.43,57766509.31
2023-06-28,22:33:00,0.467495543,00:45:00,0.5907230702,0.5902192261,0.4795133947,1975841.16,54598020.46
2023-06-27,10:18:00,0.5810641109,05:08:00,0.6092259306,0.600475762,0.590545126,1563435.4,67240238.19
2023-06-26,23:56:00,0.5998049957,00:18:00,0.6295808331,0.6251178464,0.6004433379,1434234.89,68367261.51
2023-06-25,22:28:00,0.6237273225,00:17:00,0.6592892026,0.6567361212,0.6249873032,1472307.41,71161869.41
2023-06-24,16:29:00,0.6438020253,06:37:00,0.6637951532,0.6584416256,0.6569360998,1440879.91,74799601.05
2023-06-23,02:55:00,0.6367885418,21:04:00,0.6687673734,0.6420596295,0.6582599099,1654107.07,74950331.79
2023-06-22,23:58:00,0.6419571843,10:43:00,0.6677014655,0.647650954,0.6421747584,1561818.87,73118855.47
2023-06-21,21:48:00,0.6418067701,16:41:00,0.6879315376,0.6493866933,0.6477409319,2391199.73,73752627.24
2023-06-20,15:01:00,0.5982314739,23:51:00,0.6494775567,0.6124673684,0.6494073229,1700389.42,73942364.69
2023-06-19,20:21:00,0.6097931661,05:45:00,0.6328901711,0.6250014688,0.6128613559,1437082.14,69781193.23
2023-06-18,23:47:00,0.6234187416,00:00:00,0.6960362777,0.6960362777,0.6249213096,1606344.71,71154355.28
2023-06-17,01:56:00,0.6246454412,17:25:00,0.7041376612,0.6250929782,0.6958966692,2265489.86,79235702.29
2023-06-16,00:29:00,0.5102291548,20:27:00,0.6377111409,0.5105510211,0.6246958543,2570525.48,71128684.65
2023-06-15,07:46:00,0.4629569988,22:29:00,0.5114635805,0.4684457143,0.5105248231,1859904.36,58129022.14
