date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,17:04:00,4.1441749074,11:46:00,4.311729072,4.2453956663,4.2728146773,10455527.89,171040138.86
2023-08-30,16:54:00,4.1822051398,11:00:00,4.3080393866,4.2215736734,4.2458027701,7999979.41,169958856.21
2023-08-29,10:36:00,4.0522736536,14:38:00,4.2414257126,4.1074019775,4.2216366546,12662729.72,168991490.19
2023-08-28,16:52:00,4.0133413195,00:22:00,4.3254459141,4.3047543939,4.107418422,10831910.36,164419351.25
2023-08-27,01:07:00,4.1466716978,23:30:00,4.3083843063,4.1768916774,4.3051069206,6567409.63,172332792.58
2023-08-26,19:05:00,4.1638982265,04:00:00,4.2737853248,4.2557846801,4.1771199631,6272025.21,167209493.62
2023-08-25,05:05:00,4.1381183168,22:11:00,4.262491239,4.2187553889,4.2558893199,10616920.75,170362619.31
2023-08-24,20:58:00,4.1558123153,13:22:00,4.2838323626,4.1762069654,4.2189178201,12149483.2,168882655.65
2023-08-23,22:29:00,4.1421790192,00:00:00,4.2459744429,4.2459744429,4.1760651661,18357831.66,167167270.25
2023-08-22,21:29:00,4.1762988313,09:42:00,4.4141878896,4.2647878064,4.2464875389,15492764.94,169986267.41
2023-08-21,04:17:00,4.1622461482,00:01:00,4.3619242303,4.3617242679,4.2645249511,19249997.12,170708302.35
2023-08-20,21:17:00,4.3426388032,09:15:00,4.515977114,4.4413770104,4.3617967863,14893777.83,174602079.51
2023-08-19,00:03:00,4.1365482706,16:40:00,4.5427803985,4.139647838,4.4414718996,26582250.73,177791462.5
2023-08-18,12:09:00,4.046368014,06:46:00,4.4192338534,4.2359336762,4.1394866633,28316071.84,165703038.2
2023-08-17,21:47:00,3.9447949216,23:17:00,4.3464640855,4.2080118326,4.2345350496,16388501.33,169507811.03
2023-08-16,21:16:00,4.0668318409,07:46:00,4.2608514398,4.1936985266,4.208101964,11902881.79,168449698.53
2023-08-15,19:17:00,4.1102268452,00:00:00,4.3721221392,4.3721221392,4.1932436567,13238820.74,167854922.69
2023-08-14,00:26:00,4.3579208525,03:12:00,4.56942774,4.3865707567,4.3711053609,17707507.09,174974700.37
2023-08-13,00:03:00,4.2310180289,14:29:00,4.6107770284,4.2326962166,4.3868703216,24311753.53,175605769.41
2023-08-12,04:45:00,4.0646587477,23:28:00,4.2500538663,4.1723865706,4.2329258641,12932506.69,169443395.58
2023-08-11,23:40:00,4.1561371863,02:04:00,4.5481065965,4.4702531017,4.1729744453,11032153.61,167043549.16
2023-08-10,09:35:00,4.3223562862,22:33:00,4.4934048959,4.4179820726,4.4699066945,6836628.11,178929703.13
2023-08-09,03:44:00,4.3509147616,20:59:00,4.456576381,4.3536997463,4.4174703334,7197186.53,176830683.35
2023-08-08,08:39:00,4.2221164117,21:26:00,4.3808799026,4.3023828964,4.353437395,8052697.87,174267454.31
2023-08-07,00:03:00,4.1846822372,12:14:00,4.371871112,4.1867919692,4.3022755468,12170736.68,172219453.1
2023-08-06,01:59:00,4.0945783694,22:39:00,4.1942200144,4.1223944429,4.18745132,5630956.2,167623056.31
2023-08-05,00:30:00,3.9492623399,18:13:00,4.1383278812,3.9836424251,4.1220326857,7778991.09,165004358.07
2023-08-04,20:52:00,3.9359842193,00:01:00,4.193735539,4.1921922475,3.9837855009,12125995.73,159470343.73
2023-08-03,23:53:00,4.1840530423,01:57:00,4.5186929548,4.4336938,4.1925993634,8370408.17,167829131.72
2023-08-02,16:58:00,4.3938002601,01:50:00,4.6529618255,4.4787450842,4.434207986,10306084.34,177500689.11
2023-08-01,02:30:00,4.2983835312,15:46:00,4.5117282721,4.4128147932,4.4802011949,11150469.39,179341790.45
2023-07-31,00:21:00,4.3114266424,12:11:00,4.4354354323,4.3504935581,4.4125012816,7107350.3,176631772.95
2023-07-30,20:04:00,4.2374279751,09:03:00,4.4070300827,4.3427359608,4.3504435758,8084731.41,174147612.17
2023-07-29,00:08:00,4.2424857064,06:50:00,4.3636242229,4.2445174101,4.3425621749,6806233.73,173832120.86
