date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,17:23:00,4.0631153991,07:40:00,4.2724094059,4.2571276769,4.1343380342,4214346.67,270609726.55
2023-08-30,18:31:00,4.2297277826,00:14:00,4.4142981148,4.4006616002,4.2571127802,3486900.24,278645847.49
2023-08-29,10:39:00,4.1207729208,17:41:00,4.4558166819,4.1932795991,4.4004181062,6580269.23,288025780.81
2023-08-28,07:45:00,4.1365768359,15:43:00,4.2943925326,4.2036428434,4.1933853365,4232557.81,274474619.6
2023-08-27,03:00:00,4.1478701335,15:13:00,4.2370170687,4.1911376615,4.2032231855,12524630.65,275118547.98
2023-08-26,00:22:00,4.1661637828,22:48:00,4.2530762618,4.1741174863,4.1900563927,19135982.69,274256726.29
2023-08-25,05:05:00,4.0018780099,18:58:00,4.1928435491,4.1687123649,4.1741444851,22890703.54,273215225.35
2023-08-24,23:11:00,4.103680553,00:11:00,4.436447292,4.4250295221,4.168524972,24289440.07,272847404.7
2023-08-23,13:19:00,4.3172686935,17:13:00,4.4971736029,4.3823203046,4.4251816497,23219614.46,289646658.37
2023-08-22,21:31:00,4.2157033547,07:46:00,4.4385851527,4.3944008633,4.3821928572,12521303.83,286832861.99
2023-08-21,16:17:00,4.3357042731,06:29:00,4.5476026203,4.4965847621,4.3947783244,6152561.22,287656633.48
2023-08-20,15:11:00,4.4043766698,04:22:00,4.6186160078,4.4456288356,4.4963236751,7170009.96,294303201.66
2023-08-19,04:13:00,4.2611265118,16:07:00,4.4532108728,4.3145116202,4.4451833573,10818730.58,290955853.83
2023-08-18,21:01:00,4.2769179613,04:02:00,4.9117758879,4.7013569561,4.3146065708,20211631.42,282409056.69
2023-08-17,21:46:00,4.3283220799,12:49:00,5.1653413177,4.8721372115,4.6999789577,12360712.8,307633292.2
2023-08-16,21:58:00,4.777778437,03:07:00,5.2135277867,5.1877647764,4.8721242903,8173078.31,318900924.65
2023-08-15,19:11:00,5.0341124287,00:08:00,5.4050987903,5.4022287305,5.1878280222,6833788.93,339565055.12
2023-08-14,00:25:00,5.1592572448,15:32:00,5.4276764543,5.2298921663,5.4026458145,7578271.36,353625778.64
2023-08-13,01:29:00,5.1772271433,21:14:00,5.3454287213,5.2016740641,5.2295770873,9506389.05,342297706.15
2023-08-12,00:08:00,4.9264706173,23:14:00,5.2027608551,4.9364372948,5.2016397706,6988416.92,340469091.86
2023-08-11,06:21:00,4.8886241898,01:01:00,5.0239592287,5.013634994,4.9364391929,8931334.11,323110604.18
2023-08-10,23:17:00,5.0068583492,01:50:00,5.3166310661,5.2959546322,5.0135621507,6099194.38,328158624.53
2023-08-09,06:30:00,5.1999393149,12:50:00,5.3369079756,5.2805152248,5.2992761059,3776498.64,346859798.6
2023-08-08,00:39:00,5.1854030326,19:13:00,5.3695047114,5.1908725975,5.2804511183,3826047.77,345627624.39
2023-08-07,16:49:00,5.123065809,10:50:00,5.2914414883,5.2240794611,5.1903549696,4196576.02,339730454.4
2023-08-06,20:47:00,5.2099763828,02:54:00,5.4006778226,5.2752764619,5.2234062965,4527198.18,341893802.07
2023-08-05,02:07:00,5.1742762657,20:49:00,5.2920586718,5.2072055997,5.2754472286,2909445.9,345300098.86
2023-08-04,20:52:00,5.1753642185,14:58:00,5.3510211787,5.2638307803,5.2071733384,17574280.97,340831287.02
2023-08-03,22:34:00,5.2437953614,06:26:00,5.3985753583,5.3429826249,5.2640282635,21245736.12,344552679.81
2023-08-02,16:58:00,5.3033378984,01:36:00,5.5911524526,5.5645402515,5.3513841587,18007024.05,350270488.73
2023-08-01,02:13:00,5.3076956221,23:59:00,5.5644199565,5.4511099475,5.5644199565,9803615.5,364214573.26
2023-07-31,20:07:00,5.3894591407,02:39:00,5.5653361289,5.4957757138,5.4508976859,8765978.52,356784065.55
2023-07-30,20:04:00,5.3741050653,01:25:00,5.6349334508,5.6023698223,5.4973296525,9707003.68,359823232.09
2023-07-29,20:20:00,5.5664514264,02:07:00,5.6824109462,5.6350317237,5.6023468275,8674390.3,366697045.69
2023-07-28,00:13:00,5.6179324977,15:05:00,5.7397253242,5.6355922317,5.6355118037,8873858.27,368867832.17
2023-07-27,18:43:00,5.5958679854,08:53:00,5.7847461591,5.635865347,5.6355862997,9600819.02,368872708.25
2023-07-26,02:19:00,5.5005738559,20:55:00,5.7178854926,5.6011127834,5.6358478558,9401158.11,368889828.19
2023-07-25,15:20:00,5.5680611715,09:43:00,5.6775485979,5.6715100902,5.5996039633,10238465.77,186997100.08
2023-07-24,18:27:00,5.6295557776,00:45:00,6.1585890856,6.1505898544,5.6709647224,13401470.17,189380171.29
2023-07-23,00:00:00,5.8966763099,18:55:00,6.2391542324,5.8966763099,6.1514607604,11151096.6,205426192.81
2023-07-22,23:34:00,5.8561583025,08:46:00,6.0321404708,5.8858279824,5.8957458353,9192740.29,196886669.35
2023-07-21,10:03:00,5.8636414389,03:17:00,6.0959296565,5.9335679053,5.8849433692,12219325.67,196525924.22
2023-07-20,00:34:00,5.6550012195,11:22:00,6.114536849,5.6746077908,5.934242395,15833558.23,198172250.45
2023-07-19,09:04:00,5.6547833969,06:00:00,5.7990137566,5.683199667,5.6744849147,7256183.74,189497727.06
2023-07-18,12:20:00,5.5704507564,02:06:00,5.7634205007,5.7223120964,5.6831782751,7810103.69,189788039.23
2023-07-17,18:52:00,5.5505499141,05:19:00,5.7615626026,5.6711466523,5.7209865132,6981182.49,191050634.04
2023-07-16,23:38:00,5.65791911,00:13:00,5.9972200615,5.978379778,5.6718518809,4473242.0,189409797.68
2023-07-15,05:36:00,5.7907680169,23:58:00,5.9790776406,5.8475092999,5.9780525249,3860588.27,199635276.64
2023-07-14,19:07:00,5.7015101474,16:28:00,6.2225651528,6.0972993534,5.8477894087,10574240.02,195285178.82
