date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,215.4484313552,11:46:00,225.5888760801,223.8185689883,216.5977861687,428616638.93,33323655435.27
2023-08-30,16:52:00,221.9781441511,00:04:00,227.0490083018,226.8701484943,223.7994308308,359750612.0,34431659640.73
2023-08-29,10:40:00,217.0478708672,14:46:00,233.060015308,218.7215071395,226.8628766219,593296660.7,34903000575.6
2023-08-28,08:19:00,215.8501962872,23:28:00,218.970014328,218.3582483497,218.7185655726,332786869.36,33650022331.15
2023-08-27,04:31:00,216.0804044823,17:01:00,219.5391816109,216.3699467882,218.3580031903,325410552.94,33594578271.57
2023-08-26,23:46:00,216.2140406404,00:28:00,218.7864333538,218.3317976761,216.3642380953,273738258.4,33287858207.8
2023-08-25,05:08:00,214.2651614151,00:06:00,219.2549973138,218.6810921047,218.3310621824,423891091.63,33590478887.31
2023-08-24,20:58:00,215.8997365458,11:22:00,220.3855193478,216.4448390802,218.6463910051,394620698.33,33639019170.31
2023-08-23,00:00:00,210.8186910362,19:50:00,218.3167066993,210.8186910362,216.3992966395,566160608.17,33293304052.03
2023-08-22,16:28:00,204.3991384887,23:17:00,211.8742526067,210.579950858,210.8343571151,637832641.42,32437179621.73
2023-08-21,15:31:00,207.5687710083,01:09:00,216.7411792759,216.6307915177,210.6389532912,582113966.52,32407148960.35
2023-08-20,15:11:00,215.6808645451,20:47:00,217.8824235409,217.0158488689,216.6358017322,297744716.62,33329801761.41
2023-08-19,07:20:00,214.3288438049,17:00:00,218.9975908586,216.1444827825,216.9994472153,477267427.54,33385777381.9
2023-08-18,03:22:00,214.0222491255,00:10:00,220.1370055609,218.5657298052,216.112548643,567051050.26,33249357708.94
2023-08-17,21:52:00,214.5474335482,00:16:00,232.1050586845,231.8725797466,218.5358420485,786294217.62,33622225777.67
2023-08-16,21:22:00,231.2051647657,00:22:00,237.0142223082,236.6897038038,231.8687499668,461572144.2,35673568328.27
2023-08-15,19:16:00,235.3605318349,01:13:00,240.4103015204,240.3504669423,236.6795738891,482870297.16,36411284995.21
2023-08-14,02:22:00,239.7473669671,05:01:00,241.0249274095,240.0412745529,240.3392438653,381157536.01,36976850145.7
2023-08-13,22:43:00,239.9025931807,20:05:00,241.6295887235,240.2696905138,240.0333445417,296580782.84,36929825440.41
2023-08-12,00:13:00,239.4037738667,13:34:00,241.0026122047,239.7035625022,240.2736169342,284512148.64,36966826102.04
2023-08-11,16:14:00,238.3598000052,01:34:00,241.9139173252,241.2607256209,239.7068963883,386856576.31,36879667898.93
2023-08-10,19:34:00,240.3945929471,02:18:00,243.9260949128,243.8855401305,241.2624696955,365863689.57,37119032079.6
2023-08-09,20:08:00,242.7664985138,00:39:00,245.3402726377,245.1363071007,243.8936438522,399576464.1,37523886294.12
2023-08-08,02:04:00,241.3301998178,18:28:00,247.6473723774,241.7918765464,245.1498988782,504987527.74,37717205287.72
2023-08-07,16:21:00,239.9353712231,01:34:00,244.3242472536,242.7916845607,241.7974947464,425652308.85,37201467454.42
2023-08-06,23:55:00,242.6147311919,09:06:00,245.1790230293,242.9603036639,242.7985949794,417704184.9,37355531392.33
2023-08-05,02:04:00,240.0903917133,21:35:00,243.0277209686,241.4896647302,242.9593467087,300760368.97,37380375232.49
2023-08-04,20:52:00,240.4522857307,17:05:00,243.1554748085,241.0428560037,241.4760117512,370373498.99,37152196085.96
2023-08-03,08:28:00,238.5096411258,15:02:00,241.5832532581,240.5099863245,241.0615231873,400525695.95,37088465667.74
2023-08-02,16:58:00,236.8917735866,00:28:00,248.5115564717,247.4903170343,240.4946411686,650256384.94,37001289151.88
2023-08-01,02:13:00,238.5302373811,23:59:00,247.5050201474,241.1280474149,247.5050201474,830645013.36,38079910676.88
2023-07-31,21:04:00,240.7644436815,02:37:00,244.2025723965,242.5195979582,241.120655869,1092564921.58,37097683428.26
2023-07-30,20:13:00,240.9251815547,18:01:00,243.7857200076,242.5822129189,242.5259857542,425584373.39,37313939994.05
2023-07-29,09:52:00,241.3231329761,23:46:00,242.7262670133,241.9713447481,242.5763643068,317500344.01,37321723681.52
2023-07-28,05:58:00,239.9878679973,20:40:00,242.796997595,240.5051330378,241.9770424637,388148321.64,37229548135.81
2023-07-27,00:50:00,238.6384485845,05:17:00,243.1635161872,238.9601192446,240.4987870349,433186880.47,37002146211.44
2023-07-26,01:37:00,236.6411336443,21:22:00,240.2377136488,237.8190827684,238.9623644386,417581395.2,36765797234.63
2023-07-25,14:52:00,236.9994122967,03:07:00,239.6372021638,238.9640995501,237.8085628438,366519529.15,36588314323.11
2023-07-24,15:16:00,236.2923959589,00:58:00,242.8918710092,242.4494288498,238.9462168368,451906471.96,36763385107.77
2023-07-23,00:13:00,240.7612194629,18:55:00,243.9764850145,241.0546507269,242.4559593943,279600847.41,37303420951.91
2023-07-22,23:43:00,240.5126125362,03:22:00,244.8587282186,243.8090835592,241.0307444208,310128851.49,37076059806.11
2023-07-21,00:40:00,242.3674804783,12:49:00,245.1633402102,242.7542948254,243.788993041,413015397.71,37508583495.91
2023-07-20,15:03:00,240.3877448873,21:46:00,243.1425981377,241.138888196,242.7331435117,485038742.74,37346172591.35
2023-07-19,00:10:00,239.9935912387,05:34:00,243.9277082509,240.2741775105,241.1608057644,499664149.06,37104300789.72
2023-07-18,17:07:00,238.7042272648,02:08:00,246.5308562662,244.3345755376,240.2649336384,751858394.14,37444894293.48
2023-07-17,10:43:00,240.5975967551,22:32:00,244.6820344164,242.6580896078,244.3530023238,671028354.44,38082054340.4
2023-07-16,23:58:00,242.5801455747,00:25:00,251.8824181632,251.098236458,242.6568286756,441487282.94,37817749646.0
2023-07-15,00:10:00,247.5080680117,10:22:00,252.5372672708,248.1755271503,251.0997042754,422767367.54,39133595749.35
2023-07-14,20:35:00,244.2756694943,04:06:00,261.1026000435,256.4642150685,248.1916152404,799468587.63,38680409333.98
2023-07-13,04:14:00,243.0497316464,18:16:00,257.2656099145,244.0022336355,256.489694557,761150981.84,39973699058.51
2023-07-12,19:37:00,242.8033662694,03:07:00,250.3406494702,248.5380798528,244.0198881383,505389149.87,38030335059.64
2023-07-11,00:37:00,244.9390052581,22:55:00,249.205393445,245.8962671245,248.5383349731,536228376.78,38734572405.4
2023-07-10,08:22:00,232.0075661217,20:07:00,246.299694268,234.2329587607,245.8742665927,834091612.56,38319420238.35
2023-07-09,14:19:00,233.4760410273,01:11:00,237.0195156427,236.294553633,234.2283628487,289327973.09,36504451694.06
2023-07-08,19:34:00,234.6371446645,08:40:00,237.4119143161,235.6102578439,236.2873817581,319300745.94,36825384935.98
2023-07-07,00:04:00,231.6457438946,14:57:00,236.0791153428,232.3334248625,235.6211530833,418416863.58,36721589170.81
2023-07-06,23:40:00,232.1718143167,09:22:00,244.1026754597,239.0685333665,232.3194308876,536134671.25,36207053766.09
2023-07-05,15:41:00,237.1201242786,05:17:00,243.8611121613,242.499487588,239.0810793664,455501208.51,37260898041.85
2023-07-04,19:16:00,241.2285324706,00:46:00,246.8387875821,246.3452877907,242.4929159554,439591634.5,37792676975.84
2023-07-03,23:40:00,245.8848220706,10:04:00,251.3798550402,246.2546320346,246.3822233125,669962148.12,38398871172.76
2023-07-02,04:04:00,243.2412782735,00:52:00,248.0563941213,247.7860220416,246.2579118986,519491310.81,38379537599.78
2023-07-01,00:00:00,240.3869056243,21:31:00,248.4702577285,240.3869056243,247.7594298252,603755323.06,38613586662.36
