date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,17:22:00,204.2793263297,08:28:00,222.158152043,215.9506378612,207.4877812778,358274719.85,4044316819.11
2023-08-30,18:32:00,212.3828758294,00:13:00,225.1224913361,224.3274290752,215.9364901494,281864292.21,4208805983.08
2023-08-29,10:40:00,189.1097546834,22:16:00,227.0346545942,190.4162764558,224.1767487648,473894980.48,4369228652.21
2023-08-28,22:11:00,188.4721110403,00:00:00,198.0061448154,198.0061448154,190.4127098152,154008889.76,3710942590.88
2023-08-27,00:05:00,190.0707931339,21:22:00,200.0319544274,190.1486275832,198.010838013,133931468.49,3858864912.83
2023-08-26,12:47:00,189.1286749619,00:00:00,192.0515937063,192.0515937063,190.1511033117,89396995.76,3705499507.57
2023-08-25,15:03:00,188.9811354761,00:00:00,194.4436116208,194.4436116208,192.0520359586,139896933.21,3742379987.33
2023-08-24,15:32:00,189.0657182834,23:49:00,194.5178980727,193.6721381888,194.4614658425,137341529.27,3789148508.07
2023-08-23,00:04:00,184.713643404,19:50:00,195.9238584102,184.7432269463,193.6615361523,173286458.5,3773381255.78
2023-08-22,21:31:00,180.6799655571,14:07:00,187.0749130384,186.0550306128,184.7385937704,150252024.61,3599346309.42
2023-08-21,15:53:00,183.7064582599,05:35:00,193.612597316,188.9027403785,186.0773909355,181788057.62,3625241139.07
2023-08-20,01:21:00,186.9121321634,20:46:00,190.4613438431,186.9673805749,188.9172865859,147977613.66,3680403925.96
2023-08-19,20:48:00,185.3497344132,09:49:00,191.255524662,187.2941485374,186.9671412073,186899193.12,3642237933.73
2023-08-18,03:21:00,179.5563974688,18:52:00,189.0137938719,184.4202286486,187.2844591848,270514216.82,3648256784.87
2023-08-17,21:46:00,173.4286537754,03:40:00,210.6770981923,207.9464431643,184.4539836354,397195864.36,3592953784.82
2023-08-16,21:16:00,204.4394734942,00:34:00,230.6639663593,228.5558441669,207.9508732372,310736141.32,4050471008.0
2023-08-15,23:37:00,228.4911747718,18:01:00,236.5824705213,230.1249309238,228.5477198971,311130308.3,4451492504.76
2023-08-14,02:22:00,226.2912756332,16:54:00,230.7290164041,228.3441458542,230.1299070561,146707563.2,4482099245.17
2023-08-13,05:40:00,226.1516715578,19:46:00,230.7672663718,228.5784599239,228.3480621537,130752323.96,4447189830.13
2023-08-12,18:18:00,227.7435834446,00:58:00,230.5686099836,228.9954771765,228.5760452613,111690004.86,4451417050.85
2023-08-11,19:25:00,227.5505624795,01:01:00,232.6493850216,232.0034821413,228.989098419,182824624.17,4459252125.25
2023-08-10,17:29:00,230.9457128437,01:22:00,239.7433991909,238.3329430002,231.997600984,267558366.48,4517628384.6
2023-08-09,21:18:00,234.9166087941,00:00:00,239.4428490148,239.4428490148,238.3264374721,578838605.39,4640670047.36
2023-08-08,07:33:00,235.099731178,13:19:00,248.2940305134,237.729094128,239.6984423487,452286435.66,4667165374.75
2023-08-07,00:59:00,219.2731776735,12:44:00,242.2850771979,222.5611426491,237.7392482023,716073058.67,4628824766.87
2023-08-06,15:58:00,221.9619041911,08:26:00,227.8947594778,226.7104564694,222.563488312,136600536.92,4333112201.32
2023-08-05,13:56:00,223.5219206084,00:13:00,228.038699528,227.1727656684,226.7116005879,155052134.86,4413676701.2
2023-08-04,20:52:00,222.1117590066,06:26:00,229.1793485922,225.392339035,227.184806411,218453672.56,4422674781.85
2023-08-03,22:32:00,224.8449950267,03:02:00,231.1354339291,228.9787925536,225.4103276202,225984833.03,4387936054.48
2023-08-02,17:57:00,226.369783082,00:31:00,245.9175213506,244.7546015707,228.9478161062,310823026.91,4456599454.58
2023-08-01,16:53:00,239.8754352742,00:58:00,248.4291319544,248.1859633262,244.7663145811,255860409.88,4764328889.85
2023-07-31,15:47:00,247.8981653464,00:59:00,258.3025546407,252.8369409904,248.1854557526,343798442.68,4830673954.98
2023-07-30,00:36:00,241.3307962486,15:44:00,254.7664479131,242.0558382711,252.8351299229,399871335.82,4920958577.65
2023-07-29,09:07:00,239.2466684541,23:29:00,242.2247729565,241.7145570071,242.0587957029,134092120.28,4710964923.52
2023-07-28,17:46:00,241.7198002608,00:51:00,245.0810811071,244.7002675415,241.7776171923,133161572.0,4705273497.05
2023-07-27,00:11:00,241.3107531935,05:04:00,249.2808428745,241.8681694029,244.6596358908,223970540.0,4761152970.58
2023-07-26,01:37:00,234.3982687621,21:06:00,243.7961402547,237.5189427959,241.8631107639,241690653.97,4706488342.94
2023-07-25,08:16:00,233.0025376005,00:00:00,238.617760116,238.617760116,237.5208931379,201128777.57,4621800299.13
2023-07-24,20:50:00,236.5799884779,00:43:00,252.7045310874,249.6449362535,238.6156090177,270198821.84,4642900496.16
2023-07-23,00:53:00,238.8908304954,11:43:00,254.0852182842,239.2804989359,249.6577517975,294423443.57,4857537824.46
2023-07-22,23:35:00,238.6725204823,01:00:00,247.5905933865,246.2220696312,239.2456804975,162239993.33,4654704148.34
2023-07-21,00:40:00,242.1670402342,18:43:00,247.9808660593,244.0611537341,246.2205656083,193465961.46,4790211870.64
2023-07-20,20:49:00,241.1842539067,07:04:00,247.3353880215,244.3542863136,244.0637976938,310023091.37,4748027798.13
2023-07-19,21:22:00,241.8146181073,01:52:00,250.9692579335,244.3232120749,244.3693446312,303356781.07,4753750461.9
2023-07-18,12:34:00,232.7616192802,23:10:00,247.2397906526,242.3657284465,244.3762756952,409074430.75,4753669936.25
2023-07-17,18:35:00,236.7175124091,01:56:00,254.0129858279,249.9383502,242.3697018038,353367690.35,4714405780.7
2023-07-16,23:58:00,249.8752287353,01:36:00,260.3437930116,253.381882989,249.9212378716,379661094.42,4861097723.25
2023-07-15,13:49:00,248.2893837646,00:00:00,264.3602860287,264.3602860287,253.3329133796,365742268.04,4927234915.39
2023-07-14,19:07:00,257.5530873977,05:37:00,277.3254701097,274.2887635207,264.395498146,579193830.01,5142165249.52
2023-07-13,21:26:00,270.3282689092,07:14:00,287.4993356686,282.4942744084,274.3050189106,872446208.46,5334673721.34
2023-07-12,00:34:00,273.2661119784,12:34:00,289.4921193017,274.0299881489,282.5011532016,644274213.81,5493837004.59
2023-07-11,16:25:00,271.4412144245,07:12:00,276.8586500228,274.5970348716,274.0305505671,334511105.87,5328798086.33
2023-07-10,00:19:00,261.5691553163,20:07:00,286.0441420726,265.5678322226,274.5855244628,756800670.15,5339361859.49
2023-07-09,22:26:00,263.996209198,00:46:00,277.9119802484,271.9263408495,265.5489811045,400133279.01,5163385838.72
2023-07-08,18:11:00,262.9441658242,01:34:00,282.1136822553,278.3890898902,271.9185016972,470898804.95,5286991304.56
2023-07-07,00:04:00,274.8888446657,14:04:00,287.8769179087,277.3536529875,278.4218261493,737064204.94,5413212874.64
2023-07-06,00:35:00,268.823269451,09:20:00,300.8527006671,271.8865774104,277.298747698,1458427854.31,5391153863.77
2023-07-05,15:34:00,250.2268964253,02:50:00,277.7300235087,272.4911501966,271.9447114496,968548029.44,5286737763.63
2023-07-04,23:56:00,272.1070355844,00:02:00,291.1716182073,289.1444488268,272.4275846747,576532823.16,5295910517.81
2023-07-03,21:53:00,281.6044013624,02:31:00,300.9984276105,298.8041614004,288.7218389343,779631399.33,5612418714.26
2023-07-02,04:43:00,270.1523667033,10:28:00,304.4624259874,290.8076483724,298.8141191844,1444350171.91,5808380597.71
