date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:49:00,31.1920089615,11:46:00,33.1577803032,32.6321658023,31.2289509639,25036150.71,601659362.79
2023-08-30,17:09:00,32.3723326419,00:01:00,33.8771839123,33.7950297267,32.6291246686,25312400.86,628635216.7
2023-08-29,09:08:00,30.6462222333,17:37:00,34.5274753936,31.2698219278,33.7807758095,43793545.32,650823015.85
2023-08-28,10:25:00,30.1708447892,13:23:00,31.7190905624,31.0865262372,31.2592648075,32792631.54,602243391.63
2023-08-27,01:45:00,29.8195063713,13:14:00,31.6947885066,29.9219886364,31.0900420859,35531314.71,598983133.7
2023-08-26,21:14:00,29.6819748213,00:31:00,30.1985333568,30.0925097751,29.9241902938,13893968.97,576521743.72
2023-08-25,15:04:00,29.9022600439,00:06:00,30.9708675343,30.9515979825,30.0712210454,16935868.42,579354449.45
2023-08-24,17:40:00,30.3746309768,00:09:00,31.138919052,31.0881420032,30.9555830667,15325447.36,596392635.94
2023-08-23,13:17:00,30.2773316729,20:28:00,31.3516473302,30.6497057144,31.0850164616,19283433.3,598886309.64
2023-08-22,18:11:00,30.0723465546,00:04:00,31.1449678799,31.1089509275,30.6517508703,21951698.45,590538981.55
2023-08-21,16:18:00,30.6338184939,12:25:00,31.4070550882,30.769187261,31.1092197898,27931455.89,599352612.82
2023-08-20,15:11:00,30.3852066867,00:04:00,31.2103262983,31.1865307997,30.7695111877,20621196.92,592807760.85
2023-08-19,00:25:00,29.1733060012,10:01:00,32.4609484295,29.1851025875,31.1853409813,63522939.7,600819169.53
2023-08-18,03:15:00,28.2269593549,08:12:00,29.4322120475,28.422206213,29.1830182464,30658628.5,562242266.25
2023-08-17,21:46:00,27.1254534383,10:09:00,31.6119941249,31.1884151235,28.4121714752,41287261.62,547391073.28
2023-08-16,21:16:00,30.6417160191,00:22:00,34.5773132715,34.5628176016,31.1883582033,32085136.09,600877299.56
2023-08-15,19:43:00,34.1124572374,08:47:00,35.8502146044,35.7787077534,34.5599225566,32480137.36,665834116.8
2023-08-14,02:24:00,35.493104416,16:13:00,35.9355347479,35.6677518805,35.7762865475,33911453.67,689268678.68
2023-08-13,23:13:00,35.605368401,01:19:00,36.1517463784,36.0824588077,35.6685698907,35156724.28,687193401.31
2023-08-12,00:04:00,35.7951821461,00:58:00,36.3625268807,35.8022123954,36.0808965221,39343478.63,695137317.79
2023-08-11,20:07:00,35.544195284,00:34:00,35.9830847315,35.8767002839,35.8022254949,33119147.19,689768420.42
