date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:09:00,25752.9299469294,11:43:00,27456.0790013622,27301.9293168046,25931.4728933574,20181001451.19,504957555550.64
2023-08-30,15:04:00,27069.2074245836,00:21:00,27760.1593966037,27726.0840340273,27297.2653483206,16343655235.34,531528938704.34
2023-08-29,10:39:00,25912.6289086749,16:28:00,28089.3380271543,26102.4858320026,27727.3930090424,29368391711.99,539882481562.26
2023-08-28,07:46:00,25880.6002488905,12:29:00,26198.5790644484,26089.6149228858,26106.1500439649,11002805166.45,508288516574.2
2023-08-27,01:43:00,25965.0975389949,17:02:00,26165.3724382761,26008.2418008294,26089.6934716635,6913768611.22,507949530130.7
2023-08-26,12:46:00,25983.8782739266,02:17:00,26107.3842905801,26047.2352396372,26008.462659668,6034817316.31,506348824288.34
2023-08-25,14:57:00,25786.8124616266,14:17:00,26248.1034276033,26163.6800536736,26047.6688510481,12406045117.51,507090156466.72
2023-08-24,17:39:00,25914.9255589463,09:10:00,26554.9098173772,26431.5198924678,26162.3724949505,12871532023.01,509301597240.58
2023-08-23,13:13:00,25804.9981865296,19:49:00,26786.8976054909,26040.473651602,26431.6399826996,16985265785.29,514519784075.08
2023-08-22,21:27:00,25520.728490709,00:11:00,26135.5082032906,26130.7480160416,26031.6564794482,14503820706.42,506709265107.93
2023-08-21,15:29:00,25846.0879702768,21:36:00,26220.2016841533,26188.6906508187,26124.141253131,13371557892.6,508487129875.96
2023-08-20,15:10:00,26004.3152995916,20:45:00,26260.6809353842,26096.8612255003,26189.5846686604,9036580419.74,509733936200.2
2023-08-19,07:03:00,25802.4078886004,17:00:00,26249.4483843828,26047.8329790106,26096.2045506881,10631443812.07,507889708783.63
2023-08-18,17:08:00,25668.9228168459,00:13:00,26808.1957847269,26636.0784021093,26049.5569008807,24026236529.35,506957746773.53
2023-08-17,21:45:00,25409.1116027686,00:15:00,28745.9465251714,28699.8028396574,26664.5499931202,31120851211.44,518904301900.92
2023-08-16,23:59:00,28701.7795245305,02:06:00,29221.9757429755,29169.0740199163,28701.7795245305,14949271904.13,558522450868.28
2023-08-15,19:12:00,29088.8532768829,15:04:00,29439.1204218858,29408.048589907,29170.3472059942,12640195779.03,567610646871.25
2023-08-14,02:22:00,29124.1055472393,16:52:00,29660.2543392724,29283.262942771,29408.4425504032,14013695304.04,572212182981.53
2023-08-13,22:42:00,29265.8075968834,03:00:00,29441.4333889142,29416.5935992443,29282.9143793982,7329897179.69,569738074810.23
2023-08-12,03:45:00,29357.5879811121,16:35:00,29465.1137837459,29399.7866548487,29415.9645162195,6194358007.75,572302297645.31
2023-08-11,16:45:00,29253.5179877987,14:48:00,29517.7736682695,29424.902574843,29397.7154970071,10195168196.66,571917121193.64
2023-08-10,17:33:00,29354.4464357924,14:02:00,29688.5648164715,29563.9718365603,29429.5924885661,11865344788.64,572509489793.69
2023-08-09,20:06:00,29376.8005464538,13:01:00,30093.4351892124,29766.695595898,29561.4945073243,18379521212.63,575052155346.9
2023-08-08,02:03:00,29113.8144640675,21:22:00,30176.7962374838,29180.0188620852,29765.4926735622,17570561357.26,578990356568.61
2023-08-07,16:18:00,28724.1405310678,21:31:00,29244.2808643985,29038.5128459431,29180.5789215225,13618163710.33,567589047795.07
2023-08-06,16:10:00,28963.8346883068,21:20:00,29160.8215441502,29043.7019801631,29041.8561709403,7269806993.78,564864625278.2
