date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:11:00,0.2525241148,11:49:00,0.2661642334,0.2656759283,0.255373444,203402067.47,8956450722.33
2023-08-30,15:07:00,0.2613966379,00:03:00,0.2728224963,0.272464464,0.2656538315,217687328.68,9315996639.81
2023-08-29,12:23:00,0.2605635092,17:37:00,0.2785740182,0.2674213842,0.2724485124,338279148.45,9554280272.41
2023-08-28,09:53:00,0.2587750393,23:28:00,0.2676064403,0.26345253,0.2674340021,162632681.02,9378438024.52
2023-08-27,01:29:00,0.2603128513,15:12:00,0.2649405545,0.2609551781,0.2634461155,144926712.95,9237933321.71
2023-08-26,09:09:00,0.2584549652,21:59:00,0.2616138483,0.2610751075,0.2609525492,131669883.95,9149480537.23
2023-08-25,20:08:00,0.2597065649,02:05:00,0.2700639214,0.2658840573,0.2610795888,226745371.9,9152956074.04
2023-08-24,15:32:00,0.2625592536,05:35:00,0.2710214707,0.2679734198,0.2658836825,166177312.03,9321383729.59
2023-08-23,00:04:00,0.2582486542,19:50:00,0.2692835406,0.2583713514,0.2679646343,193068300.5,9394344957.13
2023-08-22,21:29:00,0.2523032397,00:51:00,0.2632796304,0.2631457646,0.2583659285,212444186.44,9057214344.51
2023-08-21,15:33:00,0.2616466137,01:32:00,0.2718842078,0.2707044919,0.2631793325,182615914.85,9224910097.01
2023-08-20,08:24:00,0.2653815709,20:12:00,0.2725447125,0.2683857661,0.270709139,147916643.34,9487802090.22
2023-08-19,05:59:00,0.2610201079,15:25:00,0.2694388371,0.2638994193,0.2683782546,144989106.57,9406114216.17
2023-08-18,00:04:00,0.2556052412,13:49:00,0.2667779773,0.2559829773,0.2638917157,268892870.7,9248875773.6
2023-08-17,21:48:00,0.2457951035,06:01:00,0.2778558079,0.2745251118,0.2559577531,352479737.87,8970243441.51
2023-08-16,21:17:00,0.2676497173,00:21:00,0.2826069358,0.2818168496,0.2745319363,246639932.32,9620056178.18
2023-08-15,19:13:00,0.2780446241,01:17:00,0.2906454138,0.290615735,0.2818170079,188931463.69,9874246119.38
2023-08-14,02:22:00,0.2878155536,15:47:00,0.2920738595,0.2895293378,0.2906111681,136047668.3,10182379977.28
2023-08-13,22:44:00,0.2877770271,19:48:00,0.2931970989,0.2918339834,0.2895309679,138807072.56,10144538405.55
2023-08-12,21:54:00,0.2910761569,11:02:00,0.2943289971,0.293448029,0.2918370586,116090862.55,10224640050.01
2023-08-11,21:49:00,0.2925243533,01:03:00,0.2971668624,0.2961465292,0.2934504498,134863796.26,10280009347.59
2023-08-10,23:18:00,0.2960905372,01:06:00,0.3013334719,0.301157681,0.2961297704,193645057.0,10372725361.74
2023-08-09,03:04:00,0.2964892914,23:21:00,0.301882173,0.2977725956,0.3011400368,237656101.01,10548229346.1
2023-08-08,02:04:00,0.2896150942,18:26:00,0.302092225,0.290309041,0.2977446923,325442760.7,10429307187.38
2023-08-07,16:20:00,0.2844063724,03:06:00,0.2951844314,0.2920795645,0.2902964837,261829457.8,10167766316.92
2023-08-06,16:11:00,0.2907982203,06:09:00,0.2953137635,0.2936339531,0.2920819052,162499505.26,10229109437.44
2023-08-05,13:59:00,0.29046636,23:57:00,0.2936645765,0.2933877279,0.2936293056,171376888.2,10282172328.16
2023-08-04,20:56:00,0.290899086,17:03:00,0.2968814705,0.292519175,0.2933876439,209059216.51,10273715716.65
2023-08-03,22:12:00,0.2909194362,02:06:00,0.3010243272,0.2993931512,0.2925759513,308202641.78,10245302587.07
2023-08-02,23:43:00,0.2990127031,00:09:00,0.3112675796,0.3099977839,0.2993885186,225428319.83,10483176769.64
2023-08-01,02:14:00,0.2991271914,23:59:00,0.3099507257,0.3074849579,0.3099507257,255356877.5,10851765904.54
2023-07-31,22:14:00,0.3068947129,01:05:00,0.3177196914,0.3155817604,0.3074884977,193109898.0,10764335265.81
2023-07-30,20:05:00,0.3073787511,05:54:00,0.3178057311,0.3127568524,0.3156331123,184419569.32,11049463778.91
2023-07-29,10:49:00,0.3092650215,20:28:00,0.3142481884,0.3101969334,0.3127648623,150822870.55,10949062409.84
2023-07-28,05:57:00,0.3067446983,14:34:00,0.3126955296,0.3075190708,0.3102012903,146065281.47,10858609343.14
2023-07-27,18:41:00,0.3059859836,05:20:00,0.3130253263,0.3066008339,0.3075254715,168357193.97,10763681305.75
2023-07-26,09:57:00,0.300884726,21:22:00,0.3102999587,0.304005488,0.3066414039,211751642.68,10731528530.28
