date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:10:00,0.0112803673,06:03:00,0.01213372,0.01212022,0.0113959938,2468260.11,88244013.29
2023-08-30,15:11:00,0.0118956781,08:47:00,0.0123771082,0.0122663235,0.01212129,2599648.92,93860289.35
2023-08-29,10:39:00,0.0109895872,18:26:00,0.0123932334,0.0113301042,0.0122657517,3418641.87,94978917.2
2023-08-28,01:16:00,0.0111299942,14:19:00,0.0115364448,0.0112428738,0.0113429802,2456187.04,87833506.69
2023-08-27,14:00:00,0.0111363345,20:38:00,0.0113171753,0.0112958926,0.0112426223,1555805.22,87056392.52
2023-08-26,18:52:00,0.0112797313,03:06:00,0.0115708239,0.0115461923,0.0112967026,1170247.2,87475158.96
2023-08-25,04:53:00,0.0111267507,23:46:00,0.0115610187,0.0114471158,0.0115461892,2096473.84,89407039.42
2023-08-24,20:58:00,0.0113054062,06:52:00,0.0118861444,0.0118344741,0.0114460541,2489587.93,88631650.95
2023-08-23,13:17:00,0.0114054898,17:21:00,0.0120268251,0.0117145496,0.0118344123,2827498.9,91638873.45
2023-08-22,18:14:00,0.0112383877,07:46:00,0.0118672437,0.01180548,0.0117154763,2749064.96,90717901.78
2023-08-21,11:00:00,0.0115594771,01:30:00,0.0119994304,0.0119509108,0.0118080263,2344988.76,91434555.72
2023-08-20,06:24:00,0.0118231475,11:56:00,0.0120333803,0.0118426222,0.0119506913,1927582.06,92539271.49
2023-08-19,07:24:00,0.0116328769,17:06:00,0.0119498743,0.0116713092,0.0118428008,2180324.59,91703829.29
2023-08-18,00:50:00,0.0112652482,08:16:00,0.0117689763,0.0113114857,0.0116634607,4418964.74,90315122.96
2023-08-17,21:46:00,0.0102238487,05:58:00,0.0126464172,0.0124308733,0.0113097269,5297804.37,87576011.77
2023-08-16,22:02:00,0.0120965097,00:00:00,0.01346562,0.01346562,0.0124318603,4903301.18,96265166.92
2023-08-15,19:11:00,0.012941697,02:35:00,0.014416019,0.01440581,0.0134652796,6127100.17,104267370.98
2023-08-14,02:22:00,0.014142262,06:46:00,0.0145192552,0.0143090615,0.0144050897,2703230.15,111544719.11
2023-08-13,00:31:00,0.0141734487,19:50:00,0.014467191,0.0142002328,0.0143090025,2190750.01,110800674.79
2023-08-12,00:25:00,0.0138895976,17:25:00,0.0143394074,0.0139176661,0.0141984196,2352682.01,109944384.7
2023-08-11,17:23:00,0.013837509,01:01:00,0.0141894384,0.0141249275,0.0139179241,2998984.51,107772388.73
2023-08-10,23:59:00,0.0141243668,14:01:00,0.0144137863,0.0144044544,0.0141243668,2651016.67,109370962.66
