date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,5.7987024145,11:49:00,6.0516330129,5.9374912897,5.8754968484,184716326.05,3161604680.54
2023-08-30,15:07:00,5.9129360993,00:04:00,6.1968918842,6.192354411,5.9375873612,145867706.44,3195015583.65
2023-08-29,10:40:00,5.8597853447,14:47:00,6.2892597163,5.978768156,6.1923542327,228799175.5,3332105629.66
2023-08-28,09:23:00,5.8942198385,00:02:00,6.023978969,6.0234336703,5.9788568162,146306006.18,3217222676.14
2023-08-27,03:19:00,5.9645560128,17:04:00,6.0359925886,6.0030018097,6.0235077748,88471317.11,3241249355.66
2023-08-26,17:29:00,5.9660247384,04:59:00,6.0333363447,6.0078417853,6.0028899755,99248480.17,3230154918.47
2023-08-25,14:58:00,5.9323088344,00:03:00,6.0817709132,6.0781706048,6.0074211139,161052214.6,3232593123.9
2023-08-24,20:58:00,6.0168166434,00:12:00,6.3602949538,6.3458424692,6.0778505336,161660398.58,3270491192.58
2023-08-23,00:00:00,6.1085868769,17:18:00,6.4207496718,6.1085868769,6.3456887525,195705370.67,3414614930.25
2023-08-22,21:29:00,5.9583806935,12:46:00,6.2388862914,6.1794560535,6.1082731541,202497001.1,3286861603.72
2023-08-21,15:31:00,6.0877803315,02:18:00,6.2430030047,6.2162601633,6.1790460157,184724505.81,3324944478.47
2023-08-20,06:28:00,6.1293950787,20:47:00,6.2276690076,6.1730634349,6.2160612845,114581310.66,3344862393.55
2023-08-19,20:49:00,6.1332360482,17:01:00,6.2549042571,6.1713577163,6.1727258027,144297323.74,3321543572.06
2023-08-18,17:26:00,6.1008805839,06:43:00,6.2696682478,6.2100717263,6.1708282399,253807909.36,3320522493.54
2023-08-17,21:47:00,5.8945498535,06:02:00,6.8528847138,6.7539222853,6.209252787,430830556.58,3341198741.2
2023-08-16,21:16:00,6.6555124488,00:22:00,7.0577716442,7.0393676489,6.7536791929,269877959.38,3634154574.13
2023-08-15,19:13:00,6.9679701789,01:11:00,7.418262227,7.4145475035,7.0392254345,269056737.33,3787806998.29
2023-08-14,02:23:00,7.3238400407,15:49:00,7.6018994494,7.3689582074,7.4146382442,211644081.76,3989816620.1
2023-08-13,22:59:00,7.3393252224,20:05:00,7.5418008336,7.4398678441,7.3692625969,149615459.95,3965399985.68
2023-08-12,19:59:00,7.3962528326,01:52:00,7.5235744368,7.4852967368,7.4399077319,114131084.87,4003414130.69
