date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,17:22:00,40.8271914164,08:04:00,43.3770722901,42.8728470316,41.1325999945,34223326.38,321405595.65
2023-08-30,16:50:00,42.3444865008,00:16:00,44.1156556607,43.7797285541,42.8727029238,28273584.71,334962364.13
2023-08-29,10:39:00,40.7653571847,17:40:00,44.3422421079,41.972847093,43.7746538082,35651636.88,342006697.36
2023-08-28,09:52:00,41.0899587408,00:02:00,42.1850320516,42.1728989896,41.9725495667,21925101.47,327924990.17
2023-08-27,04:02:00,41.7025432053,15:46:00,42.9648283529,42.1099454992,42.1693293764,17509002.3,329459056.61
2023-08-26,18:50:00,41.8576555925,01:43:00,43.2803132963,42.6539956437,42.1157848151,17547413.38,329017171.35
2023-08-25,10:58:00,41.875414941,00:12:00,43.5651718848,43.4444568354,42.6550756893,27745870.48,333203473.32
2023-08-24,20:59:00,42.495097316,10:43:00,44.9148348607,43.0688155236,43.4475782723,39069754.57,339392439.92
2023-08-23,13:37:00,41.5822681608,20:01:00,43.844787275,42.2689883624,43.0683569378,35868934.62,336429111.1
2023-08-22,18:01:00,40.720203268,09:44:00,45.0045009616,41.6277809425,42.2687586681,68588114.52,330173299.21
2023-08-21,17:03:00,40.5456338996,05:37:00,42.6054235381,42.3722529353,41.6285642451,32218688.07,325148665.22
2023-08-20,06:57:00,41.9862559696,11:23:00,42.9024905031,42.6812324262,42.3735209453,27116761.3,330852120.0
2023-08-19,07:22:00,41.2965543327,17:01:00,43.6984240497,42.1345105982,42.6807857754,28329978.78,333247154.97
2023-08-18,00:04:00,40.0303068986,15:19:00,42.5338968445,40.0866035057,42.1300555847,48345131.2,328939259.37
2023-08-17,21:47:00,38.0833811267,05:59:00,47.4154521833,46.7308845611,40.0750635463,81365969.31,312817402.5
2023-08-16,21:58:00,46.0965669464,00:24:00,50.9879752185,50.816320372,46.7266179897,59811317.4,364635420.71
2023-08-15,19:10:00,50.6185035679,00:46:00,56.307894182,55.822676798,50.8162793372,67869457.97,396410339.82
2023-08-14,02:16:00,54.0581948136,22:20:00,56.5172803098,54.3347676065,55.8196433067,57182328.15,435224582.6
2023-08-13,16:15:00,53.8183146339,02:30:00,55.5544242908,55.3430430549,54.3351064379,42755162.9,423639428.08
2023-08-12,21:17:00,55.0677878379,02:11:00,56.7849161843,55.4697431069,55.3382658184,39528124.59,431445494.76
2023-08-11,03:04:00,54.9695807163,07:31:00,55.9098763153,55.3121308401,55.4699693736,40727922.57,432392763.47
2023-08-10,19:34:00,54.9317226486,14:07:00,57.0542431798,55.8408545733,55.3105127952,52606564.88,431148235.56
2023-08-09,21:47:00,55.0150858965,11:13:00,56.6694379484,55.9299607537,55.8432024944,58737879.01,435296327.23
2023-08-08,03:31:00,53.6277123904,18:29:00,56.2989791783,54.2833412229,55.9343075905,68900374.04,435982699.19
2023-08-07,17:00:00,53.3234648698,01:59:00,58.0599731337,56.756591558,54.2871007283,131528925.23,423115944.58
2023-08-06,22:02:00,56.6094656024,02:07:00,59.3869337262,57.5635948353,56.760398275,64605097.02,442340488.51
2023-08-05,04:46:00,54.7943587697,14:13:00,58.3281134795,57.9264582257,57.5637510089,85902356.54,448590331.21
2023-08-04,07:43:00,56.4314932574,01:04:00,61.0912590193,59.9498684603,57.9240099005,139611999.86,451394015.99
2023-08-03,08:28:00,58.8399671419,02:02:00,61.8696110734,61.8127703382,59.951659015,125155706.71,467193226.33
2023-08-02,23:59:00,61.842196051,00:56:00,67.0519859537,65.6577943275,61.842196051,127295113.74,481895006.14
2023-08-01,04:00:00,61.4840133595,00:57:00,66.3404787874,66.1554020268,65.6591136521,211459960.45,511594086.13
