date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,17:22:00,0.6553883088,11:50:00,0.6800751545,0.6795632464,0.6614378038,3352296.14,103342354.25
2023-08-30,03:29:00,0.6712734007,00:07:00,0.689137772,0.6879913102,0.6795676417,4809352.61,106044215.01
2023-08-29,10:40:00,0.6638317999,18:16:00,0.6989574423,0.6794742037,0.6880411027,4977219.01,107269061.02
2023-08-28,08:43:00,0.6690777493,00:22:00,0.6953117096,0.694385662,0.6794664441,4429412.22,105834701.68
2023-08-27,01:14:00,0.6875003237,14:20:00,0.6992165863,0.6957180231,0.6944101829,3884505.81,108054664.16
2023-08-26,00:46:00,0.6650053906,23:58:00,0.6957749349,0.6672781872,0.6957667779,3950227.1,108156698.15
2023-08-25,20:13:00,0.6578650001,03:19:00,0.7042864475,0.7032507901,0.6673012061,4883820.52,103622716.91
2023-08-24,14:46:00,0.6878309595,00:30:00,0.7148202267,0.7111185199,0.703279284,4443978.53,109093830.07
2023-08-23,13:01:00,0.6963508809,17:44:00,0.7173650876,0.7116895443,0.7111131212,5169391.04,110188830.5
2023-08-22,21:41:00,0.6908090467,02:07:00,0.7443274654,0.737719678,0.7118060036,9011084.84,110162905.43
2023-08-21,16:04:00,0.7338672467,14:14:00,0.7543006878,0.7448135403,0.7377708515,4893339.56,114048907.07
2023-08-20,21:39:00,0.7371828678,02:47:00,0.7860127691,0.7736241978,0.744915666,5766492.8,115012741.67
2023-08-19,00:00:00,0.7341570059,19:25:00,0.7880079362,0.7341570059,0.7736158172,5668727.42,119303089.22
2023-08-18,01:31:00,0.7143355383,22:46:00,0.7359308151,0.7225255066,0.7341232091,12237848.02,113089603.57
2023-08-17,21:49:00,0.683022398,19:39:00,0.8006493475,0.7893538924,0.7225133871,13583086.42,111180876.83
2023-08-16,21:16:00,0.7694433316,07:46:00,0.8504661246,0.8374908236,0.7893611681,14438867.94,121330285.32
2023-08-15,19:28:00,0.826306127,04:55:00,0.8824202855,0.8544208077,0.8375262934,17742797.52,128574573.34
2023-08-14,19:46:00,0.8493222989,00:34:00,0.8655458371,0.8574644462,0.8544025483,17922303.22,130978209.37
2023-08-13,17:20:00,0.8552840586,11:40:00,0.8687338475,0.8665523336,0.8574579676,18445633.79,131268354.19
2023-08-12,23:31:00,0.8651334891,00:34:00,0.9090469568,0.8887918405,0.8665573176,19706154.17,132461316.16
2023-08-11,00:55:00,0.8615887478,09:25:00,0.9057829472,0.8631561068,0.8887886737,23238917.85,135637264.37
2023-08-10,10:52:00,0.8568925781,22:10:00,0.8669440075,0.8623788646,0.8631526198,18606082.39,131487727.16
2023-08-09,05:47:00,0.8538951192,13:13:00,0.867048779,0.8629827005,0.8623908573,20379616.3,131106742.57
2023-08-08,04:54:00,0.8490142444,20:41:00,0.8699027991,0.8529063353,0.8629382804,20095256.99,130955124.97
2023-08-07,16:53:00,0.8392249399,06:01:00,0.8728632573,0.861935834,0.8529137444,23205690.33,129203433.77
2023-08-06,01:25:00,0.856207659,00:49:00,0.880871187,0.8745130031,0.8618960792,23801282.68,130408054.25
2023-08-05,00:02:00,0.841290437,23:34:00,0.8757985839,0.8414212556,0.8744775282,23903578.24,132200644.95
2023-08-04,00:10:00,0.831621746,14:43:00,0.8569816093,0.8328770273,0.8414175026,21974046.01,127096948.83
