date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,6.8572179561,11:49:00,7.2604522389,7.2250893157,6.9207890634,95816874.26,2398805631.02
2023-08-30,18:35:00,7.1938723199,00:22:00,7.4501421994,7.4368176315,7.2249546579,88464460.75,2504232069.29
2023-08-29,10:40:00,7.1202525505,14:47:00,7.5014636037,7.2650073958,7.4363255878,109417764.22,2577495070.42
2023-08-28,02:58:00,7.0857198339,23:28:00,7.2721211359,7.1790724543,7.2652038929,76507547.86,2518182803.92
2023-08-27,02:57:00,7.1038878422,15:12:00,7.2049475988,7.1550547181,7.1789998797,58243171.95,2488303743.82
2023-08-26,18:42:00,7.1440823596,03:56:00,7.2524433373,7.2443134144,7.1551137558,68124416.52,2480024605.71
2023-08-25,04:53:00,7.0666200534,12:13:00,7.2616452064,7.2057189981,7.2442995613,87429486.09,2510937180.91
2023-08-24,20:58:00,7.1116562158,00:45:00,7.4453361075,7.4259351789,7.2045291291,87675801.76,2497152403.51
2023-08-23,13:14:00,7.3142751791,17:19:00,7.519510293,7.3907963224,7.4258462798,85522932.62,2573862851.19
2023-08-22,18:13:00,7.18673675,01:24:00,7.5515890582,7.5464378728,7.3899420513,102576253.86,2561418133.58
2023-08-21,16:46:00,7.4779257997,00:07:00,7.8746168774,7.8644398672,7.5466219211,102276281.87,2615724738.0
2023-08-20,06:01:00,7.6975409259,12:49:00,7.8838772315,7.7070536638,7.8655004516,91020274.34,2726250807.73
2023-08-19,07:16:00,7.5166547654,23:41:00,7.721293537,7.5779919262,7.7068256312,80794346.42,2671252736.1
2023-08-18,00:04:00,7.3926694962,02:18:00,7.679938061,7.4241047391,7.5771324777,133937872.84,2626299962.04
2023-08-17,21:46:00,7.2964952414,12:22:00,8.183787536,7.7924907551,7.4270719415,234340479.7,2574287676.18
2023-08-16,21:16:00,7.6496960834,00:24:00,8.1130038662,8.1040353882,7.7922542361,87664703.14,2700863032.91
2023-08-15,19:44:00,8.0064000132,02:44:00,8.538349496,8.5097778793,8.104028859,92269391.42,2808926826.55
2023-08-14,02:22:00,8.3403492048,14:54:00,8.5574277505,8.3734209322,8.5094318474,72618666.86,2949443025.26
2023-08-13,22:43:00,8.3604149172,20:05:00,8.4966596828,8.4160770932,8.3739776735,65607747.04,2902493431.5
2023-08-12,03:46:00,8.3373265896,22:22:00,8.4300612856,8.3431554125,8.416136464,58809054.14,2917106034.64
2023-08-11,16:47:00,8.3268524368,01:18:00,8.4467684304,8.4091565956,8.3432215732,66460329.09,2891833099.89
2023-08-10,23:22:00,8.40507822,14:04:00,8.5487983159,8.536751689,8.4090739621,73861280.28,2914658110.11
2023-08-09,21:16:00,8.4514133007,13:02:00,8.65918992,8.5261879589,8.537759151,73080616.32,2959261514.87
2023-08-08,14:02:00,8.4552744263,21:26:00,8.6359430712,8.4837959482,8.5260935002,78858385.89,2955218098.91
2023-08-07,16:19:00,8.3000773224,03:05:00,8.5660968963,8.4757308295,8.4839820233,81991738.23,2940621895.09
2023-08-06,14:17:00,8.451232524,06:10:00,8.5685010759,8.5027230022,8.4758529749,60570514.95,2937804296.28
2023-08-05,04:52:00,8.3692638138,22:44:00,8.5294730412,8.4822132686,8.5028879626,60562554.33,2947174857.95
2023-08-04,20:52:00,8.3912535303,13:52:00,8.6648053175,8.6203531388,8.4826654554,75915243.33,2940165561.21
2023-08-03,22:32:00,8.5991931707,15:02:00,8.7630981144,8.7132214617,8.6206568447,73442967.57,2987994575.89
2023-08-02,23:52:00,8.7080450371,01:44:00,9.0103862739,8.975451006,8.7133510129,76537656.33,3020123180.09
2023-08-01,02:13:00,8.6678857076,23:58:00,8.975648069,8.8599489517,8.9749013364,80501683.49,3110778795.09
2023-07-31,20:07:00,8.7982721937,02:37:00,9.1048528898,9.0022944331,8.8596042362,63821323.4,3070815818.23
2023-07-30,20:14:00,8.8836298372,05:43:00,9.0927318059,9.0777927719,9.0023887361,58089725.06,3120306166.7
2023-07-29,12:02:00,8.9896260804,20:26:00,9.0888958896,9.0346148763,9.0781638194,42418038.91,3146570469.06
2023-07-28,05:56:00,8.8650714773,15:19:00,9.0587198635,8.9106352247,9.0353768636,51986991.44,3131740138.34
2023-07-27,18:41:00,8.8709525052,10:04:00,9.0914962643,8.9866388922,8.9108007519,55825435.09,3088560975.47
2023-07-26,09:47:00,8.8336064655,20:43:00,9.0284364608,8.9578879226,8.9862446344,72081341.05,3114710480.76
2023-07-25,08:34:00,8.9324970109,14:15:00,9.0546981458,9.0110998556,8.9577724711,55885345.2,3104841781.54
2023-07-24,17:46:00,8.927136685,00:52:00,9.2869174729,9.2866992119,9.011806986,77388926.85,3123570613.94
2023-07-23,00:53:00,9.2443513897,19:06:00,9.3589089111,9.2560167117,9.2873654212,53405877.74,3219081562.19
2023-07-22,23:37:00,9.2107766864,04:39:00,9.5606220655,9.4303785981,9.254434523,67569183.82,3207667426.73
2023-07-21,00:40:00,9.3211437211,04:06:00,9.5283268649,9.3570608997,9.4308293411,68912023.19,3268807403.53
2023-07-20,15:04:00,9.147114997,23:59:00,9.3559476373,9.1872897121,9.3559476373,88268415.43,3242852754.28
