date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,22:13:00,0.0630850184,11:49:00,0.0669197559,0.0658405212,0.0637852362,336593454.3,8982278832.51
2023-08-30,15:07:00,0.0646754177,00:03:00,0.066437529,0.0663942188,0.0658379989,260654192.19,9270461412.49
2023-08-29,10:40:00,0.0625421379,15:46:00,0.0680646591,0.0634343804,0.066390032,445903123.13,9347305309.15
2023-08-28,09:53:00,0.0622107398,23:28:00,0.0635469661,0.0631741791,0.0634379641,169636025.99,8930812221.33
2023-08-27,01:08:00,0.0627569702,07:13:00,0.0635318859,0.0628672685,0.0631713625,141407750.06,8892418317.95
2023-08-26,17:31:00,0.0627229841,07:07:00,0.0632862602,0.0630842286,0.0628676988,127881732.4,8848817611.34
2023-08-25,05:05:00,0.0618975321,23:57:00,0.0630941453,0.0630389073,0.063084365,202977283.44,8878470592.73
2023-08-24,20:58:00,0.0622262702,05:12:00,0.0640054776,0.063779727,0.0630361599,210634656.96,8870844063.57
2023-08-23,00:04:00,0.0625140802,16:26:00,0.0645050689,0.062592914,0.0637782162,293273520.81,8974413060.49
2023-08-22,21:29:00,0.0610749286,12:46:00,0.063188742,0.0625285602,0.0625986082,271392247.2,8807578253.01
2023-08-21,15:31:00,0.0613654037,02:01:00,0.0639908521,0.0638297477,0.0625289947,277361289.63,8796948292.75
2023-08-20,16:58:00,0.063623348,11:19:00,0.0645869199,0.0637606926,0.0638295937,208195391.71,8979071481.55
2023-08-19,00:25:00,0.0632090242,17:00:00,0.0643842373,0.063237488,0.063757965,246572116.05,8968128177.05
2023-08-18,03:16:00,0.0601957368,21:30:00,0.0636531654,0.061183751,0.0632335123,488755202.89,8893503028.04
2023-08-17,21:47:00,0.0583399712,03:40:00,0.0682508627,0.0671850142,0.0611850882,684430324.61,8604589673.67
2023-08-16,21:16:00,0.0668067184,01:52:00,0.0711161426,0.0708635914,0.0671832008,409310897.1,9447213444.61
2023-08-15,19:13:00,0.0705120884,02:26:00,0.0748085893,0.0747244403,0.0708627818,400240141.29,9963681013.99
2023-08-14,18:22:00,0.0739524924,20:07:00,0.0764143041,0.0747814578,0.0747311446,347333619.68,10506581379.23
2023-08-13,22:43:00,0.0744726148,00:58:00,0.0767887328,0.0767330239,0.0747832997,271947903.82,10512917847.54
2023-08-12,00:14:00,0.0756015138,09:58:00,0.0771503535,0.0756706047,0.0767417512,301476613.79,10787195532.1
2023-08-11,16:47:00,0.0751667733,01:00:00,0.0759825738,0.0758046639,0.075666498,222363416.3,10635033460.68
2023-08-10,12:13:00,0.0751584314,16:40:00,0.0767056839,0.0753187149,0.0758032601,341419517.2,10653242843.02
2023-08-09,21:16:00,0.0744630317,13:25:00,0.0760538311,0.0749837382,0.0753138475,347481441.45,10583448770.64
2023-08-08,02:04:00,0.0732101258,18:28:00,0.0753836358,0.0734253047,0.0749859638,305594303.14,10536374983.15
2023-08-07,16:20:00,0.0723703254,03:29:00,0.0754658086,0.0742621741,0.0734219318,346276669.27,10315611541.7
2023-08-06,23:53:00,0.0742001236,02:19:00,0.0762922756,0.0756820268,0.0742657395,311182996.7,10433167188.76
2023-08-05,01:58:00,0.072997767,14:52:00,0.0768030318,0.0734172499,0.0756860003,443213361.04,10631685602.82
2023-08-04,20:52:00,0.0727948961,17:14:00,0.0747846842,0.0736084354,0.0734160709,307538917.16,10311841176.84
2023-08-03,08:28:00,0.0730528202,02:04:00,0.0748926107,0.0742121921,0.0736150884,374949367.99,10338820772.29
2023-08-02,23:43:00,0.0741003376,01:34:00,0.0781952511,0.0780382997,0.07421327,364508310.74,10421836026.87
2023-08-01,04:25:00,0.0760434656,01:14:00,0.0781683641,0.0778235076,0.0780420161,369078155.58,10958459056.86
2023-07-31,21:04:00,0.0771002059,11:52:00,0.0796555399,0.0780633686,0.0778183177,346973530.69,10925994239.93
2023-07-30,20:04:00,0.0770389894,06:01:00,0.0804394269,0.0801903217,0.0780614391,436209338.5,10959076373.04
2023-07-29,00:05:00,0.0770769034,19:01:00,0.0813160181,0.0773151068,0.0801883912,466582430.81,11256588657.53
2023-07-28,08:12:00,0.0762013019,00:58:00,0.0777821668,0.0775618047,0.0773205663,370256170.82,10852985034.85
2023-07-27,20:37:00,0.0769157487,12:17:00,0.0797334259,0.0779639904,0.0775621129,515430910.61,10885847694.33
2023-07-26,19:20:00,0.0772588677,00:10:00,0.0820797203,0.081850692,0.0779581465,846709085.05,10940381720.27
2023-07-25,00:11:00,0.0738902302,18:31:00,0.0833407051,0.0742662653,0.0818452727,1525713202.43,11484778815.49
2023-07-24,04:11:00,0.0705556568,12:13:00,0.0772215384,0.0718121663,0.0742681994,1446707666.34,10420549996.03
2023-07-23,00:53:00,0.0702195926,19:13:00,0.0728039187,0.070435379,0.0718191175,287153173.08,10075943268.31
2023-07-22,23:34:00,0.0700805701,00:00:00,0.073294612,0.073294612,0.0704331595,353000260.84,9880541556.61
2023-07-21,00:40:00,0.0704067003,13:23:00,0.0763909919,0.0705257959,0.073295323,762216251.4,10281054794.36
2023-07-20,09:05:00,0.0684867906,15:31:00,0.0710223512,0.070147993,0.07051607,574227831.84,9890263586.92
2023-07-19,09:05:00,0.0684867906,16:01:00,0.0712119376,0.0685885682,0.0701593692,418313610.51,9839280173.56
2023-07-18,17:31:00,0.0677426469,02:08:00,0.0702566892,0.0699007808,0.0685834789,284882933.44,9617348517.77
2023-07-17,18:52:00,0.068254536,05:49:00,0.0727523488,0.0695584627,0.0699049397,464403123.02,9801725061.19
2023-07-16,20:30:00,0.0693992726,00:17:00,0.0721345393,0.0719290383,0.0695537783,389882289.0,9751541710.22
2023-07-15,00:37:00,0.0679745827,10:47:00,0.0747076519,0.068524068,0.0719266621,883881436.56,10083248890.31
2023-07-14,18:47:00,0.0671979207,15:55:00,0.0727312672,0.0704990803,0.0685293489,632033705.04,9606064232.33
2023-07-13,04:13:00,0.0646747868,20:24:00,0.0712665411,0.0650727884,0.0705065523,625261655.22,9882281310.65
2023-07-12,19:38:00,0.0639997875,07:54:00,0.0655699075,0.0652879108,0.0650706823,164499091.44,9119501666.74
2023-07-11,18:40:00,0.0645189072,07:10:00,0.0654548453,0.0652470759,0.0652874739,151465119.72,9149006388.02
2023-07-10,00:19:00,0.0640085954,20:08:00,0.0660321007,0.0654374844,0.0652427991,258321414.5,9141860566.85
2023-07-09,20:37:00,0.065331962,04:46:00,0.0662940125,0.0657619233,0.0654349457,146485995.04,9167900895.99
2023-07-08,05:16:00,0.0649706135,22:55:00,0.0659572436,0.065421243,0.0657606104,148945059.79,9212628567.65
2023-07-07,00:04:00,0.0645534808,14:04:00,0.065797241,0.0650301655,0.0654254616,202607383.25,9164772904.23
2023-07-06,14:40:00,0.065005319,09:23:00,0.0684755397,0.0670246559,0.0650256371,281014235.02,9107917720.21
