date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:09:00,1634.850972778,11:44:00,1720.0120102513,1705.3644656537,1645.6391241321,6593153504.5,197831661218.49
2023-08-30,18:30:00,1697.1472740218,00:07:00,1730.5646560905,1729.6765835382,1705.1121423041,5023904190.46,204981728438.73
2023-08-29,12:18:00,1639.5762039168,16:28:00,1742.6373264063,1652.2742194714,1729.7256498746,11304916728.79,207942703368.28
2023-08-28,09:19:00,1627.4468086633,12:36:00,1659.3287138637,1657.4398405634,1652.4574355437,4855588533.82,198654748012.57
2023-08-27,02:57:00,1645.9027976544,17:02:00,1659.2670289513,1646.2719638472,1657.5130726946,2624065030.72,199261172396.0
2023-08-26,19:25:00,1643.7126427688,03:31:00,1654.7777434101,1652.9272006973,1646.3068178601,2423247747.14,197912705880.22
2023-08-25,17:47:00,1635.9673899873,14:17:00,1671.9706449379,1660.2698636424,1652.9351167504,5396997822.81,198709982386.16
2023-08-24,17:39:00,1641.6270541214,00:50:00,1682.4897034917,1679.248305221,1659.9446226125,5104531919.55,199548851220.68
2023-08-23,01:14:00,1629.5811057659,19:49:00,1696.5939459757,1634.4016932865,1679.2744714845,7191868447.94,201872827301.06
2023-08-22,21:28:00,1596.3840731615,00:48:00,1668.6386979784,1667.2792452006,1633.8926267598,7244623132.64,196411977220.27
2023-08-21,15:29:00,1651.9598131952,00:01:00,1685.0826937788,1685.0223109393,1667.2690996991,5077248383.35,200431006110.97
2023-08-20,07:01:00,1662.9015072747,20:45:00,1692.3287513721,1669.587747052,1684.8520501855,4105056995.27,202538755664.15
2023-08-19,07:04:00,1654.075843109,16:48:00,1693.2280915156,1660.8443487688,1669.4718707311,4871231359.97,200689358850.73
2023-08-18,17:25:00,1644.9309500003,00:27:00,1698.1242513962,1682.0384680315,1660.9451284571,9645084584.17,199666693175.25
2023-08-17,21:45:00,1551.7132501336,00:14:00,1807.7148548422,1805.5674377415,1684.9334573891,14208462071.57,202420920379.92
2023-08-16,20:43:00,1798.9667092936,03:08:00,1829.3611660562,1827.0364257796,1805.6590014206,4976573383.4,216930270756.06
2023-08-15,19:09:00,1816.3250919351,01:15:00,1845.5475613834,1844.1641441122,1826.9327978014,4483923892.5,219491766849.53
2023-08-14,02:15:00,1834.8003956346,16:52:00,1853.8363541655,1839.3235063352,1844.1857646579,4083364724.49,221568525308.68
2023-08-13,22:42:00,1834.8042894948,19:54:00,1859.9163389208,1849.0538423506,1839.2801756372,3054625661.34,220981729947.98
2023-08-12,06:08:00,1845.7191939182,15:31:00,1852.2810077224,1847.1719421965,1848.8898822123,2291124840.3,222139062221.35
2023-08-11,16:45:00,1839.569273373,14:48:00,1855.0660790547,1850.7417227889,1847.1243621559,3353025102.3,221931416524.33
2023-08-10,18:05:00,1845.4422955613,14:01:00,1863.3108900107,1854.3482991504,1850.7534547452,3760304517.5,222372592138.08
2023-08-09,19:56:00,1845.4897170816,13:01:00,1869.7365608605,1855.7794639407,1854.2975491247,5870081832.81,222805472557.44
2023-08-08,02:05:00,1824.4300565131,21:22:00,1873.8472283619,1826.9309959765,1855.8073211753,5812855406.06,222992394106.75
2023-08-07,17:33:00,1804.716645695,03:05:00,1842.5225755968,1827.239468493,1826.9387893514,5837881974.42,219527926618.49
2023-08-06,14:16:00,1824.9866370972,02:26:00,1836.2488802209,1834.8452145586,1827.462079169,2963395075.87,219593479527.48
2023-08-05,02:03:00,1824.8079382819,18:58:00,1836.464899772,1827.798586463,1834.9879173213,2866049749.41,220502861332.05
2023-08-04,20:51:00,1817.4138100776,13:51:00,1847.9121779145,1834.8904618294,1827.7129406804,4861242484.17,219632850428.96
2023-08-03,08:27:00,1825.3478052252,17:16:00,1856.4076362792,1838.8979284303,1835.1365255355,4710581073.79,220530132874.86
2023-08-02,16:56:00,1822.3483015617,01:34:00,1877.5115199178,1873.4681445447,1839.0897065368,6448512421.97,223097571555.34
2023-08-01,15:31:00,1817.9207855497,23:58:00,1873.029963847,1856.1901659675,1871.7921704215,7634860635.76,224944195689.1
2023-07-31,21:03:00,1851.9153704333,00:50:00,1875.6294465554,1861.7552171849,1856.1623397384,4391613313.66,223070797299.17
2023-07-30,20:13:00,1851.7279943563,15:06:00,1884.1442089882,1880.8715209299,1861.6438552675,4003005547.05,225274024718.29
2023-07-29,11:06:00,1870.333920147,20:27:00,1885.52927053,1874.5604314537,1881.0688769377,2497302217.96,226077954074.33
2023-07-28,05:56:00,1857.048891221,14:32:00,1881.457298528,1860.7024919129,1874.7449256662,3800973336.48,226529194963.13
2023-07-27,23:08:00,1855.321567337,09:56:00,1885.5916123837,1872.0863087262,1860.3572210048,4291339248.12,223597227103.75
2023-07-26,09:54:00,1849.4368818344,20:41:00,1886.9741249298,1857.6965328035,1872.1599359835,5781548155.47,225653957077.34
2023-07-25,01:22:00,1845.9815839056,13:45:00,1867.3231871439,1850.0279874104,1857.741957571,4163381707.32,223456250671.33
2023-07-24,15:15:00,1836.8524404344,00:44:00,1889.7619331029,1888.809522871,1850.0020751716,6344373568.82,222359174267.9
2023-07-23,00:51:00,1859.5689063925,19:08:00,1904.4833299778,1866.0942085047,1889.1916718834,4480604099.77,227069518772.29
2023-07-22,23:32:00,1855.092772111,01:02:00,1897.0880167419,1891.9551091027,1864.9122953499,4101305643.35,224150871476.76
2023-07-21,11:36:00,1885.2962660717,18:04:00,1905.3861774581,1891.5812793732,1892.0801319193,4668158259.72,227568017429.56
2023-07-20,16:57:00,1879.734398668,13:47:00,1919.2643604398,1889.073748995,1890.9691089077,7366830683.51,227287014709.89
2023-07-19,21:21:00,1883.0670928023,13:47:00,1919.2643604398,1897.7972685971,1889.0079644853,6018487800.4,227057271106.86
2023-07-18,16:49:00,1878.7184501339,02:07:00,1916.4683316665,1911.6970195928,1897.5992249179,5814708444.98,228092963187.17
2023-07-17,18:50:00,1875.1203206859,05:14:00,1936.1775776474,1923.6943368597,1911.6461566209,6678090757.93,229781805153.89
2023-07-16,02:22:00,1917.2940185838,14:43:00,1942.0308648717,1931.6449975842,1923.681857036,4329306566.07,231226923280.79
2023-07-15,22:41:00,1928.1873224667,10:22:00,1946.0192162577,1939.1296241059,1931.4665891581,4380084233.54,232165415326.64
2023-07-14,20:35:00,1901.3612502454,01:07:00,2026.2049230768,2005.6861152719,1939.3470895149,10627449471.12,233118658512.83
2023-07-13,05:02:00,1864.4961442519,18:14:00,2011.8852569988,1872.040234166,2006.5115122091,11114853969.23,241195864006.75
2023-07-12,21:31:00,1865.7100400644,15:12:00,1901.1484281968,1878.3220819239,1872.1137991587,6379006999.95,225042891982.26
2023-07-11,14:18:00,1863.2186571799,06:31:00,1889.381773215,1880.6548636585,1878.3361077979,4905225891.57,225791368052.22
2023-07-10,00:19:00,1848.7772587755,20:08:00,1905.460815002,1863.2401935872,1880.5564552602,6336468234.43,226058650339.34
2023-07-09,22:11:00,1857.7483499781,12:39:00,1878.6689766544,1865.5950241469,1863.0098100363,4392863806.9,223949968247.1
2023-07-08,20:21:00,1844.6417817998,01:01:00,1872.5015981021,1871.0020740026,1865.5396023891,4299007853.56,224254934504.45
2023-07-07,00:04:00,1832.0254181354,14:03:00,1876.9632960836,1847.512536429,1870.6025963313,6468885149.98,224865960293.99
2023-07-06,23:58:00,1847.8506564188,09:17:00,1956.0123305788,1910.4171100273,1848.6364873329,8905008384.07,222232180744.4
2023-07-05,13:26:00,1897.1248067709,01:39:00,1942.4325022146,1936.7967804558,1910.5880452173,6034088075.03,229686223069.99
2023-07-04,19:42:00,1932.6112948686,03:41:00,1966.36535324,1955.5241236593,1936.6335891823,5683423775.56,232820313728.46
2023-07-03,00:59:00,1934.6888071317,15:35:00,1974.7750263789,1937.8838192993,1955.3891053947,7858509087.49,235075381096.91
2023-07-02,15:25:00,1895.9070003139,22:35:00,1958.1608073706,1924.4481569744,1937.4383914033,6343966489.66,232916432171.51
2023-07-01,04:33:00,1910.8485729338,00:43:00,1942.701544088,1933.3238877329,1924.5659495846,5136809625.32,231369563103.66
2023-06-30,13:48:00,1831.2810024118,17:45:00,1945.2743126905,1852.0084814742,1933.1889822154,12895131248.2,232408283870.42
2023-06-29,00:00:00,1828.0593642918,13:19:00,1876.5303331669,1828.0593642918,1852.2272895415,5677228612.02,222677553067.99
2023-06-28,19:31:00,1822.1028146005,00:01:00,1890.2089964527,1889.9065340307,1827.9711912824,7135265015.9,219761761156.32
2023-06-27,00:36:00,1856.8383903821,17:01:00,1911.3111560326,1859.3462129181,1889.7033733015,7686042202.44,227116881653.75
2023-06-26,17:17:00,1840.2150420901,14:00:00,1905.360466993,1900.050251713,1859.4328584009,8619702291.5,223481844153.87
2023-06-25,00:44:00,1870.850099511,06:27:00,1929.0790552872,1875.8491070016,1900.5061356568,6937581708.87,228424935740.82
2023-06-24,21:14:00,1867.8115355054,12:35:00,1905.2274588128,1893.7720012745,1876.0597024608,5026191704.23,225490330139.48
2023-06-23,13:50:00,1865.1920172308,16:09:00,1932.531664891,1872.5407720867,1892.8621079799,8290615074.46,227515380123.15
2023-06-22,14:54:00,1867.8765859915,02:58:00,1932.0655716054,1889.7944269231,1872.9430470581,8477657143.31,225124435575.99
