date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:10:00,0.2265854113,05:05:00,0.2542527951,0.2339261422,0.2298581886,109493321.14,188159932.3
2023-08-30,15:07:00,0.21433121,23:50:00,0.2342038222,0.2156123083,0.2339294545,56374198.51,191557079.47
2023-08-29,10:39:00,0.2022197157,14:49:00,0.2168971327,0.20711866,0.2155848607,28971140.4,176611434.71
2023-08-28,10:19:00,0.2036343035,12:37:00,0.2115963487,0.2101926486,0.2071327411,18862399.67,169688508.38
2023-08-27,18:22:00,0.206870044,12:07:00,0.2140643072,0.2076394023,0.2101961078,19442480.44,172198130.19
2023-08-26,16:43:00,0.2066253828,00:07:00,0.2172351169,0.2171901359,0.2076491401,17316822.44,170113188.01
2023-08-25,09:10:00,0.2007673106,23:59:00,0.2171796395,0.2090517033,0.2171796395,40368780.24,177921029.74
2023-08-24,20:58:00,0.2049146214,06:48:00,0.2165042366,0.208218235,0.2090546822,32562914.04,171247144.21
2023-08-23,01:35:00,0.195634626,20:58:00,0.2092912707,0.1959958602,0.2081545518,24855765.17,170509802.39
2023-08-22,21:29:00,0.1879951445,02:11:00,0.2040094228,0.2016888541,0.1959709568,24462477.2,160529731.68
2023-08-21,15:31:00,0.1987399062,06:35:00,0.2082075802,0.2049760802,0.2017003678,23375254.61,165425481.89
2023-08-20,17:07:00,0.2038080992,02:33:00,0.2123375481,0.2100708579,0.2050303866,19712600.7,168156612.13
2023-08-19,00:02:00,0.199757933,17:01:00,0.2193422235,0.1999674506,0.2100534014,45721316.62,172281767.67
2023-08-18,04:55:00,0.183294669,14:37:00,0.2044963078,0.188319041,0.1999415652,51688482.21,163987323.98
2023-08-17,21:46:00,0.1714938461,05:49:00,0.2008874853,0.1961657952,0.1882557041,41394052.95,154402980.61
2023-08-16,21:16:00,0.19363741,07:53:00,0.2048889573,0.2031450196,0.1961739785,27950924.8,160898445.71
2023-08-15,19:31:00,0.1993360394,01:14:00,0.2215572539,0.2201056107,0.2031630664,36670085.55,166630772.61
2023-08-14,02:22:00,0.2128398561,14:59:00,0.2328336953,0.2195188842,0.2201454456,82778044.34,180720142.85
2023-08-13,00:29:00,0.1998838454,21:28:00,0.2216459674,0.2004329361,0.2195025933,41651294.36,180198453.67
2023-08-12,21:19:00,0.1996721195,14:46:00,0.2031786551,0.202090812,0.2004056838,10503078.91,164521057.33
2023-08-11,03:04:00,0.199933042,06:58:00,0.2032110034,0.2005667755,0.2020941137,11012332.68,165907551.66
2023-08-10,09:41:00,0.1964046636,14:14:00,0.2033706082,0.1986292654,0.2005652534,15907354.0,164652158.1
2023-08-09,21:16:00,0.1960533543,13:22:00,0.2031621368,0.2001662981,0.1986161069,16779199.98,163052024.64
2023-08-08,07:49:00,0.1933490794,21:25:00,0.2014724725,0.1951868856,0.2001115309,19941036.26,164280361.04
2023-08-07,16:19:00,0.1918008281,05:53:00,0.1996099949,0.1966359745,0.1951945905,17533895.38,160244031.5
2023-08-06,00:09:00,0.1940916306,08:53:00,0.199613803,0.1943227524,0.1966369417,15165686.51,161428122.55
2023-08-05,08:25:00,0.1919472144,00:00:00,0.1980047208,0.1980047208,0.1943288238,14792548.35,159537045.93
2023-08-04,20:52:00,0.1974448828,13:52:00,0.2030839684,0.2015913801,0.1980050142,17478580.72,162555152.76
