date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:10:00,5.5799255411,12:52:00,5.8390505587,5.8314360199,5.6080277758,20769624.97,411399238.34
2023-08-30,22:27:00,5.8139774398,05:04:00,5.921756531,5.900149586,5.8313881987,15014610.72,427778180.64
2023-08-29,13:33:00,5.713906391,17:47:00,6.0180204367,5.9578427544,5.900299924,33858013.11,432806821.44
2023-08-28,05:34:00,5.8682241872,19:04:00,6.0006606977,5.9409066726,5.9575457876,12262825.59,436941565.02
2023-08-27,12:21:00,5.7553071321,23:59:00,5.9410116137,5.8441139398,5.9410116137,11406291.8,435671142.39
2023-08-26,12:33:00,5.6888614781,23:31:00,5.8511654336,5.8140317738,5.8436258994,11844049.55,428511952.33
2023-08-25,16:58:00,5.8010039157,10:05:00,6.0433660264,6.0150776591,5.8140714346,17490089.18,426293235.96
2023-08-24,20:58:00,5.870554036,04:13:00,6.1871660439,6.0415514847,6.014416973,32888287.86,440977574.83
2023-08-23,01:26:00,5.6375526599,23:58:00,6.0424624642,5.6750898183,6.0415100141,22463423.89,442931389.06
2023-08-22,21:29:00,5.5334716871,08:04:00,6.1329688223,6.1019100148,5.6726748339,26513585.53,414789558.28
2023-08-21,03:00:00,6.0349684102,06:31:00,6.2002013378,6.0547317304,6.1019344504,16165318.6,446152487.24
2023-08-20,23:21:00,6.0510825619,00:31:00,6.4461678983,6.3905749544,6.0549745365,13801638.99,442661081.8
2023-08-19,00:01:00,6.0408780329,23:46:00,6.394585187,6.0442440666,6.3901642924,14282930.8,465458604.95
2023-08-18,10:02:00,5.7863971855,22:46:00,6.0537838567,5.8089523462,6.0441821362,19455720.8,440246442.39
2023-08-17,21:46:00,5.491028539,06:44:00,6.5967779088,6.4337199334,5.8057020096,50032419.23,422861791.06
2023-08-16,21:16:00,6.3008450132,01:16:00,6.6333054759,6.5711949389,6.4339845174,29888241.37,468543951.87
2023-08-15,19:40:00,6.481191971,09:04:00,7.0056799143,6.7558960029,6.5717643184,49312180.51,478567512.53
2023-08-14,02:22:00,6.4658072093,15:46:00,6.8834095229,6.5096180927,6.7554875414,44311195.28,492024626.37
2023-08-13,12:32:00,6.3640986971,19:51:00,6.5724655142,6.4442712303,6.509178976,20206491.6,474035485.81
2023-08-12,00:00:00,6.3898470357,16:38:00,6.5657500842,6.3898470357,6.4444874959,25874154.73,469312135.42
2023-08-11,00:10:00,6.0530421687,23:37:00,6.3907737628,6.0573844981,6.3897906646,25880928.12,465310091.17
2023-08-10,21:28:00,6.0442283913,14:05:00,6.2271404133,6.1889788999,6.0573454384,21191100.18,441092203.27
2023-08-09,06:24:00,6.1226595979,12:13:00,6.3993571604,6.1800177165,6.1898927467,28622787.19,450733126.75
2023-08-08,23:21:00,6.1773575789,18:38:00,6.4204778202,6.3189883603,6.1797240062,27517946.19,449927551.01
2023-08-07,16:17:00,6.2712636731,02:22:00,6.6360047712,6.4825507644,6.3190797692,34734474.57,460051483.2
2023-08-06,01:12:00,6.3453392107,12:18:00,6.7435117105,6.3904212214,6.4832041676,35412973.26,471953069.54
2023-08-05,13:47:00,6.1958463444,11:16:00,6.5722117312,6.3170203835,6.3916808678,42840907.68,464713996.35
2023-08-04,05:47:00,5.8699469161,13:43:00,6.4282094888,5.9458500026,6.3173839513,56327305.29,459281368.64
2023-08-03,22:32:00,5.9082460588,07:12:00,6.096595791,5.9368821562,5.9462944592,30869988.49,432291456.52
2023-08-02,15:31:00,5.6121951629,00:14:00,6.194780281,6.1238602731,5.9366009005,62388694.92,431580347.68
2023-08-01,05:16:00,5.1465313847,16:14:00,6.1802812235,5.5743834127,6.1233966447,105896684.83,449040363.25
2023-07-31,21:34:00,5.4992652544,01:07:00,6.1744834257,6.1436774682,5.5743830435,49633215.46,408609628.23
2023-07-30,23:23:00,6.1220840291,00:00:00,6.592620489,6.592620489,6.1440958916,27056099.0,450265918.75
2023-07-29,00:04:00,6.3701299124,21:46:00,6.6117895085,6.378536952,6.5924050606,17689480.59,482987062.78
2023-07-28,00:14:00,6.1285095153,15:02:00,6.4417729461,6.1627588394,6.3792611653,21866942.44,467346275.32
2023-07-27,00:00:00,6.0127556861,10:08:00,6.237870657,6.0127556861,6.1631188714,17058434.29,451504085.49
2023-07-26,02:52:00,5.8144347052,16:23:00,6.0316122561,5.8646664832,6.0121367541,16379649.99,440436749.64
2023-07-25,14:50:00,5.842806898,03:01:00,5.9974484047,5.9527233332,5.8650939182,15287504.47,429604950.95
2023-07-24,12:15:00,5.8413844772,00:52:00,6.0467080608,6.0458921879,5.952707852,16718753.55,435991267.6
2023-07-23,00:26:00,5.9741867757,05:53:00,6.1531225882,5.984607386,6.0457903822,12920625.09,442774246.58
2023-07-22,23:50:00,5.9592360165,20:55:00,6.1117398865,6.0102887022,5.9833406651,13075674.05,437630198.36
2023-07-21,00:37:00,5.7717067812,22:46:00,6.0417660754,5.8095438552,6.0092107185,18027181.12,439506653.26
2023-07-20,20:49:00,5.774040063,14:02:00,6.1848532212,5.938426537,5.8090068413,18243780.76,424653240.8
2023-07-19,21:26:00,5.9117931733,01:02:00,6.2501581372,6.1989260554,5.9397521291,18338449.07,433196483.11
2023-07-18,17:22:00,6.1071792853,02:09:00,6.4066206482,6.3849608171,6.1993944944,13120184.97,452124655.14
2023-07-17,18:52:00,6.2722933557,05:08:00,6.5585438349,6.3658499464,6.3855274095,19878369.81,465650812.21
2023-07-16,04:46:00,6.3111145052,15:35:00,6.4990669833,6.4251772004,6.366833648,9445890.97,464101570.29
2023-07-15,15:48:00,6.3496686556,07:48:00,6.6860227397,6.5928664412,6.42544667,19808463.92,468380510.72
2023-07-14,21:01:00,6.42485726,00:47:00,6.9035066881,6.6825740725,6.5926341399,38431209.95,480532965.95
2023-07-13,04:17:00,6.1820631841,18:15:00,6.6937076104,6.2500280956,6.6823438314,26193448.07,487044240.96
2023-07-12,16:11:00,6.140579786,09:59:00,6.4046390372,6.2709236515,6.2500570016,15179843.2,455513685.07
2023-07-11,16:40:00,6.1701884344,04:10:00,6.3776640069,6.2689658119,6.2709616047,13201271.34,457032216.8
2023-07-10,00:19:00,6.2198937437,20:09:00,6.6054738588,6.2937725358,6.2702737873,27751923.74,456955884.38
2023-07-09,14:20:00,6.1792869661,01:06:00,6.3734667501,6.3569721957,6.2939940877,10227272.1,458668917.9
2023-07-08,13:01:00,6.2275061251,02:56:00,6.3698549351,6.3332231028,6.3568914392,12025458.15,462536693.16
2023-07-07,20:00:00,6.2163756485,06:07:00,6.4617180181,6.3345318529,6.3334854297,22996485.78,460808370.81
2023-07-06,01:34:00,6.2018010615,11:15:00,6.8832067931,6.2674007536,6.3342941377,74004319.64,460847460.65
2023-07-05,16:10:00,6.1689908756,01:22:00,6.5704799259,6.4766034205,6.2674969159,20168270.95,455967283.71
2023-07-04,01:50:00,6.3705127292,14:34:00,6.599537494,6.4286726725,6.4733062272,25898165.6,470928505.11
2023-07-03,00:01:00,5.8271651627,16:28:00,6.5612169569,5.8323394349,6.4287471439,36466312.88,467618598.2
2023-07-02,18:44:00,5.7696732925,01:38:00,5.9601069364,5.9241597132,5.8324906635,12303777.52,424292689.43
2023-07-01,04:32:00,5.7856343972,14:51:00,5.9601836331,5.8260956241,5.9247512137,11285346.48,430962542.11
2023-06-30,01:08:00,5.4268738465,17:46:00,5.9199696608,5.485826151,5.8244642928,28665147.28,423610260.41
2023-06-29,00:52:00,5.4232062065,13:44:00,5.5914418414,5.4583395911,5.4868195278,9652792.01,399091907.96
2023-06-28,19:44:00,5.3853668486,01:17:00,5.6958135473,5.6530437641,5.4578732169,17012988.29,396967643.94
2023-06-27,23:07:00,5.6334976406,03:46:00,5.9529193967,5.9074933222,5.651554029,16583929.7,411035606.75
2023-06-26,05:42:00,5.764070675,14:16:00,6.1459357792,5.9037873188,5.9075303909,20929411.93,429476970.38
2023-06-25,00:30:00,5.7086673447,09:07:00,5.9843343959,5.7405319935,5.9033641944,14429487.1,429201333.42
2023-06-24,16:07:00,5.558592151,03:25:00,5.8450280938,5.8219178501,5.7397799338,13146503.8,416702266.56
2023-06-23,14:07:00,5.7216559401,16:16:00,6.0143602168,5.9170756408,5.8217853681,19959751.43,422608329.83
2023-06-22,23:59:00,5.9169288268,03:46:00,6.2481363553,6.0475159768,5.9169288268,31029439.25,429504280.93
2023-06-21,03:15:00,5.9192048562,14:52:00,6.2409961262,5.9277903585,6.0479219134,26563453.47,438994232.1
2023-06-20,00:00:00,5.5861507705,20:52:00,5.9847386816,5.5861507705,5.9281142273,25100660.72,430279576.33
2023-06-19,07:28:00,5.2835001981,22:35:00,5.6322641417,5.3793431193,5.5865110162,28264117.24,404546210.26
2023-06-18,23:49:00,5.3750252755,03:33:00,5.6490501342,5.5648491934,5.3790524349,14844626.41,389500395.28
2023-06-17,00:28:00,5.2727328307,10:23:00,5.8146501369,5.3243389124,5.5649801021,39212830.86,402971778.2
2023-06-16,00:42:00,4.6828839205,21:19:00,5.4022666249,4.7050724351,5.3249341443,38233440.62,385560932.04
2023-06-15,17:42:00,4.6157003523,01:01:00,4.8274698469,4.7961186016,4.7045821446,16345096.85,340614141.89
2023-06-14,23:43:00,4.7915838223,16:32:00,5.0600366329,5.006171971,4.7975296072,9556244.54,347321715.96
