date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,23:37:00,3.8828696955,05:47:00,3.9341517516,3.9106667253,3.8836819488,1167229.32,372996215.2
2023-08-30,21:40:00,3.9086059198,10:46:00,3.9860648329,3.9267542674,3.9107514728,959852.2,375596005.42
2023-08-29,10:36:00,3.8188495963,23:52:00,3.9302009385,3.8692187239,3.9267190441,1633021.44,377129561.32
2023-08-28,14:06:00,3.8185760789,07:26:00,3.8715173854,3.8539311085,3.8692810691,860939.84,371613109.01
2023-08-27,02:27:00,3.8376036811,15:43:00,3.8704556232,3.855654873,3.8552359671,947701.36,370264190.72
2023-08-26,22:52:00,3.8542697213,01:55:00,3.9215336813,3.8842543039,3.8564268667,603099.01,370378566.98
2023-08-25,16:13:00,3.8552399426,05:08:00,3.9223428929,3.9032580353,3.884257733,709656.5,373051493.71
2023-08-24,17:44:00,3.8885635553,11:26:00,3.9412234011,3.9097916657,3.9015906516,681483.5,374717624.16
2023-08-23,04:29:00,3.8609418212,22:13:00,3.9402069712,3.8732316467,3.9104114514,987586.39,375569114.87
2023-08-22,22:24:00,3.8657468607,00:48:00,3.9088874052,3.905009443,3.8740301022,756691.35,372076302.96
2023-08-21,15:49:00,3.8887718362,09:12:00,3.9214627695,3.8928182625,3.9053266386,721077.58,375082139.07
2023-08-20,09:42:00,3.8617097076,13:43:00,3.9050637105,3.8740282959,3.892516621,479059.65,373851817.19
2023-08-19,00:29:00,3.8410462196,08:27:00,3.90341512,3.844516092,3.8744411229,752018.35,372115778.92
2023-08-18,17:34:00,3.8206581805,00:24:00,3.9402871445,3.9302223998,3.8436750347,1632166.03,369160889.04
2023-08-17,22:56:00,3.8931101556,00:05:00,4.0483462135,4.0464280209,3.902100401,2253958.06,374772279.17
2023-08-16,23:45:00,4.0450250762,07:28:00,4.0939289765,4.0580074192,4.0472889559,939166.53,388717901.53
2023-08-15,15:17:00,4.0399950619,05:16:00,4.0935461084,4.0859352185,4.0544375372,839456.92,389405554.06
2023-08-14,07:39:00,4.0669713644,02:04:00,4.0995845197,4.0958143799,4.0854702561,780772.08,392386069.35
