date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,22:13:00,1.5797907705,12:00:00,1.644443902,1.6263775786,1.5971544532,1012523.72,229886140.06
2023-08-30,16:16:00,1.6167132105,06:37:00,1.6835325254,1.6756016227,1.6259139793,867449.3,234025637.3
2023-08-29,13:45:00,1.5933979221,14:47:00,1.6990560234,1.6350898492,1.6755080731,1346970.82,241163954.3
2023-08-28,23:16:00,1.633767169,00:01:00,1.7413515381,1.740631393,1.6354153414,1008476.69,235393214.15
2023-08-27,07:43:00,1.6824635872,23:52:00,1.7393057816,1.687765054,1.7346182199,806378.43,249671962.69
2023-08-26,00:26:00,1.6128974887,04:20:00,1.7132652735,1.6213480823,1.6879625464,1242740.49,242956586.69
2023-08-25,11:06:00,1.5115172142,16:32:00,1.6425941829,1.5592537426,1.6213686887,1847724.85,233371411.71
2023-08-24,23:32:00,1.5498222556,05:56:00,1.6724463651,1.6168589944,1.559128253,1078239.17,224412845.75
2023-08-23,13:40:00,1.5872865302,03:50:00,1.6892315033,1.6416034701,1.6168727019,1526392.7,232724282.66
2023-08-22,22:12:00,1.605859355,02:19:00,1.7784069367,1.7344680623,1.6415717234,1745471.04,236279331.89
2023-08-21,23:31:00,1.7311239493,00:07:00,1.8262743375,1.8257859828,1.7344274476,1146800.2,249644503.91
2023-08-20,19:53:00,1.8157300996,03:23:00,1.858840673,1.8528027376,1.8255269473,938612.17,262756894.08
2023-08-19,00:01:00,1.8070599686,14:47:00,1.8680519338,1.8114066587,1.8526392382,1344105.49,266659296.82
2023-08-18,00:03:00,1.7549216409,23:06:00,1.8180543349,1.7586263945,1.8108972854,1680037.19,260651176.32
2023-08-17,22:16:00,1.6706567237,12:29:00,1.8975113363,1.8418842956,1.7588127768,2973534.35,253154401.91
2023-08-16,23:41:00,1.8411874849,12:12:00,1.9813431462,1.9258560191,1.8420031844,2758653.09,265128398.31
2023-08-15,15:26:00,1.7961578094,18:11:00,2.0057173833,1.8270019512,1.9258234504,3603163.08,277193053.29
2023-08-14,13:42:00,1.7999077057,06:54:00,1.8628204181,1.8483776909,1.827092881,1368015.47,262982286.47
2023-08-13,06:30:00,1.8410084323,10:19:00,1.8891249079,1.8704090772,1.8484888518,998907.68,266061911.69
2023-08-12,23:01:00,1.8581668102,08:13:00,1.9441960143,1.9244585434,1.8700336493,1475388.0,269162958.27
2023-08-11,09:35:00,1.8885559771,02:07:00,1.9920183664,1.96913157,1.9243180847,1929264.49,276976378.75
2023-08-10,20:42:00,1.9511682813,00:11:00,2.0106474068,2.0070922922,1.968637646,1413119.2,283355506.86
2023-08-09,19:44:00,1.9882096586,08:15:00,2.0855977752,2.0706217623,2.0069426437,2000147.56,288868929.84
2023-08-08,22:38:00,2.0587866019,12:40:00,2.1818760191,2.0967987779,2.0712493468,2498152.41,298124903.63
2023-08-07,20:15:00,2.0650491658,05:34:00,2.2086468852,2.0759550158,2.098361971,3066290.87,302027354.34
2023-08-06,10:49:00,1.9572952784,19:20:00,2.136405402,2.030310543,2.0754651448,2520296.9,298731703.77
2023-08-05,05:46:00,1.9562993955,18:54:00,2.1203025392,2.0140614897,2.0302375253,3648018.9,292221874.45
