date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,0.1630464379,12:58:00,0.1729043182,0.1715264993,0.1641468844,2381526.44,158574925.65
2023-08-30,15:07:00,0.1702444224,00:04:00,0.1757941854,0.1756801189,0.1715269519,1589900.07,165690721.9
2023-08-29,10:42:00,0.1639637278,18:15:00,0.1769144387,0.1684673872,0.1756833866,3245804.8,169695491.07
2023-08-28,07:44:00,0.1658205749,00:20:00,0.1699283429,0.1697316845,0.1685063013,1807767.05,162727530.69
2023-08-27,04:17:00,0.167934465,15:05:00,0.1708696645,0.1683119422,0.1697178164,1470001.83,163889042.89
2023-08-26,17:11:00,0.1672956261,04:40:00,0.1707614788,0.1695209415,0.1683164819,1647750.89,162527566.35
2023-08-25,05:05:00,0.1666158664,18:59:00,0.1699953111,0.1696392712,0.1695115541,2467118.41,163669478.54
2023-08-24,21:00:00,0.1681190863,05:20:00,0.1728107556,0.1724336984,0.1696289385,2029261.86,163774287.33
2023-08-23,13:17:00,0.1667793356,19:54:00,0.1740889204,0.168177906,0.1724255819,2001964.21,166453494.59
2023-08-22,18:15:00,0.1619653526,01:52:00,0.170903411,0.1703079913,0.1681715725,2794087.12,162340056.02
2023-08-21,15:31:00,0.1670679972,00:03:00,0.1742718514,0.1741279055,0.1703068109,2891209.61,164393877.91
2023-08-20,00:00:00,0.1719840506,08:40:00,0.1763849973,0.1719840506,0.1741320057,3777646.43,168076490.28
2023-08-19,07:30:00,0.1696735237,16:57:00,0.1739623396,0.1710887252,0.1719819227,2017291.27,165991975.21
2023-08-18,00:03:00,0.1660386146,06:44:00,0.1723200077,0.166174466,0.1710798036,4486603.14,165114045.93
2023-08-17,21:47:00,0.1575512218,07:01:00,0.1876653095,0.1845119325,0.1661755383,6709056.75,160374372.33
2023-08-16,21:16:00,0.1803974695,00:27:00,0.1996512718,0.1996185,0.1845320735,5660934.12,178082186.73
2023-08-15,19:13:00,0.1953167762,00:00:00,0.2111823192,0.2111823192,0.1996201025,3861992.56,192634200.45
2023-08-14,02:22:00,0.2080363142,16:52:00,0.2129498788,0.2114407074,0.2111529402,3717070.95,203752423.02
2023-08-13,22:43:00,0.2095068498,14:43:00,0.2125317662,0.2118077453,0.2114330119,2196009.81,204007372.09
2023-08-12,00:25:00,0.2089152269,16:49:00,0.2127750675,0.2093452586,0.211807757,1304582.68,204358403.09
2023-08-11,03:06:00,0.2092793062,14:18:00,0.2116351779,0.2098729178,0.2093646052,1433980.97,201951395.21
2023-08-10,20:53:00,0.2087614562,01:04:00,0.2132973672,0.2130735501,0.2098881665,2016177.12,202447490.62
2023-08-09,03:06:00,0.2113123421,13:03:00,0.2159433707,0.2132245767,0.2130643989,2330697.91,205497517.71
2023-08-08,02:03:00,0.2061973219,21:26:00,0.2144647743,0.2064360463,0.213176587,3199221.63,205591992.46
2023-08-07,16:19:00,0.2032742607,03:08:00,0.2119597577,0.2095795923,0.206426376,3700520.07,199059819.16
2023-08-06,23:16:00,0.2091860389,02:19:00,0.2158595541,0.2125686082,0.2095800052,2025570.08,202086535.61
