date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,0.0136625955,11:46:00,0.014312346,0.0142364682,0.013778117,2158887.94,130131183.72
2023-08-30,15:07:00,0.0140785342,00:14:00,0.0145624341,0.0145133683,0.0142385062,2117744.01,134480144.48
2023-08-29,12:26:00,0.013437258,22:17:00,0.0145921587,0.0139236756,0.0145144888,3496675.36,137087294.54
2023-08-28,09:20:00,0.0134854555,23:30:00,0.0139493166,0.0137321873,0.0139225317,2482335.27,131496865.73
2023-08-27,03:19:00,0.0135158684,16:52:00,0.0138205989,0.0136125691,0.0137328239,2382222.65,129705481.51
2023-08-26,23:55:00,0.0136068993,07:57:00,0.0138726357,0.0137250428,0.0136114452,2032794.19,128559451.64
2023-08-25,04:42:00,0.0133549283,00:04:00,0.0138768661,0.0138565044,0.0137264789,3448326.63,129646454.32
2023-08-24,20:57:00,0.0136044105,00:05:00,0.0143668707,0.014353875,0.013851722,2804986.14,130829893.91
2023-08-23,13:14:00,0.0140457943,17:19:00,0.0145470176,0.0143172125,0.0143524293,2512042.41,135559357.44
2023-08-22,18:11:00,0.013672666,23:16:00,0.0143454595,0.0140925628,0.0143167003,3746648.56,135222297.16
2023-08-21,15:36:00,0.0137614392,01:49:00,0.0146466034,0.0145716893,0.0140962152,4164681.81,133140063.46
2023-08-20,08:37:00,0.0141046791,20:58:00,0.0147161023,0.0143227582,0.0145727135,3274079.8,137641044.2
2023-08-19,06:05:00,0.0141898969,17:01:00,0.0145309859,0.0143026238,0.0143220927,2448595.49,135274168.79
2023-08-18,17:09:00,0.0138707715,06:16:00,0.0145146545,0.0139578123,0.0143022677,5577388.21,135087187.77
2023-08-17,21:46:00,0.0133456458,07:02:00,0.0163993316,0.015557227,0.0139556117,9009364.57,131813489.36
2023-08-16,21:16:00,0.0154434722,00:00:00,0.0171112803,0.0171112803,0.0155549303,4766447.53,146919665.07
2023-08-15,19:12:00,0.0170193542,01:15:00,0.018366498,0.0182579174,0.0171176921,3295757.46,161680928.8
2023-08-14,02:24:00,0.0179090908,10:08:00,0.0183629335,0.0180042888,0.0182582114,3197740.72,172453935.24
2023-08-13,00:25:00,0.0174889453,19:42:00,0.0182069728,0.0175017251,0.0180040823,3754735.09,170054120.36
2023-08-12,00:05:00,0.0170456798,16:24:00,0.017559031,0.0170624448,0.0175018296,3036957.53,165310844.83
2023-08-11,12:42:00,0.0168294148,07:19:00,0.0171690966,0.0169334318,0.0170622436,3299475.63,161159096.04
2023-08-10,08:38:00,0.0166401179,02:38:00,0.0172333653,0.0171840946,0.0169331181,4251787.47,159939776.21
2023-08-09,21:18:00,0.0170346216,05:28:00,0.0176629568,0.0175378294,0.0171800645,3230760.39,162272762.39
2023-08-08,04:21:00,0.0172339995,17:20:00,0.0178231402,0.0173707336,0.0175377062,2530062.37,165651329.21
