date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:13:00,0.4564976176,04:02:00,0.4943186126,0.4876854013,0.459172185,2532427.02,111854255.11
2023-08-30,08:18:00,0.4709768886,22:31:00,0.4935739412,0.4814566943,0.487711365,2625888.41,118778110.34
2023-08-29,03:45:00,0.4617313298,14:46:00,0.4946240958,0.4740979655,0.4810182034,4266761.34,117120092.07
2023-08-28,23:59:00,0.4742300757,01:45:00,0.5131697494,0.5054748467,0.4742300757,2788781.12,115439675.67
2023-08-27,18:43:00,0.4991692919,04:47:00,0.5300071262,0.5169612805,0.5054305,4757426.6,123005257.49
2023-08-26,07:25:00,0.4790364379,12:56:00,0.5305805251,0.5027035014,0.5169877415,13506998.33,125787749.98
2023-08-25,14:58:00,0.4429807954,19:14:00,0.5767263413,0.4516909509,0.5041134342,12043500.87,122625935.14
2023-08-24,17:41:00,0.4489788423,00:10:00,0.4581149606,0.4568017557,0.4516584961,1042580.85,109839939.92
2023-08-23,13:26:00,0.4432924202,20:42:00,0.4637829546,0.445121383,0.4568053571,1617832.59,111064975.9
2023-08-22,21:40:00,0.4339402899,02:26:00,0.460769756,0.4582870475,0.4451123555,1721323.17,108196048.2
2023-08-21,16:03:00,0.4373336921,23:25:00,0.4603420346,0.4544459116,0.4581101748,1824250.86,111328785.82
2023-08-20,19:52:00,0.4520099079,01:13:00,0.4650386019,0.4603572436,0.4544454436,1050196.98,110411825.8
2023-08-19,00:31:00,0.444970095,20:11:00,0.4637205447,0.4477672861,0.4602972517,1487126.25,111806769.84
2023-08-18,05:34:00,0.4352445546,23:58:00,0.4479454714,0.4383795725,0.4477472282,2174585.84,108732231.07
2023-08-17,21:49:00,0.4199819888,03:48:00,0.476111299,0.4698233197,0.4383460543,3275950.41,106423693.1
2023-08-16,22:02:00,0.4679494345,00:29:00,0.5024511675,0.5018819134,0.4698764678,2517026.49,114051465.42
2023-08-15,19:37:00,0.4980114429,00:00:00,0.5286949728,0.5286949728,0.5019139333,3076846.43,121798483.54
2023-08-14,19:55:00,0.5249856861,16:49:00,0.5343399425,0.5319019314,0.5287023916,2079429.44,128268491.03
