date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,17:04:00,4.0507852834,00:00:00,4.362590525,4.362590525,4.1069984423,1121194.61,397282224.57
2023-08-30,18:31:00,4.3495047579,00:17:00,4.5357185105,4.5215232542,4.3625934515,1034387.31,422006693.13
2023-08-29,13:05:00,4.237195736,23:53:00,4.5298084543,4.3640066839,4.528439321,1949667.72,438049459.38
2023-08-28,21:14:00,4.3429162918,00:20:00,4.4674046225,4.4638486568,4.3629019223,955216.19,422036532.43
2023-08-27,09:18:00,4.4516881433,00:08:00,4.5155623513,4.5145860295,4.4644020697,812052.05,431854944.81
2023-08-26,23:19:00,4.5107604178,01:24:00,4.5620461902,4.5537405575,4.5162151735,691730.36,436866981.08
2023-08-25,07:37:00,4.4800828579,00:03:00,4.7386826476,4.7368846317,4.5538072427,1545478.38,440503374.2
2023-08-24,20:48:00,4.7343979693,07:20:00,4.9197339772,4.9023277728,4.7368846317,1197277.99,458212996.79
2023-08-23,13:17:00,4.7883142328,23:37:00,4.914559131,4.8248437013,4.9019352252,1277580.06,474178833.6
2023-08-22,21:28:00,4.7658843133,01:34:00,4.8662436564,4.8612710277,4.8243048417,1236975.71,466669414.77
2023-08-21,16:40:00,4.8223945486,00:04:00,4.9034407652,4.9002320242,4.8626461406,1181051.2,470378283.11
2023-08-20,06:32:00,4.8591363197,20:47:00,4.9232203088,4.9042162963,4.9005096637,648996.57,474040934.79
2023-08-19,07:16:00,4.8373082328,23:59:00,4.9039567012,4.8752172381,4.9039567012,710301.65,474374377.02
2023-08-18,03:14:00,4.7885113863,20:30:00,4.8971267835,4.8689438459,4.8794354978,1222031.06,472002367.77
2023-08-17,21:46:00,4.6285151799,05:59:00,5.3058796355,5.273398172,4.8666397302,3264142.79,470764594.97
2023-08-16,23:45:00,5.2617044285,02:57:00,5.4852201282,5.4728122005,5.2732778366,1298864.34,510099913.39
2023-08-15,19:10:00,5.4096691409,01:16:00,5.5351744532,5.5234871841,5.4722964747,985201.81,529351580.61
2023-08-14,19:10:00,5.5111537135,15:42:00,5.5829978563,5.5347117269,5.5236575297,754202.31,534319888.85
2023-08-13,22:23:00,5.5305288937,14:30:00,5.5944667198,5.565283801,5.5390129859,674916.86,535805267.98
2023-08-12,00:03:00,5.544147998,13:07:00,5.5953176245,5.5501176289,5.5645472092,583177.26,538275269.66
2023-08-11,18:50:00,5.5398967083,14:13:00,5.5980456375,5.5819800226,5.550220607,581959.61,536889414.64
2023-08-10,20:42:00,5.5677716924,01:41:00,5.6315024568,5.6108221248,5.5822625878,646564.29,539988931.13
2023-08-09,17:59:00,5.5781342292,01:28:00,5.6459453259,5.631641474,5.610799562,560857.05,542749397.87
2023-08-08,14:00:00,5.5592226873,21:21:00,5.6543723726,5.5792426462,5.6341470643,963573.68,545007871.5
2023-08-07,15:51:00,5.5236209878,04:35:00,5.6290150772,5.5979365347,5.5791751368,931382.7,539690272.78
2023-08-06,00:42:00,5.5459059035,12:21:00,5.6125150841,5.5603831856,5.5924608359,676028.39,540975438.13
2023-08-05,05:18:00,5.4849623372,23:51:00,5.5793063273,5.507502903,5.5619677978,909055.13,538025755.49
2023-08-04,12:07:00,5.4849086086,15:56:00,5.53559076,5.5161547261,5.5074000386,915836.87,532747253.18
2023-08-03,22:32:00,5.500983278,00:00:00,5.6210524625,5.6210524625,5.5172044046,1259431.31,533695658.78
2023-08-02,16:53:00,5.583326927,00:11:00,5.7358827121,5.7189068119,5.6221482797,1157062.81,543847193.23
2023-08-01,04:27:00,5.6706285187,09:01:00,5.7975488242,5.7286278059,5.7205233061,1867429.31,553363303.33
