date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,63.6168353982,11:49:00,68.222328155,67.6608223906,63.9513755947,377755733.8,4707030795.0
2023-08-30,15:07:00,66.8148744188,00:13:00,68.9853808142,68.8930679266,67.659532298,294424843.86,4979704058.4
2023-08-29,12:25:00,64.7093639357,14:46:00,70.2155489212,65.5417499157,68.8924702305,540744007.84,5070205191.16
2023-08-28,09:57:00,64.2706293004,23:28:00,65.6675793868,65.3678104493,65.5425071459,252050651.43,4823435841.44
2023-08-27,01:43:00,64.9050951802,15:10:00,65.8790307929,65.0103976377,65.3671141109,191462581.38,4810284331.45
2023-08-26,19:25:00,64.9618324892,11:34:00,65.4984654728,65.1128909563,65.010719803,183821198.62,4783797676.33
2023-08-25,05:05:00,63.8431488867,19:17:00,65.2228341895,64.8813947296,65.1119142961,268487447.25,4790996215.75
2023-08-24,20:58:00,64.1384532469,05:14:00,65.8449040324,65.6120868857,64.879273169,225372238.13,4773649562.23
2023-08-23,13:14:00,64.1680281256,20:28:00,66.5935488793,64.7736986856,65.6107784691,304886653.23,4827237686.81
2023-08-22,22:10:00,63.2790033339,00:07:00,67.105316458,66.958952622,64.7702862451,377574602.85,4765174359.8
2023-08-21,16:04:00,64.9780588584,21:54:00,67.0464486443,65.2515051998,66.9586898755,431113835.78,4925925362.73
2023-08-20,00:08:00,64.0736354182,21:02:00,65.7236238904,64.1079170142,65.2525119879,246734221.83,4800181663.45
2023-08-19,07:24:00,63.7343444204,17:01:00,64.8952775324,64.0851360226,64.1038663328,299693327.91,4715448866.89
2023-08-18,04:41:00,63.7320415916,01:03:00,65.7644776403,65.0941937568,64.0829168267,571194825.36,4713680337.18
2023-08-17,21:46:00,61.7561093258,05:59:00,75.6667932225,74.4791810794,65.0857593578,785297656.11,4787209037.59
2023-08-16,21:58:00,73.6292330678,02:58:00,79.4574917233,79.2762281079,74.4788589558,622966363.8,5477854104.87
2023-08-15,19:16:00,78.7631468371,00:25:00,82.1091045155,82.0682294757,79.2737522015,401918865.47,5830230356.79
2023-08-14,02:22:00,81.6697597656,16:46:00,82.9730476321,81.9790415639,82.0685834937,262059229.38,6035501758.14
2023-08-13,22:43:00,81.6519334868,02:38:00,83.6159744799,83.4504828353,81.9780338454,268437600.66,6028505405.81
2023-08-12,20:18:00,83.3445020195,01:02:00,83.8572232457,83.494975802,83.4485217823,187648882.58,6136359551.09
2023-08-11,10:13:00,82.7199517498,23:46:00,83.5278893178,83.0347776563,83.4958636884,210777033.87,6139536062.66
2023-08-10,19:36:00,82.7010346341,02:50:00,84.2788202435,84.0383381481,83.0334672846,273793335.83,6105235624.82
2023-08-09,16:52:00,83.2995029659,13:02:00,84.4274342761,83.9545120321,84.0372116106,1086009762.54,6178734758.96
2023-08-08,02:04:00,81.8248306497,17:04:00,85.110457932,82.3426918914,83.956896718,464971615.34,6172523785.28
2023-08-07,16:49:00,80.5120940896,03:02:00,83.2198374814,82.470979939,82.3445201956,369980930.28,6053674370.72
2023-08-06,16:01:00,82.0892443389,05:18:00,83.3685556255,83.1002897092,82.4717045845,261949686.06,6062711119.25
2023-08-05,01:59:00,81.5812407601,22:52:00,83.2977770485,82.0864678193,83.1055901752,266995798.95,6109028189.92
2023-08-04,18:58:00,81.5066431896,13:54:00,83.7061208101,82.6933367261,82.0789102256,574898133.98,6033283795.95
2023-08-03,23:58:00,82.6962348511,02:03:00,88.2265592313,87.4917248142,82.7077930935,661629538.74,6079231255.5
2023-08-02,18:04:00,86.9182775608,00:07:00,94.3130064903,93.8185006178,87.489062729,899573747.81,6430364787.53
2023-08-01,04:27:00,89.7880056262,23:59:00,93.8204054204,92.2442615615,93.8204054204,775320147.44,6895099825.7
2023-07-31,20:07:00,91.6476667072,01:02:00,94.8222741477,94.0893297988,92.2431302365,526612463.35,6778477360.46
2023-07-30,20:14:00,92.2112853441,17:09:00,95.6925520921,94.57042253,94.0910560333,764611368.39,6913519277.6
2023-07-29,09:06:00,90.9667530511,23:53:00,94.7157547657,91.5191879985,94.5980930884,357766273.61,6950040471.76
2023-07-28,00:00:00,90.4932059408,15:14:00,91.89439909,90.4932059408,91.5305719185,341018406.89,6724086536.19
2023-07-27,19:40:00,89.9259326976,02:16:00,91.7282801949,90.6269517682,90.493766099,393733970.38,6647266123.18
2023-07-26,19:13:00,88.9490481139,23:14:00,90.9701984069,89.5309285163,90.621420991,411401839.76,6656060836.29
2023-07-25,17:14:00,88.8578290792,14:17:00,89.9769446301,89.1550329477,89.5313990484,369676148.33,6575361806.15
2023-07-24,15:16:00,88.2190184442,00:00:00,93.2493354507,93.2493354507,89.1534636804,558656341.14,6546933496.14
2023-07-23,00:53:00,91.820364276,19:13:00,93.4771784744,92.062993833,93.2588618853,361401130.78,6847790888.37
2023-07-22,23:35:00,91.7180177594,01:16:00,96.1513442049,94.0481749386,92.0515143034,442970678.25,6758476419.44
2023-07-21,07:52:00,91.9632568333,19:37:00,94.6052651553,92.3840406047,94.0518618257,454489402.52,6904642426.82
2023-07-20,16:58:00,91.6814455889,07:36:00,93.4806478969,92.1534653767,92.3820573416,558800999.16,6781376674.84
2023-07-19,00:00:00,91.5150040326,03:16:00,94.0611653618,91.5150040326,92.1617951345,479778485.09,6764535375.35
2023-07-18,17:29:00,90.1636678197,02:10:00,92.8610511026,92.2901711,91.5032192981,444675472.86,6715562108.56
2023-07-17,18:52:00,90.3341387612,02:16:00,93.5226755241,92.9106437976,92.2934533748,581572145.34,6772949467.01
