date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,23:51:00,6.8833845235,04:09:00,7.5411210929,7.4791432583,6.9000570936,42957976.61,199258663.33
2023-08-30,02:44:00,7.0273192034,17:40:00,7.7272601375,7.1778348078,7.4785500957,62496777.27,215894788.26
2023-08-29,12:17:00,6.9883184178,14:28:00,7.4342825599,7.2127784015,7.1776795055,48898320.17,207078085.95
2023-08-28,16:34:00,6.9754395288,00:21:00,7.9313962362,7.9296188147,7.2133705272,57856310.42,208041801.11
2023-08-27,00:11:00,7.0222947789,18:31:00,8.0708436984,7.0856895215,7.9264593523,94048557.68,228535726.38
2023-08-26,00:58:00,6.5052829388,11:31:00,7.3872221105,6.6052370432,7.0905825844,69527672.5,204371109.42
2023-08-25,12:36:00,6.5068549253,02:37:00,6.9898669222,6.8213526362,6.6052261755,46599344.67,190321657.35
2023-08-24,00:00:00,6.3734359416,13:22:00,7.4324385817,6.3734359416,6.8193238022,102517833.22,196428717.91
2023-08-23,03:55:00,5.7964036886,08:13:00,6.6961382433,5.8048700504,6.3714877825,93087903.42,183471196.25
2023-08-22,17:38:00,5.6099450357,02:28:00,6.152223898,6.0581619667,5.806410673,38478290.13,167145233.12
2023-08-21,15:58:00,5.9200933817,05:43:00,6.3538493355,6.1989720571,6.0582021091,34878545.48,174287354.35
2023-08-20,15:58:00,6.1473859589,01:08:00,6.4381484552,6.3442402275,6.1991192979,29364081.38,178286260.04
2023-08-19,05:50:00,6.2156296539,08:37:00,7.2316834519,6.3351893518,6.3447115792,59007848.54,182417055.91
2023-08-18,14:19:00,5.8603624312,00:01:00,6.6244838302,6.6105777283,6.3342900284,43138088.46,182061197.59
2023-08-17,22:12:00,6.1463192457,06:42:00,7.0604880262,6.5097034289,6.6092556031,61194650.76,189905746.56
2023-08-16,21:16:00,6.3233022153,07:05:00,7.1652375896,6.8282001416,6.5070379207,66754728.16,186911154.69
2023-08-15,19:55:00,6.7390813454,00:28:00,7.6101421851,7.4504008349,6.8295523672,71703520.78,196114304.86
2023-08-14,04:50:00,6.4452410621,06:56:00,8.148095791,7.1687927173,7.4493037155,152188067.42,213845865.8
2023-08-13,22:28:00,6.9931696471,15:04:00,9.1351224686,7.8436434098,7.162870069,241098485.01,205497618.15
2023-08-12,04:37:00,5.9040449317,23:59:00,7.8373623784,6.1785834908,7.8373623784,122822372.14,224779787.38
2023-08-11,00:20:00,4.6388962138,18:25:00,6.5162519385,4.6645100496,6.1764911514,138088868.04,177091122.53
2023-08-10,06:30:00,4.5449977767,10:57:00,4.9227633232,4.6863861058,4.6638976608,23054434.26,133681356.53
2023-08-09,14:26:00,4.6379919864,01:58:00,5.0789234532,4.9431880834,4.6882240577,31373241.48,134337503.52
2023-08-08,23:16:00,4.800295119,04:50:00,5.9790610886,5.8973369919,4.9461527264,79613250.14,141684875.71
2023-08-07,00:01:00,4.090842605,13:29:00,6.6047277884,4.093382846,5.8979017913,242629937.18,168896551.53
2023-08-06,00:13:00,3.9443947947,17:18:00,4.1257645126,3.9453516229,4.0937954281,8641349.2,117196775.58
2023-08-05,01:59:00,3.8360072738,23:00:00,3.9616046756,3.8888170566,3.9463688501,6980420.89,112938814.41
2023-08-04,20:54:00,3.8673242037,16:46:00,3.9567447996,3.9181545694,3.8881868734,6918080.9,111209443.97
2023-08-03,22:51:00,3.8823795418,01:46:00,3.9954483047,3.9618874406,3.9209054425,7325519.76,112111207.27
2023-08-02,17:01:00,3.9033292919,01:54:00,4.1430392497,4.0894532277,3.9617158181,7324867.05,113243236.27
2023-08-01,02:13:00,3.9036852289,23:59:00,4.0891852546,4.0119478535,4.0891852546,5619264.33,116852336.93
2023-07-31,20:07:00,4.0027183627,03:25:00,4.1242124934,4.0537149642,4.0113230479,4976286.94,114593558.91
2023-07-30,20:04:00,3.9499698522,04:18:00,4.2314385706,4.2029404309,4.0556388378,5419905.07,115825598.94
2023-07-29,15:39:00,4.0702799159,02:08:00,4.231362979,4.1936385146,4.2026105084,5175178.47,119986666.94
2023-07-28,08:12:00,4.1538328647,17:04:00,4.2298449093,4.2015301758,4.1939297122,4764918.43,119702197.64
2023-07-27,00:57:00,4.0928732565,10:17:00,4.2549967403,4.1221351471,4.2014318893,5704759.39,119848334.65
2023-07-26,01:40:00,3.9295763086,21:28:00,4.1501639317,4.0006488922,4.1220628109,6011931.53,117549460.75
2023-07-25,11:31:00,3.9438075449,03:47:00,4.0523795357,4.004490603,4.0006873659,5849246.11,114054448.2
2023-07-24,16:22:00,4.0024553389,00:01:00,4.178674462,4.1755014496,4.0051525222,7251542.47,114148695.74
2023-07-23,00:59:00,4.0193532756,18:06:00,4.2229145906,4.0305542498,4.1748882714,6507826.6,118951171.87
2023-07-22,23:35:00,4.0191329513,04:37:00,4.1216877587,4.0612069024,4.0293568346,5276427.32,114770634.81
2023-07-21,00:40:00,4.0055210565,18:13:00,4.0927951359,4.0297589095,4.0609968582,5367822.03,115637285.56
2023-07-20,04:35:00,3.9696636582,14:06:00,4.0993475113,3.9968673751,4.0295772627,7477674.45,114676103.22
