date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,0.1780269144,11:49:00,0.1875095027,0.1862287489,0.179288858,10607333.05,238731667.28
2023-08-30,15:07:00,0.1852836386,08:43:00,0.1896592828,0.1892550785,0.1862317888,10059323.8,247976510.93
2023-08-29,10:55:00,0.1796919773,14:46:00,0.1921485066,0.1828033404,0.1892304376,14759762.01,251969354.88
2023-08-28,05:49:00,0.1782269789,19:19:00,0.1838082535,0.18039636,0.1828010143,8686308.07,243408270.93
2023-08-27,03:08:00,0.1788289835,14:41:00,0.1811456055,0.1799447265,0.1803989916,6565657.53,240209863.14
2023-08-26,23:46:00,0.1798288889,03:32:00,0.1844829143,0.1825844081,0.1799502221,5370395.48,239612305.23
2023-08-25,04:53:00,0.1791045514,19:21:00,0.183569787,0.1831233167,0.1825851163,7950107.13,243120792.46
2023-08-24,20:59:00,0.1813100463,05:14:00,0.1865091546,0.1859994358,0.1831180542,9551821.14,243830424.78
2023-08-23,13:17:00,0.1811552209,19:50:00,0.1876282996,0.1833593564,0.1859816436,8896945.83,247643430.68
2023-08-22,21:31:00,0.1776599295,07:47:00,0.1852756708,0.1840592522,0.1833513195,10356544.98,244141028.56
2023-08-21,16:17:00,0.1794667385,02:01:00,0.1868244457,0.186022727,0.1840687617,10181276.7,245096337.09
2023-08-20,16:58:00,0.1855765095,13:09:00,0.1886892953,0.186915769,0.1860331201,6901164.76,247711974.05
2023-08-19,07:16:00,0.1851290419,17:00:00,0.1878554786,0.1859810035,0.1869139053,7474859.56,248884781.6
2023-08-18,03:01:00,0.1818362226,08:14:00,0.1871684434,0.1828407397,0.1859665455,12583581.34,247623326.83
2023-08-17,21:46:00,0.1700463482,06:28:00,0.2027181471,0.2012329241,0.1828298515,18449800.8,243446669.13
2023-08-16,21:16:00,0.1973591895,00:24:00,0.2127910655,0.2125471661,0.2012430972,16718259.15,267964784.2
2023-08-15,19:12:00,0.2089116282,00:01:00,0.2218800034,0.2218647636,0.2125455052,15331324.34,283014479.59
2023-08-14,02:22:00,0.2192968794,15:31:00,0.2253756203,0.2217751047,0.2218688912,10797422.54,295429012.8
2023-08-13,06:07:00,0.2205662507,20:11:00,0.223742862,0.221858852,0.2217796803,7837642.92,295310224.2
2023-08-12,20:04:00,0.2206787336,01:01:00,0.2235515085,0.223054333,0.2218635824,7295156.5,295421943.9
2023-08-11,16:58:00,0.2199814244,13:43:00,0.2286412966,0.2213703107,0.2230491623,20462270.03,297000600.04
2023-08-10,08:55:00,0.2191395095,14:04:00,0.2228316078,0.2194272105,0.2213689998,10544891.64,294763383.57
2023-08-09,21:17:00,0.2182685657,01:34:00,0.2252934904,0.2250340753,0.2194234372,16993771.69,292172774.12
2023-08-08,00:00:00,0.2200716043,09:07:00,0.2362858425,0.2200716043,0.2250482794,53250240.1,299662519.87
2023-08-07,00:38:00,0.2164183338,05:32:00,0.2301511356,0.2167531564,0.22008195,35265914.53,293049615.36
2023-08-06,01:36:00,0.2126432776,16:23:00,0.2194796743,0.2128889985,0.2167352117,11051793.02,288593273.59
2023-08-05,04:52:00,0.2083483579,23:58:00,0.212923396,0.2101797556,0.2129135475,6973899.07,283504545.41
2023-08-04,06:53:00,0.2080106009,13:53:00,0.2141602505,0.2104240503,0.2101832602,9834177.29,279869037.72
2023-08-03,22:43:00,0.2090785077,15:02:00,0.2130216408,0.2118044087,0.210440211,8534736.79,280211179.87
2023-08-02,16:59:00,0.2100391885,01:36:00,0.2166091713,0.2154161137,0.211830111,10885292.71,282061898.11
2023-08-01,04:25:00,0.2104275066,01:18:00,0.2168635609,0.2163682208,0.2154449471,14876012.53,286875224.77
2023-07-31,21:04:00,0.2158407129,08:31:00,0.2241968088,0.2228379333,0.2163553759,9551963.95,288087504.18
2023-07-30,20:04:00,0.2181148124,03:13:00,0.225584759,0.2251595481,0.2228362605,9384268.47,296717111.2
2023-07-29,15:50:00,0.2241168202,01:51:00,0.2269990149,0.2258048541,0.2251384865,6363901.2,299782634.91
2023-07-28,05:57:00,0.2250197481,15:12:00,0.2282591358,0.2260996227,0.2257864904,10360991.62,300645482.95
2023-07-27,06:46:00,0.2229738251,15:49:00,0.2274126882,0.224373379,0.226100065,13189120.26,301060392.45
2023-07-26,01:37:00,0.2136997799,18:43:00,0.229561669,0.2167154737,0.2243731322,23122218.95,298760919.11
