date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,02:09:00,1033.4784263081,15:02:00,1186.7625733577,1043.7475733012,1156.171956734,142676435.53,1130309588.96
2023-08-30,15:07:00,1030.5741977838,02:01:00,1067.4804180092,1047.4037726606,1043.8531202473,57055557.1,1020503208.38
2023-08-29,12:01:00,1021.1170072275,14:40:00,1073.5675048144,1027.2113735074,1047.0699127747,62331794.23,1023648044.59
2023-08-28,18:51:00,1005.7703500059,12:28:00,1073.7192994318,1073.30479344,1027.1972819547,66689680.81,1004219943.92
2023-08-27,03:19:00,1032.3040707616,23:58:00,1073.3001788074,1038.8809566378,1073.2433573318,52163073.7,1049236016.33
2023-08-26,00:46:00,1005.5995565009,15:07:00,1045.4650570795,1013.1807790054,1038.8198089221,57022095.66,1015582487.01
2023-08-25,15:04:00,990.9434259656,00:04:00,1031.7755530331,1031.2496873137,1013.1679981259,64448513.14,990504480.62
2023-08-24,23:15:00,1022.0928405794,06:13:00,1097.4815317444,1073.6399876981,1031.2651288962,76594677.69,1008196797.34
2023-08-23,13:13:00,1015.1218222353,20:28:00,1081.6383347868,1039.60101758,1073.5915490308,75191056.82,1049576419.35
2023-08-22,21:29:00,1002.0064330623,09:50:00,1116.7609603334,1093.3130114003,1039.5652076711,85160885.83,1016311211.96
2023-08-21,19:03:00,1066.2888957051,00:07:00,1110.32795399,1110.1131384999,1093.5644901081,73026411.45,1069102586.44
2023-08-20,16:55:00,1095.8239726287,13:07:00,1118.5704115709,1102.1650070588,1110.0666622616,50298771.39,1085235622.12
2023-08-19,07:31:00,1066.9521955917,19:47:00,1112.1511959127,1071.2301574365,1102.1807130563,48739464.01,1077526073.42
2023-08-18,03:01:00,1054.6965611649,09:09:00,1100.9574043295,1083.6589876255,1071.2052699836,81814883.6,1047243518.89
2023-08-17,21:46:00,999.8548956541,07:08:00,1146.289212958,1129.7883004033,1083.2806694452,84514654.72,1059048804.18
2023-08-16,20:44:00,1114.068034362,00:07:00,1232.9202420424,1231.6510464753,1129.6383849043,82794475.96,1104369545.62
2023-08-15,19:16:00,1214.3282122283,00:01:00,1249.2791779793,1249.0102802067,1231.8565932917,59131468.1,1204301238.68
2023-08-14,02:22:00,1237.3435377628,08:40:00,1273.3380540107,1244.4736503159,1249.0130192697,78843675.51,1221073893.2
2023-08-13,00:29:00,1219.9741022251,21:08:00,1255.05130068,1224.02916682,1244.5109084415,61528721.04,1216672489.92
2023-08-12,14:48:00,1216.1939195314,01:01:00,1251.2144683506,1248.826702895,1224.0613332994,62376512.61,1196680350.57
2023-08-11,16:46:00,1237.9218636706,12:17:00,1267.2243880921,1255.2918436381,1248.8859646489,70385580.89,1220949680.66
2023-08-10,00:07:00,1209.7871601934,13:56:00,1262.1433355279,1212.0703393444,1255.2570950107,86850407.07,1227178295.44
2023-08-09,20:09:00,1195.0322729666,13:01:00,1222.5888256035,1212.5397102035,1212.2202762565,72896797.86,1185104165.69
2023-08-08,02:02:00,1209.7863204188,13:06:00,1237.2091001632,1217.6498791575,1212.4426391046,66589863.54,1185321554.52
