date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,17:08:00,25.6652706158,13:04:00,26.795493382,26.3965987606,26.0884084557,17303119.2,675779105.72
2023-08-30,15:07:00,25.915203053,01:05:00,26.4657566124,26.2327149817,26.3950420148,16142998.56,683615249.66
2023-08-29,10:34:00,24.8629862468,18:10:00,26.3939586855,25.5179304273,26.2283645334,19439391.94,679192286.1
2023-08-28,09:55:00,24.6395648827,20:31:00,25.5373369573,25.1528217722,25.5183391311,13259912.34,660702795.32
2023-08-27,11:50:00,25.0742438039,00:38:00,25.3440774747,25.1371191555,25.1481096191,9737329.09,651015400.74
2023-08-26,18:47:00,25.0022188807,00:04:00,25.5224360078,25.3175636084,25.137385455,12126608.05,650636176.31
2023-08-25,15:04:00,24.857347933,00:04:00,25.6234928027,25.6134745209,25.321797281,15831684.24,655307121.87
2023-08-24,20:58:00,25.3101311871,05:16:00,26.5369597234,26.414690607,25.6110506893,14529439.13,662689291.64
2023-08-23,13:17:00,25.7580367071,19:56:00,26.7584599437,26.1443043187,26.4133822487,23587208.32,683342962.95
2023-08-22,21:31:00,25.3748402232,00:40:00,26.9067811784,26.7457772735,26.1422969618,17592940.86,676224024.2
2023-08-21,16:04:00,26.5394400667,00:01:00,27.5872675902,27.5847234989,26.7483217058,13403339.92,691791978.02
2023-08-20,16:58:00,27.3984638955,01:01:00,27.8764391218,27.8273553385,27.5854990358,7231584.58,713332426.49
2023-08-19,00:25:00,27.2836819284,13:37:00,28.0053147749,27.362146039,27.8271709423,10791593.63,719469278.55
2023-08-18,00:04:00,26.7440641112,08:14:00,27.6475049602,26.819798211,27.3601403044,17090116.75,707283785.88
2023-08-17,21:46:00,24.6910977818,04:28:00,29.0659144214,28.5912122454,26.822424747,20843690.74,693275618.24
2023-08-16,21:16:00,27.9323416714,00:24:00,29.4775470083,29.4771045507,28.5915564632,17561265.04,738887104.81
2023-08-15,19:11:00,28.6702905447,01:14:00,30.9322132008,30.8439240792,29.4801124404,18645365.53,761730817.77
2023-08-14,02:22:00,30.6956216069,16:22:00,31.1130264218,31.0574408223,30.844713177,11646366.64,796865700.51
2023-08-13,00:42:00,30.403299407,19:55:00,31.1130896883,30.5295252595,31.0543584453,13301845.27,802156282.51
2023-08-12,03:40:00,30.0547914135,23:02:00,30.5659996087,30.4000718597,30.5292433128,10120576.57,788468692.39
2023-08-11,22:05:00,30.2789285085,14:27:00,30.7837058218,30.5574148987,30.3858371862,11716535.58,784642322.06
2023-08-10,17:48:00,30.4515134158,00:34:00,31.1046831859,31.0361529329,30.554296359,12506398.07,788868850.44
2023-08-09,21:16:00,30.9177241866,00:11:00,31.6831990057,31.5993781682,31.0364389323,16671897.59,801191766.72
2023-08-08,02:04:00,30.7357653506,06:10:00,32.8854583882,30.8436958918,31.6004065929,46650765.05,815622673.57
2023-08-07,16:49:00,30.4238263227,01:34:00,31.2566649991,30.9246547014,30.8421563567,11214964.13,795927398.65
2023-08-06,23:52:00,30.8901701884,02:29:00,31.5731216517,31.0885650172,30.9212333271,9170064.63,797843051.2
2023-08-05,04:49:00,30.9028611208,00:35:00,31.1956799504,31.072331169,31.091299485,8799873.9,802105407.54
2023-08-04,20:52:00,30.7011994864,13:49:00,31.4590740267,31.105727473,31.0705604447,10364495.92,801444910.81
2023-08-03,08:28:00,31.011177211,17:14:00,31.549398354,31.3194266735,31.106844232,10701868.18,802255186.98
2023-08-02,23:42:00,31.2591615157,01:34:00,32.4300923641,32.1729833945,31.3196112579,11615023.78,807616014.84
2023-08-01,02:13:00,31.267450956,23:58:00,32.1742990611,32.0182889401,32.1735310168,10729483.28,829505376.59
2023-07-31,21:04:00,31.7046140905,01:03:00,32.5020802343,32.2058185469,32.0211303719,8686460.16,825446782.75
2023-07-30,20:05:00,31.5600572235,06:09:00,32.7621846839,32.6834915457,32.2054845589,8695634.27,830068989.85
2023-07-29,22:01:00,32.5765830961,00:47:00,32.9272696493,32.8368786591,32.68327144,6775160.23,842251402.12
2023-07-28,06:09:00,32.3277365998,23:52:00,32.8431103579,32.4762651839,32.8336238035,8496061.42,845972895.43
2023-07-27,18:43:00,32.2390101118,09:58:00,33.1528610866,32.4834780043,32.478813224,11239482.87,836679659.57
2023-07-26,01:37:00,31.9783016663,20:43:00,32.9334366874,32.3681236006,32.4836903564,12589518.74,836653989.29
2023-07-25,01:58:00,32.1220275537,09:43:00,32.5954806539,32.3710362626,32.3656003757,12443812.93,833461495.82
2023-07-24,10:01:00,32.0850593668,00:52:00,33.8425313751,33.8191604279,32.3701338598,15429721.49,833427135.88
2023-07-23,00:17:00,33.0700251585,18:04:00,34.3181100002,33.1351095606,33.8265294435,13113895.66,870766986.04
2023-07-22,23:35:00,32.9719661635,11:53:00,33.8924100755,33.4656626858,33.1310489079,12689576.44,852709244.82
2023-07-21,19:16:00,33.3089030976,00:01:00,34.0652112358,34.0386307882,33.4638436732,18638739.8,861118764.58
2023-07-20,20:56:00,33.7018986644,12:00:00,36.3369606188,35.8877165644,34.0362354018,24309507.8,875689642.15
2023-07-19,23:52:00,35.8653566488,05:55:00,36.6253925497,36.0878628897,35.8917474212,12064602.58,923261867.28
2023-07-18,17:21:00,35.7488780313,00:31:00,37.2114650944,37.1517619632,36.0819149281,12298681.67,927985357.75
2023-07-17,20:50:00,36.2832274452,07:34:00,38.0213685379,36.9807442122,37.1536355278,20356656.41,955375754.62
2023-07-16,04:51:00,36.2249614494,15:33:00,37.6826916247,36.6841920628,36.9794574696,16691083.28,950724988.91
2023-07-15,03:31:00,36.2321091789,09:56:00,37.3025868697,36.4265228631,36.6854130984,12575570.67,942994104.76
2023-07-14,19:07:00,35.315930016,16:28:00,38.0212723586,37.0638385754,36.428667443,19430301.34,936224767.6
2023-07-13,04:20:00,34.8776016094,23:46:00,37.0814560062,35.2756110663,37.0623079566,17364324.02,952337350.84
2023-07-12,19:37:00,34.855087019,07:56:00,35.8854115067,35.4757766401,35.2739725577,10738822.93,906220771.79
2023-07-11,00:54:00,35.1025899719,07:35:00,35.7467999443,35.1689222263,35.4757766401,10612319.17,911239916.06
2023-07-10,00:19:00,33.7729476291,20:08:00,35.6576990312,34.5534830296,35.1675189374,14776714.59,903157767.51
2023-07-09,00:14:00,34.1884234375,12:55:00,34.6904188827,34.236016579,34.5451102485,7793520.51,887012032.25
2023-07-08,20:10:00,33.5510789183,01:31:00,34.3906111886,34.2562751105,34.2319214531,7713989.14,878810479.76
2023-07-07,00:41:00,33.2200164371,14:05:00,34.3083767942,33.5262872003,34.2555907957,9560669.08,879258528.27
2023-07-06,14:40:00,33.4273423715,09:17:00,35.4326234269,34.8344491483,33.5290727472,11523455.99,860454313.94
2023-07-05,15:42:00,34.2856085544,07:36:00,36.3105234791,35.8996416955,34.8370501909,13263146.88,893858335.3
2023-07-04,19:25:00,35.4411691791,16:42:00,36.1457902741,36.0817142586,35.9011149675,11405162.94,920992842.93
2023-07-03,00:45:00,35.048142193,20:12:00,36.2237202675,35.1868962939,36.0787233228,13256878.95,925380829.4
2023-07-02,04:10:00,34.496062686,00:05:00,35.4296054729,35.4134416383,35.1897730911,10706529.15,902416253.53
2023-07-01,04:35:00,34.372495754,23:59:00,35.4120588547,34.8580664452,35.4120588547,11783296.41,907951519.99
2023-06-30,13:49:00,32.7755261917,13:03:00,35.2535603057,34.0371571635,34.8606389363,18452783.79,893651049.85
2023-06-29,02:20:00,32.3054853913,23:37:00,34.118984613,32.5842848117,34.0426474922,12160806.06,872523404.2
2023-06-28,19:46:00,32.113770015,00:01:00,34.0751447996,34.0562731783,32.5823828818,11758610.11,834944674.74
2023-06-27,06:31:00,33.4893213754,03:04:00,34.3742058262,33.7864847788,34.0549608073,11342549.92,872521912.46
2023-06-26,22:04:00,33.3821938464,00:01:00,34.9723777108,34.9525625189,33.7869278045,18716987.59,865497227.48
2023-06-25,00:46:00,33.228513374,07:32:00,36.4708782444,33.2728022614,34.9548293608,71922580.07,895251764.23
2023-06-24,16:05:00,32.8492421311,15:04:00,33.8965178934,33.4221521089,33.2715344251,12212940.17,851984714.37
2023-06-23,02:13:00,32.1972029099,21:24:00,33.6335168576,32.3169482646,33.4224363926,13417026.54,855693215.18
2023-06-22,23:08:00,32.227886928,10:40:00,33.6032578156,32.5888065011,32.3157347996,16304726.55,827208452.37
2023-06-21,00:11:00,30.7727026947,18:35:00,32.7784040849,30.8499912145,32.5917115744,17795022.62,834120978.0
2023-06-20,14:29:00,29.4563558899,23:57:00,30.8632668072,30.3839110041,30.8514874578,12800767.5,789439553.79
2023-06-19,00:56:00,29.945266028,18:08:00,30.8156373206,30.0821281787,30.3865083961,11657412.58,777399740.27
2023-06-18,23:37:00,30.0320089054,00:09:00,30.9510325437,30.9491077785,30.0817276195,9960688.23,769461984.79
2023-06-17,02:08:00,30.0597028259,19:00:00,31.1217674775,30.290482185,30.9501623591,10584219.5,791531275.14
2023-06-16,00:40:00,29.2622382169,16:42:00,31.4670369396,29.3893817527,30.2909269922,24224142.6,774530673.19
2023-06-15,17:40:00,28.4692094088,05:07:00,29.872343658,29.5856204321,29.3895464973,13610539.61,751345578.36
2023-06-14,21:01:00,29.0884470498,18:01:00,31.0274921094,30.6240364931,29.5864228602,12519550.91,756240714.12
2023-06-13,01:07:00,30.0648133065,12:34:00,31.3427065789,30.1353856226,30.6240364931,15280533.83,782619761.25
