date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,08:15:00,0.5944950759,17:05:00,0.6691364334,0.5975745565,0.6291899815,5714324.69,83838493.65
2023-08-30,22:01:00,0.5950702132,06:11:00,0.6214908946,0.6178770602,0.5979361897,2148606.75,79673979.12
2023-08-29,03:02:00,0.5993451329,08:22:00,0.6678798916,0.602307499,0.6177942826,5783983.78,82320036.18
2023-08-28,10:27:00,0.5808842909,16:10:00,0.6059561202,0.5917600728,0.6022622322,1854194.47,80250416.92
2023-08-27,22:00:00,0.5889329229,00:55:00,0.6261368291,0.6126059742,0.5917090748,2604730.82,78844226.66
2023-08-26,12:38:00,0.5965343349,01:20:00,0.6988417229,0.696475677,0.6125514069,10191011.12,81621431.92
2023-08-25,01:30:00,0.5685216504,18:03:00,0.8432425365,0.5737737087,0.6947257664,25218288.55,92571025.39
2023-08-24,18:53:00,0.5682328292,08:16:00,0.5818050133,0.5768325804,0.5738071654,1136935.79,76458827.71
2023-08-23,13:37:00,0.5628887994,19:51:00,0.5827142109,0.5696913971,0.5771990691,1131278.68,76910793.1
2023-08-22,17:52:00,0.5568359207,00:04:00,0.5774525669,0.5767133888,0.569637862,1299353.91,75903275.14
2023-08-21,13:39:00,0.5692052891,01:03:00,0.5932511869,0.5893925984,0.5768656772,1377407.56,76866369.2
2023-08-20,13:19:00,0.5805729378,22:38:00,0.5938943895,0.5820754587,0.5913379915,1012907.14,78794780.44
2023-08-19,02:22:00,0.581232294,16:45:00,0.5917831072,0.5863429482,0.5820655825,914078.42,77559247.73
2023-08-18,03:40:00,0.5739868869,20:30:00,0.5896838377,0.5783376164,0.5863654741,1296622.98,78132200.96
2023-08-17,22:17:00,0.561201042,07:19:00,0.6281679948,0.6057440786,0.5787754764,1393797.42,77120846.7
2023-08-16,23:56:00,0.6050781575,12:06:00,0.6308712438,0.6243408421,0.6051794121,1049333.93,80639126.17
2023-08-15,23:05:00,0.6235454341,03:47:00,0.6578225847,0.6560943954,0.624349232,1186629.18,83193472.02
2023-08-14,02:28:00,0.6538529118,08:52:00,0.6651240376,0.6562843148,0.6560686385,1071143.54,87420028.92
2023-08-13,13:06:00,0.6536788445,02:51:00,0.6642271859,0.6625743588,0.6562347508,988054.18,87442163.11
2023-08-12,21:07:00,0.6574613892,13:44:00,0.6656389089,0.6608246839,0.6625256462,1200197.75,88280414.2
2023-08-11,19:41:00,0.656961587,04:55:00,0.6679135774,0.6647097108,0.6608010619,1128770.15,88050616.29
2023-08-10,19:20:00,0.6622240283,13:50:00,0.6766840016,0.6682571372,0.6646957865,957217.91,88569581.71
2023-08-09,03:08:00,0.6607162246,23:46:00,0.6711156137,0.6651552502,0.6682839059,1133841.37,89047692.51
2023-08-08,00:07:00,0.659824727,17:22:00,0.6765694915,0.6605098248,0.6651277033,1241045.55,88627133.89
2023-08-07,16:06:00,0.6529309167,02:10:00,0.6694637941,0.6656664864,0.6604381848,962235.12,88002263.53
2023-08-06,15:12:00,0.6602100854,12:57:00,0.687619734,0.6814473835,0.6656658384,1395653.2,88698839.47
2023-08-05,17:28:00,0.6573026106,23:41:00,0.6826117076,0.6626783425,0.6812371362,1063105.54,90773688.39
2023-08-04,23:40:00,0.6608467026,13:54:00,0.6762533484,0.666378145,0.6627929016,1185610.11,88316025.53
2023-08-03,09:16:00,0.6586842206,17:07:00,0.6716997578,0.6640386209,0.6664053292,1195119.05,88797375.36
2023-08-02,20:21:00,0.6603536257,00:23:00,0.6959167914,0.6903140821,0.6639743155,1397726.54,88473446.92
2023-08-01,05:46:00,0.675392017,21:39:00,0.6950595469,0.6925264076,0.6904192236,1431337.26,91997185.9
2023-07-31,22:10:00,0.6888189073,03:13:00,0.7106177096,0.7018727326,0.692537157,1231894.1,92279396.92
2023-07-30,23:03:00,0.6975046747,06:01:00,0.7208253942,0.7200234235,0.7019127026,993272.92,93528672.4
2023-07-29,00:18:00,0.7097385191,23:36:00,0.7216472066,0.7140215742,0.7199854838,1006810.59,95936839.73
2023-07-28,07:40:00,0.6940280185,23:58:00,0.714036744,0.7013047527,0.7140263273,1031529.07,95142792.27
2023-07-27,02:28:00,0.6868142499,10:13:00,0.7114195213,0.6874885183,0.7012122347,1138860.12,93435336.26
2023-07-26,11:48:00,0.6868051832,17:11:00,0.6991532844,0.6978576892,0.6896176565,1028566.31,91890378.46
2023-07-25,03:56:00,0.6680499464,13:08:00,0.7125928744,0.6783127814,0.6978425459,1366614.47,92986330.96
2023-07-24,12:39:00,0.6704776981,00:00:00,0.7027889745,0.7027889745,0.6782911353,1214697.32,90381138.79
2023-07-23,00:00:00,0.6892282413,19:37:00,0.710414646,0.6892282413,0.7043767694,1131719.3,93857005.11
2023-07-22,23:49:00,0.688698233,05:00:00,0.7041475001,0.6999030159,0.689099026,983501.64,91821271.82
