date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:16:00,7.0142516786,11:46:00,7.4209821432,7.3942727564,7.0680669955,22764178.41,498573183.3
2023-08-30,15:10:00,7.3197339206,09:19:00,7.5014752068,7.4736379491,7.3940981354,19437609.15,521571038.78
2023-08-29,10:42:00,7.0350759675,22:15:00,7.53147794,7.2216605736,7.4727258205,27758695.76,527117343.76
2023-08-28,09:20:00,7.012998291,00:20:00,7.2463039322,7.2445109807,7.2217312184,18394093.29,509412477.95
2023-08-27,12:08:00,7.1244150285,05:43:00,7.2973666939,7.1965457304,7.2444095768,20060958.8,511012182.84
2023-08-26,18:47:00,7.1502975042,07:08:00,7.2247414627,7.1750802256,7.1966169158,14420311.71,507640944.4
2023-08-25,04:37:00,6.992227253,23:56:00,7.1768184488,7.1387714207,7.1753624457,21426170.45,506141678.93
2023-08-24,23:15:00,7.0965517596,00:46:00,7.3819297033,7.2459326003,7.1388681599,27477503.43,503567414.67
2023-08-23,00:03:00,7.0455622232,19:56:00,7.3297450317,7.0465139308,7.2458291467,26602257.22,511112317.64
2023-08-22,18:13:00,6.8198996539,00:25:00,7.1167722083,7.1056780374,7.0459600042,21506790.41,497013781.97
2023-08-21,16:18:00,7.0025307046,00:11:00,7.2131538372,7.203735767,7.1055583066,20405656.46,501217776.55
2023-08-20,15:13:00,7.1236550955,21:01:00,7.2548597946,7.1601244609,7.2039143191,15572724.8,508155694.7
2023-08-19,05:41:00,6.9854868131,17:01:00,7.1973272392,6.9968468975,7.1600169122,19158299.04,505059222.93
2023-08-18,04:42:00,6.8634030641,08:13:00,7.0471929471,6.92070642,6.9966127311,31757922.28,493532883.02
2023-08-17,21:46:00,6.493753211,06:02:00,7.7962928983,7.6990685145,6.920988656,40575924.64,488198449.17
2023-08-16,21:16:00,7.6293109216,03:17:00,8.0699705482,8.0624991645,7.6994889513,33522957.68,543112949.92
2023-08-15,19:10:00,7.8858266898,00:15:00,8.5420031747,8.5332330834,8.0626485173,26559658.4,568729801.18
2023-08-14,02:24:00,8.4028858748,15:36:00,8.5833652565,8.4619243162,8.5328961361,20098048.57,601900518.49
2023-08-13,05:42:00,8.4291459078,20:06:00,8.5448588645,8.4966111777,8.4620143779,17341143.09,596900602.13
2023-08-12,00:15:00,8.4720256992,16:32:00,8.5556598504,8.479372199,8.4971677955,15898094.25,599380283.11
2023-08-11,19:24:00,8.4391807213,06:04:00,8.5328521945,8.4723968217,8.479509671,17200721.83,598134699.65
2023-08-10,12:07:00,8.4110066343,02:19:00,8.5130460712,8.4791594131,8.4721482195,18891001.25,597615431.47
2023-08-09,21:16:00,8.420287943,08:15:00,8.5613840595,8.5518702286,8.4790703259,306589968.59,598103708.76
2023-08-08,02:04:00,8.3389721536,21:26:00,8.626866788,8.4036315038,8.5527199637,23552639.24,603298868.12
2023-08-07,16:50:00,8.3005141236,05:55:00,8.5617806938,8.4682505117,8.403673791,24348342.3,592785325.33
2023-08-06,14:17:00,8.4074645295,02:06:00,8.5255793583,8.4307706621,8.4684314213,18270592.51,597353252.87
2023-08-05,02:00:00,8.2799873524,23:57:00,8.4323191763,8.4049992897,8.4312715869,19150310.14,594732041.59
2023-08-04,20:52:00,8.3538662796,13:52:00,8.5431037045,8.4832194054,8.4048878027,26757111.53,592870960.29
2023-08-03,22:31:00,8.4559995238,02:04:00,8.6507497256,8.5972828577,8.4843366687,27336336.83,598475190.43
2023-08-02,16:58:00,8.551277141,00:25:00,8.9806757191,8.884417724,8.5965146888,40728810.07,606388096.83
2023-08-01,03:59:00,8.4854105509,11:55:00,8.9166354739,8.7085886081,8.8857720882,43095998.14,626791975.64
2023-07-31,20:08:00,8.6398297158,01:04:00,8.8845237192,8.8427301741,8.709023741,27158200.85,614324353.84
2023-07-30,20:13:00,8.6917946863,15:36:00,9.0325955311,8.8424591233,8.842689511,46017498.98,623752981.01
2023-07-29,11:03:00,8.6996980982,12:25:00,8.8747594741,8.7753435371,8.8425982737,24903468.49,623746545.24
2023-07-28,08:08:00,8.6610687023,15:14:00,8.8058180674,8.7452587469,8.7760144296,24729518.92,619049798.71
2023-07-27,18:43:00,8.6394451038,09:30:00,8.8407924915,8.7500221868,8.7457155984,27525803.23,616912554.57
2023-07-26,01:41:00,8.4608479849,21:22:00,8.828115255,8.6566222077,8.749979977,34746212.48,617213358.86
2023-07-25,17:14:00,8.5802375012,18:43:00,8.6882511167,8.6818273391,8.6561089152,29569509.38,610591803.89
2023-07-24,20:43:00,8.6113826894,00:00:00,9.098495,9.098495,8.6813719198,37816715.98,612373826.7
2023-07-23,21:50:00,9.0539635521,02:35:00,9.1860795662,9.1428590793,9.0992385404,26451012.48,641849649.63
2023-07-22,23:35:00,9.1089140383,03:52:00,9.6767249417,9.2026542278,9.1419434508,54982339.28,644862004.1
2023-07-21,01:08:00,9.0329675311,03:55:00,9.2341378401,9.1106952779,9.2023645382,28880922.21,649124036.97
2023-07-20,14:59:00,8.8948126351,15:31:00,9.1652196278,8.9410071631,9.1103427854,46250902.05,642632930.09
2023-07-19,14:59:00,8.8948126351,03:16:00,9.1257436961,8.9625567886,8.9413856914,32664632.32,630714894.2
2023-07-18,16:53:00,8.8589458933,00:32:00,9.1985530922,9.1089069768,8.9627909683,30766656.41,632224797.41
2023-07-17,18:52:00,8.908402285,05:18:00,9.2698968626,9.0994414134,9.1093321377,30352548.81,642561640.19
2023-07-16,23:37:00,9.0797014591,01:22:00,9.3636853796,9.32009907,9.0993641378,25066738.02,641858509.13
2023-07-15,03:59:00,9.1894793145,10:23:00,9.4725297553,9.2683029434,9.3181322241,28435020.22,657290154.19
2023-07-14,19:07:00,9.044798906,00:52:00,9.7719400166,9.6394996032,9.2701354812,51760846.89,653904520.06
2023-07-13,04:13:00,8.9686876865,23:59:00,9.6402845516,9.1034229965,9.6402845516,44560590.99,680014402.78
2023-07-12,19:38:00,8.9398519209,07:43:00,9.2068379289,9.1563506393,9.103052277,30237882.01,642118666.16
2023-07-11,16:45:00,8.8716010232,23:04:00,9.163632665,8.9493649397,9.1563741263,35824288.33,645879927.07
2023-07-10,08:38:00,8.6781864979,20:08:00,9.1034034542,8.9436717728,8.9491667892,32632739.84,631263763.74
2023-07-09,22:14:00,8.912045065,02:07:00,9.0908700848,8.9467614702,8.9441186335,25933937.14,630907672.73
2023-07-08,21:20:00,8.7888755798,01:32:00,9.1457144462,9.0640512699,8.9473364758,28231563.57,631134655.57
2023-07-07,00:40:00,8.9080671983,14:04:00,9.1604332006,8.9777251257,9.0648122336,31852612.7,639421258.2
2023-07-06,14:41:00,8.9574883187,09:31:00,9.5762758539,9.1198067604,8.978594783,55028968.19,633339580.02
2023-07-05,15:42:00,8.9116391207,00:23:00,9.3580642686,9.3089506503,9.1202963069,58255115.23,643335039.87
2023-07-04,19:16:00,9.1899510729,02:06:00,9.8025888805,9.4293929488,9.3074821527,68149646.14,656538910.61
2023-07-03,21:28:00,9.3648517951,02:32:00,9.6370409216,9.6368162302,9.4283597418,44153126.54,665065474.44
2023-07-02,04:43:00,9.4331855446,00:01:00,9.9047570489,9.8905966049,9.6372478079,60055952.88,679800194.43
2023-07-01,00:03:00,9.5694608747,07:53:00,10.6752019042,9.5701665598,9.889453532,243612503.48,697590491.38
2023-06-30,01:13:00,8.6180607422,12:11:00,9.820933844,8.7134585824,9.5703655559,147651132.69,675082398.56
2023-06-29,00:05:00,8.4273200558,11:34:00,8.9443768481,8.4354678915,8.7136361746,46653868.76,614649709.52
2023-06-28,19:46:00,8.3075728868,00:01:00,9.1008271489,9.0980492862,8.4362992986,43585419.81,595086690.49
2023-06-27,06:25:00,8.776354063,14:32:00,9.2436132862,8.865490499,9.0952898792,40500622.49,641571115.69
2023-06-26,22:04:00,8.6787159728,14:01:00,9.2316974704,9.1204543204,8.8640919241,44379755.24,625262682.21
2023-06-25,19:37:00,9.0397796746,06:37:00,9.3593930085,9.1709012238,9.1210367513,44083498.58,643387269.95
2023-06-24,16:05:00,8.8515260045,03:54:00,9.3652822141,9.1763291967,9.1719928904,48674344.13,646981656.44
