date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:18:00,0.3607631001,10:16:00,0.3825005522,0.3772639026,0.3612954058,7147126.19,177970778.89
2023-08-30,17:14:00,0.3749291242,00:13:00,0.3861761308,0.3853996713,0.3772639026,4017897.6,185836712.9
2023-08-29,12:26:00,0.374357324,17:40:00,0.3917239211,0.3790259717,0.3854007597,5595414.71,189844853.51
2023-08-28,09:28:00,0.3732942462,15:46:00,0.3803004256,0.377417364,0.3790441599,3708592.27,186713651.16
2023-08-27,09:24:00,0.372074623,00:56:00,0.3859189136,0.3854776243,0.37737684,4262500.03,185892344.79
2023-08-26,23:41:00,0.3851088289,03:45:00,0.3987107052,0.397963106,0.385477891,3229694.44,189882847.66
2023-08-25,04:46:00,0.3957391512,06:18:00,0.4082110966,0.4032164242,0.3979673681,4523572.86,196035048.72
2023-08-24,21:03:00,0.4000935254,00:49:00,0.4139658114,0.4139620984,0.4032135269,4554642.75,198619258.07
2023-08-23,13:19:00,0.4055120795,19:58:00,0.4159661919,0.4069227772,0.4139620984,5669996.41,203913905.09
2023-08-22,21:31:00,0.3986492327,00:00:00,0.4204690546,0.4204690546,0.4069222303,5989539.21,200446131.1
2023-08-21,15:34:00,0.4178975819,00:06:00,0.4330696084,0.4330136362,0.4204690546,4607266.5,207119171.59
2023-08-20,17:10:00,0.43017886,04:21:00,0.4428566535,0.4364476649,0.4330145938,8757721.27,213298988.27
2023-08-19,15:09:00,0.4310335057,00:54:00,0.4402676996,0.4382651208,0.4364476649,5122658.21,214990087.38
2023-08-18,14:38:00,0.4306433536,02:19:00,0.4507689813,0.4395598005,0.4382651208,13720150.85,215885349.37
2023-08-17,00:53:00,0.4237996499,12:22:00,0.5088164606,0.4267774172,0.4395587869,61040251.41,216522597.34
2023-08-16,22:24:00,0.4247449909,03:32:00,0.4445465704,0.4444867287,0.4267774172,7392799.02,210226612.7
2023-08-15,19:52:00,0.4416817128,09:39:00,0.4603006894,0.4590557294,0.4444901871,5798212.4,218951759.52
2023-08-14,00:57:00,0.4520066947,15:55:00,0.4591729555,0.4527873108,0.4590652056,4736113.49,226131279.0
2023-08-13,23:06:00,0.4512670739,02:44:00,0.4602462821,0.4575892006,0.4527732679,5063914.67,223031928.59
2023-08-12,03:40:00,0.4511977156,18:07:00,0.4604638164,0.4533317201,0.4575892006,6748654.96,225404212.58
2023-08-11,17:25:00,0.4498030728,01:43:00,0.4546948166,0.4532704299,0.4533317201,4576660.9,223307017.01
2023-08-10,08:42:00,0.4509080626,01:55:00,0.4566156653,0.4552062209,0.4532704299,5183153.08,223276826.01
2023-08-09,21:17:00,0.4520281575,13:13:00,0.4616632311,0.4572542719,0.4552062209,4781913.29,224230378.78
2023-08-08,14:19:00,0.4544703656,21:25:00,0.4619781689,0.4552608926,0.4572542719,4696369.43,225239229.79
2023-08-07,16:19:00,0.4507128544,11:28:00,0.4609106539,0.4555781618,0.4552581034,3607797.26,224255935.63
2023-08-06,14:21:00,0.4551151118,08:51:00,0.4608301705,0.458480304,0.4555781618,2948738.77,224413593.41
2023-08-05,13:50:00,0.4549392781,22:43:00,0.4606906175,0.4596550701,0.4584834867,4188759.8,225844729.64
2023-08-04,20:58:00,0.455332927,16:07:00,0.4660483274,0.4648943018,0.4596569334,3392304.37,226422758.63
2023-08-03,23:23:00,0.4642078225,20:33:00,0.4702046408,0.4692860336,0.4648920567,5004369.07,229001532.02
2023-08-02,23:52:00,0.4690632851,01:52:00,0.4811542107,0.4790365573,0.4692847255,3568860.8,231165320.04
2023-08-01,15:36:00,0.4684477331,01:19:00,0.4802267245,0.4787763791,0.4790365573,4183796.31,235968982.31
2023-07-31,20:14:00,0.4769295407,02:42:00,0.4937078456,0.4895510057,0.4787758145,3986474.37,235840542.82
2023-07-30,20:07:00,0.484960794,03:28:00,0.4944711132,0.4936809485,0.4895540908,2709143.62,241149822.13
2023-07-29,10:59:00,0.4902620232,20:50:00,0.4941799826,0.493478618,0.4937015894,2674818.4,243192841.63
2023-07-28,06:15:00,0.4887823666,15:32:00,0.4963050581,0.4905548314,0.4934806967,3517959.62,243084031.93
2023-07-27,18:46:00,0.4893416115,10:01:00,0.4977593103,0.4932143251,0.4905548314,3627117.68,241642777.73
2023-07-26,09:55:00,0.4881438464,20:55:00,0.4965851223,0.4944291935,0.4932182876,3883404.4,242954771.61
2023-07-25,07:55:00,0.4894001168,14:21:00,0.497143451,0.4927275673,0.4944291935,3800649.0,243551252.69
2023-07-24,18:17:00,0.4920047655,00:22:00,0.5107533501,0.5099097151,0.492726599,5374806.85,242712570.36
2023-07-23,22:09:00,0.5083700138,19:04:00,0.5145933272,0.5101728509,0.5099093733,3823426.93,251176646.24
2023-07-22,23:37:00,0.5095170826,04:52:00,0.5271716568,0.5238674177,0.5101728509,4413646.98,251306432.87
2023-07-21,00:47:00,0.516447886,22:34:00,0.5259362373,0.5180324738,0.5238674177,4368309.13,258052249.94
2023-07-20,00:03:00,0.5103125219,10:47:00,0.5251557379,0.5109136801,0.5180526676,4281032.2,255187957.79
2023-07-19,15:10:00,0.5091372244,07:41:00,0.5166120459,0.5116542268,0.5109136801,3751105.0,251671358.51
2023-07-18,16:54:00,0.5062977897,02:11:00,0.5215745292,0.5183024675,0.5116763369,3488749.28,252047036.16
2023-07-17,18:56:00,0.5081526801,08:42:00,0.5270647455,0.5195490037,0.518325719,5332033.08,255322460.38
2023-07-16,23:42:00,0.5180909455,00:19:00,0.5394110068,0.5386027727,0.5195378319,5006708.08,255919536.0
2023-07-15,21:29:00,0.5375187115,10:25:00,0.5603522647,0.5556728297,0.5386027727,12929368.36,265310749.71
2023-07-14,13:33:00,0.5186373247,21:47:00,0.5563284315,0.5207649153,0.5556757497,28828514.55,273720740.43
2023-07-13,04:22:00,0.482222431,23:58:00,0.5207649153,0.4869750711,0.5207649153,8757651.17,256523985.94
2023-07-12,20:00:00,0.4846895063,07:58:00,0.4968303963,0.4906900012,0.4869743932,4700164.79,239879086.92
2023-07-11,21:53:00,0.4881320383,07:15:00,0.4978442188,0.493879022,0.4906900012,5218307.02,241709361.13
2023-07-10,08:28:00,0.4892290608,20:10:00,0.5011936882,0.4979913622,0.493879022,4787856.97,243280243.28
2023-07-09,00:13:00,0.4915167537,18:49:00,0.5031316633,0.4919048036,0.4979983315,3011981.46,245309377.09
2023-07-08,20:26:00,0.4874439341,09:21:00,0.4964071924,0.4930571857,0.4918704283,3295852.05,242290828.58
2023-07-07,22:14:00,0.4890434878,14:10:00,0.498771658,0.493627562,0.4928790958,7317237.34,242787688.86
2023-07-06,14:43:00,0.4802357288,19:35:00,0.503954477,0.4889398952,0.4936454742,6298002.33,243165199.78
2023-07-05,23:18:00,0.4878880544,09:17:00,0.5095091032,0.5047677142,0.4889610245,4339918.83,240857683.16
2023-07-04,19:40:00,0.5021457631,00:37:00,0.5142775978,0.5132432973,0.5047677142,5321556.49,248643912.45
2023-07-03,00:01:00,0.4988914322,19:36:00,0.5199608179,0.4988954497,0.5132427346,6540323.9,252818629.23
2023-07-02,15:28:00,0.4930142283,00:12:00,0.5008955112,0.5005650935,0.4988971698,3481205.65,245752136.54
2023-07-01,04:42:00,0.4891447202,21:01:00,0.5007284055,0.494405803,0.5005650935,4105620.53,246573740.36
2023-06-30,13:57:00,0.4800056729,13:01:00,0.4988272712,0.4839309105,0.494405803,7064400.65,243539730.74
2023-06-29,01:04:00,0.4837207721,13:23:00,0.4967012151,0.4854909347,0.4839309105,4288223.99,238379895.47
2023-06-28,22:43:00,0.4835383706,00:01:00,0.5059416006,0.5056470619,0.4854909357,5406692.65,239148349.49
2023-06-27,15:48:00,0.4991295096,14:10:00,0.5058629628,0.4999337739,0.5057077731,4468079.1,249106976.8
2023-06-26,22:07:00,0.4979984239,00:00:00,0.5136934298,0.5136934298,0.4999370435,4954615.76,246264368.72
2023-06-25,21:01:00,0.5123783657,06:44:00,0.5282150754,0.516432497,0.5136934298,4834086.79,253040637.52
2023-06-24,16:07:00,0.5106056946,05:34:00,0.5246863338,0.5192392425,0.5164324257,4809220.07,254389841.59
2023-06-23,02:34:00,0.5080633956,18:04:00,0.5244653802,0.5089999294,0.5192392425,5879297.72,255772453.63
2023-06-22,23:10:00,0.5089379803,11:01:00,0.5263518991,0.5147593482,0.5090000759,5710980.5,250728734.74
