date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,0.9919542959,11:48:00,1.0016128823,1.0000893798,0.9933493595,2093422.07,501811056.32
2023-08-30,04:14:00,0.9955555213,07:18:00,1.0037491889,1.0028962579,1.0000837719,2850449.72,505213084.57
2023-08-29,12:19:00,0.9941044106,22:16:00,1.0048646706,0.9952512045,1.0029101705,7128261.43,510292560.6
2023-08-28,11:49:00,0.9935074097,05:13:00,0.9980909113,0.9967878272,0.995290584,4465559.89,506415624.82
2023-08-27,09:58:00,0.9940941841,17:06:00,0.9970311375,0.9943657762,0.9967794774,9043826.35,508571985.77
2023-08-26,18:41:00,0.9944985719,02:19:00,1.0001897498,0.9992472529,0.9948420591,4907526.59,507583485.64
2023-08-25,14:58:00,0.9930571808,03:16:00,1.0002355532,0.9967381252,0.9995530915,15049818.82,509987125.72
2023-08-24,17:42:00,0.9954687813,00:40:00,0.9983661502,0.9981121877,0.9967774254,17978480.12,507157205.32
2023-08-23,10:57:00,0.9926139356,19:49:00,0.9994062738,0.9971284712,0.9980972954,1114027.57,507828751.02
2023-08-22,21:28:00,0.9911926722,23:14:00,1.0009579554,0.9947728773,0.9971124993,3222958.77,507327689.9
2023-08-21,15:31:00,0.9923223648,01:06:00,0.996883683,0.9956695929,0.9947993936,1203042.74,505060095.81
2023-08-20,06:53:00,0.9944134865,20:47:00,0.9989043128,0.9946454662,0.9956963772,1989528.92,503921941.71
2023-08-19,02:04:00,0.9911075744,10:01:00,0.9983233289,0.9915505695,0.9946121947,1513238.54,503373236.89
2023-08-18,22:49:00,0.9908733964,00:00:00,1.0033292876,1.0033292876,0.9914890658,3052825.6,501792621.39
2023-08-17,00:46:00,0.9889844487,22:58:00,1.0049941908,0.9937982791,1.0031923406,3674938.47,507715648.8
2023-08-16,16:32:00,0.9921881446,00:27:00,1.0031930349,1.0022792895,0.9937202947,4215117.86,502921846.33
2023-08-15,02:56:00,0.9967455753,20:47:00,1.002918577,0.9977790211,1.0022934937,2812540.87,507260742.36
2023-08-14,02:23:00,0.9954171704,17:16:00,1.0013035709,0.9988059672,0.9977481697,3489170.41,504960353.85
2023-08-13,23:53:00,0.9987818741,18:36:00,1.0048551539,1.0016230037,0.9988178206,1310504.06,505501704.19
2023-08-12,04:18:00,0.9990720857,16:04:00,1.0023005476,0.9990988869,1.0016337918,2506874.81,506926867.22
2023-08-11,16:46:00,0.9953557256,02:14:00,1.0025212247,1.0004448345,0.9991062638,2183930.26,505647685.31
2023-08-10,09:25:00,0.9980874255,02:20:00,1.0050107428,1.0017008076,1.0004343941,12679875.66,511322024.05
2023-08-09,22:24:00,0.9956512764,05:31:00,1.0057178218,1.0043597278,1.0016955314,8883984.26,511966591.33
2023-08-08,03:41:00,0.9984276586,21:24:00,1.0076164794,1.0009256873,1.0043440559,4416103.18,513320252.2
2023-08-07,12:21:00,0.9934986327,23:38:00,1.0055059279,0.9962595784,1.0009554289,6665798.75,507540879.13
2023-08-06,10:43:00,0.9956625032,04:40:00,0.9985890465,0.9968139754,0.9961670549,3137323.54,505112903.31
2023-08-05,02:34:00,0.9948026259,05:34:00,0.9982853299,0.9973258165,0.9967913916,748907.76,505429477.27
2023-08-04,18:24:00,0.9917529579,23:49:00,0.9975036652,0.9945520957,0.9974475794,7534357.33,507827112.13
2023-08-03,22:12:00,0.9917498856,17:21:00,0.9985140717,0.9939927876,0.9942027373,3379414.83,506175074.65
2023-08-02,16:58:00,0.9925191431,00:28:00,0.9996230034,0.9991217138,0.9939295692,7570243.65,531336379.6
2023-08-01,10:27:00,0.9945600622,03:58:00,1.0005501013,0.9998289744,0.9990526044,24404119.41,549062590.69
2023-07-31,20:19:00,0.9933646876,00:49:00,1.0012047162,0.9972704034,0.9998280006,2990229.49,549488735.51
2023-07-30,00:52:00,0.9939409351,03:01:00,1.000736814,0.9987142373,0.9972903505,11958997.96,548094085.47
2023-07-29,11:48:00,0.9916243077,19:43:00,1.0030449897,0.994504577,0.998655331,6793749.71,548844255.9
