date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,7.9970815e-07,11:50:00,8.7268349e-07,8.6848306e-07,8.0579955e-07,74246172.3,315704206.05
2023-08-30,16:50:00,8.6332881e-07,00:46:00,8.9875839e-07,8.9468598e-07,8.6849847e-07,60592480.24,340269015.46
2023-08-29,11:43:00,8.2018026e-07,22:19:00,9.035102e-07,8.5729424e-07,8.9461824e-07,132241004.57,350502480.63
2023-08-28,22:00:00,8.4710447e-07,00:20:00,9.0246051e-07,8.9554676e-07,8.5757723e-07,72984038.17,335990182.05
2023-08-27,00:05:00,8.6741033e-07,09:07:00,9.1273168e-07,8.678629e-07,8.9552647e-07,77823494.77,350858313.99
2023-08-26,01:08:00,8.5894498e-07,03:05:00,9.5591368e-07,8.8264206e-07,8.6788109e-07,141361912.36,340027132.25
2023-08-25,04:41:00,8.046116e-07,00:01:00,9.4428336e-07,9.4403606e-07,8.8261536e-07,275837423.37,345799872.92
2023-08-24,23:47:00,9.3817735e-07,00:43:00,1.10782496e-06,1.1040185e-06,9.440598e-07,157649663.92,369873190.99
2023-08-23,13:13:00,1.05071782e-06,17:20:00,1.12418584e-06,1.06681245e-06,1.10375284e-06,85407088.1,432439324.49
2023-08-22,21:29:00,1.02814659e-06,00:26:00,1.09030061e-06,1.08783196e-06,1.06693357e-06,73705765.57,418013904.41
2023-08-21,16:18:00,1.0596897e-06,02:14:00,1.12720993e-06,1.12175342e-06,1.08851562e-06,69132483.96,426469535.52
2023-08-20,17:08:00,1.11077069e-06,00:27:00,1.14534041e-06,1.13415786e-06,1.12184954e-06,45399262.76,439529431.5
2023-08-19,00:01:00,1.08858915e-06,16:59:00,1.1414681e-06,1.08903598e-06,1.13400115e-06,73075004.16,444290311.19
2023-08-18,03:18:00,1.05803835e-06,07:02:00,1.11402898e-06,1.08512252e-06,1.0885967e-06,99489304.01,426501302.57
2023-08-17,21:46:00,1.00138998e-06,10:34:00,1.21327511e-06,1.16379708e-06,1.08372593e-06,178381357.27,424592983.01
2023-08-16,23:07:00,1.15543394e-06,00:27:00,1.27410561e-06,1.26643717e-06,1.16358221e-06,122498619.07,455879873.66
2023-08-15,19:11:00,1.25760205e-06,00:47:00,1.40705128e-06,1.40559292e-06,1.26624571e-06,118563480.44,496102405.27
2023-08-14,02:25:00,1.33199175e-06,16:19:00,1.44705013e-06,1.36639299e-06,1.40547682e-06,140248712.88,550651765.12
2023-08-13,01:29:00,1.33018839e-06,13:07:00,1.42043665e-06,1.35109884e-06,1.36630388e-06,109105674.02,535304196.25
2023-08-12,00:10:00,1.24461863e-06,13:22:00,1.35616532e-06,1.24549666e-06,1.35035496e-06,110680125.8,529055570.34
2023-08-11,16:52:00,1.22516676e-06,04:49:00,1.26376059e-06,1.23296042e-06,1.24555576e-06,57951474.71,487996290.47
2023-08-10,07:04:00,1.21655726e-06,13:40:00,1.26177022e-06,1.23077701e-06,1.23289885e-06,71988196.74,483037438.9
2023-08-09,00:00:00,1.17660262e-06,13:13:00,1.28433798e-06,1.17660262e-06,1.23097922e-06,171125149.99,482285347.61
2023-08-08,04:22:00,1.10220903e-06,19:28:00,1.21887718e-06,1.1157243e-06,1.1784528e-06,138388282.42,461706023.06
2023-08-07,16:44:00,1.0715235e-06,04:48:00,1.18596934e-06,1.15623164e-06,1.11566014e-06,95085483.53,437104486.63
2023-08-06,16:12:00,1.13469529e-06,03:47:00,1.1736585e-06,1.15471889e-06,1.15597632e-06,56984251.71,452899960.65
