date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,4.2492651459,00:01:00,4.5371358589,4.5364235538,4.2694500944,154667296.32,5203949381.46
2023-08-30,15:05:00,4.5283559599,00:03:00,4.6769959013,4.673511261,4.5363263991,97826996.53,5527563718.18
2023-08-29,12:25:00,4.54456612,14:46:00,4.7934317545,4.6062468695,4.6728605251,151248371.38,5691960245.05
2023-08-28,08:35:00,4.429403591,23:36:00,4.6128602755,4.4922695125,4.6060120588,106679075.97,5822192696.15
2023-08-27,18:08:00,4.4694795092,14:38:00,4.5340925986,4.5043691109,4.4923928531,72388709.21,5468986254.97
2023-08-26,00:44:00,4.4795043701,22:46:00,4.5094140042,4.4865807979,4.5044401103,64094464.38,5482063377.18
2023-08-25,04:53:00,4.3672697704,22:47:00,4.487390092,4.421727997,4.4864539127,94505373.46,5458384818.16
2023-08-24,20:58:00,4.3792343658,05:34:00,4.5139669128,4.4882428344,4.4215865728,89023517.48,5377886832.29
2023-08-23,05:40:00,4.3847126562,19:50:00,4.5292676094,4.4206261324,4.4880968404,101919596.2,5457156555.99
2023-08-22,21:29:00,4.2849528259,00:52:00,4.4462878006,4.4335290028,4.4207190766,106327519.82,5374154365.37
2023-08-21,17:03:00,4.3868386329,01:09:00,4.5333823912,4.5197679444,4.4336427572,100727326.81,5387541906.61
2023-08-20,06:36:00,4.4751814504,13:09:00,4.5303882596,4.5176551911,4.5199739141,79414170.8,5492811906.51
2023-08-19,07:16:00,4.4619490455,17:02:00,4.5499336589,4.5120074163,4.5175852206,78725803.68,5513064252.14
2023-08-18,04:56:00,4.3730064127,15:20:00,4.5499847658,4.4379803345,4.5118155863,134503745.43,5479716579.38
2023-08-17,21:55:00,4.3470283697,06:02:00,4.7972998489,4.666010602,4.4379639213,182208314.21,5388959766.51
2023-08-16,21:16:00,4.5707125607,02:59:00,4.8324930976,4.8125099606,4.6660066762,114876394.89,5663363800.86
2023-08-15,19:12:00,4.7383613879,00:15:00,4.9900607718,4.9882255232,4.8124838997,99337249.15,5839501294.64
2023-08-14,02:22:00,4.9604036449,16:22:00,5.0420308875,4.9863724732,4.9883021432,86237754.48,6051022524.94
2023-08-13,22:52:00,4.9750611041,04:52:00,5.0398198134,5.0350665907,4.9863025469,75135778.47,6060127094.12
2023-08-12,06:02:00,4.9965964059,22:57:00,5.0390719376,5.0038922898,5.0349863847,63042563.08,6117860381.04
2023-08-11,16:48:00,4.9642077122,02:14:00,5.0116399144,4.9991123049,5.003921797,73349262.67,6078231165.59
2023-08-10,19:35:00,4.9792759453,01:50:00,5.0607690905,5.0545976577,4.9992322767,80124805.35,6070861296.24
2023-08-09,21:16:00,5.0073191685,13:02:00,5.0985798174,5.0602642742,5.0542802505,193940098.74,6135800353.56
2023-08-08,02:04:00,4.9354225813,18:24:00,5.0913158934,4.9603873004,5.0605794939,93242097.63,6141642504.23
2023-08-07,16:20:00,4.8635061622,01:34:00,5.033479175,4.9983115829,4.9605617525,98113615.11,6018473760.69
2023-08-06,15:32:00,4.9616856862,21:24:00,5.0345736181,4.9693225178,4.9981671134,74936168.84,6062110840.8
2023-08-05,16:37:00,4.9333320341,00:00:00,4.9883043283,4.9883043283,4.9692109334,66736993.61,6050092274.38
2023-08-04,20:52:00,4.9523647143,13:52:00,5.035709306,4.979124218,4.9882018295,91297131.94,6086164545.76
2023-08-03,22:32:00,4.9588546124,02:04:00,5.0676868038,5.0573827191,4.9790186077,108219089.6,6133829089.6
2023-08-02,16:59:00,5.0371974124,01:34:00,5.2131921882,5.1984432889,5.0575413865,105687248.56,6220564668.14
