date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,0.5458026781,11:46:00,0.586272006,0.5751174052,0.5494042735,286583420.93,5120156133.79
2023-08-30,18:32:00,0.5687499656,00:06:00,0.594045909,0.5933872685,0.5750815083,270003080.45,5359454328.48
2023-08-29,10:40:00,0.5526745857,14:46:00,0.6150840219,0.5620311122,0.5933743029,411674726.02,5529933461.93
2023-08-28,05:50:00,0.5485839989,15:41:00,0.5665386911,0.555968775,0.5620250862,254320936.86,5237775407.32
2023-08-27,03:10:00,0.5457310866,15:10:00,0.5607143273,0.5481029586,0.5559632333,228209581.14,5181282156.76
2023-08-26,00:44:00,0.5444093689,11:16:00,0.548463883,0.5461958831,0.5481121033,191110109.46,5108113793.12
2023-08-25,15:04:00,0.5377184268,02:31:00,0.5542630133,0.547129208,0.5461943798,274560763.21,5090241628.58
2023-08-24,20:58:00,0.5393065595,05:14:00,0.5597749537,0.5569153592,0.5471135441,231067163.53,5098807751.74
2023-08-23,13:17:00,0.5456546151,17:13:00,0.5682723146,0.5483650853,0.5568965675,301542437.04,5189980335.96
2023-08-22,17:45:00,0.5305595671,00:50:00,0.5581056661,0.5579369901,0.5483025673,349326558.05,5109888816.45
2023-08-21,17:13:00,0.5540915227,00:07:00,0.5803590806,0.5802233208,0.5579753903,270050222.46,5200034391.38
2023-08-20,08:24:00,0.5719321329,20:46:00,0.58066713,0.5767548323,0.5802233741,217843753.76,5407373788.51
2023-08-19,20:31:00,0.5741265617,16:59:00,0.5873696562,0.5778358165,0.5767607391,209859583.27,5375103868.83
2023-08-18,04:52:00,0.56649021,07:10:00,0.5835818629,0.5741619519,0.5778154408,303517081.18,5384933127.99
2023-08-17,21:46:00,0.5464050069,03:51:00,0.626762816,0.6232565065,0.5740793592,418679962.03,5350114831.03
2023-08-16,21:16:00,0.6096058482,00:00:00,0.6386426821,0.6386426821,0.6232424445,342369892.77,5808288684.0
2023-08-15,23:28:00,0.6326300473,00:00:00,0.6793470846,0.6793470846,0.6386300219,294209268.35,5951692736.09
2023-08-14,02:22:00,0.6730648111,17:16:00,0.6842243922,0.6773377389,0.6793487065,211288256.4,6331169257.92
2023-08-13,22:43:00,0.6754685908,20:05:00,0.6887780216,0.6816959694,0.6773265789,178775055.37,6312324101.44
2023-08-12,06:14:00,0.6775888087,22:25:00,0.6827727849,0.6807317362,0.6817168165,155953453.85,6353238785.46
2023-08-11,16:52:00,0.6766083621,00:47:00,0.6878058469,0.6849789491,0.6807044678,191108554.53,6343804232.8
2023-08-10,21:03:00,0.6840245116,12:34:00,0.6986915902,0.69002132,0.6849753454,259293295.52,6383606544.93
2023-08-09,21:16:00,0.6826460821,13:03:00,0.6986159965,0.6856181758,0.6900139933,270868452.55,6430564068.13
2023-08-08,02:05:00,0.6623425755,21:26:00,0.6943228799,0.6651142289,0.6856102789,323241214.68,6389523787.69
2023-08-07,16:49:00,0.6513193984,01:34:00,0.6793118553,0.6666997853,0.6651423678,298678121.37,6198773723.51
2023-08-06,14:17:00,0.6641510377,08:52:00,0.6746608257,0.666501483,0.6666796635,224455382.06,6213100502.7
2023-08-05,01:59:00,0.6588039255,18:58:00,0.6674735605,0.6640156287,0.666487797,217776578.26,6211312409.36
2023-08-04,20:52:00,0.6596628667,17:01:00,0.6768531892,0.6680977176,0.6640236352,239066895.6,6188347729.86
2023-08-03,22:32:00,0.6640909652,02:04:00,0.6840975586,0.6808609568,0.6680999657,303790792.85,6226336965.71
