date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,2.1418557414,13:37:00,2.2537595712,2.2294426864,2.1599687132,25491021.15,226269341.25
2023-08-30,15:07:00,2.2058902188,00:32:00,2.2844699477,2.2710232606,2.2294941753,24409765.32,233552539.57
2023-08-29,12:25:00,2.1100229297,16:31:00,2.3097923113,2.1635708353,2.2699602544,27558947.82,237791597.76
2023-08-28,07:44:00,2.1101098478,19:13:00,2.1754889459,2.1663111989,2.1638489336,21622935.87,226675817.0
2023-08-27,12:33:00,2.1496113005,15:34:00,2.1746757005,2.1702435248,2.1664237536,21250413.53,226945544.44
2023-08-26,18:49:00,2.1689609059,02:19:00,2.2153529161,2.1996574573,2.1702096845,18906189.24,227342142.82
2023-08-25,04:57:00,2.1629031049,00:04:00,2.2197366871,2.2192959692,2.1994797951,21824327.41,230408357.9
2023-08-24,20:58:00,2.1988157903,07:26:00,2.2502687161,2.2429800994,2.219298754,20859711.43,232484509.63
2023-08-23,13:17:00,2.1930972187,19:56:00,2.269296007,2.2148017729,2.2428981639,24736179.18,234956685.69
2023-08-22,18:13:00,2.150016662,23:24:00,2.2186230498,2.2000806423,2.214830249,23979607.99,232016407.63
2023-08-21,15:31:00,2.1737664265,00:07:00,2.2538733752,2.2522385484,2.2001258265,23567204.01,230476033.46
2023-08-20,15:13:00,2.2270346076,20:47:00,2.2665003492,2.2290485966,2.2522841128,22358160.01,235939918.67
2023-08-19,05:59:00,2.1652100183,17:00:00,2.2470268556,2.1850951397,2.2289532075,23671751.64,233495870.04
2023-08-18,03:18:00,2.0762405145,20:31:00,2.1947457837,2.0969288007,2.1850175238,29683100.38,228893350.5
2023-08-17,21:46:00,1.9881095725,06:04:00,2.3350899428,2.3210148687,2.0967514134,34973904.82,219646959.78
2023-08-16,21:16:00,2.2719278167,00:24:00,2.4332072409,2.4295612143,2.3209507372,29885069.74,243133148.72
2023-08-15,19:16:00,2.3948867589,00:16:00,2.5589402264,2.5581675142,2.4295995762,30570683.25,254514749.33
2023-08-14,02:24:00,2.553287379,16:19:00,2.615919895,2.5658983425,2.5580234029,28280556.51,267967895.43
2023-08-13,23:04:00,2.5589405587,20:05:00,2.6039309851,2.6023670047,2.5659100422,23531020.83,268794066.97
2023-08-12,20:06:00,2.5887024556,01:38:00,2.6472832641,2.6287901947,2.6023362978,22795164.19,272609930.05
2023-08-11,00:02:00,2.6056620634,06:43:00,2.6334942703,2.6058561824,2.6288085928,22751025.61,275383057.6
2023-08-10,09:40:00,2.5717863139,00:27:00,2.6175207379,2.6075740718,2.6057583907,26800135.49,272968414.27
2023-08-09,21:41:00,2.5820993065,13:22:00,2.6144411304,2.6038740075,2.6074835996,42988760.93,273149139.98
2023-08-08,03:31:00,2.5302015596,21:26:00,2.6299902649,2.5361365983,2.6040350046,33721755.56,272787879.51
2023-08-07,16:51:00,2.4766804698,03:06:00,2.6003381717,2.5778373453,2.5361721965,31667998.8,265678853.91
2023-08-06,00:16:00,2.5308772678,02:06:00,2.5957286019,2.5381727306,2.5778908538,30395926.74,270049126.98
2023-08-05,13:46:00,2.4999046471,00:04:00,2.5515765748,2.549441435,2.5382328207,28899510.45,265894716.33
2023-08-04,20:52:00,2.5322255625,01:43:00,2.6388391432,2.6251455352,2.5494480716,37426957.29,267069579.38
2023-08-03,22:31:00,2.5974643889,01:19:00,2.7903310682,2.7066790529,2.6251973324,56457774.37,275004756.97
2023-08-02,21:22:00,2.6850203612,06:32:00,2.9332191025,2.7508316261,2.7068681091,128818427.14,283560247.95
2023-08-01,02:35:00,2.5274738186,14:49:00,2.755869754,2.5833215074,2.7510232436,112025865.3,288185756.25
2023-07-31,20:09:00,2.5563489206,09:34:00,2.617361753,2.6076642956,2.5832689941,28885820.56,270612518.59
2023-07-30,20:04:00,2.5674067288,15:29:00,2.702169427,2.6207562101,2.6076089584,41017156.4,273162272.05
2023-07-29,10:07:00,2.5526226779,23:59:00,2.6204329906,2.56405337,2.6204329906,26001337.55,274505664.34
2023-07-28,05:56:00,2.5411848576,15:15:00,2.6008989239,2.5523891551,2.5642037459,27943273.63,268615322.47
2023-07-27,19:40:00,2.5296465354,10:04:00,2.5784290527,2.563564121,2.5523898701,28476547.99,267377749.96
2023-07-26,09:49:00,2.5173638373,00:00:00,2.5997148614,2.5997148614,2.5631679558,33755188.15,268504222.19
2023-07-25,08:16:00,2.56138267,18:43:00,2.6061483197,2.5962375093,2.5997092775,27954706.26,272328595.11
2023-07-24,20:48:00,2.5857400977,00:21:00,2.7590157455,2.7574675517,2.5960975492,32556440.26,271946749.27
2023-07-23,00:54:00,2.6977061394,19:09:00,2.7886610402,2.7104078272,2.7577689806,29419206.9,288878450.4
2023-07-22,23:35:00,2.6967546897,03:46:00,2.8623772682,2.7577793229,2.7099698714,37215976.54,283867802.06
2023-07-21,07:58:00,2.7023891961,23:31:00,2.7632881839,2.7176954491,2.7577843857,30493465.48,288872620.84
2023-07-20,04:29:00,2.6819913176,07:39:00,2.7341924221,2.706026426,2.7173917336,35330675.4,284637898.23
2023-07-19,15:04:00,2.6973586935,03:29:00,2.7480634813,2.7131944007,2.7062999492,31293707.58,283472416.58
2023-07-18,17:31:00,2.6786508567,02:09:00,2.7961677483,2.7673610646,2.7133779174,33519384.62,284210139.34
2023-07-17,10:43:00,2.6772020711,22:37:00,2.7703641678,2.6933475306,2.7682740576,36197085.48,289956442.39
2023-07-16,23:58:00,2.6926965991,01:27:00,2.8024905757,2.7879946926,2.6933200521,30643254.37,282101925.72
2023-07-15,05:41:00,2.7752406738,07:49:00,2.8364995288,2.7980582435,2.7881527225,31487424.21,292031060.39
2023-07-14,20:35:00,2.7196786078,00:49:00,2.9804947713,2.932246423,2.7981242465,41909437.27,293071704.35
2023-07-13,04:13:00,2.7001537185,23:58:00,2.9325771056,2.7417015754,2.932569191,40907063.52,307149320.48
2023-07-12,19:39:00,2.7108973712,07:56:00,2.8327338816,2.7909969342,2.7420765492,31342232.32,287193930.66
2023-07-11,14:19:00,2.737532828,17:40:00,2.8051114466,2.792319771,2.7911142233,29753119.09,292326177.31
2023-07-10,01:21:00,2.6798491235,20:07:00,2.8347403295,2.7529180967,2.7923253032,39484148.57,292449246.83
2023-07-09,14:20:00,2.7434157585,00:07:00,2.8559414212,2.8407287684,2.7532898825,31911901.75,288357224.21
2023-07-08,00:14:00,2.7545296324,23:56:00,2.8418942009,2.763271828,2.8405566249,35463038.92,297492997.99
2023-07-07,01:34:00,2.703169373,10:08:00,2.87194567,2.7400405931,2.7630196048,46342476.63,289368785.83
2023-07-06,00:24:00,2.7185625374,09:37:00,2.9435742626,2.7311013839,2.7399188547,62560549.69,286945758.77
2023-07-05,15:40:00,2.6179480451,00:00:00,2.827384865,2.827384865,2.7315041645,59384305.89,286060817.63
2023-07-04,00:07:00,2.7337775286,02:04:00,3.0553643741,2.7377209912,2.8276830353,151815470.42,296129469.24
2023-07-03,22:16:00,2.7126029224,00:00:00,2.8509563366,2.8509563366,2.7377644276,49064531.11,286709043.72
2023-07-02,14:37:00,2.802023114,00:05:00,3.015027868,3.0025199361,2.8510595501,89204703.5,298569892.72
2023-07-01,00:01:00,2.6759076606,10:34:00,3.5196336317,2.6762033377,3.0028888535,427574406.93,314465762.36
2023-06-30,01:08:00,2.2978845949,11:46:00,2.776720437,2.3185868251,2.6762977308,125952996.14,280261181.13
2023-06-29,03:07:00,2.2703285927,13:19:00,2.3500340867,2.2751694767,2.3189232493,23650010.33,242833881.38
2023-06-28,20:19:00,2.2382541381,00:01:00,2.4842962514,2.4819814726,2.275263298,26184792.57,238258819.59
2023-06-27,01:22:00,2.4040257195,14:34:00,2.5181896572,2.4208612254,2.4817780284,29157809.45,259881075.1
2023-06-26,05:34:00,2.3495570124,15:41:00,2.4567349495,2.413341415,2.4210876958,25507884.82,253522578.36
2023-06-25,15:04:00,2.3882400745,06:38:00,2.4583554708,2.4184474922,2.4133703929,23155168.65,252711202.07
2023-06-24,16:05:00,2.3556380861,05:16:00,2.4469851735,2.399870386,2.4184376531,26197156.06,253238548.71
2023-06-23,00:01:00,2.2492175612,18:18:00,2.4742967064,2.2505964875,2.3999277136,36505919.52,251297098.07
2023-06-22,14:55:00,2.2364718802,03:01:00,2.3289763544,2.2529788082,2.2505405549,25199908.89,235651691.18
2023-06-21,00:09:00,2.1208931934,18:37:00,2.2936831722,2.1230065618,2.2534637633,29000851.0,235954730.52
2023-06-20,14:32:00,2.0049920729,20:49:00,2.1305685443,2.0560854402,2.1232182713,20821676.81,222314175.35
2023-06-19,16:38:00,2.0315802049,18:17:00,2.0729672252,2.0488444736,2.0560757719,17821408.7,215281166.97
2023-06-18,23:54:00,2.0486857875,17:10:00,2.0982115099,2.086444885,2.048808124,20313567.08,214517438.79
2023-06-17,00:15:00,2.067759954,06:41:00,2.1462753162,2.0727245699,2.0865540334,22658255.62,218466752.86
2023-06-16,14:49:00,2.0154242679,18:25:00,2.0894974781,2.0570966995,2.0726556817,23499942.19,217008776.4
2023-06-15,00:08:00,2.0045231034,21:19:00,2.078992398,2.0070453257,2.0569240275,25805606.19,215358876.09
2023-06-14,21:01:00,1.9913603842,02:39:00,2.1326857582,2.1230053085,2.007134706,22968945.01,210143250.39
2023-06-13,16:01:00,2.1102324636,12:34:00,2.1737237118,2.1268693886,2.1230053085,22304243.47,222271823.97
2023-06-12,03:16:00,2.0608351571,22:21:00,2.1362371492,2.1136575317,2.1271965502,21189333.17,222707757.52
2023-06-11,10:01:00,2.0739066704,20:16:00,2.1411110509,2.0899198529,2.1136683317,20507380.44,221288561.42
2023-06-10,04:31:00,1.9367609233,00:06:00,2.3405322451,2.3397818925,2.0901246636,31857272.11,218820857.07
2023-06-09,20:11:00,2.3203252273,13:25:00,2.3726876608,2.3591891928,2.3396742212,23702171.24,244943728.83
2023-06-08,03:35:00,2.3351037693,15:55:00,2.3965555584,2.3728162014,2.359364666,22291143.49,247001961.2
2023-06-07,22:07:00,2.3588714279,00:01:00,2.5133143374,2.5132557798,2.3726810004,23697329.02,248392837.25
2023-06-06,13:25:00,2.3928796701,23:33:00,2.5206203774,2.4683089135,2.5132489229,23420706.65,263105321.89
2023-06-05,16:07:00,2.419737907,00:33:00,2.678365288,2.6754051951,2.4684593695,26399458.64,258413091.89
2023-06-04,01:07:00,2.6498208523,22:28:00,2.7151684594,2.6723885458,2.6754423474,19965954.51,280077694.91
2023-06-03,02:03:00,2.6319207143,16:35:00,2.6896079105,2.6474026596,2.6724912008,21706321.9,279765142.0
2023-06-02,00:40:00,2.5661144467,23:34:00,2.6491114501,2.5808041004,2.6474195709,22471805.17,277136988.89
2023-06-01,03:07:00,2.5577521997,00:27:00,2.6252984501,2.6245169643,2.5811297547,22128321.51,270194163.66
2023-05-31,09:06:00,2.590830514,01:28:00,2.7091803488,2.7060146107,2.6246147719,23286641.68,274742658.63
2023-05-30,08:16:00,2.6951596122,03:31:00,2.7471703394,2.7377911857,2.7063847656,23746963.01,283298621.09
2023-05-29,16:25:00,2.7299560275,01:28:00,2.8215681014,2.7751825562,2.7379342677,29410322.3,286597465.36
