date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,1.351106895,11:46:00,1.45104855,1.4470666821,1.3727790701,22054406.78,510548140.41
2023-08-30,15:49:00,1.4258542911,00:13:00,1.4916284966,1.4783281409,1.4471565643,20788605.8,538209759.24
2023-08-29,12:25:00,1.3640236342,22:16:00,1.4922461646,1.4017286557,1.4782435874,28877230.15,549771285.9
2023-08-28,07:43:00,1.3751852353,00:19:00,1.417969582,1.4131762474,1.4015690805,15553964.3,521255388.67
2023-08-27,08:31:00,1.3993120326,00:37:00,1.4298509866,1.4232698686,1.4131792424,12812016.37,525573306.02
2023-08-26,23:46:00,1.4197301622,03:04:00,1.4974338042,1.4741204209,1.423379297,14345684.39,529366792.53
2023-08-25,06:39:00,1.4286500796,18:53:00,1.4861695069,1.4631946094,1.4739622695,25652189.2,548179027.61
2023-08-24,20:57:00,1.4412108896,09:05:00,1.5429604953,1.4542276777,1.4631224473,46973205.11,544147606.09
2023-08-23,13:14:00,1.360914448,22:35:00,1.476789666,1.3874601821,1.4524863616,31173714.97,540191955.92
2023-08-22,21:31:00,1.3451850965,07:59:00,1.4111845092,1.3873510481,1.3873365671,21079835.96,515962196.63
2023-08-21,15:31:00,1.3438211937,01:31:00,1.4415128913,1.4315846068,1.3871165829,21590166.95,515880382.65
2023-08-20,07:01:00,1.411688468,13:09:00,1.4463065012,1.4184988221,1.431756388,14054320.58,532482303.5
2023-08-19,07:32:00,1.4030277174,00:46:00,1.4439989502,1.4217200047,1.4184463856,19309400.57,527532201.1
2023-08-18,04:53:00,1.4049545366,00:32:00,1.4620847555,1.4421894213,1.4213195566,27916624.73,528600757.67
2023-08-17,21:46:00,1.3197980055,05:58:00,1.6049691529,1.5693299723,1.4417933619,44158046.72,536215138.92
2023-08-16,21:22:00,1.5424356408,04:31:00,1.6278344243,1.6251238582,1.5692781525,30687780.61,580027203.47
2023-08-15,19:13:00,1.6142567997,01:16:00,1.7362529909,1.7180875502,1.6251482542,25722598.92,600677576.25
2023-08-14,02:22:00,1.6438552147,07:44:00,1.7594644629,1.6539282654,1.7180762096,28369341.13,635025051.25
2023-08-13,22:43:00,1.6450189067,11:06:00,1.6918975428,1.6722425493,1.654024562,13446029.19,611350664.41
2023-08-12,19:52:00,1.6674848937,01:02:00,1.698074358,1.6780474898,1.6725524919,10827048.65,618198847.04
2023-08-11,19:59:00,1.6642562735,06:10:00,1.7156725521,1.686261758,1.6781542994,16184685.5,620269336.84
2023-08-10,00:55:00,1.6611971239,09:50:00,1.7307066419,1.6640676952,1.6862268102,33766091.69,623253049.9
2023-08-09,00:03:00,1.62943207,12:55:00,1.7098593813,1.6300427856,1.664503105,26036790.68,615223664.17
2023-08-08,02:04:00,1.5736208846,18:34:00,1.6457603017,1.5931031165,1.6300055109,23104340.22,602472870.14
2023-08-07,16:19:00,1.5473553665,06:02:00,1.6571005775,1.625355308,1.593151201,29872105.11,588851000.92
2023-08-06,00:11:00,1.6132984703,12:34:00,1.6733913933,1.6181190044,1.6253513167,22259555.77,600752614.77
2023-08-05,13:46:00,1.6078925562,00:00:00,1.7299003678,1.7299003678,1.6180373281,32984616.58,598049262.1
2023-08-04,20:52:00,1.7172017075,01:48:00,1.7795271561,1.7652975062,1.7299100646,14790867.8,639398992.65
2023-08-03,08:28:00,1.7421103035,20:32:00,1.7853912811,1.7627599373,1.7657210392,14110179.35,652635230.5
2023-08-02,16:59:00,1.7567629707,02:41:00,1.8025550483,1.7898948056,1.7627495191,19227695.8,651536915.04
2023-08-01,02:14:00,1.7125988211,23:56:00,1.7900264938,1.7502349345,1.7899214349,20979434.19,661580035.76
2023-07-31,20:08:00,1.7379187907,03:50:00,1.8151416831,1.7862170079,1.750205287,20826151.54,646900391.14
2023-07-30,20:04:00,1.7611035206,01:02:00,1.8149207944,1.8079932693,1.7861669441,17662101.55,660192323.37
2023-07-29,11:01:00,1.7882462671,01:52:00,1.8250246029,1.8077993872,1.8077977346,12093730.55,668187366.55
2023-07-28,08:13:00,1.7616708958,21:02:00,1.8181870969,1.766625501,1.8080384804,18273701.79,668276349.56
2023-07-27,01:04:00,1.7445047332,10:55:00,1.805144094,1.7621936975,1.7666443606,23077591.79,652976503.03
2023-07-26,09:49:00,1.7296086282,21:22:00,1.785732374,1.7717296716,1.7622790812,23176854.2,651363034.63
2023-07-25,00:04:00,1.7478127579,14:13:00,1.8101857138,1.7484998574,1.7718562016,23260998.19,654902872.45
2023-07-24,15:14:00,1.7268357603,00:47:00,1.8615753879,1.8562934213,1.7485082152,32717708.87,646273129.64
2023-07-23,00:54:00,1.8162118027,19:13:00,1.8840572495,1.8295272395,1.8562894693,15392173.47,686110590.97
2023-07-22,23:35:00,1.8137746541,04:37:00,1.8977376165,1.8850700145,1.8294147902,16874075.64,676177333.12
2023-07-21,00:38:00,1.8594978865,18:42:00,1.9140276362,1.8681602638,1.8851068207,19520792.3,696761887.73
2023-07-20,20:47:00,1.8434613061,06:02:00,1.9134679845,1.8724985855,1.867885687,31747358.84,690396715.47
2023-07-19,15:04:00,1.8467000944,03:16:00,1.9177406008,1.8789362383,1.8731982552,34772048.38,692360315.07
2023-07-18,16:52:00,1.8666549278,02:09:00,2.008009684,1.9668299501,1.8785991747,33969499.2,694356570.59
2023-07-17,18:52:00,1.9042798255,05:17:00,1.9873025327,1.9464837482,1.9668758751,33780220.24,725487864.78
2023-07-16,23:38:00,1.9419352771,01:25:00,2.0385875673,2.0250595901,1.9470870304,25042955.32,718188692.08
2023-07-15,04:09:00,1.9854157406,10:31:00,2.0558408891,2.0325578907,2.0250587259,27385503.07,746948777.87
2023-07-14,20:36:00,1.9849039688,01:58:00,2.2305534979,2.1391105861,2.0325388762,84966134.96,749707852.97
2023-07-13,04:13:00,1.9139927944,23:55:00,2.1404982581,1.9369798564,2.1394534236,64901899.84,789143593.52
2023-07-12,20:04:00,1.9248062671,05:26:00,2.0377775367,1.9937870594,1.9368276846,35649401.72,714404502.66
2023-07-11,00:53:00,1.8956148669,08:14:00,2.008647712,1.9097288382,1.9938089651,29939551.99,735422213.05
2023-07-10,08:22:00,1.8534235143,20:08:00,1.9558116387,1.9245756613,1.9094382019,31928712.51,704301812.63
2023-07-09,23:51:00,1.9211985486,01:13:00,1.9720616445,1.9451124452,1.9244432101,19153219.24,709836453.38
2023-07-08,19:41:00,1.9144588042,02:58:00,1.98622512,1.9482853505,1.94529052,21851289.09,717526044.04
2023-07-07,00:04:00,1.9001353053,14:58:00,1.9642061338,1.9182392206,1.9484293596,30095859.97,718683814.09
2023-07-06,14:40:00,1.9153933074,09:13:00,2.073623773,1.9650228412,1.9183180066,46119135.09,707577154.3
2023-07-05,20:09:00,1.9494094956,04:33:00,2.0963789798,2.0776317197,1.965110759,49906167.42,724836796.6
2023-07-04,19:34:00,2.072740807,02:10:00,2.2284483413,2.155469235,2.0774182677,69003720.79,766261746.55
2023-07-03,00:43:00,2.0127425371,19:46:00,2.1599545748,2.025254207,2.1555468909,66228798.29,795079715.55
2023-07-02,18:43:00,2.0024113389,00:04:00,2.0613124366,2.0584196756,2.0254062456,37367612.95,747076961.5
2023-07-01,05:29:00,2.0344802355,12:23:00,2.0870722618,2.0362541864,2.058373367,39543897.42,759236979.77
2023-06-30,13:49:00,1.9162392589,08:58:00,2.09110303,1.9815870202,2.0362136023,85717036.1,751063286.34
2023-06-29,06:21:00,1.9106392218,13:16:00,2.0243149426,1.9195202345,1.9817573121,47987313.63,730976925.93
2023-06-28,20:16:00,1.8874808099,00:00:00,2.0620459081,2.0620459081,1.9194880428,59157797.12,708008725.55
2023-06-27,00:10:00,2.0316016139,14:10:00,2.114327027,2.0400140021,2.0619984861,49690782.49,760574115.45
2023-06-26,01:16:00,2.007013703,14:11:00,2.1193693336,2.0662104163,2.0398465592,56506396.02,752403313.02
2023-06-25,01:11:00,2.0305828979,04:44:00,2.1203591579,2.0471629316,2.0664802198,51125553.5,762227215.91
2023-06-24,16:38:00,2.006573005,04:35:00,2.1756345309,2.1690408723,2.0471264302,70857416.77,755088514.55
2023-06-23,13:52:00,2.1108618998,16:10:00,2.2578766137,2.1516065969,2.1690458382,90814627.25,800058841.38
2023-06-22,23:59:00,2.1518418064,03:16:00,2.3466287846,2.286086925,2.1518418064,96632558.72,793713084.42
2023-06-21,00:07:00,2.0788223736,18:46:00,2.3652322363,2.0799616228,2.2860922565,154949667.65,843231751.87
2023-06-20,14:33:00,1.9442459118,01:16:00,2.0833237952,2.0567954568,2.0801358963,79499215.68,767264151.73
2023-06-19,04:35:00,1.9388160762,22:34:00,2.0582754317,1.9729681487,2.0566306302,60854266.44,758594166.22
2023-06-18,23:58:00,1.9732638528,17:07:00,2.0968279719,2.0883232691,1.9735354635,69867299.92,727944273.27
2023-06-17,00:13:00,1.9048464319,19:19:00,2.1142565744,1.9214320044,2.0884878259,87032910.91,770344785.17
2023-06-16,11:46:00,1.8026958564,18:17:00,1.9314762754,1.8748242285,1.9212984865,60514790.99,703937466.92
2023-06-15,12:59:00,1.7252980163,22:19:00,1.887750898,1.8153707406,1.8749485996,75781984.6,686955502.79
2023-06-14,21:01:00,1.806128941,19:13:00,1.9694976538,1.9267447165,1.8152841039,70651959.12,665095248.25
2023-06-13,16:00:00,1.9025008048,08:50:00,2.0112811724,1.9374814015,1.9267475258,96988488.21,705933920.33
2023-06-12,08:16:00,1.8867700322,10:46:00,1.9604599911,1.9565383484,1.937655469,88143273.17,709930441.42
2023-06-11,01:19:00,1.8784424062,20:15:00,2.0478102123,1.901719775,1.9566114223,102798947.02,716875643.23
2023-06-10,16:37:00,1.8312710504,00:01:00,2.2924934626,2.2921782851,1.9016754307,198183057.15,696747847.9
2023-06-09,07:46:00,2.2093548608,12:58:00,2.3809666347,2.2738642512,2.2918996502,111122277.68,839720660.57
2023-06-08,06:16:00,2.1524451513,23:52:00,2.2811991926,2.2210137469,2.2742596588,108060634.01,833257609.16
2023-06-07,22:40:00,2.1705694636,00:48:00,2.4247633541,2.4159298135,2.2210029325,149746892.61,813745073.64
2023-06-06,01:41:00,2.1798264744,18:49:00,2.4524692781,2.2881537229,2.4158258158,215923270.92,885125511.35
2023-06-05,21:47:00,2.2479137507,11:43:00,2.7064984062,2.6592287851,2.2891554632,293968907.2,838715227.99
2023-06-04,01:09:00,2.5785427281,10:20:00,2.7601698282,2.6070221026,2.6588139219,151822120.53,974153027.45
2023-06-03,01:56:00,2.5433319487,06:57:00,2.6349075864,2.5707943048,2.6070508611,83058000.22,955187750.47
2023-06-02,00:40:00,2.467163549,12:45:00,2.6379447684,2.4940114903,2.5705345378,124533024.59,941806541.06
2023-06-01,03:07:00,2.4415941763,15:23:00,2.6111495228,2.5270223079,2.4937695618,122857785.08,913680968.15
2023-05-31,16:00:00,2.4315870515,01:28:00,2.6220257413,2.5727443333,2.5272922118,121045851.8,925963180.5
2023-05-30,07:56:00,2.4796437219,13:43:00,2.681749212,2.54604654,2.5724891339,153487596.24,942522676.71
2023-05-29,16:06:00,2.4942820996,00:43:00,2.7642418814,2.7464783866,2.5463773408,172586708.35,932955694.72
2023-05-28,00:35:00,2.607721662,22:16:00,2.8022198316,2.642202631,2.7471040275,141995165.5,1006499039.01
2023-05-27,16:44:00,2.6045344916,02:04:00,2.78378433,2.7287045451,2.6419056731,137372895.34,967955889.0
2023-05-26,01:46:00,2.6613790273,16:49:00,2.8627436854,2.7036003841,2.7283938632,234325063.5,999643906.41
2023-05-25,01:30:00,2.541359564,13:07:00,2.8907740781,2.6392342479,2.703918557,340287448.62,990676509.52
2023-05-24,13:55:00,2.4177709783,00:59:00,2.7521927536,2.7197099869,2.6394848721,290105864.91,967068942.65
2023-05-23,00:59:00,2.4070824925,15:28:00,2.7881097808,2.4479521966,2.7194894301,255327893.14,996381451.36
2023-05-22,06:07:00,2.34296035,12:04:00,2.5066783552,2.466851347,2.4472265125,173755913.08,896610258.92
2023-05-21,00:13:00,2.3365242532,14:04:00,2.7225418466,2.3496386764,2.4668835977,369331855.97,903812184.93
2023-05-20,03:18:00,2.2701409269,15:37:00,2.4172193677,2.3187332275,2.3495588225,128663605.86,860826953.89
2023-05-19,23:57:00,2.3173244095,07:13:00,2.4504294281,2.3983964397,2.3188707969,180465831.1,849583532.62
