date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:12:00,0.2512100672,00:13:00,0.2689697797,0.2679290469,0.2517589429,9325282.4,145052172.61
2023-08-30,15:07:00,0.2657306353,00:02:00,0.2751825848,0.2750099418,0.2679480178,7004907.66,154350747.8
2023-08-29,10:52:00,0.252448412,22:14:00,0.2762552483,0.2623833929,0.2750011476,11595719.52,158384024.81
2023-08-28,10:01:00,0.25807428,01:02:00,0.274139887,0.267517825,0.2622940729,17436676.15,151037272.73
2023-08-27,02:57:00,0.2620032367,21:41:00,0.2685961515,0.2659868059,0.2675417238,4658275.33,154030216.83
2023-08-26,18:46:00,0.2650419954,07:13:00,0.2693334039,0.2686690848,0.2660015569,4334188.24,153114857.98
2023-08-25,14:58:00,0.2649598186,00:01:00,0.2737951515,0.2734110109,0.2686546733,9004557.54,154613096.99
2023-08-24,15:32:00,0.2682727275,11:31:00,0.2748995757,0.2706634239,0.2733890094,10543118.46,157308286.6
2023-08-23,01:34:00,0.2574317775,20:35:00,0.271750428,0.2584930112,0.2706718854,9274502.43,155715703.75
2023-08-22,18:13:00,0.2499781028,00:04:00,0.2705710008,0.2632056071,0.258486642,12432698.58,148677863.86
2023-08-21,16:01:00,0.2577455285,00:00:00,0.2693693928,0.2693693928,0.2632162758,9714387.67,151369928.65
2023-08-20,00:01:00,0.2610844866,07:53:00,0.2755085595,0.2615635962,0.2693791633,41662727.7,154885048.86
2023-08-19,03:49:00,0.2550178602,19:57:00,0.264313318,0.2569643845,0.2615563539,5946623.57,150358953.83
2023-08-18,04:58:00,0.2477493879,23:14:00,0.2576978983,0.2512638775,0.2569547576,11824577.45,147685977.1
2023-08-17,21:46:00,0.2319814151,06:02:00,0.2880712738,0.2846018133,0.2511612685,18121428.99,144329077.06
2023-08-16,21:16:00,0.2788007399,00:22:00,0.311503377,0.3111582739,0.2846159431,17209654.8,163523036.34
2023-08-15,19:10:00,0.3028806483,00:15:00,0.3295697168,0.3292829112,0.3110525704,11652670.54,178678415.74
2023-08-14,02:17:00,0.3235063485,16:53:00,0.3325609087,0.3299933436,0.3292709695,8698977.07,189108176.38
2023-08-13,00:33:00,0.3292763293,19:14:00,0.335817807,0.3302451711,0.3301436359,8406897.77,189573789.82
2023-08-12,00:25:00,0.3277546025,10:01:00,0.3347661208,0.3283288264,0.3302420724,7882083.65,189594724.03
2023-08-11,17:11:00,0.3256303779,01:40:00,0.3298878702,0.328476511,0.3283233472,5324181.36,188457756.52
2023-08-10,09:29:00,0.3238072102,14:04:00,0.329597152,0.3290850276,0.3284812259,5519254.61,188512993.5
2023-08-09,02:43:00,0.3264608558,13:02:00,0.3340040425,0.3282475204,0.3290529075,8619356.22,188805625.01
2023-08-08,03:41:00,0.3187766459,21:25:00,0.331793902,0.3224765891,0.3282505899,6754487.58,188309895.35
2023-08-07,16:49:00,0.3173675412,03:08:00,0.329274549,0.3268426619,0.3224928397,8915318.98,184972095.43
2023-08-06,14:16:00,0.3254066865,01:02:00,0.3333144702,0.3274067232,0.3268478323,10566115.88,187434812.71
2023-08-05,05:16:00,0.3228827196,23:01:00,0.3277012498,0.3269751346,0.3274113008,5401745.34,187722674.05
2023-08-04,20:52:00,0.3255154078,01:19:00,0.3318813704,0.3314664571,0.3269740271,7813664.05,187436727.44
2023-08-03,07:24:00,0.3293118038,01:52:00,0.3352722252,0.3331632899,0.3314832953,7003535.63,189985945.0
2023-08-02,17:01:00,0.3315893823,00:12:00,0.3463047706,0.3455988468,0.3331237513,9902924.06,190890248.41
2023-08-01,05:19:00,0.3342216046,00:00:00,0.34597642,0.34597642,0.3456842208,12328967.39,198050530.03
2023-07-31,00:11:00,0.3404246582,13:13:00,0.353897003,0.3416619895,0.3459742038,12302162.48,198179408.23
2023-07-30,20:04:00,0.3373502286,00:01:00,0.3520224995,0.3519680853,0.3416654401,9237891.67,195674483.27
2023-07-29,12:01:00,0.3444283338,23:30:00,0.3520660983,0.3462114344,0.3519830954,5805521.98,201545531.22
2023-07-28,08:03:00,0.3399582286,15:13:00,0.3489896843,0.3411659661,0.3462736017,7351632.14,198238958.21
2023-07-27,18:41:00,0.3364614029,09:57:00,0.3447558926,0.3420838906,0.3411710108,6466566.45,195281017.39
2023-07-26,12:04:00,0.3330882312,20:53:00,0.3448499955,0.3390258722,0.3420285405,8105808.49,195735029.26
2023-07-25,20:25:00,0.3348109883,00:00:00,0.3438246901,0.3438246901,0.3389929195,11046657.72,193961292.8
2023-07-24,20:47:00,0.3426095526,00:01:00,0.367554057,0.3675037935,0.3438122091,11441083.68,196681709.87
2023-07-23,00:57:00,0.3612326771,18:04:00,0.3711526136,0.3636889306,0.3675093048,7716793.67,210198314.18
2023-07-22,23:35:00,0.3623531536,08:37:00,0.3686071779,0.3627341878,0.3636540522,9314122.17,207954093.65
2023-07-21,00:39:00,0.3590473699,18:07:00,0.3655810273,0.3608111292,0.362735946,8172170.61,207389958.41
2023-07-20,20:49:00,0.3571315249,10:35:00,0.3703919835,0.3636117521,0.3607717835,10176409.5,206228089.18
2023-07-19,15:04:00,0.3618912,03:16:00,0.3719376916,0.3663608707,0.3636251949,10392546.57,207819966.11
2023-07-18,17:31:00,0.3622941271,05:34:00,0.3834125337,0.3747449795,0.3663601295,20284290.97,209343518.96
2023-07-17,18:52:00,0.3657528048,09:37:00,0.3785813938,0.3696880127,0.3747791821,16517450.88,214113854.46
2023-07-16,20:29:00,0.3668037496,00:16:00,0.3776039582,0.3758148608,0.3697519462,10056129.57,211201863.02
2023-07-15,04:45:00,0.3679705278,10:15:00,0.3818713544,0.3720215907,0.3758335902,10875175.11,214635139.08
2023-07-14,19:07:00,0.3618407429,16:28:00,0.391539021,0.3850101752,0.3720126733,25876554.87,212412920.19
2023-07-13,05:07:00,0.3596592169,18:13:00,0.3878080517,0.3674203386,0.38507313,25801812.02,219828703.58
2023-07-12,20:03:00,0.3626828665,00:47:00,0.3748092314,0.3723021494,0.3674028946,12677806.91,209701584.97
2023-07-11,19:11:00,0.3654795526,00:18:00,0.374163677,0.3737141811,0.3722886093,13330518.18,212450024.24
2023-07-10,09:22:00,0.3600272928,20:08:00,0.3796370519,0.3773416061,0.3736860051,20489567.67,213207188.91
2023-07-09,22:23:00,0.3768835504,01:04:00,0.3905007906,0.3872435167,0.3773250891,16181170.92,215242763.97
