date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,0.021146926,00:08:00,0.0219282609,0.0219196549,0.021283848,1609023.56,82149447.57
2023-08-30,15:16:00,0.0217755488,00:07:00,0.0224418164,0.0223872437,0.0219241199,1478338.23,84620710.26
2023-08-29,00:31:00,0.0216890523,16:33:00,0.0224877191,0.0217095002,0.022385019,5757393.02,86398902.62
2023-08-28,10:20:00,0.0214137213,00:00:00,0.0219369473,0.0219369473,0.0217125167,1427548.64,83803262.22
2023-08-27,23:35:00,0.0218710602,00:01:00,0.022283373,0.0222548304,0.0219348987,1350286.58,84656063.61
2023-08-26,00:08:00,0.0217082815,00:58:00,0.0223524561,0.0217296169,0.0222490413,3225555.05,85868473.05
2023-08-25,05:05:00,0.0215607506,00:04:00,0.0218834464,0.0218664963,0.0217268354,1634389.39,83853059.09
2023-08-24,20:58:00,0.0216962301,01:04:00,0.0221219217,0.0221038216,0.0218653998,1604097.96,84387837.85
2023-08-23,13:16:00,0.0215342459,19:50:00,0.0222805611,0.021733079,0.022106023,2059150.2,85306805.57
2023-08-22,21:41:00,0.0213570142,00:12:00,0.0225782549,0.0223742057,0.0217299185,3157978.83,83855423.78
2023-08-21,16:03:00,0.0220430299,00:40:00,0.0231299247,0.0230912044,0.0223752119,7544533.87,86354442.1
2023-08-20,00:00:00,0.0216640386,00:56:00,0.0260713476,0.0216640386,0.0230846585,48591785.62,89092465.97
2023-08-19,00:01:00,0.0212235361,16:56:00,0.0217610527,0.0212264948,0.0216581033,1087517.23,83586847.53
2023-08-18,04:58:00,0.0207454983,08:57:00,0.0214360298,0.0210631178,0.021224288,1576213.74,81912589.67
2023-08-17,22:13:00,0.0203361512,08:01:00,0.0229284034,0.0226822207,0.0210565501,2317607.37,81265225.52
2023-08-16,22:13:00,0.0225388892,00:02:00,0.0242686697,0.0242615871,0.0226949566,3104215.79,87588458.57
2023-08-15,23:58:00,0.0242400397,00:00:00,0.0251472944,0.0251472944,0.0242616258,1833987.29,93634270.52
2023-08-14,02:22:00,0.0249605936,16:57:00,0.0252109327,0.0251098747,0.0251467736,1464599.26,97049863.4
2023-08-13,23:58:00,0.0251095466,00:00:00,0.0256481854,0.0256481854,0.0251097632,2153046.52,96907027.75
2023-08-12,03:48:00,0.0254636305,14:08:00,0.0257725221,0.0256866029,0.0256551325,1271167.17,99011656.77
