date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,22:14:00,1.9234289702,12:57:00,2.0240140387,1.9956059654,1.928386385,43897748.1,519681901.34
2023-08-30,23:59:00,1.9955718439,00:55:00,2.0848994124,2.0609516351,1.9955718439,31366413.98,537270951.54
2023-08-29,10:40:00,2.0374812599,14:46:00,2.1370824864,2.0809471586,2.0609682697,45715402.91,554877897.44
2023-08-28,21:46:00,2.0794775168,12:36:00,2.1395967854,2.1079400707,2.0810284287,23323525.55,560049205.46
2023-08-27,00:00:00,2.0714635355,16:44:00,2.1489104328,2.0714635355,2.1079373851,21101866.7,567290980.46
2023-08-26,00:55:00,2.0521095393,15:06:00,2.0828305954,2.0624219132,2.0715929957,14078802.77,557509928.89
2023-08-25,17:49:00,2.0201735666,00:22:00,2.0753221521,2.0744321392,2.0623577555,32694877.37,555024528.46
2023-08-24,21:00:00,2.0468532971,07:25:00,2.1478869184,2.1384073241,2.0744441025,26242380.14,558276703.0
2023-08-23,00:00:00,2.0676209536,18:01:00,2.233754467,2.0676209536,2.1382769289,32618169.04,575173225.58
2023-08-22,21:41:00,2.0095907579,06:59:00,2.1148597528,2.0947756458,2.0677155229,24249224.22,556153982.63
2023-08-21,11:13:00,2.0848826575,03:09:00,2.1509291043,2.1490669096,2.0949232889,29950188.57,563439081.9
2023-08-20,23:18:00,2.1461653526,08:03:00,2.2589991969,2.2404415164,2.1490982604,23446845.6,577998886.52
2023-08-19,07:12:00,2.1718826257,17:06:00,2.245445481,2.1816277394,2.2405523377,17961041.91,602595414.2
2023-08-18,03:16:00,2.057426584,22:17:00,2.1874011552,2.0858505893,2.1814758294,29951650.14,586705926.84
2023-08-17,21:47:00,1.990847833,02:32:00,2.345387772,2.3092038328,2.0868591324,47872075.27,561037529.97
2023-08-16,21:16:00,2.2788091589,17:32:00,2.3762341564,2.3469426994,2.3093084017,33796721.15,620505166.51
2023-08-15,19:11:00,2.3276614273,10:11:00,2.5062302986,2.485832875,2.3469032318,40990595.34,630606781.66
2023-08-14,19:15:00,2.4679084371,16:30:00,2.536278467,2.5000584347,2.4856693061,28218970.38,667744289.91
2023-08-13,16:56:00,2.4833279509,00:03:00,2.5457430257,2.5443587528,2.5001998708,24866341.95,671646578.96
2023-08-12,04:13:00,2.5218226888,16:37:00,2.5608166119,2.5426710379,2.5437714579,24198777.69,683351021.0
2023-08-11,19:18:00,2.5270384251,05:55:00,2.5979232687,2.5805001986,2.5425460541,32176264.28,682870062.82
2023-08-10,23:25:00,2.5631764294,10:11:00,2.6505822693,2.5945407735,2.5805405613,40430108.09,692707459.6
2023-08-09,01:05:00,2.5711214833,10:51:00,2.6331752401,2.5794086115,2.5944333636,37307394.33,696007216.05
2023-08-08,09:57:00,2.4393276895,18:23:00,2.6113610146,2.5196297524,2.5789288436,46519614.0,691847826.97
2023-08-07,16:20:00,2.4808464815,04:31:00,2.6282507127,2.5433019704,2.5199046244,41150651.66,676013432.04
2023-08-06,16:12:00,2.5317649321,06:05:00,2.5929997122,2.540158111,2.5428977647,39785565.55,682181789.18
2023-08-05,04:49:00,2.4651010141,16:41:00,2.5408152296,2.5018991249,2.5400648315,40797639.59,681400804.36
2023-08-04,07:05:00,2.3704124846,16:59:00,2.5495353511,2.4079884454,2.502839037,71403159.06,671388335.54
2023-08-03,14:34:00,2.4014772569,00:50:00,2.4917726237,2.4781691207,2.4081819229,62074855.79,645952395.67
2023-08-02,08:21:00,2.4263904783,13:50:00,2.6037447481,2.4853429647,2.477835227,66840210.21,664296883.89
2023-08-01,14:36:00,2.3840689046,01:09:00,2.5717476323,2.5650388885,2.4843809917,68290102.13,666051535.24
2023-07-31,20:07:00,2.5370745915,01:01:00,2.7885932531,2.718501937,2.5647082648,54646982.66,687586574.11
2023-07-30,20:04:00,2.6675529752,06:07:00,2.8485260279,2.8465336603,2.7186368918,35691975.51,728800630.82
2023-07-29,11:53:00,2.7997525778,02:04:00,2.8774512114,2.820305831,2.8464826429,37522588.63,763071746.72
2023-07-28,18:33:00,2.7661508993,01:45:00,2.9078989312,2.8624737998,2.8204719581,37750915.93,756098895.7
2023-07-27,00:50:00,2.7921636364,09:04:00,3.0058872001,2.8274313208,2.8625069839,61361638.83,766232031.27
2023-07-26,08:59:00,2.5802069107,20:14:00,2.9449250846,2.7493699137,2.8271272538,88057605.55,756387945.3
2023-07-25,08:34:00,2.7166318401,14:17:00,2.822466251,2.7760796645,2.7493194428,34358760.79,735569709.4
