date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,1.4751277156,11:49:00,1.5750744318,1.5380241606,1.4990539002,45611916.85,510432264.75
2023-08-30,15:07:00,1.5197492194,00:28:00,1.6380631418,1.6131672627,1.5380693137,54516625.73,523712724.35
2023-08-29,00:31:00,1.4495244247,22:21:00,1.6188793385,1.4509676667,1.6131095234,90956723.92,549224508.65
2023-08-28,07:47:00,1.4094883746,00:49:00,1.4774277319,1.4650384466,1.4510206052,42867395.42,494005798.15
2023-08-27,00:02:00,1.3969129876,15:04:00,1.4898561803,1.3973679746,1.4644590673,72648711.25,498570082.48
2023-08-26,19:03:00,1.3752584019,00:06:00,1.4819628044,1.4808417894,1.397411751,48516506.46,475716157.74
2023-08-25,03:31:00,1.4614154598,10:46:00,1.5660230039,1.4969173007,1.480671019,78363548.78,504043588.86
2023-08-24,15:57:00,1.481144147,03:37:00,1.6210004814,1.5968883692,1.4968168823,52540695.25,509523699.37
2023-08-23,00:37:00,1.559030848,16:26:00,1.6678417292,1.5669117379,1.5968367853,83856896.91,543543870.51
2023-08-22,22:16:00,1.5374656388,02:10:00,1.7779980362,1.7371836317,1.5667383216,109770563.61,533301369.5
2023-08-21,10:55:00,1.6094205637,00:01:00,1.7709140566,1.7706032457,1.7374708522,124198757.39,591494431.82
2023-08-20,06:28:00,1.718095873,20:28:00,1.8861217667,1.7242858397,1.7706896421,149623321.63,603164672.34
2023-08-19,08:49:00,1.5265001827,17:07:00,1.7723128835,1.6091190115,1.7237885605,221641309.81,587139795.7
2023-08-18,10:35:00,1.4329816078,23:34:00,1.6280991177,1.490624972,1.6093761968,138876594.47,548128223.58
2023-08-17,22:55:00,1.4517381589,12:37:00,1.6216892019,1.497267783,1.488954589,67152054.65,507075499.67
2023-08-16,16:05:00,1.481676527,03:20:00,1.6516333802,1.5409156885,1.4974981172,110665442.56,509940962.81
2023-08-15,16:01:00,1.4605755655,22:23:00,1.6377791366,1.4656966909,1.5403386196,216043271.42,524485734.34
2023-08-14,09:25:00,1.3491473581,23:49:00,1.4699611785,1.3811203564,1.4653878107,103673811.72,498924578.17
2023-08-13,00:00:00,1.2703538022,13:18:00,1.4283660448,1.2703538022,1.3815992382,160526633.69,470340716.22
2023-08-12,09:02:00,1.1080762814,23:09:00,1.2715846955,1.1434641642,1.2703491224,95617301.16,432412697.21
2023-08-11,00:00:00,1.0494038472,23:59:00,1.1435242793,1.0494038472,1.1435242793,52283862.59,389203059.15
2023-08-10,00:00:00,1.0107743434,16:43:00,1.0597311074,1.0107743434,1.0493887691,47566056.2,356193582.86
2023-08-09,04:07:00,0.9929213745,00:58:00,1.0227387638,1.0030850419,1.0107497821,36354089.34,343078367.97
2023-08-08,09:06:00,0.9501966595,21:26:00,1.0168357875,0.9529318807,1.0031244351,27628974.43,339988525.42
2023-08-07,00:37:00,0.9309075455,23:56:00,0.9534285354,0.9314983113,0.9528335469,22772875.41,323419884.93
2023-08-06,01:48:00,0.9265327013,17:56:00,0.9380178305,0.9283108992,0.9314992129,11446309.09,316178381.02
2023-08-05,14:40:00,0.9187820542,23:05:00,0.9292217253,0.9280082204,0.9283155133,19912311.92,314633570.33
2023-08-04,20:52:00,0.9213007996,13:52:00,0.9373052589,0.9292470166,0.9280098775,14044555.34,314529981.33
2023-08-03,08:28:00,0.9199387869,15:02:00,0.9360625518,0.9271940744,0.9292744615,11170029.08,314958586.22
2023-08-02,16:58:00,0.924571249,01:35:00,0.9576118284,0.9524371724,0.9271802295,19035013.24,314712390.31
2023-08-01,04:27:00,0.9185193796,23:59:00,0.9524595064,0.9351337509,0.9524595064,17074003.8,322057078.77
2023-07-31,00:18:00,0.9250449594,13:01:00,0.9421952408,0.9262263359,0.9351102943,13883217.36,316141824.6
2023-07-30,20:04:00,0.9154750162,00:09:00,0.9415670736,0.9411811558,0.9262074444,13183589.31,309264886.41
2023-07-29,12:04:00,0.9357979882,22:30:00,0.9443209644,0.9367761304,0.9411733044,11799410.42,314262055.26
2023-07-28,17:46:00,0.9210621302,23:34:00,0.93706166,0.9273147586,0.93687072,21965138.34,312825402.72
2023-07-27,19:50:00,0.923914764,09:49:00,0.9573388599,0.9441038769,0.9273222222,16711064.88,309637115.79
2023-07-26,12:02:00,0.9361006193,20:55:00,0.9562633815,0.949929806,0.9441305613,13720325.04,315249496.84
2023-07-25,20:24:00,0.9470723988,02:55:00,0.9645054655,0.9618384065,0.9499475661,20819559.12,317191821.23
2023-07-24,15:13:00,0.9537262011,00:51:00,0.9938128038,0.9924267287,0.9618237649,19547839.0,321157338.14
2023-07-23,00:52:00,0.976716512,19:16:00,1.0029585471,0.9786301233,0.9926373354,9471264.9,331446129.75
2023-07-22,23:35:00,0.974431999,04:38:00,0.9978671337,0.9936938924,0.9785075239,12016813.49,326728121.28
2023-07-21,10:01:00,0.9905508102,15:37:00,1.0252954537,0.9948693411,0.9936537619,45616169.16,331785519.18
2023-07-20,18:31:00,0.9862371893,05:56:00,1.0086787287,0.9966282717,0.9948265971,17307999.55,332177134.2
2023-07-19,00:03:00,0.9857630842,04:40:00,1.0051388611,0.9858994305,0.9966169414,15318133.52,332774938.31
2023-07-18,16:52:00,0.9785910896,02:10:00,1.0217145824,1.014590588,0.9858712095,21065898.47,329186889.47
2023-07-17,18:52:00,0.9954778553,08:31:00,1.0304348881,1.0142340025,1.0146567289,21439726.84,338798505.58
2023-07-16,23:37:00,1.0125198796,01:28:00,1.0381255814,1.0335511286,1.0142661907,15564556.63,338668103.08
2023-07-15,03:34:00,1.0170983859,12:56:00,1.0371057067,1.0299663134,1.0335795863,16050013.65,345116933.91
2023-07-14,20:35:00,1.011497323,16:06:00,1.0831038159,1.0647601148,1.030001255,33703329.0,343922112.75
2023-07-13,04:13:00,0.9717016512,20:05:00,1.0650470697,0.9805420218,1.0647045497,29011776.11,355509701.02
2023-07-12,20:02:00,0.9740206273,07:52:00,1.0051781415,0.9916920386,0.9806171429,19609396.74,327432532.7
2023-07-11,19:13:00,0.9846824644,02:07:00,1.0178771142,1.0132838714,0.9916920386,14318853.77,331130490.82
2023-07-10,08:22:00,0.977809344,21:10:00,1.0215144454,0.9976539703,1.0132264174,22835585.73,338320918.03
2023-07-09,22:15:00,0.9953102464,01:17:00,1.0115901919,1.0035526619,0.9976873871,10246256.62,333132365.02
2023-07-08,20:22:00,0.9933901021,12:54:00,1.0197753714,1.0125503817,1.0035773042,28813529.55,335099035.19
2023-07-07,00:04:00,0.9898466519,14:04:00,1.0207043124,0.9971622906,1.0125433238,15938145.13,338092829.98
2023-07-06,23:59:00,0.9970491955,09:15:00,1.0644533862,1.0349619722,0.9970491955,20714886.42,332919269.94
2023-07-05,13:04:00,1.0256254545,08:56:00,1.0691448261,1.0568853216,1.0350001795,39969264.69,345591276.42
2023-07-04,19:34:00,1.0555194948,14:02:00,1.1061645213,1.0948373533,1.0568102687,47358332.3,352873764.61
2023-07-03,00:46:00,1.0689461492,19:32:00,1.1054220462,1.0702741651,1.0948403491,23110475.55,365572181.75
2023-07-02,04:04:00,1.0504079007,22:36:00,1.0746213947,1.0624197597,1.0702790855,23867015.24,356814524.14
2023-07-01,00:20:00,1.0280794743,23:59:00,1.0623746674,1.0283526372,1.0623746674,25828947.61,354147943.37
2023-06-30,13:49:00,0.9585648558,12:53:00,1.0372728188,0.9779578267,1.028332609,44626992.52,342768472.27
2023-06-29,00:54:00,0.9502460695,11:22:00,0.9948237219,0.9512156479,0.9780469586,18641570.83,325693883.9
2023-06-28,19:43:00,0.9411626706,00:01:00,1.0056521153,1.0052883392,0.9511783964,19530370.06,316708459.41
2023-06-27,00:08:00,0.9853597929,14:10:00,1.0232623639,0.9855018824,1.0052010764,15716242.58,334661222.44
