date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:10:00,0.6133498761,14:43:00,0.661441086,0.6459405074,0.6169276323,30249982.33,616927632.29
2023-08-30,18:32:00,0.6387989836,00:03:00,0.6506537898,0.6503919408,0.6458226845,8116919.96,645822684.49
2023-08-29,10:32:00,0.6066926891,22:16:00,0.6534239076,0.6202348929,0.6503357254,12175251.21,650335725.43
2023-08-28,05:34:00,0.593301329,23:29:00,0.6235369601,0.609646449,0.6202634578,11116906.19,620263457.82
2023-08-27,22:15:00,0.6034349467,00:30:00,0.6350719884,0.6343488338,0.6095436382,11825760.54,609543638.18
2023-08-26,23:19:00,0.6334633673,08:07:00,0.6441343416,0.6356552449,0.6343264794,5856574.13,634326479.38
2023-08-25,04:43:00,0.6222286076,22:10:00,0.6364547548,0.6326924086,0.6357490253,9643726.7,635749025.28
2023-08-24,20:58:00,0.6208811473,00:14:00,0.6450062428,0.644416936,0.6326267294,8363059.02,632626729.39
2023-08-23,00:36:00,0.6212751774,19:50:00,0.6489563007,0.6234498896,0.6443485766,7358285.47,644348576.64
2023-08-22,18:13:00,0.5982363497,00:44:00,0.6260553137,0.6227180114,0.6233120699,8453390.79,623312069.86
2023-08-21,15:32:00,0.6046532858,00:00:00,0.6258909476,0.6258909476,0.6227936741,6166492.08,622793674.14
2023-08-20,17:07:00,0.6168431423,10:07:00,0.6300902493,0.6256647932,0.625907138,6008490.62,625907137.97
2023-08-19,02:22:00,0.6198081832,16:58:00,0.6312559478,0.6265338928,0.6256605397,6738129.61,625660539.73
2023-08-18,00:04:00,0.6174322874,09:22:00,0.6438199819,0.620204248,0.6264991995,10493958.72,626499199.53
2023-08-17,21:46:00,0.5830834017,06:01:00,0.6879946105,0.6759405391,0.6201158899,20603646.58,620115889.88
2023-08-16,21:17:00,0.664137143,00:10:00,0.7130387791,0.7114950165,0.6759505193,18003175.38,675950519.31
2023-08-15,19:11:00,0.6969646767,13:19:00,0.7593647536,0.7470386001,0.7111983194,19330686.05,711198319.41
2023-08-14,00:03:00,0.7357394523,16:41:00,0.7556692204,0.7359138412,0.7469711451,13753424.0,746971145.11
2023-08-13,00:33:00,0.7315329065,19:37:00,0.7443060442,0.7339373003,0.7359006511,10571829.15,735900651.14
2023-08-12,21:19:00,0.7326807562,02:46:00,0.7569998189,0.7475413799,0.7340552513,11733177.85,734055251.27
2023-08-11,17:13:00,0.734390891,23:05:00,0.7481580229,0.7395960807,0.7476158895,10828349.79,747615889.55
2023-08-10,14:46:00,0.731840307,00:28:00,0.7449007118,0.7429292729,0.7395849218,10587233.12,739584921.76
2023-08-09,01:06:00,0.7302282791,13:22:00,0.7456225539,0.7328940755,0.7429748233,12017051.27,742974823.3
2023-08-08,02:05:00,0.7123819809,21:26:00,0.7379004218,0.7174660458,0.7329368582,12234378.32,732936858.23
2023-08-07,16:49:00,0.7000410027,00:28:00,0.7300483299,0.7211865388,0.717446108,15166226.78,717446107.98
2023-08-06,23:14:00,0.7192810683,02:04:00,0.7500581699,0.7435827514,0.7212204344,12566684.32,721220434.44
2023-08-05,22:28:00,0.7412898901,01:10:00,0.7590680521,0.7588163185,0.7436653113,9154680.41,743665311.3
2023-08-04,20:52:00,0.7524595953,17:01:00,0.7686765265,0.7584672028,0.7588541472,10008348.09,758854147.17
2023-08-03,22:32:00,0.7552930614,14:56:00,0.7689345571,0.7578614629,0.7584208001,12500836.48,758420800.07
2023-08-02,16:58:00,0.7451029989,01:34:00,0.7811559357,0.7763479561,0.7580363359,15044097.91,758036335.92
2023-08-01,15:34:00,0.7612463078,01:13:00,0.7862981859,0.784034112,0.776304186,20310328.63,776304186.03
2023-07-31,20:07:00,0.7792522028,02:37:00,0.818031149,0.8077246642,0.7840361991,12686092.58,784036199.1
2023-07-30,20:04:00,0.779607853,04:41:00,0.8227871725,0.8142202721,0.807727292,14313080.85,807727292.02
2023-07-29,00:07:00,0.7919117906,05:25:00,0.8184400047,0.7931493516,0.8142085472,13140791.93,814208547.25
2023-07-28,05:46:00,0.7722420538,22:16:00,0.7974792687,0.7833884038,0.7931403227,16892407.59,793140322.66
2023-07-27,23:39:00,0.7829996534,01:27:00,0.8316036505,0.8222859394,0.7835950254,19210190.6,783595025.45
2023-07-26,17:14:00,0.816364944,00:00:00,0.8547309653,0.8547309653,0.8222179297,32567962.11,822217929.71
2023-07-25,01:18:00,0.7835806274,23:58:00,0.8545722165,0.7850103105,0.8544659449,35113412.39,854465944.91
2023-07-24,18:13:00,0.778786316,00:47:00,0.8333378679,0.8269006998,0.7850080326,19823508.59,785008032.6
2023-07-23,00:52:00,0.7875707456,21:10:00,0.831351617,0.7904894092,0.8269659673,14857271.38,826965967.28
2023-07-22,23:35:00,0.7870083567,03:25:00,0.8144406245,0.8083270443,0.7903806557,13285055.49,790380655.75
2023-07-21,00:06:00,0.7866437425,04:17:00,0.837932717,0.7885887258,0.8082592107,28032958.0,808259210.67
2023-07-20,07:10:00,0.766164512,15:11:00,0.7952725187,0.7705113212,0.7883670864,18755337.19,788367086.45
2023-07-19,00:10:00,0.7561159517,19:02:00,0.783836512,0.7583621176,0.7706125104,17121114.63,770612510.45
2023-07-18,16:59:00,0.7486327213,01:52:00,0.7836613821,0.7779607856,0.7583609247,16294376.96,758360924.67
2023-07-17,18:52:00,0.7585497684,14:10:00,0.7884964478,0.7665322374,0.7777440442,18468861.19,777744044.24
2023-07-16,23:39:00,0.7658994116,01:26:00,0.8041917089,0.8012518269,0.7666597975,14375413.55,766659797.55
2023-07-15,06:07:00,0.7890030604,10:23:00,0.8134476703,0.8063212135,0.8015008118,14645962.74,801500811.8
2023-07-14,19:07:00,0.780855506,00:31:00,0.8426891732,0.8317996891,0.8062942019,24397826.56,806294201.9
2023-07-13,01:39:00,0.7513882207,23:55:00,0.8336985786,0.7579177853,0.8319413916,32226287.68,831941391.61
2023-07-12,19:59:00,0.7486485183,13:16:00,0.7742380286,0.7526118479,0.7577624098,15332951.61,757762409.77
2023-07-11,01:25:00,0.7244796051,23:59:00,0.752854032,0.7341784885,0.752854032,6351004.47,752854032.05
2023-07-10,08:22:00,0.6982891888,20:08:00,0.7458566584,0.7210357878,0.7342147243,9179975.15,734214724.27
2023-07-09,23:31:00,0.7198063217,09:16:00,0.7372243848,0.7227824725,0.7209313579,6754108.12,720931357.88
2023-07-08,20:19:00,0.7083263561,09:28:00,0.7342387437,0.7254451734,0.7226896199,7015423.82,722689619.91
2023-07-07,00:39:00,0.7067600152,14:04:00,0.7324777357,0.7126574346,0.7255598378,7937895.51,725559837.77
2023-07-06,14:40:00,0.7118624192,09:32:00,0.7683195529,0.7353477992,0.7126286729,10917035.58,712628672.87
2023-07-05,20:07:00,0.7261909363,08:03:00,0.7885671004,0.7698371682,0.7354048559,15323716.96,735404855.92
2023-07-04,19:27:00,0.7521982669,23:34:00,0.7768229979,0.7714768836,0.7694204374,12374876.7,769420437.36
2023-07-03,00:43:00,0.758834041,15:36:00,0.7796546553,0.7640600885,0.7712916651,12672845.09,771291665.09
2023-07-02,15:26:00,0.7440863532,04:13:00,0.7692654582,0.7644169532,0.7640635374,14676889.22,764063537.39
2023-07-01,04:32:00,0.7179885557,23:59:00,0.7643637882,0.7296036511,0.7643637882,11696857.85,764363788.18
2023-06-30,13:49:00,0.6776611003,13:01:00,0.7378912893,0.6983492171,0.7299205884,16740682.93,729920588.43
2023-06-29,20:52:00,0.6898819711,12:20:00,0.7154596737,0.6981552634,0.6986115552,7560155.3,698611555.18
2023-06-28,19:46:00,0.6861875105,00:01:00,0.7462539559,0.7458106194,0.698145664,12334635.73,698145663.98
2023-06-27,00:37:00,0.7327719683,03:08:00,0.754746956,0.7342879531,0.7458480672,8965526.8,745848067.18
2023-06-26,22:04:00,0.7258612051,00:00:00,0.7673704566,0.7673704566,0.7341962174,15285940.99,734196217.44
2023-06-25,00:00:00,0.7412978875,05:34:00,0.8772032276,0.7412978875,0.7675497603,58575338.68,767549760.26
2023-06-24,16:05:00,0.7343084792,03:06:00,0.7683898379,0.7545692416,0.7413120185,11924529.39,741312018.52
2023-06-23,00:01:00,0.7117314126,21:21:00,0.7633249554,0.7122464608,0.754627845,13171582.34,754627845.0
2023-06-22,14:43:00,0.7064626381,08:05:00,0.7361402329,0.7132225354,0.7122587741,11218253.42,712258774.13
2023-06-21,00:08:00,0.663684115,22:58:00,0.7190719496,0.6655989793,0.7133387538,13223562.5,713338753.82
2023-06-20,14:31:00,0.6246617997,23:56:00,0.6657527034,0.645340229,0.6654984678,7498134.16,665498467.84
2023-06-19,16:38:00,0.6368728242,04:58:00,0.6616310548,0.645703152,0.6452210733,7643928.37,645221073.34
2023-06-18,20:32:00,0.6421033549,17:10:00,0.6571426222,0.654426596,0.6456921816,5801011.88,645692181.58
2023-06-17,02:07:00,0.6484129253,06:01:00,0.6670331505,0.6535170081,0.6543271947,5746799.04,654327194.74
2023-06-16,13:48:00,0.6317773829,18:17:00,0.662869571,0.6456040468,0.6535234573,6197497.15,653523457.29
2023-06-15,01:56:00,0.620420944,21:25:00,0.6517463698,0.6222950332,0.6454591986,7990646.11,645459198.58
2023-06-14,21:01:00,0.6086781623,16:38:00,0.6536835085,0.6417569485,0.6221744125,8707470.38,622174412.5
2023-06-13,16:03:00,0.6383256256,08:55:00,0.6670566047,0.6519132377,0.6417569485,7394645.54,641756948.46
2023-06-12,02:30:00,0.630917803,22:21:00,0.6571356522,0.6483332695,0.6517616997,8292887.99,651761699.75
2023-06-11,04:31:00,0.6452308379,20:16:00,0.6641911296,0.6577878913,0.6483932035,8743349.16,648393203.52
2023-06-10,04:29:00,0.5818482901,00:00:00,0.747168786,0.747168786,0.6578991132,29328748.24,657899113.22
2023-06-09,23:37:00,0.7448518676,13:28:00,0.7694966119,0.7584651836,0.7469867483,6358278.21,746986748.32
2023-06-08,03:34:00,0.7436668308,14:37:00,0.7756520091,0.7538152203,0.7581561116,6284588.64,758156111.56
2023-06-07,22:45:00,0.751445071,00:00:00,0.8008626209,0.8008626209,0.7534717045,9047811.76,753471704.48
2023-06-06,13:21:00,0.7711519834,19:55:00,0.8089981545,0.778816571,0.8006938298,8277254.02,800693829.82
2023-06-05,16:07:00,0.7511753305,00:02:00,0.8388665165,0.8386159607,0.7788513806,16320826.3,778851380.63
