date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,00:46:00,0.999765711,19:18:00,1.0008767487,1.0001045706,1.0001078073,4228660873.55,26158557645.49
2023-08-30,13:47:00,0.9997184158,11:19:00,1.0007362369,1.0000262354,1.0001547333,3635286825.05,26141286987.01
2023-08-29,07:39:00,0.9998606706,14:41:00,1.0015189885,0.9999508571,1.0000563256,4288358015.14,26150881627.0
2023-08-28,19:23:00,0.9997815543,21:48:00,1.0006022777,1.0000073495,0.9999228721,2747710981.99,26043196450.14
2023-08-27,18:06:00,0.9997702534,01:41:00,1.0005586878,0.9999921976,1.0000057159,1551269738.4,26043113038.99
2023-08-26,07:11:00,0.9998549802,08:35:00,1.0005768872,1.0000806913,1.0000100263,1491868951.67,26012937301.25
2023-08-25,16:31:00,0.9997621548,19:50:00,1.0005317469,0.9999942242,1.0000902839,2870155394.25,25919090832.39
2023-08-24,15:33:00,0.999825149,23:13:00,1.0005668661,1.0000560437,0.9999151169,2907706728.12,25868008592.82
2023-08-23,13:34:00,0.9997715115,21:55:00,1.0009565636,1.0001252781,1.000170009,3730953866.92,26007628691.14
2023-08-22,17:14:00,0.9997779966,16:55:00,1.0007883365,1.0000010012,0.9999913029,3647897906.18,25910464956.82
2023-08-21,08:07:00,0.9997566058,15:22:00,1.0006354172,1.000094549,1.0000019363,3060565177.25,25988990078.39
2023-08-20,02:43:00,0.9998443202,01:16:00,1.0005483616,1.000069154,1.0001021979,2106341341.59,25984261744.99
2023-08-19,19:22:00,0.9997583578,18:01:00,1.0005608695,0.9999637841,1.000188532,2489094112.17,25991542784.51
2023-08-18,12:42:00,0.9995730797,14:54:00,1.000768135,1.0002856749,1.0001279558,4966467815.13,25977665697.22
2023-08-17,21:54:00,0.9992260293,22:00:00,1.0011550337,1.0000173463,1.0004367107,6519582155.16,26146796266.21
2023-08-16,12:42:00,0.9998165529,20:31:00,1.000851988,1.0000154633,1.0000372128,3289212879.39,26053375289.88
2023-08-15,01:08:00,0.999868666,19:14:00,1.0005545982,1.0001092477,1.0000690155,2774696602.22,26035507711.42
2023-08-14,12:58:00,0.999825099,18:07:00,1.0005688312,1.0000414621,1.0001208432,2921375821.06,26008839061.89
2023-08-13,18:59:00,0.9998650726,03:01:00,1.000406637,1.000091274,1.0000280529,1761869667.6,26183335731.43
2023-08-12,07:23:00,0.9999278007,11:20:00,1.0004372457,1.00007575,1.0000342284,1641540904.43,26164907814.61
2023-08-11,03:10:00,0.9998355363,14:14:00,1.000829381,1.0000752239,1.0000821222,2442850117.99,26105312237.81
2023-08-10,06:05:00,0.9997697493,23:51:00,1.0005349169,1.0001285415,1.0001701002,2804649587.14,26160322978.58
2023-08-09,13:01:00,0.9995975683,13:40:00,1.0006719045,1.0000138032,1.0001891256,3123624699.18,26293668008.81
2023-08-08,22:22:00,0.9998134907,21:14:00,1.0007994095,0.999997124,1.0000803201,3392828371.72,26312207145.63
2023-08-07,03:02:00,0.9996518457,18:26:00,1.0005152139,0.9997303047,0.9999744741,2920815524.77,26141984355.63
2023-08-06,00:04:00,0.9995933185,13:46:00,1.0003183239,0.9999183818,0.9998170696,1962209984.99,26040633408.95
2023-08-05,13:55:00,0.9997173878,17:17:00,1.0002930165,1.0000220337,0.9998772644,1690306453.21,26041414119.74
2023-08-04,18:25:00,0.999255325,12:34:00,1.000482407,1.0001231817,0.9999892254,3102941070.93,26041204603.39
2023-08-03,07:05:00,0.9996335937,20:33:00,1.0005283126,0.999857877,1.000242975,2992754698.77,26105515791.2
2023-08-02,07:05:00,0.9996497741,00:13:00,1.0006452942,1.0000866222,0.9998907556,3899981415.35,26176815915.0
2023-08-01,15:23:00,0.9995427037,01:33:00,1.0006083804,0.9999960707,1.0000720125,4107231673.79,26283855183.92
