date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,20:37:00,130.2264707884,13:07:00,154.3749475229,150.8573232196,137.7433398679,11894117.51,137743339.87
2023-08-30,04:36:00,148.1836230466,08:38:00,164.5831254266,149.7791290795,150.8449513547,13735299.21,150844951.36
2023-08-29,00:00:00,138.804213799,15:49:00,160.1623208073,138.804213799,149.8086993771,11238814.51,149808699.38
2023-08-28,20:50:00,125.8791530316,11:07:00,154.8538100307,140.0845874757,138.7502920988,10703091.11,138750292.1
2023-08-27,22:07:00,136.5686849664,11:42:00,150.0430316218,140.165639148,140.1418905791,11738451.44,140141890.58
2023-08-26,00:15:00,118.4625188532,17:45:00,151.0479076739,119.0301525703,140.0860149614,13121432.78,140086014.97
2023-08-25,01:19:00,110.7577467466,11:32:00,127.2147611245,115.2211003041,119.1394513546,13371929.55,119139451.36
2023-08-24,23:16:00,112.1508578615,07:16:00,131.4170320887,129.6819130088,115.2083570873,15226749.55,115208357.09
2023-08-23,00:02:00,123.5040986375,10:05:00,140.3478926435,124.1045130241,129.6181875752,14387613.4,129618187.58
2023-08-22,21:52:00,118.7505077405,00:16:00,153.1263167298,151.9317721117,124.1080087819,17658386.05,124108008.79
2023-08-21,03:35:00,141.3518023536,17:01:00,154.1550591762,142.4725641248,151.9373152736,15685227.04,151937315.28
2023-08-20,20:01:00,135.1976700867,00:29:00,155.5092064143,154.5534225839,142.4684514205,14975448.88,142468451.43
2023-08-19,20:29:00,146.1076527344,02:54:00,169.2418874077,158.4022973043,154.578182523,10262066.24,154578182.53
2023-08-18,22:58:00,156.7901465857,00:10:00,188.0296703451,186.1712427174,158.3408631445,13319884.19,158340863.15
2023-08-17,22:02:00,165.8308150007,11:28:00,202.0872349809,190.443187879,186.0531027434,12310938.75,186053102.75
2023-08-16,22:05:00,180.3166764937,09:57:00,236.4336503069,194.0056936269,190.6774814243,13791253.66,190677481.43
2023-08-15,04:06:00,181.5883064052,14:45:00,209.6895409657,186.627028925,194.0124770636,13059198.68,194012477.07
2023-08-14,00:56:00,166.1304493564,19:25:00,189.8479808389,168.7877115803,186.6477030378,13987802.92,186647703.04
2023-08-13,22:34:00,165.4202204654,00:07:00,189.0103188753,188.7716300593,168.8121897971,11682915.26,168812189.8
2023-08-12,12:16:00,186.3947096874,06:34:00,193.6581090414,192.5554233455,188.7332756465,11915397.88,188733275.65
2023-08-11,09:29:00,167.9161664218,19:08:00,198.3984025522,185.0464394647,192.5692250044,15273002.34,192569225.01
2023-08-10,20:24:00,171.3823059448,06:08:00,194.4666368664,185.56607516,185.0306786279,12248440.26,185030678.63
2023-08-09,00:11:00,159.0642691732,19:49:00,199.142026673,162.6839681152,185.4900763455,15084066.21,185490076.35
2023-08-08,00:38:00,149.153936181,19:10:00,194.8416766308,151.9840538288,162.760800897,14207254.05,162760800.9
2023-08-07,14:32:00,133.8571856421,20:49:00,164.9979938373,140.2784514589,151.9865560741,12360755.64,151986556.08
2023-08-06,09:56:00,128.3907177976,22:19:00,144.4316517285,140.9087725264,140.1690149,11007749.96,140169014.9
2023-08-05,02:04:00,128.4669625413,06:17:00,158.7559076241,132.0048465132,142.4807804469,11330536.97,142480780.45
2023-08-04,20:27:00,123.2977466121,15:58:00,145.7561269364,138.6264261269,132.0072811958,11170545.95,132007281.2
2023-08-03,08:39:00,103.4376847401,21:04:00,154.9210693643,120.0602527564,138.6264258384,12013351.89,138626425.84
2023-08-02,17:27:00,105.1445677388,00:05:00,133.7165861756,132.8384649208,120.0602524776,9901078.24,120060252.48
2023-08-01,04:05:00,95.3697220191,23:59:00,133.2382224657,115.1338897685,133.2382224657,12293851.24,133238222.47
2023-07-31,10:11:00,103.7616712075,14:13:00,140.7032281218,123.0097224495,115.1327538838,14186400.41,115132753.89
2023-07-30,15:31:00,113.9713855078,02:27:00,148.6969279871,144.9859256785,123.0417603981,13643151.59,123041760.4
2023-07-29,15:53:00,135.8046495155,04:11:00,168.4660324731,146.3522829932,144.957851309,10540241.73,144957851.31
2023-07-28,18:28:00,136.0535398772,01:09:00,197.8984251189,178.9268601502,146.2052167215,20573646.78,146205216.73
2023-07-27,05:49:00,115.1981834413,23:11:00,189.1410009595,124.7676269125,177.0585547798,15208644.99,0.0
2023-07-26,00:15:00,117.3786977848,19:58:00,161.3566297199,118.8586822502,125.6090759362,11521631.19,0.0
2023-07-25,07:49:00,95.3860939665,18:05:00,140.7021701608,127.4131023193,118.7881315232,13259857.72,0.0
2023-07-24,19:03:00,106.133505927,00:02:00,151.4835568291,151.4178983269,127.39205448,15528830.95,0.0
2023-07-23,01:04:00,93.1595792186,23:57:00,153.4582765884,97.2859074429,151.8777239685,19215128.04,0.0
2023-07-22,08:12:00,83.4014177675,21:02:00,105.8243246212,84.905167387,97.2672101467,11105724.95,0.0
2023-07-21,00:44:00,67.9392032887,08:56:00,91.8874850321,71.0536223469,84.9067093594,7805323.14,0.0
2023-07-20,22:31:00,66.9879208912,10:44:00,89.315238421,72.8299230941,71.0600361435,4317848.28,0.0
2023-07-19,11:25:00,61.7292745392,22:51:00,80.2980676708,66.9391557847,72.9239833571,2753077.27,0.0
2023-07-18,21:38:00,60.6109335865,05:38:00,71.2293479589,65.4743256423,66.956431492,1325889.58,0.0
2023-07-17,09:07:00,57.0589901826,14:13:00,73.0985892225,63.9845509248,65.4905044559,2232326.29,0.0
2023-07-16,11:09:00,55.966760117,23:12:00,65.8973093593,57.2182254847,64.0109592937,923573.0,0.0
2023-07-15,13:18:00,47.9638812041,21:05:00,61.222905939,56.6100289209,57.2148483896,962469.47,0.0
2023-07-14,18:47:00,46.8551115325,01:33:00,58.364369077,53.1085809709,56.5708213488,1424507.33,0.0
2023-07-13,08:54:00,39.1878331814,06:45:00,59.0054867564,51.4559549668,53.0885798559,3404931.72,0.0
2023-07-12,16:44:00,41.6699209211,23:52:00,52.7378942226,41.8457369623,51.0413322172,1727711.81,0.0
2023-07-11,01:36:00,34.6103087219,21:39:00,44.8236335294,35.5076285436,41.8482988332,874207.35,0.0
