date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,00:24:00,3.3000915778,10:53:00,3.5869814172,3.3040244873,3.4750542042,8125888.3,94459712.22
2023-08-30,21:10:00,3.300207173,12:19:00,3.4456160388,3.3287504482,3.3042085071,5633480.0,89815745.7
2023-08-29,10:40:00,3.1940491021,17:40:00,3.3782118506,3.2239709893,3.3292583831,3289679.54,90496657.12
2023-08-28,10:19:00,3.1965393159,00:11:00,3.3022837354,3.2987861461,3.2242670143,2158248.24,87642757.9
2023-08-27,04:16:00,3.1739016942,23:59:00,3.2988908111,3.1960603466,3.2988908111,2378763.26,89671198.88
2023-08-26,19:30:00,3.1675346661,07:22:00,3.2579055873,3.1955348566,3.1962200408,1863884.15,86880378.7
2023-08-25,11:00:00,3.1197705105,23:05:00,3.2013787167,3.1714573948,3.1955231582,2124704.13,86861435.87
2023-08-24,15:32:00,3.1475573853,00:07:00,3.2568747022,3.2522441144,3.1714344238,2526408.68,86206650.43
2023-08-23,11:10:00,3.1747485634,20:44:00,3.287790803,3.2083874464,3.2521618674,3238331.22,88401002.13
2023-08-22,21:41:00,3.1100397533,12:45:00,3.2348514656,3.1805860515,3.2069986817,2800429.24,87173366.16
2023-08-21,15:33:00,3.1167614895,00:00:00,3.2463030016,3.2463030016,3.1810078735,2751183.72,86466878.11
2023-08-20,19:31:00,3.2269651281,05:46:00,3.3409223589,3.2862020516,3.2465909824,2419692.58,88249573.06
2023-08-19,07:24:00,3.17175379,19:55:00,3.2926607478,3.2095900947,3.2864124967,3547617.88,89332010.51
2023-08-18,17:25:00,3.1085408949,07:40:00,3.4548347837,3.3055810546,3.209536097,9572691.65,87242338.76
2023-08-17,22:13:00,3.0485169314,23:10:00,3.4427190741,3.1129112039,3.3066831064,7945774.82,89883010.82
2023-08-16,23:41:00,3.1023073453,00:30:00,3.3743355521,3.3467083027,3.1137918734,4277927.47,84639797.54
2023-08-15,19:31:00,3.2672615301,01:26:00,3.7021283858,3.5552409715,3.3465272454,9877023.8,90966063.25
2023-08-14,02:25:00,3.1807413234,19:29:00,3.7158763277,3.2169372966,3.5554123907,15022496.09,96644026.69
2023-08-13,16:45:00,3.1933236053,21:25:00,3.2682547996,3.243583742,3.2177571408,2551177.6,87465805.04
2023-08-12,00:05:00,3.1191312637,16:55:00,3.2557807148,3.1204773077,3.2432554309,3076106.84,88158905.35
2023-08-11,11:21:00,3.0938761618,01:32:00,3.1376487688,3.129929983,3.1203147803,1759938.05,84817104.68
