date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,17:04:00,0.5050803796,00:01:00,0.5284620968,0.5281951478,0.5107986257,1074749312.38,27060935129.03
2023-08-30,15:07:00,0.5231515196,00:02:00,0.5401647042,0.5400450257,0.5281944054,967541032.07,27982517233.05
2023-08-29,10:40:00,0.5137709401,14:46:00,0.5465756691,0.5232520081,0.5400651703,1468584827.88,28611349731.16
2023-08-28,09:28:00,0.5126726554,23:28:00,0.5243532647,0.523839724,0.5232479557,842593343.94,27687243601.79
2023-08-27,22:10:00,0.5215161495,14:40:00,0.5296018027,0.5234843926,0.5238443579,584757090.26,27718801744.82
2023-08-26,05:39:00,0.5193064482,20:21:00,0.5268652422,0.5262184801,0.5234701134,541153725.09,27698998898.56
2023-08-25,09:17:00,0.5087426345,19:10:00,0.5297742683,0.5184579287,0.5262458831,1067427241.27,27845876512.16
2023-08-24,20:58:00,0.5133054436,05:29:00,0.5313836147,0.5299133929,0.5184125297,881617930.86,27431380938.45
2023-08-23,13:17:00,0.5164361237,19:50:00,0.5347706129,0.520919011,0.5299015196,1007927235.81,28039311573.55
2023-08-22,17:43:00,0.5063426503,00:05:00,0.5248184925,0.5245361571,0.5209295493,1227160128.7,27526890712.96
2023-08-21,16:17:00,0.5100486756,00:10:00,0.5397817294,0.5395482631,0.5245380137,1445315789.15,27717568716.7
2023-08-20,03:01:00,0.5173293925,11:10:00,0.5529591202,0.5196390121,0.5395465517,1471670949.22,28510647906.98
2023-08-19,07:16:00,0.5019761908,16:58:00,0.523208417,0.5061279011,0.5196292042,1038954380.05,27458178051.73
2023-08-18,03:00:00,0.4875952994,07:01:00,0.5170611805,0.5072453354,0.5061001935,2169285315.77,26743279845.7
2023-08-17,21:47:00,0.4681060407,02:35:00,0.5934707756,0.5883439959,0.5071420081,2425926882.19,26798331277.75
2023-08-16,21:16:00,0.57905219,04:32:00,0.6143153209,0.609587755,0.5883282014,1688583741.05,31088361406.81
2023-08-15,19:13:00,0.593503135,00:00:00,0.6342375639,0.6342375639,0.6095986789,1230727429.45,32179058866.67
2023-08-14,00:46:00,0.6247240735,23:44:00,0.6354509715,0.6260976194,0.6342822383,939329128.56,33482036939.09
2023-08-13,22:43:00,0.6249028762,19:42:00,0.6370410253,0.6271920535,0.626101633,635297148.45,33050204997.41
2023-08-12,19:58:00,0.6255420777,00:58:00,0.6321516224,0.631656581,0.6272053331,519563799.57,33108466327.0
2023-08-11,15:55:00,0.6273332943,04:34:00,0.6391480753,0.6329907013,0.6316749571,885715585.76,33344405640.56
2023-08-10,07:58:00,0.6252756265,00:10:00,0.6434395742,0.6433463559,0.6329857325,1159039975.08,33413597919.22
2023-08-09,22:07:00,0.634652982,19:31:00,0.6623444908,0.642374872,0.6433650232,1659437399.63,33931898919.23
2023-08-08,10:41:00,0.6153177187,21:23:00,0.6448859811,0.6219277132,0.6424063537,1296031585.2,33881337454.93
2023-08-07,16:49:00,0.6049778966,01:32:00,0.6277778368,0.6230931555,0.6219310068,1417493753.1,32801441322.14
2023-08-06,23:46:00,0.6216337404,04:40:00,0.6364349557,0.6284293255,0.6230870285,849060663.55,32862411390.47
2023-08-05,01:58:00,0.6126365145,00:00:00,0.6355321914,0.6355321914,0.6284234242,1142144189.46,33143859767.45
2023-08-04,21:59:00,0.6303039875,01:47:00,0.6664418613,0.6640877374,0.635538911,1342066973.69,33519139691.52
2023-08-03,08:28:00,0.6588510156,00:39:00,0.6867607504,0.6851799037,0.6641350369,1414576524.77,35027336157.08
2023-08-02,16:59:00,0.6802319376,00:00:00,0.7070873815,0.7070873815,0.6851945311,1132335650.45,36105538864.24
2023-08-01,02:34:00,0.6835315929,23:59:00,0.7072107427,0.6985030442,0.7072107427,1438067857.93,37265657851.3
2023-07-31,21:04:00,0.6921537725,19:58:00,0.7173643358,0.7051101933,0.6985207509,1488758727.28,36807748713.07
