date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,02:39:00,2.1129304372,18:28:00,2.263054206,2.1316347315,2.2098380019,86674580.08,345300831.34
2023-08-30,16:40:00,2.0898491744,00:13:00,2.180703752,2.1760251555,2.1315279013,47683816.19,333064394.64
2023-08-29,04:16:00,2.1098979369,14:47:00,2.2785979483,2.1436387806,2.1758983848,88393387.79,339997556.63
2023-08-28,18:10:00,2.1182189263,00:19:00,2.2344574241,2.2138432197,2.143499067,64113765.32,334934963.19
2023-08-27,03:10:00,2.0751905911,16:25:00,2.238018419,2.0859867025,2.2138737354,54600746.64,345931439.62
2023-08-26,20:04:00,2.071160604,04:46:00,2.2041767517,2.1674704398,2.0860743518,45704644.42,325961996.9
2023-08-25,04:55:00,2.1068221506,19:11:00,2.1849727523,2.1737059591,2.1673971872,55680344.64,338669192.01
2023-08-24,17:39:00,2.0936433311,16:54:00,2.1990535844,2.1504564982,2.173738762,78372175.34,339660102.24
2023-08-23,01:34:00,1.9467371559,23:13:00,2.1653844596,1.9549747947,2.1503993526,66025149.21,336013175.41
2023-08-22,21:30:00,1.8725554105,23:20:00,1.9581129787,1.9348432139,1.9549707186,40783739.32,305476244.77
2023-08-21,15:31:00,1.9011030574,21:56:00,1.9461610924,1.9209531714,1.934896366,34265693.74,302339503.24
2023-08-20,21:58:00,1.9191691907,13:08:00,1.9845559855,1.9696891576,1.9210880503,33627103.39,300181868.66
2023-08-19,07:04:00,1.9426417427,16:52:00,1.9896525288,1.9665760342,1.9696021629,29025556.93,307762498.28
2023-08-18,00:04:00,1.8831054723,21:26:00,1.980528686,1.8892804228,1.9666002823,50995947.63,307293435.9
2023-08-17,21:46:00,1.7360024078,06:01:00,2.0323601081,1.997047999,1.8890650552,56133870.94,295178077.96
2023-08-16,21:16:00,1.9645920959,00:25:00,2.1750192987,2.1455636619,1.9970761204,52066898.87,312055473.76
2023-08-15,21:10:00,2.1147344855,00:01:00,2.1884770475,2.1874143526,2.145419119,44929423.56,335234983.17
2023-08-14,20:05:00,2.1772724791,05:04:00,2.2631379262,2.2118389978,2.1874088297,44770873.63,341796134.71
2023-08-13,11:04:00,2.1788295686,02:35:00,2.2383677199,2.2271279679,2.2118351929,42139107.41,345612904.76
