date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:12:00,5.4877454366,11:50:00,5.8097988147,5.7861879853,5.516797378,78512534.81,1259265769.02
2023-08-30,15:07:00,5.7661444588,00:26:00,5.9309143097,5.9021493896,5.7888256294,84104918.97,1320369196.72
2023-08-29,10:40:00,5.5840092882,18:18:00,5.9726043307,5.735749361,5.9019381493,100280884.25,1345159897.57
2023-08-28,05:34:00,5.5668728929,23:27:00,5.7456547584,5.6973829316,5.7363716717,73656403.63,1306443842.54
2023-08-27,22:15:00,5.6566423345,15:04:00,5.7777149931,5.7279729625,5.7000741957,66027211.87,1297203025.36
2023-08-26,00:47:00,5.6662395837,10:03:00,5.779142475,5.6917374036,5.7284265918,60937910.4,1302676445.67
2023-08-25,15:04:00,5.5857786658,00:17:00,5.8231882066,5.8103732268,5.691126362,88396875.79,1293223853.59
2023-08-24,20:58:00,5.7299025896,03:58:00,6.0546112396,6.0245655757,5.8161157023,84551608.03,1320638833.53
2023-08-23,13:17:00,5.8278416973,17:32:00,6.1195458819,5.8402284085,6.0163622371,100885356.12,1365080624.29
2023-08-22,21:31:00,5.6669485278,00:52:00,5.9716566249,5.9483214118,5.8399023326,94917289.9,1324045938.71
2023-08-21,15:31:00,5.8285929352,00:07:00,6.0836045254,6.0716690681,5.9554308338,102673919.51,1348967749.64
2023-08-20,15:19:00,5.9495743607,17:42:00,6.1635474376,6.0157753555,6.0650869114,97916657.11,1372771124.29
2023-08-19,00:26:00,5.8291870711,19:55:00,6.058495007,5.8331263067,6.01798891,110145511.54,1361084304.45
2023-08-18,03:02:00,5.4999450667,17:49:00,5.8871557201,5.7000205217,5.8320409192,166283371.02,1318033792.74
2023-08-17,21:46:00,5.3711457349,03:40:00,6.3094770201,6.1798192567,5.700823256,188719408.86,1287406699.15
2023-08-16,21:16:00,6.0625554047,00:25:00,6.541839813,6.5300619324,6.1866841132,184109530.99,1396073384.2
2023-08-15,19:11:00,6.4742397537,00:13:00,7.0806910149,7.0697379404,6.5372729213,132316607.24,1474072428.83
2023-08-14,02:23:00,6.9977654177,16:54:00,7.1458395027,7.058280615,7.0694941925,81511963.98,1592877179.57
2023-08-13,22:45:00,7.0407259658,11:31:00,7.2418740896,7.1911400317,7.0670162233,94852000.65,1591115417.47
2023-08-12,00:22:00,7.0751424231,06:27:00,7.217317292,7.0914986652,7.1929262199,101721917.66,1585557666.36
2023-08-11,19:39:00,6.9904678019,00:00:00,7.1612381037,7.1612381037,7.094737108,144314851.84,1562705606.57
2023-08-10,23:21:00,7.1401282963,01:31:00,7.5660700047,7.3938417507,7.1520084939,362025887.66,1574101664.72
2023-08-09,06:44:00,6.6692533502,13:20:00,7.9315575809,6.7089305805,7.4028779966,638502728.38,1628083774.08
2023-08-08,09:55:00,6.6095451731,21:25:00,6.7732611526,6.6630839931,6.7038947098,85842626.2,1473222360.47
2023-08-07,16:19:00,6.511088707,01:33:00,6.7654316705,6.705203979,6.6619405823,109876105.88,1462866677.11
2023-08-06,14:16:00,6.6891972333,09:15:00,6.8062887361,6.7186155798,6.7171381929,93752421.53,1473843436.3
2023-08-05,05:21:00,6.6293236579,23:05:00,6.7242447702,6.6911693184,6.7195416223,193315167.21,1473225231.23
2023-08-04,20:52:00,6.6196037945,15:08:00,6.8484214966,6.7756732661,6.6891670043,109768260.84,1465426466.28
2023-08-03,22:10:00,6.7303103051,02:02:00,6.9152249633,6.8714610942,6.7766566647,116013563.69,1483439007.36
2023-08-02,16:58:00,6.8457532257,01:34:00,7.0753855071,7.0618169954,6.8708555032,92300009.23,1502889759.08
2023-08-01,03:53:00,6.8394217994,23:59:00,7.0659363907,7.0395211368,7.0659363907,84467380.78,1544356342.42
2023-07-31,20:49:00,6.9675906654,02:39:00,7.0944028268,7.0277701571,7.0393329109,51746401.53,1537342426.25
2023-07-30,20:06:00,6.8976556795,03:27:00,7.1901173125,7.1472867523,7.0249454521,57551174.23,1533003743.04
2023-07-29,00:06:00,7.0576432973,20:51:00,7.1584426187,7.0776987822,7.141035185,37951977.39,1557120637.8
2023-07-28,05:56:00,6.9952761123,02:12:00,7.1122379085,7.0692342447,7.078606461,51090328.78,1542300920.35
2023-07-27,18:43:00,6.9336517248,10:01:00,7.1444253002,7.0168884272,7.072795545,65503652.2,1539830896.08
2023-07-26,01:38:00,6.8561285502,20:57:00,7.1174727513,6.9778775798,7.0243939054,75900502.5,1528098830.12
2023-07-25,07:52:00,6.8705722368,00:33:00,7.0746692553,7.06542769,6.9767052454,73963805.2,1516539437.73
2023-07-24,20:44:00,7.001858738,00:00:00,7.5879535613,7.5879535613,7.0668058232,100474957.45,1534930172.56
2023-07-23,22:16:00,7.5178908533,01:54:00,7.7668539432,7.6702419561,7.5761973108,71983530.03,1644285287.22
2023-07-22,00:00:00,7.5393350477,21:16:00,7.7469507763,7.5393350477,7.6685623797,92985620.54,1663030500.78
2023-07-21,00:40:00,7.375353116,18:07:00,7.5824375103,7.4232116526,7.5465481069,69141573.52,1635289727.9
2023-07-20,20:49:00,7.3389932919,02:38:00,7.6230745315,7.5613831053,7.42264224,77761512.14,1607181094.82
2023-07-19,09:05:00,7.4512378758,01:18:00,7.7001098219,7.590362835,7.5617811927,71520950.75,1636025716.77
2023-07-18,16:50:00,7.4604349526,01:19:00,8.1452912145,7.822913075,7.5898751068,168764431.14,1640817491.48
2023-07-17,00:10:00,7.3837236664,23:19:00,7.9207347068,7.4142441132,7.8273314906,200150313.31,1690604071.33
2023-07-16,02:25:00,7.3680867408,12:31:00,7.6183095903,7.4574461725,7.4145957879,102824115.83,1600202688.32
2023-07-15,03:31:00,7.2646584887,10:23:00,7.5540522325,7.3782730902,7.4564221154,117458081.49,1607967088.36
2023-07-14,20:36:00,7.1164132253,16:23:00,7.9656228679,7.5861612898,7.3790228057,256938924.74,1590024904.2
2023-07-13,05:05:00,6.9419842135,18:13:00,7.6696031274,6.9868953181,7.5858469853,162417801.89,1633305486.09
2023-07-12,19:38:00,6.8624331914,07:54:00,7.1237150889,7.0524958599,6.9910654579,84790636.63,1472293916.42
2023-07-11,14:19:00,6.9324343589,07:10:00,7.1387534061,7.100877474,7.0525116689,77907414.88,1484046711.71
2023-07-10,08:21:00,6.8371695142,20:08:00,7.1984124435,7.096103802,7.1011593083,106155215.67,1493111169.42
2023-07-09,07:43:00,7.0323256896,01:05:00,7.1798214476,7.0658841454,7.1023032956,72915937.38,1492175644.58
2023-07-08,20:21:00,6.9219166834,01:31:00,7.25543678,7.2291211287,7.0671370858,75074855.71,1483617583.32
2023-07-07,00:04:00,7.0786309723,02:53:00,7.2763493278,7.1224128207,7.2302098654,96165503.35,1516655614.45
2023-07-06,14:41:00,7.1189231769,09:03:00,7.6671711332,7.4349712138,7.1218427212,139348251.08,1492744419.43
2023-07-05,20:07:00,7.3094639033,09:19:00,7.9380510279,7.6805134089,7.4349269983,174594480.37,1557133520.17
2023-07-04,00:08:00,7.4983625579,05:07:00,8.3024920264,7.4992411025,7.6799965688,337581846.94,1607185691.14
2023-07-03,06:36:00,7.3234932886,16:20:00,7.6167552771,7.34187858,7.4988481912,119707176.4,1568033408.23
2023-07-02,18:04:00,7.1632695632,05:28:00,7.4300446239,7.3784407203,7.3454034272,116489416.94,1534729590.32
2023-07-01,04:34:00,7.0778498069,23:59:00,7.3769314491,7.2562229562,7.3769314491,97935037.28,1540093614.73
2023-06-30,13:49:00,6.8245926952,04:51:00,7.4898841707,7.1552983967,7.2565125685,220272220.63,1513750620.27
2023-06-29,00:59:00,6.8950102743,11:31:00,7.5377114885,6.9330122731,7.1548584388,160043930.14,1491359351.14
2023-06-28,19:47:00,6.7910951625,00:00:00,7.4389796614,7.4389796614,6.9345448673,117072440.02,1444288852.31
2023-06-27,00:05:00,7.274271362,10:28:00,7.5221662782,7.2926035178,7.4376706519,101299435.54,1547845576.66
2023-06-26,22:10:00,7.207427475,10:50:00,7.7202599705,7.5618677104,7.2866271392,167268562.52,1515205360.09
2023-06-25,00:31:00,7.3386906687,03:12:00,7.89635221,7.3471512858,7.5627310928,158996627.61,1571367033.0
2023-06-24,16:45:00,7.172598632,04:31:00,7.7432290798,7.656917123,7.3466267857,122377785.15,1525249122.55
2023-06-23,12:43:00,7.3101315967,18:00:00,7.9412077855,7.3745322066,7.6663197336,162659494.79,1590352266.72
2023-06-22,23:15:00,7.3488110514,02:00:00,7.8026782944,7.4737164484,7.3749894631,177301860.03,1528696162.74
2023-06-21,10:37:00,7.1141145604,16:37:00,7.5571132868,7.2142409709,7.4737217761,203921531.5,1547925238.33
2023-06-20,14:31:00,6.6680963393,20:04:00,7.2757371354,6.9412290055,7.2147080634,172843274.48,1493087672.62
2023-06-19,01:05:00,6.6871109901,18:08:00,7.0213256031,6.7298720091,6.9413497841,128165292.94,1435370476.7
2023-06-18,21:11:00,6.6444870575,07:29:00,7.2385598579,6.9967399415,6.7296159807,206062274.81,1390476269.5
2023-06-17,02:04:00,6.226836019,17:25:00,7.0564030198,6.2897080951,7.0035175163,246092436.45,1445914129.65
2023-06-16,14:50:00,6.042543803,18:12:00,6.3184508827,6.2191098878,6.2890204102,74964490.24,1297364883.5
2023-06-15,11:30:00,5.97038591,21:25:00,6.272944333,6.0309943551,6.2183575607,101841499.26,1281762108.04
2023-06-14,21:01:00,5.9348481993,16:37:00,6.4217180163,6.2643558826,6.0317360543,118431635.96,1242299967.28
2023-06-13,15:59:00,6.1256096811,12:34:00,6.4808244789,6.2640272938,6.2621544124,110820144.32,1288724356.62
2023-06-12,03:17:00,6.1051757426,09:11:00,6.4307636513,6.2659425272,6.263941966,146401347.13,1259599400.94
2023-06-11,04:31:00,5.8794734296,20:13:00,6.6787518931,6.0176249858,6.2584774159,148810124.04,1257469212.0
2023-06-10,17:05:00,5.7177811708,00:01:00,7.4434796757,7.4379223591,6.0173611754,301805783.52,1208031931.14
