date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:10:00,0.4473058472,11:49:00,0.4770883725,0.4727760152,0.4525010678,32767440.59,392833270.63
2023-08-30,20:06:00,0.4675758449,00:13:00,0.4853638479,0.4833664672,0.4727582014,32647697.83,409910864.94
2023-08-29,10:33:00,0.4590058955,14:46:00,0.498440642,0.4868905913,0.4833817546,118459107.21,418870436.24
2023-08-28,01:59:00,0.4564800364,13:01:00,0.4914346194,0.4595054635,0.4868988957,56461082.13,421839944.9
2023-08-27,03:03:00,0.4496988075,19:32:00,0.4615161614,0.4523078181,0.4594967492,21428505.61,396548785.61
2023-08-26,18:47:00,0.4503396908,03:38:00,0.4597150498,0.4544651469,0.4523102187,18860066.1,388602007.75
2023-08-25,04:43:00,0.4408779645,21:44:00,0.4587569308,0.4542041757,0.4544727106,40486695.49,388563836.48
2023-08-24,20:58:00,0.4468251708,00:14:00,0.4683880216,0.4678975829,0.4541978686,36905153.6,388127638.19
2023-08-23,13:17:00,0.4609645115,00:25:00,0.4803274426,0.4735956255,0.4678418549,48986670.73,399704322.48
2023-08-22,18:22:00,0.4440592635,00:52:00,0.4808797978,0.4787741432,0.4735947315,75231848.55,406187423.19
2023-08-21,16:00:00,0.4706204701,02:01:00,0.5009333198,0.4989976449,0.4787877924,44042251.77,410541197.57
2023-08-20,17:08:00,0.4934769184,03:55:00,0.5042972368,0.5028398867,0.499003475,27490157.35,426453358.29
2023-08-19,07:10:00,0.4899760073,17:00:00,0.5124251708,0.4947070082,0.5028250847,41171411.66,429469344.05
2023-08-18,17:26:00,0.4887434781,09:01:00,0.505622309,0.4951188711,0.4947479909,63057812.41,422331116.95
2023-08-17,21:46:00,0.4674229902,03:40:00,0.5506961244,0.5405419375,0.4950840062,91664340.77,423051269.56
2023-08-16,21:58:00,0.5295353192,18:31:00,0.5631376206,0.55588086,0.5405591961,92504240.13,463329078.92
2023-08-15,19:11:00,0.5432807444,10:04:00,0.5857849772,0.5809560999,0.5558739561,68506550.2,476265960.59
2023-08-14,02:22:00,0.57293156,08:44:00,0.5863789347,0.5769411622,0.5809566199,51938512.76,506829800.45
