date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,23:56:00,42.6861413098,11:49:00,44.7493531884,44.3184081815,42.7123674182,6348590.71,151419563.3
2023-08-30,18:05:00,44.1434264464,08:47:00,44.8442202289,44.7325082559,44.3217250186,6538884.55,156476565.11
2023-08-29,10:55:00,42.2382032796,20:23:00,45.8766936131,42.9563166569,44.7348245328,10347899.32,157921954.66
2023-08-28,11:52:00,41.565538422,15:34:00,43.0278090985,42.4798913967,42.9592606435,5952426.18,151642775.06
2023-08-27,02:01:00,41.8908132345,19:47:00,42.5790554846,41.9639380958,42.4800372677,2972213.56,149927619.36
2023-08-26,19:07:00,41.8610375511,03:14:00,42.5351991846,42.3485485249,41.967171069,3296958.12,148102484.44
2023-08-25,17:39:00,42.1409919304,00:25:00,43.4590351549,43.2531901679,42.3459558658,3898537.54,149283070.48
2023-08-24,20:58:00,42.9631886467,00:43:00,44.4214586585,44.197929679,43.2550358031,3789610.37,152444398.47
2023-08-23,13:17:00,42.7123455558,19:50:00,44.4972112312,43.005779708,44.1999484194,4963247.02,155734397.27
2023-08-22,21:31:00,41.9960936072,00:13:00,44.6918918255,44.6065271392,43.0069865281,5172156.02,151502533.29
2023-08-21,17:26:00,44.4047736989,00:44:00,45.4040405886,45.2874809343,44.6628827231,4789388.23,157307269.06
2023-08-20,17:26:00,44.844326402,03:30:00,45.5931878009,45.169022604,45.2858707224,4483112.35,159430033.59
2023-08-19,06:48:00,44.0645853829,18:37:00,45.9237586052,44.6510653429,45.1683945667,6020636.83,158993775.32
2023-08-18,17:26:00,43.7710051995,00:28:00,45.7540822963,45.3416580808,44.648292026,7550867.17,156964978.21
2023-08-17,21:47:00,42.4964456923,05:59:00,49.6548745448,47.3980045762,45.3386547122,27083727.98,159338543.99
2023-08-16,23:41:00,47.3244636545,07:49:00,49.8587882705,49.1183573309,47.3981534304,9253695.81,166453856.37
2023-08-15,22:57:00,48.9436718133,00:29:00,53.0072135037,52.5454118295,49.1168839739,9085986.12,172471079.63
2023-08-14,02:22:00,51.0925963629,15:45:00,53.7979481112,51.5190612848,52.5447105795,8460299.81,184478345.16
2023-08-13,22:43:00,51.376916784,02:48:00,53.3713482134,53.1166920206,51.5198305874,7252217.72,180850699.07
2023-08-12,15:28:00,51.9267590836,03:46:00,54.3295571526,53.6621004848,53.1173861403,11153141.27,186397087.06
2023-08-11,03:51:00,48.8416855608,21:23:00,54.1328204568,49.2811555418,53.6642403712,24061625.14,188310386.21
2023-08-10,09:43:00,46.5760239321,23:29:00,49.5781714456,47.2233985004,49.2837765661,7818818.33,172864225.55
2023-08-09,20:00:00,46.4489859928,01:57:00,47.8809913684,47.8039636112,47.2218553903,6568210.64,165588445.96
2023-08-08,10:07:00,45.4799078953,21:26:00,48.4390773066,46.083883351,47.8084493425,7418664.49,167618896.88
2023-08-07,16:20:00,45.1522122851,05:52:00,49.118621137,48.3490791531,46.0886711526,9761371.77,161553233.93
2023-08-06,16:13:00,46.6953325203,06:47:00,50.1844399398,48.8061699344,48.3041014737,15388384.8,169205207.62
2023-08-05,05:16:00,43.5676728124,23:10:00,50.4831864872,44.4802977056,48.8104683355,21239787.59,170916308.08
2023-08-04,02:21:00,42.9316968092,12:20:00,46.3460031923,43.1571964558,44.4648202374,23673397.3,155677941.79
2023-08-03,08:28:00,40.5368083823,21:34:00,43.3560959006,40.8658881128,43.1778450677,10163896.09,151113538.46
2023-08-02,17:01:00,40.529601408,01:36:00,41.6969889639,41.4418543917,40.8611846958,4538122.4,142972903.05
2023-08-01,02:38:00,39.7207544006,23:57:00,41.4473899835,40.7063401642,41.4429096598,5720795.8,144648561.69
2023-07-31,21:06:00,40.3992581247,02:38:00,41.4505523681,41.1265978911,40.7050554411,3775691.09,142006800.89
