date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:10:00,0.6524110002,00:02:00,0.6978404723,0.697824808,0.6567715222,12941505.46,481467090.72
2023-08-30,20:07:00,0.6941252695,00:06:00,0.7124141685,0.7121562651,0.6977527592,11125983.14,509886062.91
2023-08-29,04:15:00,0.6773245459,16:16:00,0.7173186273,0.688532858,0.7120542982,26130935.45,518681995.87
2023-08-28,07:48:00,0.6626357813,19:57:00,0.700248087,0.6814001817,0.6883031877,19995692.02,499786551.21
2023-08-27,03:12:00,0.6766019824,15:28:00,0.6844207461,0.6822411579,0.6813753388,4891859.18,493183062.43
2023-08-26,00:39:00,0.6780320317,13:59:00,0.6906988647,0.6833857182,0.6825950693,5395603.99,492498721.37
2023-08-25,14:58:00,0.6727496823,00:04:00,0.6978524322,0.6975247186,0.6834207892,10826058.77,491529841.25
2023-08-24,23:15:00,0.6938317302,13:32:00,0.7119721121,0.7003084172,0.6974488093,13704030.11,500030180.35
2023-08-23,13:16:00,0.6829771762,19:50:00,0.7051502815,0.6851000861,0.7003066701,11167113.85,500487268.05
2023-08-22,18:11:00,0.6644738561,00:33:00,0.705538768,0.6961363387,0.6850988109,21740022.13,488066019.29
2023-08-21,15:49:00,0.6925222606,02:14:00,0.7295238767,0.7089135137,0.6961237879,28026506.67,494339325.26
2023-08-20,06:58:00,0.6959526773,20:45:00,0.7173855162,0.7052769875,0.7089329917,13309719.82,501833368.78
2023-08-19,07:24:00,0.6871867231,17:06:00,0.7089808582,0.6963848552,0.7052769026,18794599.38,497661532.09
2023-08-18,00:04:00,0.6664452763,01:37:00,0.7257225786,0.6751102696,0.6963892137,53756759.17,489821847.43
2023-08-17,21:46:00,0.6452768335,13:41:00,0.7704973324,0.7267599216,0.6751865701,35444294.43,473392827.32
2023-08-16,21:16:00,0.7135101641,00:11:00,0.7890268395,0.7870561574,0.726792398,19116601.77,507953309.34
2023-08-15,19:11:00,0.774624219,00:12:00,0.8297734122,0.8294627451,0.7867182502,15439706.69,548083671.29
2023-08-14,02:22:00,0.818804138,19:46:00,0.8379286386,0.826247324,0.8294343171,9875221.28,575998673.34
2023-08-13,23:52:00,0.8252431361,11:34:00,0.8481510677,0.8377025401,0.8262612506,9956484.11,571960294.66
2023-08-12,00:09:00,0.8274351116,16:34:00,0.8424546826,0.8277471407,0.8377029397,6936452.34,578027829.35
2023-08-11,10:14:00,0.8196136342,01:28:00,0.8310493997,0.8266045716,0.8275631625,6492172.71,569206748.43
2023-08-10,13:16:00,0.8249497453,14:05:00,0.8362956172,0.8287407551,0.8266183918,9785397.81,566740018.72
2023-08-09,21:16:00,0.8214229833,01:32:00,0.8347891324,0.8336014618,0.8285586078,8582364.15,566254904.96
2023-08-08,09:55:00,0.8189045558,21:26:00,0.8412230703,0.8264155399,0.8335686862,9221936.28,567859470.71
2023-08-07,16:51:00,0.8102924783,05:56:00,0.8449209793,0.8357042432,0.8264244867,9444648.9,561193301.18
2023-08-06,02:01:00,0.8319194604,04:07:00,0.8421624724,0.8333151807,0.8357174866,8727521.22,565692465.81
2023-08-05,08:22:00,0.8229330839,00:01:00,0.8476296324,0.8473097381,0.8333204902,13253133.54,562266176.04
2023-08-04,07:05:00,0.8305423208,00:00:00,0.855148434,0.855148434,0.8472917935,13613091.68,569868972.57
2023-08-03,08:28:00,0.8498717976,15:02:00,0.8742705427,0.8662108506,0.8551640834,17509550.81,573326918.44
2023-08-02,17:01:00,0.8497058235,13:50:00,0.8745079382,0.8681759315,0.8663960642,23928071.08,579000450.29
2023-08-01,04:19:00,0.8484705034,01:15:00,0.8706890898,0.8683446322,0.8681497462,13481155.05,578320434.62
2023-07-31,21:04:00,0.8614194351,02:59:00,0.8828358807,0.8723261244,0.8683301006,12899392.39,576592664.06
2023-07-30,20:04:00,0.8648812351,04:39:00,0.8949770097,0.8910716972,0.8723182072,15981577.05,577390853.03
2023-07-29,10:07:00,0.8739875074,23:44:00,0.8916208003,0.8822423887,0.8911239115,10502247.38,587953876.57
2023-07-28,06:07:00,0.8689180877,00:02:00,0.89047041,0.8903778716,0.8822608614,16831535.78,580243804.96
2023-07-27,00:59:00,0.866691258,12:10:00,0.9014711679,0.8735980133,0.8902259542,18463759.83,583611745.82
2023-07-26,01:39:00,0.8445100063,16:07:00,0.8885622128,0.8506591399,0.8735740828,26631384.23,570861464.57
2023-07-25,04:46:00,0.8385093536,00:28:00,0.8613538335,0.8603027806,0.8506566059,18075381.23,554106047.21
2023-07-24,23:59:00,0.8603216345,00:49:00,0.905653727,0.9050421059,0.8603216345,21586600.91,558606833.01
2023-07-23,00:55:00,0.8958642783,05:31:00,0.9091018087,0.899939503,0.9050098911,10857104.3,585738287.16
2023-07-22,23:35:00,0.8957628163,12:35:00,0.9191127535,0.9087685125,0.8998911114,11973087.94,580556847.7
2023-07-21,00:40:00,0.8921330347,18:46:00,0.9184939434,0.8972775395,0.9087732235,14166013.04,584404898.59
2023-07-20,18:31:00,0.8878301771,14:04:00,0.9125444663,0.9000745694,0.8972637164,14085321.88,575155234.69
2023-07-19,00:10:00,0.8959157492,13:50:00,0.9133160083,0.897395352,0.9002068019,13540656.68,575199084.53
2023-07-18,20:01:00,0.8885964099,00:25:00,0.9311336988,0.928131119,0.8974122073,16449513.13,571578320.28
2023-07-17,18:52:00,0.9049766682,08:52:00,0.9313298759,0.9179301303,0.928165703,21457367.32,589275118.7
2023-07-16,23:37:00,0.915624555,08:08:00,0.9362211756,0.9323224067,0.9179270199,17652622.42,580910948.03
2023-07-15,00:38:00,0.9226922621,10:32:00,0.9386552305,0.9279495605,0.9322834732,17572352.54,588111734.55
2023-07-14,20:35:00,0.9029939221,10:35:00,0.979694989,0.9597650223,0.9279814333,43153029.25,583525506.57
2023-07-13,05:19:00,0.9286391382,00:04:00,0.975848551,0.9682873341,0.9598621555,57625569.77,601648009.04
2023-07-12,20:04:00,0.9610453233,09:13:00,1.0701074671,1.0194180921,0.9680354769,69924438.47,604847674.05
2023-07-11,00:00:00,0.9758515907,04:30:00,1.0227977919,0.9758515907,1.0194187956,50584024.2,634948848.23
2023-07-10,00:26:00,0.909452885,13:49:00,0.9994024951,0.9303579936,0.9757314276,71766348.76,605799434.54
2023-07-09,23:49:00,0.9267373094,01:14:00,0.9592280377,0.9480563693,0.9303297756,13954749.87,575771628.28
2023-07-08,11:44:00,0.9337966047,01:32:00,0.954510747,0.9453719419,0.9480628132,14922463.91,584873951.42
2023-07-07,00:42:00,0.9094103085,21:54:00,0.9553558252,0.9354284176,0.9453000364,19221686.89,581309066.05
2023-07-06,00:13:00,0.9348196671,09:41:00,0.9843775049,0.9407555506,0.9354095856,35771011.75,573395290.7
2023-07-05,15:35:00,0.9264257737,07:52:00,0.9760734575,0.9641723708,0.9407916142,27735187.26,574859743.4
2023-07-04,01:53:00,0.9549999042,16:25:00,0.9776216973,0.9644140732,0.9640911991,25226710.83,587219601.31
2023-07-03,00:43:00,0.9488833317,14:13:00,0.9845919727,0.9546599558,0.9644253816,24681278.44,585550273.44
2023-07-02,04:05:00,0.9247834886,22:42:00,0.9595266067,0.9524720016,0.9545843014,17979574.53,577727576.23
2023-07-01,04:32:00,0.928489635,00:00:00,0.9687304189,0.9687304189,0.9522871441,31534852.63,574501551.56
2023-06-30,13:52:00,0.8997728112,20:55:00,0.9831110959,0.9340056385,0.9687329237,55970679.12,582561751.14
2023-06-29,00:21:00,0.9098961482,13:44:00,0.9771262983,0.9120124615,0.9340653375,43728426.28,559924090.71
2023-06-28,19:46:00,0.9051079533,00:01:00,0.9811765569,0.981110649,0.9120710079,29971653.19,544997547.44
2023-06-27,06:25:00,0.9702015998,00:05:00,1.0236441651,1.011232363,0.9810745593,57538568.89,584365473.81
2023-06-26,22:02:00,1.0039156986,00:01:00,1.1197264913,1.1186147556,1.0110829461,58192352.39,600325933.21
2023-06-25,00:00:00,1.03163352,00:40:00,1.2671304766,1.03163352,1.1186189086,313423245.45,662062376.55
2023-06-24,01:34:00,0.9179228601,15:16:00,1.0658622918,0.9254005325,1.0317334459,165885285.75,608696174.2
2023-06-23,00:00:00,0.8920282028,16:16:00,0.9462517109,0.8920282028,0.9253119423,35060808.8,544171266.55
2023-06-22,23:58:00,0.8918796193,01:50:00,0.9609891454,0.9424397386,0.8920181247,45565636.6,522918939.09
2023-06-21,00:16:00,0.8659257991,19:14:00,0.9785310027,0.8694222599,0.9425242972,109268214.45,550764712.13
2023-06-20,05:40:00,0.8040680696,22:19:00,0.8809657125,0.8135993421,0.8695931478,40277983.7,506528858.74
2023-06-19,00:27:00,0.7863248117,20:52:00,0.8257496555,0.7879399627,0.8135146899,26689301.53,472354724.5
2023-06-18,08:20:00,0.7805613327,15:39:00,0.8247674889,0.788460203,0.787967952,27121069.57,456066644.78
2023-06-17,02:03:00,0.7590382537,16:58:00,0.7981130409,0.7644967754,0.7884903383,18451906.27,454931564.58
2023-06-16,14:49:00,0.7400429951,18:17:00,0.7762663509,0.7587925318,0.7644363582,15602033.84,439650074.77
2023-06-15,17:42:00,0.7329009957,02:50:00,0.7716143615,0.7661854485,0.7588390492,18011471.45,435041618.74
2023-06-14,21:01:00,0.7564592199,03:29:00,0.8143562636,0.8067215076,0.7661565044,20332949.66,437839473.76
2023-06-13,16:01:00,0.7711033443,06:36:00,0.8124679889,0.7975710478,0.8067215076,24748953.93,459552907.36
2023-06-12,17:43:00,0.7869726399,00:00:00,0.820959374,0.820959374,0.7975027976,20845081.06,452856310.13
2023-06-11,04:34:00,0.7905373506,21:19:00,0.8407884369,0.8032312981,0.8211059558,22274995.39,464772336.68
2023-06-10,07:12:00,0.767163001,00:01:00,0.935645234,0.9354701049,0.8032190632,42978633.54,453198557.06
