date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:12:00,6.127365586e-05,11:48:00,6.440542702e-05,6.398879204e-05,6.189468587e-05,16568412.59,359232219.01
2023-08-30,15:10:00,6.342093981e-05,00:16:00,6.528069203e-05,6.495989522e-05,6.399698785e-05,12911841.97,372397502.72
2023-08-29,10:41:00,6.111036494e-05,22:16:00,6.553611394e-05,6.26914949e-05,6.494688887e-05,20922989.17,377965823.44
2023-08-28,09:55:00,6.061124587e-05,17:58:00,6.360650009e-05,6.230927494e-05,6.268248466e-05,16112592.13,364806911.26
2023-08-27,22:13:00,6.188843862e-05,15:11:00,6.274076359e-05,6.254380755e-05,6.230974585e-05,7848234.17,362280468.03
2023-08-26,18:59:00,6.23143414e-05,14:34:00,6.347624421e-05,6.31169792e-05,6.255784885e-05,8339990.36,363785343.5
2023-08-25,14:58:00,6.175824925e-05,00:04:00,6.370492931e-05,6.366344999e-05,6.3107061e-05,13407651.68,367008700.47
2023-08-24,20:58:00,6.286487856e-05,00:02:00,6.489507691e-05,6.484559891e-05,6.369014636e-05,14311018.9,370323854.11
2023-08-23,13:12:00,6.274900297e-05,01:08:00,6.542565964e-05,6.445725513e-05,6.484092342e-05,16006729.85,377022710.91
2023-08-22,21:28:00,6.209060042e-05,04:08:00,6.617347385e-05,6.533330595e-05,6.447822516e-05,16269264.23,374878902.55
2023-08-21,16:01:00,6.385080788e-05,01:19:00,6.818480864e-05,6.773125309e-05,6.533837669e-05,16355621.61,379875197.29
2023-08-20,08:24:00,6.567023442e-05,22:40:00,6.814667724e-05,6.669045427e-05,6.773348143e-05,19107442.89,393801329.57
2023-08-19,00:03:00,6.251876132e-05,18:44:00,6.744621832e-05,6.253297027e-05,6.668995939e-05,25606101.28,387784011.01
2023-08-18,06:02:00,6.11071743e-05,07:54:00,6.35167141e-05,6.211439437e-05,6.252748439e-05,24780551.98,363588433.61
2023-08-17,21:46:00,5.709743466e-05,08:52:00,6.789084154e-05,6.59433087e-05,6.210046897e-05,37555666.6,361162593.65
2023-08-16,21:58:00,6.434805819e-05,01:29:00,7.060770483e-05,7.025677737e-05,6.59541559e-05,40842814.59,383667434.25
2023-08-15,19:11:00,6.460817709e-05,00:12:00,7.917883537e-05,7.909772021e-05,7.021499772e-05,43876948.7,408335495.09
2023-08-14,02:22:00,7.736540032e-05,22:34:00,7.947912094e-05,7.763157326e-05,7.909134522e-05,18310513.72,459921606.19
2023-08-13,22:43:00,7.739287703e-05,20:09:00,7.81855087e-05,7.809436331e-05,7.763179135e-05,13661423.87,451462188.76
2023-08-12,05:51:00,7.750649755e-05,16:34:00,7.93578926e-05,7.770286973e-05,7.806693781e-05,20403223.97,454037332.65
2023-08-11,18:38:00,7.704222126e-05,14:55:00,7.787456758e-05,7.739598097e-05,7.769782207e-05,14509963.14,452253287.89
2023-08-10,07:25:00,7.699369124e-05,00:02:00,7.838666524e-05,7.838078664e-05,7.739445231e-05,18736338.74,449995562.93
2023-08-09,21:38:00,7.74221384e-05,01:35:00,7.861771157e-05,7.815031363e-05,7.837386938e-05,15986771.25,455679758.66
2023-08-08,02:07:00,7.693427309e-05,21:25:00,7.878986722e-05,7.744061874e-05,7.81513688e-05,18049810.65,454400421.15
2023-08-07,16:49:00,7.587977023e-05,01:34:00,7.943366935e-05,7.872180962e-05,7.744214077e-05,21299175.43,450474560.53
2023-08-06,00:10:00,7.727962453e-05,06:45:00,7.925934639e-05,7.745293757e-05,7.872156066e-05,16795961.67,457960350.28
2023-08-05,21:10:00,7.716076918e-05,08:52:00,7.877612044e-05,7.825491432e-05,7.745067804e-05,19488383.06,450556330.86
2023-08-04,20:52:00,7.74923786e-05,17:13:00,7.928343831e-05,7.884612935e-05,7.825560388e-05,15268624.76,455209727.54
2023-08-03,08:28:00,7.868727203e-05,01:54:00,8.052983986e-05,8.019315488e-05,7.885665322e-05,14140045.37,457903151.74
2023-08-02,17:02:00,7.939131032e-05,03:37:00,8.184140054e-05,8.12724845e-05,8.019391173e-05,24975650.5,465756205.62
2023-08-01,02:20:00,7.842741774e-05,23:59:00,8.125643764e-05,8.040992095e-05,8.125643764e-05,20695195.74,471969126.28
2023-07-31,21:04:00,7.975592819e-05,00:52:00,8.182486736e-05,8.123067732e-05,8.04070433e-05,16578037.36,467130960.13
2023-07-30,20:04:00,8.001347443e-05,05:04:00,8.254534664e-05,8.198474142e-05,8.123229871e-05,17023294.87,471945093.53
2023-07-29,12:16:00,8.145470266e-05,02:01:00,8.23807922e-05,8.208400403e-05,8.200222163e-05,13208064.23,476440529.47
2023-07-28,03:57:00,8.045083888e-05,15:26:00,8.248950486e-05,8.070313489e-05,8.209043766e-05,20269807.87,476938293.64
2023-07-27,18:43:00,8.039197203e-05,09:48:00,8.215757356e-05,8.154524663e-05,8.069877265e-05,20398012.02,468933694.36
2023-07-26,01:39:00,8.074281456e-05,20:43:00,8.243801747e-05,8.183985119e-05,8.153951642e-05,21347372.54,473816997.14
