date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:10:00,4.3435400794,11:49:00,4.6718456646,4.6456610335,4.3672629311,93027684.77,2522098845.38
2023-08-30,21:46:00,4.6454232937,00:05:00,4.8051539328,4.8019571491,4.6455590541,79083635.46,2682815143.3
2023-08-29,12:25:00,4.5761052448,14:46:00,4.8549344498,4.6747020632,4.802124578,94064007.4,2773231894.81
2023-08-28,09:54:00,4.5840948017,12:37:00,4.7183731057,4.6828106754,4.674886786,69300651.16,2699751938.71
2023-08-27,00:01:00,4.6014277176,23:09:00,4.6992264273,4.6016358633,4.6828097195,62521930.34,2704327441.01
2023-08-26,00:43:00,4.5363195197,22:10:00,4.6377372794,4.5498568062,4.6014261921,58586190.2,2657328370.03
2023-08-25,17:49:00,4.5300184837,02:47:00,4.6645788265,4.6527493398,4.5498237506,87112537.96,2627527906.85
2023-08-24,20:58:00,4.6164930354,05:36:00,4.8092458811,4.7622552159,4.6524627732,90443738.16,2686802048.23
2023-08-23,05:35:00,4.6600777243,16:58:00,4.8463893987,4.6703474149,4.7620237737,117298283.74,2750073638.94
2023-08-22,21:29:00,4.5515954988,00:50:00,4.7800386921,4.7748052684,4.6701790558,109638302.26,2697033219.69
2023-08-21,16:16:00,4.7561552965,01:10:00,4.9140159991,4.9050663005,4.7751719025,80148832.35,2757666696.88
2023-08-20,08:22:00,4.8719250422,13:08:00,4.9323102271,4.9055687086,4.9053400539,73321478.28,2832838938.55
2023-08-19,06:01:00,4.8725903258,17:01:00,4.9924784176,4.9107669647,4.9054246287,78902971.24,2832887805.13
2023-08-18,17:27:00,4.884365107,06:46:00,5.0448258334,4.9945882829,4.9106164565,113036822.54,2835886091.01
2023-08-17,21:47:00,4.7264512829,05:57:00,5.4928826266,5.4468258377,4.9939222185,166858245.63,2883995254.9
2023-08-16,21:16:00,5.3542724628,00:00:00,5.9616724936,5.9616724936,5.4467844713,142939950.66,3145523675.06
2023-08-15,23:37:00,5.9544959656,01:13:00,6.2831617491,6.2577078805,5.9615730142,96469540.59,3442814591.91
2023-08-14,00:25:00,6.0828284265,17:16:00,6.3463600388,6.0947926716,6.2578464578,78762051.52,3613912812.51
2023-08-13,22:46:00,6.0696178836,00:08:00,6.2190961585,6.2146944023,6.0949131761,54345115.26,3519818673.56
2023-08-12,08:52:00,6.1248952153,01:01:00,6.237476369,6.1818394856,6.2142076734,59328179.88,3588711369.33
2023-08-11,19:40:00,6.1040393967,01:01:00,6.2020471707,6.1901208974,6.1824470874,71750143.8,3570369597.97
2023-08-10,17:46:00,6.1592474578,02:52:00,6.3114880252,6.2520268956,6.1899782664,96853768.99,3574718861.65
2023-08-09,02:46:00,6.0438317673,23:48:00,6.2675434187,6.0824047369,6.2519335568,91928562.42,3610498106.07
