date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,19:43:00,4.3566652817,00:00:00,4.5484356082,4.5484356082,4.3923707825,18463496.43,618654557.67
2023-09-09,01:01:00,4.526020336,04:46:00,4.5689241044,4.5343723655,4.5483863987,13339438.89,640628971.21
2023-09-08,10:21:00,4.4939396735,00:45:00,4.6611236553,4.5779457348,4.5342066612,27295853.81,638631790.27
2023-09-07,12:05:00,4.4890912843,21:22:00,4.6189105317,4.5247515511,4.5775437351,22578410.75,644735709.9
2023-09-06,17:07:00,4.4479695135,03:04:00,4.6229535022,4.5536994609,4.5248120662,19750160.58,637308584.8
2023-09-05,03:25:00,4.456747966,16:16:00,4.5867385215,4.5127276687,4.5535519472,14794313.6,641356525.94
2023-09-04,15:16:00,4.4566383813,03:13:00,4.5565365649,4.4738602875,4.5125048795,15080902.36,635575148.0
2023-09-03,16:58:00,4.4238476181,12:51:00,4.5136594297,4.4975224228,4.474064551,14128478.11,630160922.83
2023-09-02,18:33:00,4.4282887589,14:47:00,4.5284674041,4.4977119372,4.4973681821,19301461.26,633443181.62
2023-09-01,23:19:00,4.474153677,00:48:00,4.6878623555,4.6626397769,4.4975838021,20044533.46,633473551.16
2023-08-31,17:24:00,4.6399944675,11:49:00,4.8903631121,4.8730393867,4.6627405262,20033383.26,656735467.15
2023-08-30,21:47:00,4.8522065219,00:13:00,5.0046756183,4.9992717458,4.8729400193,17164881.14,686341545.7
2023-08-29,10:40:00,4.7056655903,17:40:00,5.0194580669,4.8375389526,4.9992931927,28385505.38,704138077.57
2023-08-28,09:23:00,4.7110723934,00:20:00,4.8803362947,4.8749658796,4.8371096503,19369189.76,681294643.33
2023-08-27,02:55:00,4.8147038601,14:39:00,4.8871253456,4.8275510128,4.8747014125,11811331.46,686589347.83
2023-08-26,12:46:00,4.8162232038,03:17:00,4.8615049819,4.8545790473,4.8276237504,10635699.52,679958578.36
2023-08-25,04:40:00,4.7670610078,00:03:00,4.8773403918,4.8745115543,4.8545583763,16559944.78,683752252.2
2023-08-24,20:58:00,4.8251606877,05:14:00,4.9986595108,4.9777813163,4.8745216218,17514863.8,686564024.76
2023-08-23,13:19:00,4.8600646742,20:28:00,5.0414755864,4.8942993965,4.9776706013,18074568.82,701092297.29
2023-08-22,18:13:00,4.7439413548,09:51:00,4.9317841947,4.8998088433,4.8938442238,18831287.65,689285564.32
2023-08-21,16:18:00,4.8093438185,05:49:00,4.9800222571,4.9381729036,4.8999908229,18852629.36,690151297.23
2023-08-20,16:04:00,4.9013087417,11:20:00,4.9807162541,4.9461727073,4.9382203207,13615243.89,695535825.17
2023-08-19,03:29:00,4.8610668203,17:02:00,4.97326339,4.8741239646,4.9460250439,16195603.09,696635100.68
2023-08-18,03:16:00,4.7824023834,00:28:00,4.9363804957,4.8425434093,4.8743698319,29781234.87,686542645.54
2023-08-17,21:46:00,4.5577298289,06:03:00,5.3696593362,5.2527520365,4.8427387543,56761880.73,682087488.38
2023-08-16,21:58:00,5.1938281781,00:12:00,5.5762184567,5.5693852513,5.2524420804,50713008.19,739793164.2
2023-08-15,19:12:00,5.4942237284,00:00:00,5.8495335353,5.8495335353,5.5693867032,49849721.52,784434011.6
2023-08-14,21:23:00,5.8299670124,06:04:00,5.9162024694,5.8656004222,5.84992738,35956412.03,823947455.4
2023-08-13,22:43:00,5.8505405237,00:00:00,6.0546311017,6.0546311017,5.8656768377,40389655.05,824164211.05
2023-08-12,00:16:00,5.9540784341,14:20:00,6.1275581641,5.9786482032,6.0543748486,36343162.21,850677459.49
2023-08-11,03:06:00,5.9091581407,12:24:00,6.0519019108,5.9228768458,5.9788665055,43786940.53,840068065.94
2023-08-10,07:57:00,5.8869217481,14:05:00,5.9777726522,5.940498752,5.9224671755,32488175.34,832143608.01
2023-08-09,21:18:00,5.8899057565,00:16:00,5.9648410553,5.9486120084,5.9399714645,34492099.55,834603069.89
2023-08-08,01:32:00,5.7727524958,18:28:00,6.0211683346,5.7855779492,5.9482827876,45632010.69,835770862.66
2023-08-07,16:51:00,5.611715848,04:31:00,5.8971684625,5.8045608075,5.7860326673,53978246.05,812973707.94
2023-08-06,16:12:00,5.782697464,00:29:00,5.9507227328,5.8398200183,5.8049777624,57560281.93,815635612.08
2023-08-05,02:06:00,5.6629094375,23:52:00,5.8451661711,5.72560015,5.8398033139,46170175.71,820528819.45
2023-08-04,20:52:00,5.667269198,17:15:00,5.8064798964,5.7859208071,5.7256000746,48182230.13,804482551.44
2023-08-03,22:34:00,5.763595705,02:10:00,5.9370246436,5.9150929623,5.7870362834,54213983.15,813114722.28
2023-08-02,16:58:00,5.8930145482,01:35:00,6.1069325918,6.0737988759,5.9152522713,59624591.69,831129868.94
2023-08-01,08:01:00,5.8648877593,01:02:00,6.2806339201,6.0070016758,6.073940292,123804256.12,853426526.42
2023-07-31,20:08:00,5.9543569485,02:37:00,6.1603685769,6.0963023677,6.0070703423,46587135.14,844030881.07
2023-07-30,20:04:00,5.943864259,02:11:00,6.3903301641,6.2192640963,6.096312988,76956172.07,856570029.87
2023-07-29,11:04:00,6.0890280772,17:24:00,6.2796720154,6.1144326007,6.219200955,42475464.25,873836556.34
2023-07-28,08:13:00,6.0000529198,23:29:00,6.1197360881,6.0448633047,6.1144329935,36118288.37,859116003.75
2023-07-27,19:40:00,5.9876554371,09:32:00,6.1297700736,6.0716448193,6.0449184072,37995482.35,849315535.12
2023-07-26,02:19:00,5.9239076226,20:43:00,6.1284304581,6.0242379698,6.0714533734,41019989.46,853043717.62
2023-07-25,20:26:00,5.9549668095,00:00:00,6.1476636401,6.1476636401,6.0242353865,47456637.5,720623520.44
2023-07-24,17:46:00,6.0895231722,00:46:00,6.5451755258,6.4939884915,6.1481275376,49372547.29,735443591.77
2023-07-23,00:54:00,6.3142016198,19:16:00,6.5199290177,6.3736036539,6.4952606191,51467930.27,776967909.33
2023-07-22,23:37:00,6.336390749,09:00:00,6.5316850727,6.4786420909,6.372708573,43860740.97,762308142.36
2023-07-21,20:23:00,6.3821178209,03:52:00,6.5432118059,6.4618461472,6.4785342753,49019805.51,774967091.64
2023-07-20,15:04:00,6.3185626806,23:21:00,6.4688463323,6.3841948997,6.4615364184,51084989.99,772933795.34
2023-07-19,00:10:00,6.2747896919,06:27:00,6.4356908004,6.2884825082,6.3846159998,49723074.93,763732517.62
2023-07-18,12:23:00,6.195150193,00:34:00,6.46452651,6.3392418658,6.2882700473,43457206.74,752207543.08
2023-07-17,18:52:00,6.1780115112,00:26:00,6.5087115768,6.1929767636,6.3394399566,65502901.15,758328525.72
2023-07-16,23:38:00,6.181287031,00:17:00,6.3496421048,6.3210554152,6.1926829252,33456806.88,738693527.83
2023-07-15,03:30:00,6.2690673917,10:20:00,6.4619370706,6.3927863616,6.3204583255,37998402.16,753935202.95
2023-07-14,19:59:00,6.2199302164,02:08:00,6.8424990112,6.7081532339,6.3930267319,90865127.77,762591517.63
2023-07-13,04:15:00,5.9163418039,19:21:00,6.7652696958,5.9879186256,6.7093884651,110216611.78,800328693.52
2023-07-12,20:05:00,5.8903818654,15:16:00,6.0357336681,5.9242303112,5.9882569638,34191536.53,714308598.64
2023-07-11,00:52:00,5.7688024986,23:49:00,5.9282404905,5.7866772295,5.9242543527,27443175.8,706674053.95
2023-07-10,00:19:00,5.680963711,20:09:00,5.8969618533,5.7881646631,5.7862962383,29946181.87,690217734.87
2023-07-09,23:49:00,5.7854298454,01:04:00,5.9197409394,5.8513185,5.7879620309,21975602.18,690416438.75
2023-07-08,20:22:00,5.7145666821,01:51:00,5.9674299288,5.9543551728,5.8512097807,27270129.41,697960939.9
2023-07-07,00:04:00,5.7695898361,14:04:00,6.0074259153,5.8116879257,5.9543632587,24726918.79,710265591.62
2023-07-06,14:40:00,5.7882839585,09:19:00,6.1646311762,5.9618657914,5.8112535112,40813836.54,693194760.53
2023-07-05,15:41:00,5.8949187467,07:35:00,6.2398613415,6.1620662059,5.9619349286,34889447.85,711168777.47
2023-07-04,19:25:00,6.1385199421,03:46:00,6.4410415712,6.3158671127,6.161704698,37627084.61,734998293.28
2023-07-03,00:45:00,6.2041177793,10:22:00,6.4076698049,6.2782380465,6.3163185333,48008562.11,752735630.37
2023-07-02,13:52:00,6.1923868639,00:01:00,6.4863774886,6.4730379613,6.2782140936,59776769.55,748194603.94
2023-07-01,00:00:00,5.9457822939,16:09:00,6.676006737,5.9457822939,6.4713329201,162696604.76,771209184.47
2023-06-30,13:49:00,5.5395594132,13:01:00,5.9918133885,5.6490836596,5.9457031458,57324406.89,708568224.01
2023-06-29,03:08:00,5.4986153016,12:19:00,5.7481300449,5.5372763748,5.6501628078,25339525.04,663177455.38
2023-06-28,19:48:00,5.5002975742,00:01:00,5.8990077109,5.8964524676,5.5375903844,29053141.96,649964474.48
2023-06-27,00:00:00,5.7883091262,00:40:00,5.9472042245,5.7883091262,5.8963193274,46427740.19,692069623.6
2023-06-26,16:49:00,5.6323081383,00:01:00,5.8678870492,5.8668476936,5.7884286623,44722699.83,679406155.45
2023-06-25,21:17:00,5.8413608217,00:21:00,6.2388768733,5.8996374355,5.8669873606,76433016.89,688186813.95
2023-06-24,00:07:00,5.640407492,00:40:00,6.3879399002,5.6640312502,5.8995229626,171507602.67,692003180.17
2023-06-23,00:01:00,5.3569780179,02:32:00,5.7867582939,5.3587242259,5.6640992054,80359627.53,664388406.96
2023-06-22,23:08:00,5.3515067678,01:44:00,5.6789481887,5.502643727,5.3586297382,42195939.48,628553763.77
2023-06-21,00:09:00,5.204620868,23:17:00,5.5365349257,5.2290649437,5.5026853776,50805643.79,645451127.23
2023-06-20,14:31:00,4.8856959121,23:59:00,5.2293725504,4.9720317887,5.2293725504,32058824.83,613392221.38
2023-06-19,16:39:00,4.8209849968,22:37:00,4.9840987607,4.8510791265,4.971019557,26160226.4,583088066.35
2023-06-18,23:29:00,4.8501708819,17:10:00,5.0047322817,4.9135275578,4.8511992554,26285638.94,569033446.93
2023-06-17,00:35:00,4.8179740868,06:40:00,5.0103406374,4.8316401027,4.9136164313,28215525.47,576354824.37
2023-06-16,14:49:00,4.6628837303,20:53:00,4.8716956396,4.7738474246,4.8316539812,29935469.32,566740835.52
2023-06-15,17:40:00,4.6176866796,21:36:00,4.8355317073,4.7065933236,4.7739170702,30329070.63,559968441.37
2023-06-14,21:01:00,4.6444233729,02:56:00,5.0950844584,4.9044110598,4.7062225667,37399457.1,552028046.71
2023-06-13,15:59:00,4.8315226315,07:46:00,5.1628640541,4.9155770047,4.9044107721,46021791.86,575275023.74
2023-06-12,03:13:00,4.7588214584,10:33:00,4.9786298881,4.9513437483,4.9156762491,34019475.44,576596435.8
2023-06-11,16:06:00,4.8674429935,20:16:00,5.035019762,4.9907420419,4.9510090991,32448541.06,580740890.07
2023-06-10,06:51:00,4.7689530526,00:00:00,6.0323132684,6.0323132684,4.9908002713,85067670.03,585408294.28
2023-06-09,20:01:00,5.9849880463,13:23:00,6.3006624228,6.247324868,6.0325393678,34952864.99,705575636.62
2023-06-08,06:16:00,6.1400026251,00:55:00,6.303396943,6.2777314419,6.2474820877,30844491.36,730715687.47
2023-06-07,22:01:00,6.1799280181,00:00:00,6.7720167283,6.7720167283,6.2774262129,48570461.96,734218001.16
2023-06-06,13:19:00,6.4580922627,23:31:00,6.8020782212,6.6025958104,6.7722306455,49920503.28,792091134.05
2023-06-05,21:40:00,6.5612783666,14:03:00,7.4659348272,7.2349391567,6.6032275095,94367666.12,772291301.7
2023-06-04,17:44:00,7.1531113132,22:49:00,7.315496428,7.1612366115,7.2350888432,49386900.22,846191255.48
2023-06-03,01:40:00,7.1045891494,07:38:00,7.2352699643,7.1377168095,7.1606546681,51907949.22,837485688.83
2023-06-02,00:28:00,6.9468951173,22:55:00,7.1468739688,6.9691264713,7.1380280573,53564517.59,834839357.79
2023-06-01,03:07:00,6.7693017309,19:00:00,7.0287488816,6.869437687,6.9693311721,49330691.54,815109146.84
2023-05-31,16:10:00,6.8201994259,04:04:00,7.0984004857,7.0713603153,6.8697366373,42435982.69,803460910.55
2023-05-30,16:19:00,7.0240148617,00:08:00,7.1914703507,7.186348463,7.0705913709,35703259.69,826952193.51
2023-05-29,16:25:00,7.0642999672,21:10:00,7.2486245817,7.1713846144,7.186983636,61662592.68,840564415.43
2023-05-28,00:22:00,6.962569659,22:28:00,7.2245510049,7.0050490594,7.1710894738,47054106.45,838705489.93
2023-05-27,17:34:00,6.8152425705,23:28:00,7.0150821619,6.8673270966,7.0051465026,27589462.41,819297381.66
2023-05-26,06:38:00,6.7474124564,00:00:00,6.9222364749,6.9222364749,6.8678975146,33605533.41,803245221.09
2023-05-25,01:29:00,6.5392310703,03:55:00,7.1250054687,6.6524819634,6.9225660721,98167298.96,809639063.95
2023-05-24,15:16:00,6.5547561569,00:00:00,6.927070315,6.927070315,6.6526758288,33327414.04,778073145.97
2023-05-23,01:02:00,6.8439873065,04:10:00,7.042134835,6.9010774513,6.9271506089,32221205.2,810174149.48
2023-05-22,00:49:00,6.7136182385,12:07:00,6.9402655174,6.8233854926,6.9029075113,34620242.93,807338765.62
2023-05-21,16:52:00,6.7808338183,00:01:00,7.0549027428,7.0544753591,6.8233548052,28680483.68,798034572.65
2023-05-20,01:04:00,6.952512997,22:38:00,7.0564616824,7.0078552771,7.0545744469,27006347.94,825077174.6
2023-05-19,15:39:00,6.9385111978,00:16:00,7.0957400652,7.0293787339,7.0062902027,45942459.46,819430026.35
2023-05-18,18:49:00,6.957012623,02:46:00,7.5390219616,7.3119084265,7.029367845,118120223.33,822129102.82
2023-05-17,00:34:00,6.802413991,09:17:00,8.0595663167,6.8242067665,7.3119697071,261316739.63,855181180.96
2023-05-16,01:37:00,6.7278732059,08:08:00,6.8428602469,6.8151631681,6.8238571603,20070935.53,798092018.16
2023-05-15,00:56:00,6.7200318723,08:52:00,6.897336888,6.8128848522,6.8153756651,24079027.32,797100055.18
2023-05-14,02:12:00,6.6976923359,22:40:00,6.8218775065,6.7734021871,6.8139489991,18263221.87,796933197.83
2023-05-13,14:33:00,6.6863729325,18:52:00,6.804100219,6.7797678785,6.7736010807,20579572.64,792214260.89
2023-05-12,19:29:00,6.5388577384,22:41:00,6.8022752376,6.7364489195,6.7795409816,24824314.05,792908968.8
2023-05-11,18:22:00,6.6446831761,00:00:00,6.9764009323,6.9764009323,6.7370588659,24532965.9,787940424.37
2023-05-10,17:25:00,6.7016139834,20:49:00,7.0638369348,6.9251151107,6.9767441482,31467600.21,815970083.24
2023-05-09,02:22:00,6.7696920039,10:30:00,7.0118366258,6.8243245876,6.9254328554,30238779.83,809968934.42
2023-05-08,18:13:00,6.5927688646,00:22:00,7.3074697371,7.2929646853,6.8243705569,40502466.51,795191894.04
2023-05-07,23:56:00,7.287908179,14:59:00,7.4481721731,7.3975532256,7.2933699261,21557801.6,849840816.4
2023-05-06,17:58:00,7.3340109156,00:40:00,7.7595825337,7.7286154346,7.3978425586,28780551.74,861644323.98
2023-05-05,12:37:00,7.5386819397,16:27:00,7.8043805642,7.5671799154,7.7285178184,23233529.57,897563235.53
2023-05-04,19:22:00,7.5202567206,00:07:00,7.7289780238,7.7171344466,7.5671639725,21972126.53,878824159.89
2023-05-03,12:58:00,7.410569736,23:00:00,7.7659869786,7.6222247973,7.7173576014,29670395.04,896267126.67
2023-05-02,14:07:00,7.5411828571,19:13:00,7.6580470964,7.6073743952,7.6219951826,22617630.52,885192066.32
2023-05-01,21:01:00,7.5046290027,00:46:00,7.9358430764,7.9345599912,7.6072552544,27483080.45,883480222.22
2023-04-30,12:34:00,7.8831160445,18:45:00,8.1204018017,8.0055891721,7.9366063334,26370154.03,921729913.43
2023-04-29,01:04:00,7.9473940822,14:52:00,8.0653192753,7.9814196833,8.005813317,22310605.41,929767372.31
2023-04-28,13:47:00,7.831314175,00:32:00,8.0210753039,7.9529945314,7.9817185597,37936456.45,926969090.82
2023-04-27,00:08:00,7.7892329708,18:47:00,8.03053232,7.8089459937,7.9517508314,31575043.21,923488742.86
2023-04-26,20:04:00,7.5241442104,12:44:00,8.2896675769,8.0122225244,7.8080948894,48338118.97,905883480.68
2023-04-25,14:37:00,7.6371744546,22:07:00,8.0336267546,7.8704891347,8.0127962647,33558703.35,929632627.82
2023-04-24,17:04:00,7.6994815441,01:06:00,8.0235616776,7.9340783878,7.8694718907,34799448.34,912757247.09
2023-04-23,19:04:00,7.7335120575,00:01:00,8.0814090503,8.078746578,7.9349368267,27597010.86,920350335.35
2023-04-22,01:18:00,7.8317613996,23:59:00,8.0784188565,7.9198340104,8.0784188565,29615464.08,936992400.34
2023-04-21,22:28:00,7.8108855754,01:04:00,8.291144408,8.2090098758,7.9184375113,44207239.03,918436627.56
2023-04-20,19:16:00,8.1420000714,01:47:00,8.5115545451,8.4534734334,8.2090938772,50043379.16,952149017.43
2023-04-19,23:25:00,8.3649380496,00:20:00,9.3999500353,9.3994292529,8.4569222316,73804358.49,980893910.3
2023-04-18,01:17:00,9.2437267038,12:09:00,9.5769628309,9.3643938774,9.4000109901,72850745.88,1090280043.32
2023-04-17,01:08:00,9.0247424855,23:29:00,9.3684145914,9.2503000863,9.3618357868,69149949.91,1085496555.93
2023-04-16,01:17:00,8.8984957338,16:32:00,9.3328657769,9.0386217113,9.2500332442,63837305.47,1072533150.28
2023-04-15,07:01:00,8.9923940978,00:49:00,9.1368153537,9.0468201806,9.0396144713,53839466.45,1048135280.2
2023-04-14,00:00:00,8.7902966532,01:13:00,9.230427272,8.7902966532,9.0464147805,94121758.03,1048923770.01
2023-04-13,07:06:00,8.5112110086,19:34:00,8.8158013886,8.6074529623,8.7891616983,43329287.03,1019095503.31
2023-04-12,03:27:00,8.3086030523,00:13:00,8.7261841457,8.6921495651,8.5563071323,45076870.16,992096222.91
2023-04-11,03:56:00,8.6062189523,18:14:00,8.8081047748,8.6645157451,8.6928130391,48222759.33,1007923961.74
2023-04-10,13:55:00,8.380386014,23:21:00,8.6789410566,8.4778713971,8.663820175,40515037.4,1004562264.85
2023-04-09,14:49:00,8.3710476807,01:20:00,8.5785435187,8.5082331264,8.4773916313,35329512.32,982946040.57
2023-04-08,22:29:00,8.4613481142,00:03:00,8.8077124576,8.7965100421,8.5081189444,48239417.28,986508845.27
2023-04-07,08:05:00,8.4945316994,04:40:00,8.9001196917,8.5487637483,8.796654932,116086293.41,1019964337.11
2023-04-06,13:49:00,8.4032430693,00:37:00,8.7555919889,8.7348795252,8.5487653684,46921919.1,991221762.08
2023-04-05,16:17:00,8.3739927982,22:59:00,8.7399660575,8.4183814118,8.7340214124,53254867.77,1012702036.06
2023-04-04,01:17:00,8.1843501808,20:58:00,8.493135605,8.2641614629,8.4180633443,38611976.57,976066978.32
2023-04-03,21:04:00,8.0925439015,19:39:00,8.4232487124,8.3070859345,8.2638145882,43147896.48,958181971.85
2023-04-02,22:22:00,8.1879130886,08:14:00,8.5867728763,8.5156293085,8.3059878495,38954171.32,963069399.7
2023-04-01,08:28:00,8.30763715,23:58:00,8.5168546329,8.3881501623,8.4081426835,37106835.67,972090256.33
2023-03-31,07:26:00,8.0993318731,23:14:00,8.4166543833,8.253706876,8.3880867574,38534492.63,969771531.37
2023-03-30,17:34:00,8.1414484037,02:43:00,8.6069699735,8.5030369411,8.2523238829,51253396.08,954075583.7
2023-03-29,02:09:00,8.2214097726,10:41:00,8.5733508212,8.2472669306,8.5024109657,51545166.52,982988891.39
2023-03-28,01:04:00,7.9267028608,19:58:00,8.2995780635,8.0340296662,8.2478188339,36266747.93,953554741.66
2023-03-27,15:13:00,7.8585727148,00:05:00,8.4277698924,8.4239503398,8.0345149148,43484706.72,928894044.38
