date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,04:31:00,3.2643267716,00:05:00,3.399100518,3.3952295716,3.2961809035,3952808.35,171513547.24
2023-09-09,00:14:00,3.3335726729,12:02:00,3.4134960811,3.3356413575,3.3953358654,2941393.05,176622896.03
2023-09-08,21:52:00,3.3239150917,01:02:00,3.4861534871,3.4638645831,3.3359844945,5012785.16,173501220.7
2023-09-07,11:57:00,3.3575475754,23:59:00,3.4612932138,3.3742128448,3.4612932138,3889516.8,179993355.82
2023-09-06,17:08:00,3.304240286,23:26:00,3.3787664062,3.3696210626,3.3738455157,3774501.9,175349454.78
2023-09-05,03:16:00,3.3100444146,16:17:00,3.4192001613,3.3407047392,3.3692855999,3328651.52,175063961.66
2023-09-04,22:04:00,3.3128309744,03:23:00,3.3880455868,3.3406437412,3.3397490283,3347057.25,173408559.48
2023-09-03,16:59:00,3.3090547131,00:01:00,3.3968422619,3.3956128208,3.3403116966,3407842.99,173399073.24
2023-09-02,18:47:00,3.35052667,15:43:00,3.4053070524,3.3717095843,3.3954130278,3054657.82,176224288.4
2023-09-01,17:43:00,3.331440482,03:40:00,3.4691375088,3.4424728008,3.3724313862,3652798.5,174951604.06
2023-08-31,21:12:00,3.4214987897,11:49:00,3.5980893208,3.5484262421,3.4420884786,4711642.94,178537230.5
2023-08-30,23:58:00,3.5479583112,00:04:00,3.6551490781,3.6496789771,3.5484337164,2554928.46,183916640.02
2023-08-29,12:19:00,3.451528539,18:33:00,3.6697215802,3.499098714,3.6493472049,4136032.56,189125606.39
2023-08-28,09:58:00,3.4391560686,12:39:00,3.5182259258,3.511471608,3.4991698254,2780584.89,181282881.94
2023-08-27,01:10:00,3.3902237829,23:20:00,3.516705958,3.4173677488,3.5115420508,3908974.89,181905222.85
2023-08-26,19:08:00,3.408334776,04:08:00,3.5104993555,3.4894910337,3.417465226,3224873.8,176975528.34
2023-08-25,05:05:00,3.4299782762,19:02:00,3.4993465103,3.4767493166,3.48944243,3011030.81,180660096.04
2023-08-24,20:58:00,3.4484573796,00:52:00,3.6443116748,3.6165630946,3.4766907007,3056686.11,179964702.34
2023-08-23,05:54:00,3.4943396871,19:50:00,3.6594940889,3.4965121892,3.6165848335,5253340.87,187107520.53
2023-08-22,21:41:00,3.4084153981,08:05:00,3.606713461,3.5946183144,3.4952429537,8397380.91,180645230.64
2023-08-21,16:16:00,3.5682875737,01:09:00,3.669329628,3.6615035311,3.5937370825,3591864.82,185658194.1
2023-08-20,17:00:00,3.6361836348,00:28:00,3.7067411276,3.6996826409,3.6615434624,2886910.34,189085706.88
2023-08-19,00:04:00,3.6455231265,16:59:00,3.730249198,3.6470949015,3.6988031806,3449375.88,190965821.88
2023-08-18,17:26:00,3.5858645786,01:47:00,3.7265523517,3.680306171,3.6471310097,5111210.95,188246356.26
2023-08-17,21:46:00,3.4489295632,06:03:00,4.0140628438,3.9700718608,3.6792428247,7250194.77,189860179.25
2023-08-16,21:16:00,3.8762423482,01:00:00,4.1102778524,4.0883152108,3.969697766,5134046.8,204685114.46
2023-08-15,19:12:00,3.9867015517,00:07:00,4.2780073179,4.2769908778,4.0887961983,6938472.97,210787257.54
2023-08-14,02:24:00,4.1891398323,23:54:00,4.2793133889,4.2243165639,4.2769620605,4062904.35,220439349.77
2023-08-13,23:06:00,4.202712938,19:55:00,4.3151378986,4.2468984511,4.2243386141,4092907.08,217697008.44
2023-08-12,06:14:00,4.173955006,23:12:00,4.2511879244,4.2071039856,4.2462586819,2863816.65,218752492.45
2023-08-11,17:05:00,4.173611978,12:13:00,4.2239561338,4.2139433435,4.20717962,2890650.89,216707737.21
2023-08-10,19:37:00,4.206745213,02:51:00,4.288187591,4.2821681712,4.213881467,3820078.82,216973909.08
2023-08-09,21:16:00,4.2550539938,11:10:00,4.3576270339,4.3091429957,4.281826323,4164048.28,220375880.99
2023-08-08,00:06:00,4.2551343921,11:55:00,4.3511992731,4.2575387296,4.3089148695,5760438.31,221679140.13
2023-08-07,16:21:00,4.1604820085,06:52:00,4.3648055481,4.296846924,4.2579760983,5684296.24,219024515.4
2023-08-06,00:00:00,4.2275185319,21:23:00,4.3250038262,4.2275185319,4.2975515839,4308711.24,221007093.97
2023-08-05,01:59:00,4.1918143922,16:49:00,4.2809835029,4.2196786145,4.2279881356,3917132.66,217366762.31
2023-08-04,20:52:00,4.1843715497,17:02:00,4.2789455312,4.2319581339,4.2197013635,3563318.72,216912146.12
2023-08-03,22:32:00,4.2272695526,02:06:00,4.3055517861,4.2969073081,4.2317513943,3648535.1,217373732.76
2023-08-02,16:58:00,4.2649248873,00:10:00,4.473262368,4.4613625664,4.2967486927,5415141.97,220592382.12
2023-08-01,02:20:00,4.3081983783,23:59:00,4.4613381919,4.3760675261,4.4613381919,4678663.96,228979656.99
2023-07-31,20:01:00,4.3236172659,07:01:00,4.4620704293,4.3878968962,4.3761778773,5042339.56,224274693.7
2023-07-30,20:04:00,4.3426999914,13:01:00,4.4975180483,4.4749695826,4.3879719342,4019839.85,224840153.37
2023-07-29,12:03:00,4.4130409112,20:28:00,4.4907990504,4.4655614943,4.474858752,5269871.68,229235343.23
2023-07-28,23:21:00,4.4545001402,15:14:00,4.5329292227,4.4762522337,4.4651721317,3901345.64,228585325.95
2023-07-27,18:40:00,4.465784307,10:21:00,4.5880774022,4.5144243854,4.4759886964,2900521.33,229114569.43
2023-07-26,12:03:00,4.457041989,20:54:00,4.5604272533,4.4948419229,4.5135176332,3567279.26,230922001.57
2023-07-25,01:46:00,4.4703966942,22:06:00,4.5403625576,4.4979078446,4.494749977,4439016.37,229858985.16
2023-07-24,10:02:00,4.3982949447,13:26:00,4.656054885,4.5836860142,4.4979134317,12039993.0,229973853.88
2023-07-23,00:59:00,4.4695923383,19:10:00,4.630690986,4.4751013367,4.5838468495,2636099.46,234320076.31
