date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,23:32:00,0.9997367269,07:36:00,1.0005178857,1.0001736382,0.9998513216,660460211.55,2583232859.83
2023-09-09,07:19:00,0.9999367727,00:40:00,1.0006691013,1.0002545568,1.0001612847,562754836.94,2591295131.83
2023-09-08,13:11:00,0.9999569885,00:58:00,1.0009783337,1.0006712878,1.0002362765,721929833.92,2592026406.68
2023-09-07,12:40:00,0.9994948419,21:22:00,1.0009736749,1.0001293578,1.0007544166,850618675.54,2619533552.49
2023-09-06,07:10:00,0.9995073588,17:13:00,1.000694755,0.9998538448,1.0001242497,940512472.56,2697056212.27
2023-09-05,14:04:00,0.9993739162,09:52:00,1.0001786105,1.0000247997,0.9998026318,1078266450.59,2744017934.05
2023-09-04,07:49:00,0.9996792195,15:37:00,1.00052129,1.0002494687,0.999987136,978354698.2,2844514615.44
2023-09-03,21:27:00,0.9999580224,00:00:00,1.0009301644,1.0009301644,1.0002728069,756193726.77,2845327221.02
2023-09-02,04:58:00,1.0001575264,22:58:00,1.0010448226,1.0003357738,1.0008996132,712809520.98,2879187123.77
2023-09-01,08:22:00,0.9994704745,23:21:00,1.0006909416,1.0000408011,1.0002889522,1096710475.77,2894131338.38
2023-08-31,17:02:00,0.9995920002,11:43:00,1.0013550489,1.0002584006,1.0000055518,1178752744.64,3065551164.75
2023-08-30,16:52:00,0.9996867228,00:02:00,1.0006005062,1.0004496852,1.0002370443,1020538769.28,3072979931.13
2023-08-29,02:57:00,0.9997950803,14:43:00,1.0021945729,1.0001704919,1.0004534469,1377177944.27,3102856421.09
2023-08-28,09:51:00,0.9997266787,00:22:00,1.0006786805,1.0004385116,1.0001825276,889893086.99,3114376080.78
2023-08-27,17:43:00,1.0000896306,19:12:00,1.0007645203,1.0003291709,1.0004514215,682788549.18,3146984421.02
2023-08-26,10:43:00,0.999856725,01:12:00,1.0005795978,1.0003247708,1.0003421446,729520110.32,3146640683.56
2023-08-25,14:44:00,0.9998006084,02:31:00,1.0009220678,1.0006694371,1.0003425912,1079878217.44,3153614715.61
2023-08-24,11:43:00,0.9999086,23:50:00,1.0012483444,1.0005927195,1.0006614173,1174199137.36,3188356868.9
2023-08-23,13:13:00,0.9996593751,06:49:00,1.0008146209,1.000146816,1.0005776734,1211190107.31,3198479161.41
2023-08-22,21:29:00,0.9991236767,21:34:00,1.00096673,0.999973484,1.0000389518,1173817803.05,3218762791.62
2023-08-21,07:25:00,0.9997145413,14:09:00,1.0009735442,1.0001730149,0.9999862642,1145633636.74,3218593209.41
2023-08-20,15:10:00,0.9998769531,20:40:00,1.0006949582,1.0003766832,1.0002141578,950858871.06,3243141257.2
2023-08-19,18:17:00,1.0000270501,08:22:00,1.0010672402,1.0006195712,1.0003395505,1155470472.85,3243547836.5
2023-08-18,17:14:00,0.9997376856,06:38:00,1.0014575082,1.0011040774,1.0005385158,1941400881.36,3244192970.71
2023-08-17,21:45:00,0.9990060218,23:07:00,1.0014748694,0.9999012206,1.0009605016,2599911929.96,3281684283.98
2023-08-16,05:22:00,0.9993690356,15:19:00,1.0006307383,0.9997766521,0.9999323731,1414921047.47,3337374424.32
2023-08-15,19:10:00,0.9994320235,00:00:00,1.0003529664,1.0003529664,0.9997458612,1380022582.87,3355420224.2
2023-08-14,02:46:00,0.9995547725,23:29:00,1.0005428235,0.9998666452,1.0003572091,1243717802.09,3357472074.66
2023-08-13,18:59:00,0.9997305166,03:06:00,1.0004219607,1.0001758559,0.9998431436,922549827.07,3370979428.22
2023-08-12,19:03:00,0.9999954041,14:00:00,1.0005683264,1.000062184,1.0001736006,829134486.92,3372093566.59
2023-08-11,05:21:00,0.999699037,14:58:00,1.0005523297,1.0001192302,1.000087369,1003411412.57,3381119593.25
2023-08-10,06:40:00,0.9995724499,02:28:00,1.0004740567,1.0002337759,1.0001139405,1126517745.27,3392124104.94
2023-08-09,22:28:00,1.0000306023,02:28:00,1.0010414513,1.0006819712,1.0002189875,1296031097.59,3392480396.74
2023-08-08,06:15:00,0.9998917699,21:16:00,1.001560017,1.0001265543,1.0006465244,1579437497.23,3393930489.68
2023-08-07,13:09:00,0.9993159851,14:58:00,1.0003538388,0.9996175346,1.0001650064,1434390899.25,3394123616.35
2023-08-06,21:34:00,0.999516285,00:10:00,1.0005124665,1.0001882025,0.9996219082,957231966.69,3415751900.81
2023-08-05,02:04:00,0.9997175249,14:46:00,1.0004655088,0.9999854259,1.0001973167,960099009.81,3417718097.14
2023-08-04,20:46:00,0.9982043718,13:34:00,1.0004915728,1.0001587234,0.9999610743,1238640293.97,3424203189.13
2023-08-03,07:59:00,0.9993461558,14:49:00,1.0004084667,0.9998801089,1.0002021116,1384031392.63,3496652941.39
2023-08-02,17:02:00,0.9996794235,01:09:00,1.0005763724,1.0002970854,0.9998766244,1831209742.15,3536671967.36
2023-08-01,02:15:00,0.9993522655,23:53:00,1.0010907727,0.9999770851,1.0003466968,2038401493.88,3636221901.31
2023-07-31,16:32:00,0.9994393329,03:52:00,1.0004424777,0.9999672755,1.0000265682,1287666052.43,3677443875.92
2023-07-30,20:08:00,0.9998508399,09:19:00,1.0006549431,1.0001807157,0.9999944243,1178471448.99,3704597072.7
2023-07-29,07:21:00,0.9998328965,08:52:00,1.0005952767,1.0002221325,1.0001672934,982827314.51,3705237486.63
2023-07-28,08:07:00,0.9994905484,21:43:00,1.0005040379,0.9999633532,1.0002906804,1306183694.36,3705694588.33
2023-07-27,18:45:00,0.9996945433,06:37:00,1.0003307506,0.9999550055,0.9999605739,1434789721.44,3773889375.33
2023-07-26,11:04:00,0.9996186122,18:46:00,1.0005663216,0.9999964415,0.9999678846,1635215508.3,3778247807.3
2023-07-25,14:13:00,0.9997944868,07:49:00,1.0004926996,1.0000450724,0.9999824917,1351693758.31,3803083245.52
2023-07-24,09:53:00,0.9993418661,22:54:00,1.0005032309,0.9998867649,1.0000048329,1734222448.17,3836552776.78
2023-07-23,01:19:00,0.9996542874,11:57:00,1.0005251563,1.0000859144,0.999940991,1244647272.31,3851306870.19
2023-07-22,04:46:00,0.9998717524,17:40:00,1.0006865555,1.0001607548,1.0000722906,1177941185.4,3851812575.08
