date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,17:28:00,3.9567762e-07,00:58:00,4.0322671e-07,4.0157995e-07,3.96125e-07,16891315.35,376881925.62
2023-09-09,12:06:00,4.0134866e-07,00:22:00,4.0504918e-07,4.0369702e-07,4.0155618e-07,14921657.03,382049272.99
2023-09-08,16:58:00,4.0191898e-07,01:04:00,4.0645367e-07,4.0587461e-07,4.0364367e-07,15707851.1,384035353.42
2023-09-07,16:01:00,4.0324515e-07,21:22:00,4.0594814e-07,4.0517664e-07,4.0585732e-07,16722024.93,386141465.29
2023-09-06,17:24:00,4.0284766e-07,01:11:00,4.0933855e-07,4.0887565e-07,4.052375e-07,11212362.33,385551760.41
2023-09-05,03:56:00,4.0764467e-07,06:17:00,4.0980704e-07,4.0820516e-07,4.089147e-07,12885757.2,389050328.47
2023-09-04,15:27:00,4.0707927e-07,01:32:00,4.2516747e-07,4.2418404e-07,4.0817287e-07,17529607.8,388344536.15
2023-09-03,04:59:00,4.0520476e-07,21:44:00,4.6487814e-07,4.0695785e-07,4.242484e-07,28551025.41,403639135.37
2023-09-02,07:58:00,4.0440836e-07,20:44:00,4.0706495e-07,4.0489376e-07,4.0685969e-07,22005831.38,387095143.23
2023-09-01,17:49:00,4.0262327e-07,04:33:00,4.0606978e-07,4.0482049e-07,4.0492003e-07,22291682.05,385249708.18
2023-08-31,21:02:00,4.0320392e-07,00:29:00,4.1363287e-07,4.1324664e-07,4.0482283e-07,24749253.61,385157229.05
2023-08-30,20:49:00,4.1146303e-07,01:08:00,4.1697657e-07,4.1608068e-07,4.1325763e-07,25887106.31,393182281.3
2023-08-29,00:00:00,4.0646119e-07,17:35:00,4.1737338e-07,4.0646119e-07,4.1608606e-07,20318943.57,395873312.43
2023-08-28,22:57:00,4.05397e-07,05:06:00,4.1488093e-07,4.1408011e-07,4.0670011e-07,20061721.45,386943318.34
2023-08-27,22:09:00,4.1254477e-07,01:53:00,4.1583716e-07,4.1566252e-07,4.1391434e-07,20939239.43,393807090.12
2023-08-26,02:50:00,4.0820484e-07,19:54:00,4.1602017e-07,4.0863918e-07,4.1548221e-07,26167896.22,395298800.27
2023-08-25,17:47:00,4.074519e-07,00:00:00,4.1638368e-07,4.1638368e-07,4.0858585e-07,16409952.52,388737453.15
2023-08-24,21:51:00,4.140723e-07,01:00:00,4.2557501e-07,4.2497652e-07,4.1638467e-07,15681423.76,396157411.98
2023-08-23,00:00:00,4.1188309e-07,21:43:00,4.2527735e-07,4.1188309e-07,4.249736e-07,22477778.81,404329107.52
2023-08-22,22:13:00,4.0659663e-07,04:36:00,4.1662439e-07,4.1562755e-07,4.1186223e-07,23079975.07,391854666.26
2023-08-21,23:58:00,4.1564055e-07,05:10:00,4.2935911e-07,4.2901425e-07,4.1564312e-07,24510112.02,395451891.99
2023-08-20,08:11:00,4.2521559e-07,20:52:00,4.2919783e-07,4.2604399e-07,4.2899718e-07,28957815.77,408157228.66
2023-08-19,19:26:00,4.2534095e-07,14:22:00,4.2790387e-07,4.2702184e-07,4.2604465e-07,25732778.32,405348134.54
2023-08-18,19:59:00,4.2534953e-07,10:43:00,4.3347208e-07,4.2815525e-07,4.2700286e-07,20946468.8,406259791.94
