date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,17:57:00,12.3492242687,21:48:00,12.6718501276,12.4883888903,12.4685308544,1014828.44,218372896.66
2023-09-09,05:37:00,12.4183028047,09:37:00,12.7795240765,12.6413374715,12.4879082861,822847.04,218712271.51
2023-09-08,16:55:00,12.466693519,06:15:00,12.7858338008,12.6458141487,12.6364131179,1764592.79,221313173.79
2023-09-07,07:23:00,12.335475272,10:07:00,12.777723183,12.6212759717,12.6408609065,1524278.94,221391072.02
2023-09-06,14:31:00,12.4974024835,06:01:00,12.7221382829,12.6381205174,12.6171740964,1046888.96,220976223.04
2023-09-05,04:17:00,12.4578299468,10:31:00,12.7734658488,12.5591826293,12.6340602596,1347457.04,221271966.01
2023-09-04,12:28:00,12.5217973308,12:56:00,12.9351496894,12.8708026008,12.562430616,1312929.21,220017449.91
2023-09-03,13:45:00,12.5667102171,06:09:00,12.9601892122,12.6260208982,12.8725098684,1376470.77,225448154.24
2023-09-02,02:57:00,12.5121244816,12:40:00,12.9512617868,12.6884165953,12.6259732907,1896932.12,221130331.46
2023-09-01,17:43:00,12.5356724433,09:44:00,13.0166619146,12.8148336658,12.6889176045,2269846.18,222232733.36
2023-08-31,23:09:00,12.7841155683,11:59:00,13.3735287771,13.0109183252,12.8179203025,4106237.62,224492076.75
2023-08-30,23:08:00,12.8359916283,00:31:00,14.2992470077,14.0414680387,13.0109935971,4824652.38,227873547.68
2023-08-29,07:34:00,12.4986882667,23:45:00,14.2925186506,12.8131015342,14.041886254,9699539.48,245928522.9
2023-08-28,22:55:00,12.5770056865,00:26:00,13.4334450371,13.4124140683,12.8074135466,3072772.59,224308062.23
2023-08-27,07:11:00,12.6389980503,23:29:00,13.4110208732,13.0631728749,13.4077970729,4867745.75,234823133.44
2023-08-26,00:37:00,12.5987858611,05:46:00,13.1151606606,12.7109926015,13.0555742763,1174199.03,228654330.29
2023-08-25,12:16:00,12.6686382079,00:08:00,13.0003583347,12.9206554019,12.7149069644,1816441.53,222687909.02
2023-08-24,22:19:00,12.8258330141,03:37:00,13.3905667843,13.3133666999,12.9227142958,2170026.49,226327430.74
