date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,05:16:00,27.6630355285,00:00:00,28.1608270956,28.1608270956,27.8262058674,2778614.38,234467088.92
2023-09-09,13:43:00,27.9682405126,01:56:00,28.2389089607,28.1974054728,28.1533161195,1899359.67,236964828.89
2023-09-08,10:13:00,27.9480182741,01:03:00,28.3558455273,28.2215073967,28.1941385254,2109841.54,237050170.4
2023-09-07,07:06:00,28.0343008823,02:16:00,28.3834327313,28.3497347961,28.21393766,2286946.81,236958987.53
2023-09-06,17:10:00,28.0649085406,18:06:00,28.4650499742,28.4045224623,28.3550948096,2246094.18,237880049.06
2023-09-05,09:34:00,28.1091225581,00:16:00,28.8481032013,28.8153815521,28.4067594019,2307357.88,238052478.71
2023-09-04,11:34:00,28.5941454743,03:23:00,29.0256691726,28.8958081903,28.820868493,2214125.17,241256723.36
2023-09-03,23:14:00,28.8547543471,14:27:00,29.4441853355,29.0765002734,28.9008471121,2420684.85,241650849.43
2023-09-02,12:22:00,28.854535513,22:18:00,29.2985863562,29.1196130557,29.0777404104,2457952.41,242863394.24
2023-09-01,17:43:00,28.8019324152,00:46:00,29.3516260823,29.2406831283,29.1199941208,2126097.07,242948140.07
2023-08-31,17:04:00,28.8630761031,00:24:00,29.8767529966,29.8656495924,29.2382229545,2820481.69,243664245.22
2023-08-30,18:16:00,29.6019240987,00:07:00,30.3559995193,30.3290293755,29.8635463175,4573381.68,248603182.63
2023-08-29,12:24:00,29.5736871613,14:46:00,30.8988647382,30.003918787,30.3182613236,3605215.14,252103437.38
2023-08-28,03:46:00,29.9019939157,06:18:00,30.253626185,30.0409675353,30.0052636608,2416343.29,249217778.93
2023-08-27,18:26:00,29.9351861162,00:13:00,30.2340032666,30.2168414664,30.0397563984,1755891.42,249225950.43
2023-08-26,19:29:00,30.0032253331,03:19:00,30.3246177427,30.1578881222,30.2208975293,1638127.18,250446289.58
2023-08-25,08:01:00,29.8118183894,14:17:00,30.6355534447,30.136709059,30.1514590378,2493014.38,249594139.74
2023-08-24,18:54:00,30.0300131431,00:51:00,31.253721609,31.1912089613,30.1358476123,1912154.79,249191636.3
2023-08-23,13:37:00,29.8167265952,20:28:00,31.5000980748,30.1829815118,31.1884932122,3300183.28,257606505.79
2023-08-22,08:40:00,29.8641361917,00:47:00,30.5943904134,30.3360946549,30.1837153798,6629811.32,249023831.68
2023-08-21,00:31:00,29.8470864176,20:37:00,30.4527078979,29.893785825,30.3335477267,3444161.28,249974793.13
2023-08-20,02:20:00,29.256422137,20:41:00,30.0894059021,29.3647912006,29.8951930019,2214014.34,246093222.84
