date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,16:56:00,0.1188233856,00:02:00,0.1269275575,0.1268025422,0.1214856287,28404782.13,396220201.1
2023-09-09,05:55:00,0.1248452371,20:40:00,0.1279670666,0.1269327706,0.126779372,11255826.11,413454178.21
2023-09-08,10:22:00,0.1254193585,01:02:00,0.1309892416,0.1292217472,0.1269317717,15428329.0,413960286.82
2023-09-07,13:34:00,0.1245347113,21:20:00,0.1309869402,0.1261021345,0.1291883296,28152786.05,421282152.98
2023-09-06,17:07:00,0.1230028107,01:13:00,0.1306115062,0.1298347578,0.1260700558,28931578.22,411077037.39
2023-09-05,03:24:00,0.1221467359,10:34:00,0.1319200146,0.1248853876,0.129821073,45150069.61,411911847.34
2023-09-04,00:13:00,0.1197757606,13:20:00,0.128746833,0.1201181171,0.1248490832,42574455.78,396100253.72
2023-09-03,17:14:00,0.1182357994,01:13:00,0.1234168522,0.1231787688,0.1201274239,12868372.3,381085644.79
2023-09-02,18:31:00,0.1213547462,11:04:00,0.1268258686,0.1222446236,0.1231770821,15956449.7,390724876.46
2023-09-01,19:25:00,0.1209623109,00:57:00,0.1255212023,0.1246212962,0.1222405956,15894427.51,387719059.27
2023-08-31,17:23:00,0.1216412594,06:07:00,0.1333479006,0.1301168747,0.1246113611,31795538.29,395202925.79
2023-08-30,15:07:00,0.1280385679,00:07:00,0.134760328,0.1344464463,0.1301078199,22475810.67,412598233.31
2023-08-29,10:29:00,0.1203284659,17:07:00,0.1388026957,0.1240127877,0.1344239498,48418912.43,426247043.85
2023-08-28,09:52:00,0.1217485521,00:10:00,0.1288028047,0.1280596436,0.1240588124,22109186.04,393344543.72
2023-08-27,03:00:00,0.1208855485,21:29:00,0.1288160021,0.1222484266,0.1280606261,21885895.04,405996145.28
2023-08-26,00:10:00,0.1196370672,07:28:00,0.1237314783,0.1200912022,0.1222739442,11298550.51,387615351.85
