date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,23:32:00,2.4600244012,00:00:00,2.567858375,2.567858375,2.4779820639,4469813.0,199140805.54
2023-09-09,14:08:00,2.5364208567,22:34:00,2.5742446341,2.5523427809,2.5678112985,2850970.76,206347972.51
2023-09-08,16:43:00,2.5285016409,05:33:00,2.6094238595,2.5873171966,2.5521844926,4279995.39,204768649.53
2023-09-07,14:06:00,2.5254941202,00:03:00,2.6046768189,2.6039854966,2.5876692611,4078806.07,207610366.67
2023-09-06,17:10:00,2.5798866236,12:10:00,2.6535724119,2.6382353856,2.6040325639,4549666.44,208909039.58
2023-09-05,04:01:00,2.6108839472,15:21:00,2.6576616254,2.6315792442,2.6382640692,3956100.82,211643838.34
2023-09-04,15:13:00,2.5910929626,03:23:00,2.6532975281,2.6400477042,2.6317419251,3697313.77,211111559.27
2023-09-03,17:31:00,2.622184596,00:02:00,2.7004679972,2.6989086483,2.6399447761,3229207.87,211758720.79
2023-09-02,09:01:00,2.681430658,15:43:00,2.7224619761,2.6949487378,2.6989935366,3229040.97,216150903.69
2023-09-01,18:40:00,2.672342779,04:16:00,2.7652830697,2.7565065381,2.6947224834,4504265.37,215797010.49
2023-08-31,21:12:00,2.7407363741,11:49:00,2.8734485602,2.8702642061,2.756211782,5603043.21,220710988.37
2023-08-30,21:46:00,2.8491970658,00:07:00,2.9231247393,2.9166466294,2.8704589057,4475251.74,229828411.25
2023-08-29,07:04:00,2.7961373183,14:47:00,2.9476748587,2.8317004123,2.9167237401,6206485.96,233517781.04
2023-08-28,05:53:00,2.7350304957,20:58:00,2.8363562773,2.7603130376,2.8318099151,4201514.46,226704423.04
2023-08-27,08:30:00,2.7314891217,21:43:00,2.7646653895,2.7434840926,2.7603635432,2635927.2,220634625.85
2023-08-26,19:40:00,2.7335278691,03:14:00,2.7829773686,2.7635372082,2.7435000232,2584059.85,219279026.96
2023-08-25,17:51:00,2.7303898177,14:19:00,2.7948378029,2.7730976885,2.7635095996,4799292.5,220872673.57
2023-08-24,20:58:00,2.7566907549,05:15:00,2.8453948945,2.8211915694,2.7729849666,4626688.54,221622357.56
2023-08-23,13:17:00,2.7608539474,17:22:00,2.8744493687,2.7956288146,2.8216994178,5786579.53,225508002.0
2023-08-22,21:31:00,2.7425756394,07:48:00,2.9007289562,2.8803606404,2.7959937563,6195377.34,223441298.67
2023-08-21,15:31:00,2.8480660958,06:41:00,2.9325701172,2.9158132582,2.8802795999,6120281.89,229803057.53
2023-08-20,10:20:00,2.8914090987,21:01:00,2.9411648235,2.922652987,2.91527888,4313775.2,232574544.3
2023-08-19,01:42:00,2.784190549,23:37:00,2.9225483863,2.7942407343,2.9221831503,4501288.21,233116350.15
2023-08-18,04:52:00,2.761327173,08:14:00,2.8393120369,2.7708008814,2.7940469259,7879286.47,222879810.74
2023-08-17,21:47:00,2.6026765019,08:11:00,3.1279418335,3.0852022811,2.7704683882,12707753.13,220991567.26
2023-08-16,20:31:00,3.0250706156,03:47:00,3.1626033098,3.133513774,3.0856464843,8214329.33,246115717.58
2023-08-15,19:12:00,3.0588780317,18:57:00,3.1881376929,3.1502786977,3.1334009145,9807325.96,249526331.94
2023-08-14,02:23:00,3.1026912299,16:37:00,3.1887302017,3.125190221,3.1504652732,4869379.66,250867303.14
2023-08-13,05:22:00,3.1023605227,19:37:00,3.1386241839,3.1095552238,3.1256388553,4502114.44,248876962.4
2023-08-12,21:45:00,3.0778444457,07:57:00,3.2616652345,3.238706694,3.1095624224,4868932.19,247577656.15
2023-08-11,18:49:00,3.2222084461,06:06:00,3.2743940592,3.247038106,3.2394146881,4139639.95,257904290.46
2023-08-10,17:47:00,3.2186209627,14:06:00,3.2886780004,3.252411571,3.2469741692,4847730.84,258498403.31
2023-08-09,03:05:00,3.1841995637,23:43:00,3.256979449,3.2114319002,3.2522976196,6232691.59,258510716.09
2023-08-08,09:57:00,3.1920531143,18:28:00,3.2639141214,3.2499578075,3.2130234935,6946577.37,255373120.19
2023-08-07,16:19:00,3.174976748,05:02:00,3.3008379472,3.2408017481,3.2504887956,5884705.37,258336122.74
2023-08-06,00:43:00,3.1599328841,02:17:00,3.2551213699,3.1804803939,3.2407855905,5277134.52,257540469.14
2023-08-05,04:40:00,3.1209971275,11:16:00,3.2575058246,3.1397229454,3.1806045314,6172771.28,252750176.19
2023-08-04,07:44:00,3.0502557602,14:43:00,3.187623704,3.084670684,3.1396878643,7352621.01,249475842.02
2023-08-03,07:31:00,3.0680195243,20:32:00,3.1477613048,3.1000879524,3.0847302724,5984673.57,244708980.91
2023-08-02,18:59:00,3.0829539339,00:34:00,3.2907210642,3.2606334144,3.1000359729,12615089.44,245916654.49
2023-08-01,05:17:00,2.9060854862,23:59:00,3.2608454256,3.2220600762,3.2608454256,23447919.25,258656272.78
2023-07-31,21:09:00,3.2057040659,01:02:00,3.5236483899,3.4507454964,3.2218236515,16944889.03,255525027.5
2023-07-30,23:19:00,3.4314611609,08:53:00,3.8710023154,3.8534297593,3.4510014096,11317231.17,273643593.87
