date,time_low,low,time_high,high,open,close,volume,market_cap
2023-09-10,18:50:00,0.7533476623,07:01:00,0.7631215145,0.7587269108,0.7547526129,2448315.08,108641001.06
2023-09-09,03:12:00,0.755947838,09:37:00,0.7674008134,0.7612118041,0.7587171473,1516530.25,109211666.16
2023-09-08,14:30:00,0.732635554,00:03:00,0.7667794778,0.7650976845,0.7611748265,3779720.35,109565430.72
2023-09-07,10:34:00,0.7361463733,21:19:00,0.7668855608,0.7442076925,0.7651570244,2424117.01,110138638.37
2023-09-06,23:25:00,0.7420685806,00:52:00,0.889523012,0.7718178715,0.7443319822,7100380.83,107141029.1
2023-09-05,08:47:00,0.7155196499,22:43:00,0.7791586537,0.7244733523,0.7724333066,2844136.6,111186004.85
2023-09-04,21:39:00,0.7230017103,08:37:00,0.7404957176,0.7350259128,0.7244402912,1466805.14,104277768.75
2023-09-03,12:39:00,0.732565593,04:27:00,0.7408852346,0.7377579755,0.7351331672,1251647.45,105816928.4
2023-09-02,23:38:00,0.7355365448,05:34:00,0.7667483197,0.7620139099,0.7376721041,2063192.28,106182389.39
2023-09-01,20:12:00,0.7609491233,00:13:00,0.7816490875,0.7804505552,0.7619183694,1626662.7,109672458.18
2023-08-31,17:01:00,0.7702527718,17:58:00,0.783074257,0.7763161765,0.7805971347,941802.17,112361126.92
2023-08-30,16:26:00,0.7730704304,00:07:00,0.7867258546,0.7862995373,0.7762546615,716520.22,111736060.34
2023-08-29,12:08:00,0.7727360175,17:10:00,0.7895861379,0.7793831363,0.7862584113,2134803.04,113176025.4
2023-08-28,09:01:00,0.7736081134,19:20:00,0.7842196096,0.7782584627,0.7795140645,2172686.3,112205227.05
2023-08-27,12:37:00,0.7431181335,13:49:00,0.8093194599,0.7553633462,0.7782586668,3075094.36,112024521.93
2023-08-26,18:37:00,0.7530383446,03:47:00,0.7614608822,0.7577193838,0.7553647018,645432.18,108729106.67
2023-08-25,23:18:00,0.7547294139,01:35:00,0.7751589477,0.7686040716,0.7579245287,2050386.87,109097574.64
2023-08-24,01:42:00,0.7580850998,20:27:00,0.7742394632,0.7619573937,0.7686922925,1956528.36,110647513.81
2023-08-23,03:18:00,0.7557608791,20:28:00,0.7671135535,0.7573669804,0.7620086911,757568.91,109685459.31
2023-08-22,22:21:00,0.753718809,01:59:00,0.7864763368,0.7854073096,0.7573514046,1334297.33,109015077.7
2023-08-21,17:19:00,0.7800148404,05:27:00,0.7921073921,0.7896259112,0.7853275868,1151675.79,113042040.17
2023-08-20,13:10:00,0.7852724319,09:06:00,0.7924152178,0.7892759258,0.7895627727,1191288.22,113651663.54
2023-08-19,06:50:00,0.7847804258,12:40:00,0.7926578185,0.7862275451,0.7890907469,974941.73,113583718.96
2023-08-18,05:46:00,0.761770101,10:04:00,0.7961416911,0.7656536094,0.7860909284,2203709.07,113151917.49
2023-08-17,22:50:00,0.7611262663,14:58:00,0.7988656474,0.7766054329,0.7653387739,2829861.02,110164799.85
2023-08-16,23:55:00,0.776177341,00:19:00,0.8152940173,0.8139224138,0.7766394212,2660938.85,111791443.63
2023-08-15,05:49:00,0.8075382532,18:16:00,0.8266390749,0.8158150296,0.8139310693,1506507.25,117159297.82
2023-08-14,10:38:00,0.8080098926,16:59:00,0.8160813649,0.8093645391,0.8158226991,1100608.3,117431583.81
2023-08-13,23:10:00,0.8066578328,10:24:00,0.8252018666,0.8234988774,0.8093650479,1729667.04,116502053.15
2023-08-12,22:55:00,0.8213888553,13:01:00,0.8607172331,0.8318115407,0.823695117,2563683.06,118564759.56
2023-08-11,09:38:00,0.8138753135,23:51:00,0.8320791105,0.8197915488,0.8318177595,1123734.23,119733953.27
2023-08-10,12:43:00,0.8133083237,00:34:00,0.8232684386,0.8225243363,0.8198213434,1054723.39,118007158.78
2023-08-09,07:37:00,0.8105642273,22:49:00,0.8235281393,0.8192155666,0.8225337555,1056766.28,118397590.25
2023-08-08,07:04:00,0.8160456955,13:26:00,0.8230816593,0.8176995115,0.8196983991,1573285.1,117989461.87
2023-08-07,14:23:00,0.8060168039,20:43:00,0.8202018071,0.8082478686,0.8177076655,2389924.65,117702910.64
2023-08-06,00:52:00,0.801520919,18:52:00,0.8170757005,0.8029615458,0.8082339219,987675.1,116339236.0
2023-08-05,15:28:00,0.8002789209,11:19:00,0.8126320534,0.8092270454,0.8030742927,766720.28,115596545.92
2023-08-04,08:10:00,0.7964267656,15:04:00,0.8145590449,0.8041527852,0.8087377247,1403250.27,116411754.66
2023-08-03,02:35:00,0.7989154992,19:52:00,0.8076246043,0.8036640182,0.8040944684,1027566.98,115743392.6
2023-08-02,22:33:00,0.8021508104,03:17:00,0.8184697646,0.8148501174,0.8035696156,1690663.96,115667843.96
2023-08-01,05:40:00,0.8051438326,15:06:00,0.8185338372,0.8085923467,0.8149014172,1368100.99,117298972.16
2023-07-31,22:46:00,0.8077141031,13:10:00,0.8144618289,0.8128528071,0.8086380644,1080202.81,116397409.31
2023-07-30,22:10:00,0.8108081594,03:38:00,0.8202681056,0.8197690606,0.8128458338,786626.43,117003086.28
2023-07-29,10:56:00,0.8144064083,04:46:00,0.8239761084,0.8226130937,0.8197494093,890472.04,117996804.4
2023-07-28,00:12:00,0.8155308397,18:25:00,0.8250969483,0.8164848656,0.8226140056,1062416.72,118409141.65
2023-07-27,00:16:00,0.8020520694,16:34:00,0.8223915531,0.8021893768,0.8164489512,1246044.92,117521728.12
2023-07-26,16:48:00,0.8014877107,11:22:00,0.8100553585,0.8085719673,0.8020260986,654756.63,115445666.21
2023-07-25,03:55:00,0.8018301069,08:13:00,0.8141121513,0.808720116,0.8085770324,941934.3,116388624.19
2023-07-24,19:11:00,0.8036037152,03:59:00,0.8261091337,0.8158180703,0.8087202768,1883482.24,116409243.17
2023-07-23,21:05:00,0.8140011427,12:01:00,0.8391609213,0.8379403239,0.8158542205,1912099.7,117436121.07
2023-07-22,13:30:00,0.8296708383,01:07:00,0.8435757188,0.8411423756,0.8379063176,1191307.97,120610355.74
2023-07-21,04:43:00,0.8235983706,19:50:00,0.8417439658,0.8244655802,0.8413872344,1656056.69,121111407.71
2023-07-20,00:06:00,0.8164367209,11:04:00,0.8317123339,0.8178187625,0.8245153661,2263278.9,118682828.29
2023-07-19,15:19:00,0.8060798366,07:54:00,0.8265877572,0.8238770708,0.8177796482,1837168.59,117713272.01
2023-07-18,16:10:00,0.8181671723,02:02:00,0.8347067822,0.8283383197,0.8238826121,1653407.28,118591748.07
2023-07-17,23:45:00,0.826366119,06:53:00,0.8425228504,0.8296057109,0.8283328462,2018915.91,119232326.04
2023-07-16,22:54:00,0.8260975949,02:07:00,0.8572903144,0.8526134791,0.8295790653,1305901.66,119411709.96
2023-07-15,18:29:00,0.8463616018,12:02:00,0.8617693384,0.8523797648,0.8525626597,1206255.17,122720026.7
2023-07-14,20:36:00,0.8477863747,16:28:00,0.8721258124,0.8544338314,0.8521920079,2451472.2,122666674.14
2023-07-13,03:44:00,0.8184501148,23:53:00,0.8552131103,0.821527173,0.8547603029,1929373.44,123036361.03
2023-07-12,13:45:00,0.8196669229,07:16:00,0.8354605995,0.830202729,0.8213916154,1362350.81,118233187.71
2023-07-11,20:36:00,0.8274886833,00:28:00,0.8389190139,0.8385101969,0.8302207641,785460.05,119504077.71
2023-07-10,08:13:00,0.8235622868,21:32:00,0.84054455,0.8306031008,0.8384729978,858274.71,120691925.11
2023-07-09,15:51:00,0.8241224566,01:05:00,0.833005001,0.8314319863,0.8305194067,1316701.26,119547065.09
2023-07-08,08:36:00,0.8218338801,15:30:00,0.8328101459,0.8246075014,0.8315090887,658408.41,119689522.41
2023-07-07,16:30:00,0.8177636167,12:36:00,0.8405390192,0.8324899162,0.8246148159,1555437.59,118697143.34
2023-07-06,23:42:00,0.8322749232,09:40:00,0.8665234585,0.8464926828,0.832536548,572425.54,119837417.51
2023-07-05,18:51:00,0.8417133104,02:45:00,0.869965214,0.8641229597,0.8464822742,464872.34,121844800.63
2023-07-04,19:16:00,0.8586038033,04:46:00,0.8895569219,0.8821367282,0.8641158427,798385.64,124383021.1
2023-07-03,23:32:00,0.8770662815,19:04:00,0.9204712205,0.8950923437,0.8825434046,896398.34,127035531.0
2023-07-02,10:17:00,0.8854902973,01:09:00,0.8997246241,0.8928466208,0.894995068,1583921.2,128827854.94
2023-07-01,13:08:00,0.8445246081,17:22:00,0.9065759785,0.8740274248,0.8925125559,3861790.4,128470515.85
2023-06-30,00:01:00,0.8404408762,11:13:00,0.8802556279,0.8404821113,0.8740272337,3676589.85,125809691.8
2023-06-29,23:28:00,0.8376458718,14:28:00,0.8737019504,0.8653840313,0.8405615507,2976148.51,120992556.7
2023-06-28,23:05:00,0.8632931083,00:07:00,0.882225154,0.8812671132,0.8654010113,2173433.6,124568011.51
2023-06-27,06:58:00,0.8769240845,21:46:00,0.8875162923,0.8854702241,0.881222132,2113729.66,126845343.68
2023-06-26,03:18:00,0.8757476162,15:03:00,0.8983659691,0.8871336319,0.8854504491,1913863.97,127453978.34
2023-06-25,14:50:00,0.886246627,05:43:00,0.8980420273,0.8916123603,0.887385562,1648916.07,127732523.39
2023-06-24,16:45:00,0.8794629668,03:02:00,0.9005054993,0.8918341536,0.8916579409,2309128.28,128347500.42
2023-06-23,15:15:00,0.8531958776,19:07:00,0.8956854848,0.8636745834,0.8919473142,3524074.55,128389153.53
2023-06-22,18:45:00,0.8595772381,05:00:00,0.9010292376,0.8816882062,0.8637006908,3866135.36,124323263.09
2023-06-21,00:00:00,0.8461074889,22:04:00,0.8836214437,0.8461074889,0.8817663345,4350964.41,126923677.55
2023-06-20,19:10:00,0.8256389121,07:07:00,0.9280722553,0.8282128867,0.8460966741,5185319.21,121789296.37
2023-06-19,22:18:00,0.8231826659,00:35:00,0.843946865,0.8418669611,0.8283770091,2003739.54,119238682.95
2023-06-18,09:32:00,0.8340709231,20:47:00,0.8462280596,0.8415801671,0.8418552299,972723.31,121178772.16
2023-06-17,20:49:00,0.8384558413,06:54:00,0.8580445605,0.8396902051,0.8417400104,1968513.63,121162187.18
2023-06-16,01:16:00,0.8147625634,23:30:00,0.8412981536,0.8226542131,0.8396933488,2104026.31,120867585.53
2023-06-15,13:31:00,0.8065087637,04:43:00,0.842822174,0.832188782,0.8227569267,2408993.24,118429714.06
2023-06-14,21:26:00,0.8307947052,02:26:00,0.9056237377,0.8413888711,0.8323290643,4888111.49,119807551.79
2023-06-13,00:00:00,0.8271285526,23:54:00,0.8420603462,0.8271285526,0.841390267,2158519.43,121111844.23
2023-06-12,19:52:00,0.8171948741,00:26:00,0.8472706708,0.8463719403,0.827176839,2854785.24,119065927.43
2023-06-11,10:07:00,0.8030277625,21:51:00,0.8546997724,0.8124069982,0.8464093323,3577981.54,121834301.18
2023-06-10,07:01:00,0.804638412,00:00:00,0.91646432,0.91646432,0.8123954735,5374717.83,116938260.27
2023-06-09,09:27:00,0.9047824046,15:23:00,0.9627616171,0.9221353173,0.9165849093,3357469.62,131935551.32
2023-06-08,02:28:00,0.908608093,10:11:00,0.9413116921,0.9133061861,0.9221282295,4099719.36,132733470.86
2023-06-07,22:16:00,0.9131808065,00:00:00,1.0092682666,1.0092682666,0.9132437123,4222494.04,131454610.97
2023-06-06,10:01:00,0.989829709,15:49:00,1.0289040263,1.0067357387,1.0091687965,3986209.62,145262310.34
2023-06-05,20:06:00,0.9998963777,00:01:00,1.0953136929,1.0952891285,1.0067576837,3725454.28,144915248.66
2023-06-04,15:40:00,1.0903459905,00:01:00,1.1218417279,1.1208376471,1.0952690907,2786329.41,157655804.56
2023-06-03,09:23:00,1.1097787447,00:43:00,1.1338440663,1.1329423498,1.1209202207,1963726.83,161348093.13
2023-06-02,00:34:00,1.1229124979,12:14:00,1.1596632317,1.1246286099,1.1329159772,2260714.79,163074792.68
2023-06-01,07:58:00,1.1058985014,00:11:00,1.1345234624,1.1297935473,1.1246266683,2819323.73,161881608.57
2023-05-31,22:13:00,1.1248632419,01:24:00,1.1754452426,1.1696838309,1.1310395615,4293494.88,162804696.65
2023-05-30,23:59:00,1.1694564558,13:30:00,1.2266597371,1.2209063847,1.1694564558,4797023.13,168334521.63
2023-05-29,18:13:00,1.2147859711,04:12:00,1.2901523477,1.2714559777,1.2208748265,4661863.19,175735812.02
2023-05-28,20:05:00,1.2512923272,02:15:00,1.2927721156,1.289943028,1.2714120609,4389542.26,183010269.43
2023-05-27,00:55:00,1.2534386165,14:35:00,1.3427294983,1.2611830389,1.2899303891,8170536.35,185675844.46
2023-05-26,00:00:00,1.1842433036,23:00:00,1.2636632138,1.1842433036,1.2612061748,4371438.3,181541208.36
2023-05-25,10:21:00,1.1794657798,00:01:00,1.2223074489,1.2221591769,1.1842889573,4760912.16,170469549.43
2023-05-24,23:58:00,1.2219778832,03:02:00,1.3168100002,1.3086110526,1.2220881826,5906052.07,175910465.57
2023-05-23,23:56:00,1.307945965,12:07:00,1.3581983709,1.3438936811,1.308692405,3677011.48,188376496.51
2023-05-22,03:54:00,1.3413364724,09:10:00,1.3731336768,1.362779971,1.3435790976,4108523.39,193398175.32
2023-05-21,23:56:00,1.3616651327,00:52:00,1.4498715297,1.4342073612,1.363001001,8418242.43,196193813.25
2023-05-20,06:31:00,1.4009657523,23:43:00,1.4335336737,1.4069424383,1.4331316353,3499265.43,206288594.22
2023-05-19,04:51:00,1.3878392613,09:32:00,1.4221536113,1.4021610048,1.4068182712,6326553.07,202500982.0
2023-05-18,05:29:00,1.3852598018,12:46:00,1.4111681427,1.4084613851,1.4024364057,6256718.95,201870245.19
2023-05-17,10:40:00,1.3995370422,00:05:00,1.4271452143,1.4262718656,1.408387703,8355086.32,202726889.99
2023-05-16,00:53:00,1.3933626977,09:22:00,1.6418121857,1.397768709,1.4262227687,20400638.95,205294114.47
2023-05-15,18:50:00,1.3654638692,12:53:00,1.414207526,1.403605263,1.3976721233,5960305.69,201184462.33
2023-05-14,23:58:00,1.4035038112,00:22:00,1.4370204944,1.4354933016,1.4035531075,7489046.39,202030986.07
2023-05-13,23:58:00,1.4353353708,08:01:00,1.5043009649,1.4822304899,1.4354435696,7243468.61,206621379.89
2023-05-12,12:16:00,1.4330616757,17:13:00,1.4896265304,1.4689618174,1.4824031956,9146634.42,213380867.3
2023-05-11,20:23:00,1.4645512419,00:25:00,1.5621185919,1.5615605347,1.468912408,9058081.91,211438969.19
2023-05-10,11:52:00,1.5513222361,14:58:00,1.6030478436,1.5650920038,1.5615897495,10345020.89,224779180.24
2023-05-09,04:14:00,1.5053878443,21:16:00,1.5773770361,1.5104375481,1.5648697045,8249555.01,225251305.27
2023-05-08,08:55:00,1.4584334493,00:08:00,1.5323096753,1.5299837393,1.509055623,8809923.84,217217285.13
2023-05-07,19:12:00,1.5259144127,14:55:00,1.5637886055,1.5379854788,1.5311372364,4722911.99,220395768.45
2023-05-06,17:45:00,1.5271928668,10:35:00,1.5636926053,1.5587296441,1.5380177723,4942983.03,221386170.2
2023-05-05,17:36:00,1.5495767003,00:01:00,1.5902124675,1.5898475039,1.558551482,7402759.16,224341844.33
2023-05-04,22:32:00,1.5842617381,13:04:00,1.6901537223,1.6314571041,1.58986507,10766200.28,228849201.43
2023-05-03,03:28:00,1.5926025699,22:32:00,1.6519834099,1.6216876506,1.6313566828,10717032.49,234821609.17
2023-05-02,06:25:00,1.5455557759,21:16:00,1.6343065165,1.5696696368,1.6216259592,8655499.29,233420944.2
2023-05-01,06:46:00,1.5269326404,23:10:00,1.5937940864,1.5468768473,1.5698308576,8475965.96,225965426.2
2023-04-30,07:37:00,1.5139339628,16:27:00,1.6022620572,1.5857695639,1.5471790719,11120181.22,222704870.85
2023-04-29,23:57:00,1.5846319121,11:35:00,1.654217612,1.6271402788,1.5856785921,12676581.16,228246589.21
2023-04-28,12:54:00,1.498837021,17:36:00,1.674842253,1.5299946461,1.6271178018,7819739.26,234211453.92
2023-04-27,08:22:00,1.4925623277,12:31:00,1.5407990742,1.505090091,1.530092301,3561404.92,220245357.8
2023-04-26,20:53:00,1.4406579089,23:44:00,1.5056866964,1.4593716649,1.5050707044,3169662.84,216643685.87
2023-04-25,08:26:00,1.4197171367,23:56:00,1.4599160128,1.4337953357,1.4598466286,1675213.01,210134017.95
2023-04-24,18:29:00,1.419908641,13:59:00,1.4639881514,1.4395288851,1.433878206,2295717.6,206396057.49
2023-04-23,18:37:00,1.4299957031,11:54:00,1.4490796696,1.4424954908,1.4381390568,1346695.69,207009375.13
2023-04-22,01:18:00,1.3976518448,19:15:00,1.4462495915,1.4023025687,1.4428355968,2048599.28,207685407.0
2023-04-21,23:59:00,1.4023895241,13:05:00,1.4668770033,1.43298957,1.4023895241,3310750.36,201863496.93
2023-04-20,10:42:00,1.3961954571,15:55:00,1.4339870462,1.408439204,1.432578035,3269314.83,206208907.58
